,Concept_ID,fa,vep
0,Auge::N,چشم,sil'm
1,Ohr::N,گوش,korv
2,Nase::N,بینی,nena
3,Mund::N,دهان,su
4,Zahn::N,دندان,pi
5,Zahn::N,دندان,hambaz
6,Zunge::N,زبان,kel'
7,Lippe::N,لب,hul'
8,Wange::N,لپ,modpolišk
9,Gesicht::N,رو,mod
10,Gesicht::N,چهره,mod
11,Stirn::N,پیشانی,oc
12,Haar::N,مو,tuk
13,Haar::N,مو,hibuz
14,Schnurrbart::N,سبیل,habinod
15,Bart::N,ریش,bard
16,Kinn::N,چانه,löug
17,Kiefer[Anatomie]::N,فک,hambazlu
18,Kiefer[Anatomie]::N,آرواره,hambazlu
19,Kehle::N,حلق,kurk
20,Hals::N,گردن,kagl
21,Genick::N,پشت گردن,tagarai
22,Kopf::N,سر,pä
23,Kopf::N,کله,pä
24,Rücken::N,پشت,sel'g
25,Bauch::N,شکم,vac
26,Bauch::N,شکم,koht
27,Nabel::N,ناف,naba
28,Busen::N,پستان,niža
29,Brust::N,سینه,rind
30,Schulter::N,دوش,oug
31,Schulter::N,شانه,oug
32,Arm::N,بازو,käzi
33,Ellenbogen::N,آرنج,künambruz
34,Hand::N,دست,käzi
35,Hand::N,دست,käzitera
36,Handfläche::N,کف دست,kämen
37,Finger::N,انگشت,sor'm
38,Fingernagel::N,ناخن دست,künz'
39,Nagel[Anatomie]::N,ناخن,künz'
40,Zeh::N,انگشت پا,barbaz
41,Fuß::N,پا,jaug
42,Ferse::N,پاشنه,kand
43,Knie::N,زانو,komb
44,Knie::N,زانو,pol'v
45,Oberschenkel::N,ران,riiže
46,Bein::N,پا,jaug
47,Bein::N,لنگ,jaug
48,Körper::N,تن,hibj
49,Körper::N,بدن,hibj
50,Haut::N,پوست,nahk
51,Blut::N,خون,čak
52,Blut::N,خون,veri
53,Ader::N,رگ,son'
54,Sehne::N,زردپی,jände
55,Knochen::N,استخوان,lu
56,Gehirn::N,مخ,aivod
57,Gehirn::N,مغز,aivod
58,Herz::N,دل,südäin
59,Herz::N,قلب,südäin
60,Magen::N,معده,südäikoht
61,Leber::N,کبد,maks
62,Atem::N,نفس,hengaiduz
63,Hunger::N,گرسنگی,näl'g
64,Träne::N,اشک,kündal'
65,Geschmack::N,مزه,magu
66,Geruch::N,بو,haju
67,Schlaf::N,خواب,uni
68,Traum::N,رؤیا,unikuva
69,Himmel::N,فلک,taivaz
70,Himmel::N,آسمان,taivaz
71,Sonne::N,آفتاب,päiväine
72,Sonne::N,خورشید,päiväine
73,Mond::N,ماه,kudmaine
74,Stern::N,ستاره,tähtaz
75,Luft::N,هوا,il'm
76,Wind::N,باد,döl
77,Wind::N,باد,tullei
78,Welle::N,موج,ald
79,Welle::N,موج,laineh
80,Wasser::N,آب,vezi
81,Stein::N,سنگ,kivi
82,Boden::N,زمین,ma
83,Boden::N,زمین,pohj
84,Erde::N,خاک,ma
85,Erde::N,زمین,ma
86,Staub::N,گرد,pölü
87,Staub::N,غبار,pölü
88,Rauch::N,دود,savu
89,Funke::N,جرقه,kibin
90,Feuer::N,آتش,lämoi
91,Licht::N,نور,vauktuz
92,Licht::N,روشنی,vauktuz
93,Schatten::N,سایه,pil'vez
94,Schatten::N,سایه,kuvahaine
95,Wetter::N,هوا,sä
96,Nebel::N,مه,sumeg
97,Wolke::N,ابر,pil'v
98,Regen::N,باران,vihm
99,Schnee::N,برف,lumi
100,Eis::N,یخ,jä
101,Frost::N,یخبندان,hala
102,Frost::N,یخبندان,pakaine
103,Kälte::N,سرما,vilu
104,Hitze::N,گرما,räk
105,Hitze::N,حرارت,räk
106,Raureif::N,برف ریزه,hüde
107,Regenbogen::N,رنگین‌کمان,jumalanbembel'
108,Donner::N,رعد,juru
109,Donner::N,رعد,jumalanjuru
110,Strömung::N,جریان,joksmuz
111,Tropfen::N,قطره,tilkuine
112,Schaum::N,کف,vaht
113,Schmutz::N,گل,redu
