,Concept_ID,en,lt
0,Auge::N,eye,akis
1,Ohr::N,ear,ausis
2,Nase::N,nose,nosis
3,Mund::N,mouth,burna
4,Zahn::N,tooth,dantis
5,Zunge::N,tongue,liežuvis
6,Lippe::N,lip,lūpa
7,Wange::N,cheek,žandas
8,Wange::N,cheek,skruostas
9,Gesicht::N,face,veidas
10,Stirn::N,forehead,kakta
11,Haar::N,hair,plaukai
12,Schnurrbart::N,moustache,ūsai
13,Bart::N,beard,barzda
14,Kinn::N,chin,smakras
15,Kiefer[Anatomie]::N,jaw,žandikaulis
16,Kehle::N,throat,gerklė
17,Hals::N,neck,kaklas
18,Genick::N,nape,sprandas
19,Kopf::N,head,galva
20,Rücken::N,back,nugara
21,Rücken::N,spine,nugara
22,Bauch::N,belly,pilvas
23,Nabel::N,navel,bamba
24,Busen::N,bosom,krūtinė
25,Brust::N,chest,krūtis
26,Brust::N,breast,krūtis
27,Schulter::N,shoulder,petys
28,Arm::N,arm,ranka
29,Ellenbogen::N,elbow,alkūnė
30,Hand::N,hand,ranka
31,Hand::N,hand,plaštaka
32,Handfläche::N,palm,delnas
33,Handfläche::N,palm,plaštaka
34,Finger::N,finger,pirštas
35,Fingernagel::N,fingernail,nagas
36,Nagel[Anatomie]::N,nail,nagas
37,Zeh::N,toe,pirštas
38,Fuß::N,foot,pėda
39,Ferse::N,heel,kulnas
40,Knie::N,knee,kelis
41,Oberschenkel::N,thigh,kulšis
42,Oberschenkel::N,thigh,šlaunis
43,Bein::N,leg,koja
44,Körper::N,body,kūnas
45,Haut::N,skin,oda
46,Blut::N,blood,kraujas
47,Ader::N,vein,kraujagyslė
48,Sehne::N,sinew,sausgyslė
49,Knochen::N,bone,kaulas
50,Gehirn::N,brain,smegenys
51,Herz::N,heart,širdis
52,Magen::N,stomach,skrandis
53,Leber::N,liver,kepenys
54,Atem::N,breath,kvapas
55,Hunger::N,hunger,badas
56,Hunger::N,hunger,alkis
57,Träne::N,tear,ašara
58,Geschmack::N,flavour,skonis
59,Geschmack::N,flavor,skonis
60,Geruch::N,odour,kvapas
61,Geruch::N,odor,kvapas
62,Schlaf::N,sleep,miegas
63,Traum::N,dream,sapnas
64,Himmel::N,sky,dangus
65,Sonne::N,sun,saulė
66,Mond::N,moon,mėnulis
67,Stern::N,star,žvaigždė
68,Luft::N,air,oras
69,Wind::N,wind,vėjas
70,Welle::N,wave,banga
71,Welle::N,wave,vilnis
72,Wasser::N,water,vanduo
73,Stein::N,stone,akmuo
74,Boden::N,soil,žemė
75,Boden::N,soil,dugnas
76,Boden::N,ground,žemė
77,Boden::N,ground,dugnas
78,Erde::N,earth,žemė
79,Staub::N,dust,dulkės
80,Rauch::N,smoke,dūmai
81,Funke::N,spark,kibirkštis
82,Feuer::N,fire,ugnis
83,Licht::N,light,šviesa
84,Schatten::N,shadow,paūksmė
85,Wetter::N,weather,oras
86,Nebel::N,fog,migla
87,Nebel::N,fog,rūkas
88,Wolke::N,cloud,debesis
89,Regen::N,rain,lietus
90,Schnee::N,snow,sniegas
91,Eis::N,ice,ledas
92,Frost::N,frost,šalna
93,Kälte::N,chill,šaltis
94,Hitze::N,heat,karštis
95,Raureif::N,hoarfrost,šerkšnas
96,Regenbogen::N,rainbow,vaivorykštė
97,Donner::N,thunder,perkūnas
98,Donner::N,thunder,griaustinis
99,Strömung::N,current,tėkmė
100,Tropfen::N,drop,lašas
101,Schaum::N,foam,putos
102,Schmutz::N,dirt,purvas
103,See::N,lake,ežeras
104,Sumpf::N,swamp,klampynė
105,Sumpf::N,swamp,liūnas
106,Moor::N,moor,pelkė
107,Wiese::N,meadow,pieva
108,Wald::N,forest,miškas
109,Hügel::N,hill,kalva
110,Anhöhe::N,elevation,kauburys
111,Berg::N,mountain,kalnas
112,Gipfel::N,summit,viršūnė
113,Höhle::N,cave,ola
114,Abhang::N,slope,šlaitas
115,Abhang::N,slope,nuokalnė
116,Quelle::N,source,versmė
117,Quelle::N,source,šaltinis
118,Bach::N,brook,upelis
119,Fluss::N,river,upė
120,Ufer::N,shore,krantas
121,Küste::N,coast,pajūris
122,Festland::N,land,sausuma
123,Meer::N,sea,jūra
124,Bucht::N,cove,įlanka
125,Bucht::N,cove,užutekis
126,Insel::N,island,sala
127,Blume::N,flower,gėlė
128,Gras::N,grass,žolė
129,Wurzel::N,root,šaknis
130,Baum::N,tree,medis
131,Stamm::N,trunk,kamienas
132,Rinde::N,bark,žievė
133,Ast::N,limb,šaka
134,Zweig::N,branch,šakelė
135,Blatt::N,leaf,lapas
136,Birke::N,birch,beržas
137,Kiefer[Baum]::N,pine,pušis
138,Weide[Baum]::N,willow,karklas
139,Tanne::N,fir,eglė
140,Tanne::N,fir,kėnis
141,Horn::N,horn,ragas
142,Feder::N,feather,plunksna
143,Fell::N,fur,kailis
144,Flügel::N,wing,sparnas
145,Klaue::N,claw,kanopa
146,Kralle::N,claw,nagas
147,Schwanz::N,tail,uodega
148,Ei::N,egg,kiaušinis
149,Nest::N,nest,gūžta
150,Nest::N,nest,lizdas
151,Bau::N,lair,ola
152,Tier::N,animal,gyvūnas
153,Herde::N,flock,banda
154,Herde::N,flock,kaimenė
155,Kuh::N,cow,karvė
156,Bulle::N,bull,bulius
157,Pferd::N,horse,arklys
158,Schaf::N,sheep,avis
159,Schwein::N,pig,kiaulė
160,Hund::N,dog,šuo
161,Katze::N,cat,katė
162,Bär::N,bear,lokys
163,Eichhörnchen::N,squirrel,voveraitė
164,Elch::N,elk,briedis
165,Fuchs::N,fox,lapė
166,Hase::N,hare,kiškas
167,Maus::N,mouse,pelė
168,Wolf::N,wolf,vilkas
169,Vogel::N,bird,paukštis
170,Schwarm::N,swarm,spiečius
171,Huhn::N,chicken,višta
172,Hahn::N,cock,gaidys
173,Gans::N,goose,žąsis
174,Adler::N,eagle,erelis
175,Ente::N,duck,antis
176,Eule::N,owl,pelėda
177,Kranich::N,crane,gervė
178,Krähe::N,crow,varna
179,Kuckuck::N,cuckoo,gegužė
180,Schwan::N,swan,gulbė
181,Fisch::N,fish,žuvis
182,Barsch::N,perch,ešerys
