,Concept_ID,kk,be
0,Auge::N,көз,вока
1,Ohr::N,құлақ,вуха
2,Nase::N,мұрын,нос
3,Mund::N,ауыз,рот
4,Zahn::N,тіс,зуб
5,Zunge::N,тіл,язык
6,Lippe::N,ерін,губа
7,Wange::N,ұрт,шчака
8,Gesicht::N,бет-аузы,твар
9,Stirn::N,маңдай,лоб
10,Haar::N,қыл,волас
11,Haar::N,қыл,валасы
12,Schnurrbart::N,мұрт,вус
13,Schnurrbart::N,мұрт,вусы
14,Bart::N,сақал,барада
15,Kinn::N,иек,падбародак
16,Kiefer[Anatomie]::N,жақ,сківіца
17,Kehle::N,алқым,горла
18,Hals::N,мойын,шыя
19,Genick::N,желке,патыліца
20,Kopf::N,кәллә,галава
21,Rücken::N,арқа,спіна
22,Bauch::N,қарын,жывот
23,Nabel::N,кіндік,пупок
24,Busen::N,омырау,грудзі
25,Brust::N,кеуде,грудзі
26,Schulter::N,иық,плячо
27,Arm::N,қол,рука
28,Ellenbogen::N,шынтақ,локаць
29,Hand::N,қол,кісць
30,Handfläche::N,алақан,далонь
31,Finger::N,саусақ,палец
32,Fingernagel::N,тырнақ,ногаць
33,Nagel[Anatomie]::N,тырнақ,ногаць
34,Zeh::N,тырнақ,палец
35,Zeh::N,тұяқ,палец
36,Fuß::N,аяқ-басы,нага
37,Ferse::N,өкше,пята
38,Ferse::N,өкше,пятка
39,Ferse::N,өкшелік,пята
40,Ferse::N,өкшелік,пятка
41,Knie::N,тізе,калена
42,Oberschenkel::N,жамбас,бядро
43,Oberschenkel::N,жамбас,сцягно
44,Bein::N,аяқ,нага
45,Körper::N,дене,цела
46,Haut::N,тері,скура
47,Blut::N,қан,кроў
48,Ader::N,көктамыр,вена
49,Ader::N,көктамыр,сасуд
50,Ader::N,күретамыр,вена
51,Ader::N,күретамыр,сасуд
52,Sehne::N,сіңір,жыла
53,Sehne::N,сіңір,цеціва
54,Sehne::N,сіңір,сухажылле
55,Knochen::N,жілік,косць
56,Gehirn::N,ми,мозг
57,Herz::N,жүрек,сэрца
58,Magen::N,асқазан,страўнік
59,Leber::N,бауыр,печань
60,Atem::N,леп,дыханне
61,Hunger::N,ашаршылық,голад
62,Träne::N,жас,сляза
63,Geschmack::N,дәм,смак
64,Geschmack::N,татым,смак
65,Geschmack::N,талғам,смак
66,Geruch::N,иіс,пах
67,Schlaf::N,ұйқы,сон
68,Schlaf::N,ұйықтау,сон
69,Traum::N,түс,сон
70,Himmel::N,аспан,неба
71,Himmel::N,көқ,неба
72,Himmel::N,таңдай,неба
73,Sonne::N,күн,сонца
74,Mond::N,ай,месяц
75,Stern::N,жұлдыз,зорка
76,Luft::N,әуе,паветра
77,Wind::N,жел,вецер
78,Welle::N,толқын,хваля
79,Wasser::N,су,вада
80,Stein::N,тас,камень
81,Boden::N,қыртыс,глеба
82,Erde::N,топырақ,зямля
83,Staub::N,шаң,пыл
84,Rauch::N,түтін,дым
85,Funke::N,ұшқын,іскра
86,Feuer::N,алау,агонь
87,Licht::N,шұғыла,святло
88,Schatten::N,көлеңке,цень
89,Wetter::N,ауа райы,пагода
90,Wetter::N,ауа райы,надворʼе
91,Nebel::N,тұман,туман
92,Wolke::N,бұлт,воблака
93,Regen::N,жаңбыр,дождж
94,Schnee::N,қар,снег
95,Eis::N,мұз,лёд
96,Frost::N,суық,мароз
97,Kälte::N,ызғар,холад
98,Kälte::N,суықтық,холад
