,Concept_ID,zh,en
0,Auge::N,眼睛,eye
1,Ohr::N,耳朵,ear
2,Nase::N,鼻子,nose
3,Mund::N,嘴,mouth
4,Zahn::N,牙齿,tooth
5,Zunge::N,舌头,tongue
6,Lippe::N,嘴唇,lip
7,Wange::N,面颊,cheek
8,Gesicht::N,脸,face
9,Stirn::N,额,forehead
10,Haar::N,头发,hair
11,Schnurrbart::N,髭须,moustache
12,Bart::N,胡子,beard
13,Kinn::N,下巴,chin
14,Kiefer[Anatomie]::N,颌,jaw
15,Kehle::N,嗓子,throat
16,Hals::N,颈,neck
17,Genick::N,后颈,nape
18,Kopf::N,头,head
19,Rücken::N,背,back
20,Rücken::N,背,spine
21,Bauch::N,肚子,belly
22,Nabel::N,肚脐,navel
23,Busen::N,胸脯,bosom
24,Brust::N,胸,chest
25,Brust::N,胸,breast
26,Schulter::N,肩膀,shoulder
27,Arm::N,臂膀,arm
28,Ellenbogen::N,肘,elbow
29,Hand::N,手,hand
30,Handfläche::N,手掌,palm
31,Finger::N,手指,finger
32,Fingernagel::N,指甲,fingernail
33,Nagel[Anatomie]::N,指甲,nail
34,Zeh::N,脚趾,toe
35,Fuß::N,脚,foot
36,Ferse::N,后跟,heel
37,Knie::N,膝,knee
38,Oberschenkel::N,大腿,thigh
39,Bein::N,腿,leg
40,Körper::N,身体,body
41,Haut::N,皮肤,skin
42,Blut::N,血,blood
43,Ader::N,血管,vein
44,Sehne::N,腱,sinew
45,Knochen::N,骨,bone
46,Gehirn::N,脑,brain
47,Herz::N,心,heart
48,Magen::N,胃,stomach
49,Leber::N,肝,liver
50,Atem::N,呼吸,breath
51,Hunger::N,饿,hunger
52,Träne::N,眼泪,tear
53,Geschmack::N,味道,flavour
54,Geschmack::N,味道,flavor
55,Geruch::N,气味,odour
56,Geruch::N,气味,odor
57,Schlaf::N,睡眠,sleep
58,Traum::N,梦,dream
59,Himmel::N,天空,sky
60,Sonne::N,太阳,sun
61,Mond::N,月亮,moon
62,Stern::N,星,star
63,Luft::N,空气,air
64,Wind::N,风,wind
65,Welle::N,波,wave
66,Wasser::N,水,water
67,Stein::N,石头,stone
68,Boden::N,地面,soil
69,Boden::N,地面,ground
70,Erde::N,地,earth
71,Staub::N,灰尘,dust
72,Rauch::N,烟,smoke
73,Funke::N,火花,spark
74,Feuer::N,火,fire
75,Licht::N,光,light
76,Schatten::N,影子,shadow
77,Wetter::N,天气,weather
78,Nebel::N,雾,fog
79,Wolke::N,云,cloud
80,Regen::N,雨,rain
81,Schnee::N,雪,snow
82,Eis::N,冰,ice
83,Frost::N,霜冻,frost
84,Kälte::N,寒冷,chill
85,Hitze::N,炎热,heat
86,Raureif::N,霜,hoarfrost
87,Regenbogen::N,虹,rainbow
88,Donner::N,雷,thunder
89,Strömung::N,水流,current
90,Tropfen::N,滴,drop
91,Schaum::N,泡沫,foam
92,Schmutz::N,赃物,dirt
93,See::N,湖,lake
94,Sumpf::N,沼泽,swamp
95,Moor::N,沼泽,moor
96,Wiese::N,草地,meadow
97,Wald::N,森林,forest
98,Hügel::N,丘陵,hill
99,Anhöhe::N,山丘,elevation
100,Berg::N,山,mountain
101,Gipfel::N,峰,summit
102,Höhle::N,洞穴,cave
103,Abhang::N,斜坡,slope
104,Quelle::N,泉,source
105,Bach::N,溪,brook
106,Fluss::N,河流,river
107,Ufer::N,岸,shore
108,Küste::N,海岸,coast
109,Festland::N,大陆,land
