,Concept_ID,br,os
174,Fisch::N,pesk,кӕсаг
175,Barsch::N,brell,окунь
176,Hecht::N,beked,хихор кӕсаг
177,Schlange[Tier]::N,naer,калм
178,Wurm::N,preñv,зулкъ
179,Wurm::N,preñv,къуыдыргалм
180,Spinne::N,kevnidenn,хӕлуарӕг
181,Ameise::N,merion,мæлдзыг
182,Laus::N,laouenn,сыст
183,Mücke::N,moustik,къогъо
184,Fliege::N,kelienenn,бындз
185,Schmetterling::N,balafenn,гæлæбу
186,Beere::N,hog,гагадыргъ
187,Apfel::N,aval,фӕткъуы
188,Pilz::N,kabell-touseg,зокъо
189,Pilz::N,kabell-touseg,къозо
190,Zwiebel::N,ognonenn,хъӕдындз
191,Saat::N,had,тауинаг
192,Saat::N,had,мыггаг
193,Korn::N,ed,мыггаг
194,Korn::N,ed,тауинаг
195,Heu::N,foenn,хос
196,Schale::N,peliadur,цъар
197,Falle::N,pech,цъысым
198,Falle::N,pech,къӕппӕг
199,Schlinge::N,krouglas,цасм
200,Asche::N,ludu,фӕнык
201,Asche::N,ludu,ӕртхутӕг
202,Dreck::N,fank,цъыф
203,Eisen::N,houarn,ӕфсӕйнаг
204,Gold::N,aour,сыгъзӕрин
205,Silber::N,arc'hant,ӕвзист
206,Kohle::N,glaou,ӕвзалы
207,Glas::N,gwer,авг
208,Sand::N,traezh,змис
209,Mensch::N,den,лӕг
210,Mensch::N,den,адӕймаг
211,Mensch::N,den,удгоймаг
212,Mann::N,den,лӕг
213,Mann::N,den,нӕлгоймаг
214,Frau::N,maouez,сылгоймаг
215,Kind::N,bugel,сывӕллон
216,Junge::N,paotr,лӕппу
217,Mädchen::N,plac'h,чызг
218,Familie::N,familh,бинонтæ
219,Großvater::N,tad-kozh,фыдыфыд
220,Großvater::N,tad-kozh,мадыфыд
221,Großmutter::N,mamm-gozh,фыды мад
222,Großmutter::N,mamm-gozh,мады мад
223,Eltern::N,kerent,ныййарджытæ
224,Vater::N,tad,фыд
225,Mutter::N,mamm,мад
226,Sohn::N,mab,фырт
227,Tochter::N,merc'h,чызг
228,Bruder::N,breur,ӕфсымӕр
229,Schwester::N,c'hoar,хо
230,Onkel::N,eontr,фыдыфсымӕр
231,Tante::N,moereb,мадыхо
232,Ehemann::N,gwaz,мой
233,Ehefrau::N,gwreg,ус
234,Freude::N,levenez,цин
235,Freude::N,levenez,циндзинад
236,Gelächter::N,c'hoarzherezh,худын
237,Gelächter::N,c'hoarzherezh,худт
238,Gelächter::N,c'hoarzherezh,худæг
239,Glück::N,chañs,амонд
240,Kummer::N,doan,хъыг
241,Wunsch::N,c'hoant,бӕллиц
242,Lust::N,c'hoant,монц
243,Geist::N,spered,уд
244,Gedanke::N,soñj,хъуыды
245,Gedächtnis::N,eñvor,мысæн
246,Gedächtnis::N,eñvor,мысын
247,Gedächtnis::N,eñvor,зæрдылдарын
248,Verstand::N,skiant,зонд
249,Sinn::N,ster,нысаниуæг
250,Grund::N,kaoz,ӕфсон
251,Wahrheit::N,gwirionez,æцæг
252,Gespräch::N,kaozeadenn,ныхас
253,Märchen::N,kaoz korriganez,аргъау
254,Erzählung::N,kontadenn,радзырд
255,Nachricht::N,keloù,уац
256,Neuigkeit::N,kelaouenn,хабар
257,Name::N,anv,ном
258,Rätsel::N,divinatez,уыци-уыци
259,Rätsel::N,divinatez,базон-базон
260,Rede::N,diskour,раныхас
261,Sprache::N,yezh,ӕвзаг
262,Stimme::N,mouezh,хъӕлӕс
263,Wort::N,ger,дзырд
264,Zeichen::N,sin,нысан
265,Ruf::N,galv,сидт
266,Lärm::N,trouz,уынæр
267,Ton::N,ton,мыр
268,Lied::N,kanaouenn,зарӕг
269,Ruhe::N,sioulded,æнцой
270,Leute::N,tud,адӕм
271,Volk::N,pobl,адӕм
272,Arbeit::N,labour,фӕллой
273,Gast::N,kouviad,уазӕг
274,Geschenk::N,prof,хуын
275,Spiel::N,c'hoari,хъазт
