,Concept_ID,ko,ps
0,Auge::N,눈,سترګه
1,Ohr::N,귀,غوږ
2,Nase::N,코,پوزه
3,Mund::N,입,خوله
4,Zahn::N,이,غاښ
5,Zunge::N,혀,جبه
6,Lippe::N,입술,شونډه
7,Wange::N,뺨,باړخو
8,Gesicht::N,얼굴,مخ
9,Stirn::N,이마,تندی
10,Stirn::N,이마,وچولی
11,Haar::N,털,وېښته
12,Schnurrbart::N,윗수몀,برېت
13,Schnurrbart::N,코밑수염,برېت
14,Bart::N,수엄,ږیره
15,Kinn::N,아래턱,زنه
16,Kiefer[Anatomie]::N,턱,جامه
17,Kehle::N,인후,غاړه
18,Hals::N,목,غاړه
19,Genick::N,먹덜이,ورمېږ
20,Kopf::N,머리,سر
21,Rücken::N,든,شا
22,Bauch::N,배,نس
23,Bauch::N,배,ګېډه
24,Nabel::N,배꼽,نوم
25,Busen::N,가슴속,تی
26,Brust::N,가슴,سینه
27,Schulter::N,어깨,اوږه
28,Arm::N,팔,لاس
29,Ellenbogen::N,팔쿰치,څنګل
30,Hand::N,손,لاس
31,Handfläche::N,손바닥,ورغوی
32,Finger::N,속가락,ګوته
33,Fingernagel::N,손톱,نوک
34,Nagel[Anatomie]::N,손톱,نوک
35,Zeh::N,발가락,ګوته
36,Fuß::N,발,پښه
37,Ferse::N,발꿈치,پونده
38,Knie::N,무릎,زنګون
39,Oberschenkel::N,허벅다리,پتون
40,Bein::N,다리,پښه
41,Körper::N,구간,ځان
42,Haut::N,살갗,پوټکی
43,Blut::N,피,وینه
44,Ader::N,정맥,رګ
45,Sehne::N,현,پله
46,Knochen::N,뼈,هډوکی
47,Gehirn::N,뇌,ماغزه
48,Gehirn::N,뇌수,ماغزه
49,Herz::N,염통,زړه
50,Magen::N,위,معده
51,Leber::N,간,ينه
52,Leber::N,간,ځیګر
53,Atem::N,기식,نفس
54,Hunger::N,공복,ولږه
55,Träne::N,눈물,اوښکه
56,Geschmack::N,기호,مزه
57,Geschmack::N,기호,خوند
58,Geruch::N,냄새,بوی
59,Schlaf::N,수면,خوب
60,Traum::N,쿰,خوب
61,Himmel::N,하늘,اسمان
62,Sonne::N,해,لمر
63,Mond::N,달,سپوږمۍ
64,Stern::N,별,ستوری
65,Luft::N,동준,هوا
66,Luft::N,가스채,هوا
67,Wind::N,바람,ورښ
68,Welle::N,물결,موج
69,Wasser::N,물,اوبه
70,Stein::N,돌,ډبره
71,Boden::N,바닥,مځکه
72,Erde::N,흙,خاوره
73,Staub::N,먼지,ګرد
74,Staub::N,먼지,خاوره
75,Rauch::N,연기,دود
76,Rauch::N,연기,لوګی
77,Funke::N,불티,سپرغۍ
78,Feuer::N,불,اور
79,Licht::N,불,رڼا
80,Schatten::N,어스레함,سیوری
81,Wetter::N,기상,هوا
82,Nebel::N,안개,لړه
83,Wolke::N,구름,ورېځ
84,Regen::N,비,وریا
85,Regen::N,비,باران
86,Schnee::N,눈,واوره
87,Eis::N,얼음,یخ
88,Eis::N,얼음,کنګل
89,Frost::N,혹한,یخ
90,Kälte::N,추위,ساړه
91,Kälte::N,차가움,ساړه
92,Hitze::N,고온,تودوخي
93,Hitze::N,더위,تودوخي
94,Regenbogen::N,무지개,بوډۍ ټال
95,Regenbogen::N,무지개,سره زرغونه
96,Donner::N,뇌명,تالنده
97,Strömung::N,유동,بهېدنه
98,Tropfen::N,물방울,قطره
99,Tropfen::N,물방울,څاڅکی
100,Schaum::N,포말,ځګ
101,Schmutz::N,때,ناپاکي
102,See::N,호수,جهیل
103,Sumpf::N,습지,جبه
104,Moor::N,저습지,جبه
105,Wiese::N,목초지,چمن
106,Wiese::N,목초지,شنېلی
107,Wald::N,숲,ځنګل
108,Hügel::N,언덕,تپه
109,Anhöhe::N,언덕,غونډۍ
110,Berg::N,산,غ‍‍‍‍‍ر
111,Gipfel::N,졀졍,څوکه
112,Höhle::N,공동,کاز
113,Abhang::N,몰매,لمن
114,Quelle::N,근원,چینه
115,Bach::N,내,واله
116,Fluss::N,강,سیند
117,Ufer::N,강변,غاړه
118,Ufer::N,바닷가,غاړه
119,Küste::N,해변,ساحل
120,Küste::N,해변가,ساحل
121,Festland::N,본토,وچه
122,Meer::N,바다,بحر
123,Meer::N,바다,سمندر
124,Bucht::N,협만,کارۍ
125,Insel::N,섬,ټاپو
126,Insel::N,섬,جزيره
127,Blume::N,꽃,ګل
128,Gras::N,풀,واښه
129,Wurzel::N,뿌리,ریښه
130,Baum::N,나무,ونه
131,Stamm::N,대,ډډ
132,Rinde::N,나무껍질,پوستکی
133,Ast::N,가지,ښاخ
134,Zweig::N,가지,څانګه
135,Blatt::N,잎,پاڼه
136,Birke::N,자작나무,توس
137,Kiefer[Baum]::N,소나무,نښتر
138,Weide[Baum]::N,쉬양버들,وله
139,Tanne::N,전나무,ناجو
140,Horn::N,뿔,ښکر
141,Feder::N,깃털,بڼکه
142,Fell::N,피혁모피,پوستکی
143,Flügel::N,날개,وزر
144,Klaue::N,갈고리 발톺,پنجه
145,Klaue::N,갈고리 발톺,منګول
146,Kralle::N,발툭,پنجه
147,Kralle::N,발툭,منګول
148,Schwanz::N,꼬리,لکۍ
149,Ei::N,알,وۍ
150,Ei::N,알,هګۍ
151,Nest::N,보금자리,جاله
152,Bau::N,굴,کاز
153,Tier::N,짐승,ژوی
154,Tier::N,짐승,حیوان
155,Herde::N,가축의떼,رمه
156,Herde::N,가축의떼,غېله
157,Kuh::N,암소,غوا
158,Bulle::N,황소,غوئی
159,Pferd::N,말,آس
160,Schaf::N,양,پسه
161,Schwein::N,돼지,سرکوزی
162,Hund::N,개,سپی
163,Katze::N,고양이,پشه
164,Bär::N,콤,خرس
165,Eichhörnchen::N,다람쥐,خړ لمی
166,Elch::N,고라니,ګوزن
167,Fuchs::N,여우,سپلم
168,Hase::N,토끼,سوی
169,Maus::N,쥐,مږک
170,Wolf::N,늑대,لېوه
171,Vogel::N,새,مرغه
172,Schwarm::N,뗴,سېل
173,Huhn::N,암탉,چرګه
174,Hahn::N,수탉,چرګ
175,Gans::N,거위,بته
176,Adler::N,수리,عقاب
177,Ente::N,오리,ایلۍ
178,Eule::N,부엉이,ګونګی
179,Kranich::N,두루미,کلنګ
180,Krähe::N,까마귀,کارغه
