,Concept_ID,hi,pl
0,Auge::N,आँख,oko
1,Auge::N,चक्षु,oko
2,Ohr::N,कान,ucho
3,Ohr::N,कर्ण,ucho
4,Nase::N,नाक,nos
5,Nase::N,नासा,nos
6,Mund::N,मुख,usta
7,Mund::N,मुँह,usta
8,Zahn::N,दंत,ząb
9,Zahn::N,दाँत,ząb
10,Zunge::N,जीभ,język
11,Zunge::N,ज़बान,język
12,Zunge::N,जिह्वा,język
13,Lippe::N,ओंठ,warga
14,Lippe::N,होंठ,warga
15,Wange::N,गाल,policzek
16,Wange::N,कपोल,policzek
17,Gesicht::N,मुँह,twarz
18,Gesicht::N,चेहरा,twarz
19,Stirn::N,माथा,czoło
20,Stirn::N,मस्तक,czoło
21,Haar::N,बाल,włos
22,Haar::N,बाल,włosy
23,Schnurrbart::N,मूँछें,wąsy
24,Bart::N,दाढ़ी,broda
25,Kinn::N,चिबुक,podbródek
26,Kiefer[Anatomie]::N,जबड़ा,czeluść
27,Kehle::N,गला,gardło
28,Hals::N,गला,szyja
29,Hals::N,गरदन,szyja
30,Genick::N,गरदन,kark
31,Genick::N,ग्रीवा,kark
32,Kopf::N,सिर,głowa
33,Kopf::N,शीर्ष,głowa
34,Rücken::N,पीठ,plecy
35,Rücken::N,पीठ,grzbiet
36,Bauch::N,उदर,brzuch
37,Nabel::N,नाभि,pępek
38,Nabel::N,ढोंढी,pępek
39,Busen::N,कुच,biust
40,Busen::N,स्तन,biust
41,Brust::N,वक्ष,pierś
42,Schulter::N,कंधा,bark
43,Schulter::N,कंधा,ramię
44,Schulter::N,स्कंध,bark
45,Schulter::N,स्कंध,ramię
46,Arm::N,बाँह,ręka
47,Arm::N,बाँह,ramię
48,Arm::N,बाज़ू,ręka
49,Arm::N,बाज़ू,ramię
50,Ellenbogen::N,कुहनी,łokieć
51,Hand::N,हाथ,dłoń
52,Hand::N,हस्त,dłoń
53,Handfläche::N,हथेली,dłoń
54,Finger::N,उँगली,palec
55,Finger::N,अँगुली,palec
56,Fingernagel::N,नख,paznokieć
57,Fingernagel::N,नाख़ून,paznokieć
58,Nagel[Anatomie]::N,नख,paznokieć
59,Nagel[Anatomie]::N,नाख़ून,paznokieć
60,Zeh::N,उँगली,palec
61,Zeh::N,पाँव की उँगली,palec
62,Fuß::N,चरण,stopa
63,Fuß::N,पाँव,stopa
64,Ferse::N,एड़ी,pięta
65,Knie::N,जानु,kolano
66,Knie::N,घुटना,kolano
67,Oberschenkel::N,उरु,udo
68,Bein::N,टाँग,noga
69,Körper::N,तन,ciało
70,Körper::N,देह,ciało
71,Körper::N,शरीर,ciało
72,Haut::N,चर्म,skóra
73,Haut::N,त्वचा,skóra
74,Blut::N,लहू,krew
75,Blut::N,ख़ून,krew
76,Ader::N,रग,żyła
77,Ader::N,शिरा,żyła
78,Sehne::N,कंडरा,ścięgno
79,Sehne::N,स्नायु,ścięgno
80,Knochen::N,अस्थि,kość
81,Gehirn::N,दिमाग़,mózg
82,Gehirn::N,मस्तिष्क,mózg
83,Herz::N,दिल,serce
84,Herz::N,हृदय,serce
85,Magen::N,मेदा,żołądek
86,Magen::N,अमाशय,żołądek
87,Leber::N,जिगर,wątroba
88,Leber::N,यकृत्,wątroba
89,Atem::N,दम,dech
90,Atem::N,दम,oddech
91,Atem::N,साँस,dech
92,Atem::N,साँस,oddech
93,Atem::N,श्वास,dech
94,Atem::N,श्वास,oddech
95,Hunger::N,भूख,głód
96,Hunger::N,क्षुधा,głód
