,Concept_ID,,hr
0,Auge::N,,oko
1,Ohr::N,,uho
2,Nase::N,,nos
3,Mund::N,,usta
4,Zahn::N,,zub
5,Zunge::N,,jezik
6,Lippe::N,,usna
7,Wange::N,,obraz
8,Gesicht::N,,lice
9,Stirn::N,,čelo
10,Haar::N,,kosa
11,Schnurrbart::N,,brkovi
12,Bart::N,,brada
13,Kinn::N,,brada
14,Kinn::N,,podbradak
15,Kiefer[Anatomie]::N,,čeljust
16,Kehle::N,,grlo
17,Hals::N,,vrat
18,Genick::N,,zatiljak
19,Kopf::N,,glava
20,Rücken::N,,leđa
21,Rücken::N,,hrbat
22,Bauch::N,,trbuh
23,Nabel::N,,pupak
24,Busen::N,,sisa
25,Busen::N,,njedra
26,Brust::N,,prsa
27,Schulter::N,,rame
28,Schulter::N,,pleći
29,Arm::N,,ruka
30,Ellenbogen::N,,lakat
31,Hand::N,,ruka
32,Handfläche::N,,dlan
33,Finger::N,,prst
34,Fingernagel::N,,nokat
35,Nagel[Anatomie]::N,,nokat
36,Zeh::N,,nozni prst
37,Fuß::N,,noga
38,Fuß::N,,stopalo
39,Ferse::N,,peta
40,Knie::N,,koljeno
41,Oberschenkel::N,,bedro
42,Bein::N,,noga
43,Körper::N,,tijelo
44,Haut::N,,put
45,Haut::N,,koža
46,Blut::N,,krv
47,Ader::N,,žila
48,Sehne::N,,tetiva
49,Knochen::N,,kost
50,Herz::N,,srce
51,Magen::N,,stomak
52,Magen::N,,želudac
53,Leber::N,,jetra
54,Atem::N,,dah
55,Hunger::N,,glad
56,Träne::N,,suza
57,Geschmack::N,,ukus
58,Geruch::N,,njuh
59,Geruch::N,,miris
60,Schlaf::N,,san
61,Traum::N,,san
62,Himmel::N,,nebo
63,Sonne::N,,sunce
64,Mond::N,,mjesec
65,Stern::N,,zvijezda
66,Luft::N,,zrak
67,Wind::N,,vjetar
68,Welle::N,,val
69,Welle::N,,talas
70,Wasser::N,,voda
71,Stein::N,,kamen
72,Boden::N,,tlo
73,Boden::N,,zemlja
74,Erde::N,,zemlja
75,Staub::N,,prah
76,Staub::N,,prašina
77,Rauch::N,,dim
78,Funke::N,,iskra
79,Funke::N,,varnica
80,Feuer::N,,vatra
81,Licht::N,,svjetlo
82,Schatten::N,,hlad
83,Schatten::N,,sjena
84,Wetter::N,,vrijeme
85,Nebel::N,,magla
86,Wolke::N,,oblak
87,Regen::N,,kiša
88,Schnee::N,,snijeg
89,Eis::N,,led
90,Frost::N,,mraz
91,Kälte::N,,studen
92,Kälte::N,,hladnoća
93,Hitze::N,,vrućina
94,Raureif::N,,inje
95,Regenbogen::N,,duga
96,Donner::N,,grom
97,Donner::N,,grmljavina
98,Strömung::N,,struja
99,Strömung::N,,strujanje
100,Tropfen::N,,kap
101,Tropfen::N,,kaplja
102,Schaum::N,,pjena
103,Schmutz::N,,nečistoća
104,Schmutz::N,,prljavština
105,See::N,,jezero
106,Sumpf::N,,bara
107,Moor::N,,močvara
108,Wiese::N,,livada
109,Wald::N,,šuma
110,Hügel::N,,brijeg
111,Hügel::N,,brežuljak
112,Anhöhe::N,,uzvišica
113,Berg::N,,brdo
114,Gipfel::N,,vrh
115,Höhle::N,,pećina
116,Höhle::N,,spilja
117,Abhang::N,,obronak
118,Abhang::N,,nizbrdica
119,Quelle::N,,izvor
120,Quelle::N,,vrelo
121,Bach::N,,potok
122,Fluss::N,,rijeka
123,Ufer::N,,obala
124,Küste::N,,obala
125,Küste::N,,morska obala
126,Festland::N,,kopno
127,Meer::N,,more
128,Bucht::N,,zaliv
129,Insel::N,,ada
130,Insel::N,,otok
131,Blume::N,,cvijet
132,Gras::N,,trava
133,Wurzel::N,,korijen
134,Baum::N,,drvo
135,Baum::N,,stablo
136,Stamm::N,,deblo
137,Stamm::N,,stablo
138,Rinde::N,,kora
139,Ast::N,,grana
140,Zweig::N,,grana
141,Blatt::N,,list
142,Birke::N,,breza
143,Kiefer[Baum]::N,,bor
144,Weide[Baum]::N,,iva
145,Weide[Baum]::N,,vŕba
146,Tanne::N,,jela
147,Horn::N,,rog
148,Feder::N,,pero
149,Fell::N,,koža
150,Flügel::N,,krilo
151,Klaue::N,,papak
152,Kralle::N,,pandža
153,Schwanz::N,,rep
154,Ei::N,,jaje
155,Nest::N,,gnijezdo
156,Bau::N,,jazbina
157,Tier::N,,životinja
158,Herde::N,,krdo
159,Herde::N,,stado
160,Kuh::N,,krava
161,Bulle::N,,bik
162,Pferd::N,,konj
163,Schaf::N,,ovca
164,Schwein::N,,svinja
165,Hund::N,,pas
166,Hund::N,,pseto
