,Concept_ID,se,hi
0,Auge::N,tjelmie,आँख
1,Auge::N,tjelmie,चक्षु
2,Auge::N,tjalmme,आँख
3,Auge::N,tjalmme,चक्षु
4,Auge::N,čalbmi,आँख
5,Auge::N,čalbmi,चक्षु
6,Auge::N,čalme,आँख
7,Auge::N,čalme,चक्षु
8,Auge::N,čâ´lmm,आँख
9,Auge::N,čâ´lmm,चक्षु
10,Auge::N,ча̄лльм,आँख
11,Auge::N,ча̄лльм,चक्षु
12,Ohr::N,bieljie,कान
13,Ohr::N,bieljie,कर्ण
14,Ohr::N,biellje,कान
15,Ohr::N,biellje,कर्ण
16,Ohr::N,beallji,कान
17,Ohr::N,beallji,कर्ण
18,Ohr::N,pelji,कान
19,Ohr::N,pelji,कर्ण
20,Ohr::N,pe´llj,कान
21,Ohr::N,pe´llj,कर्ण
22,Ohr::N,пе̄лльй,कान
23,Ohr::N,пе̄лльй,कर्ण
24,Nase::N,njuenie,नाक
25,Nase::N,njuenie,नासा
26,Nase::N,njunnje,नाक
27,Nase::N,njunnje,नासा
28,Nase::N,njunni,नाक
29,Nase::N,njunni,नासा
30,Nase::N,njuṇe,नाक
31,Nase::N,njuṇe,नासा
32,Nase::N,njuu´nn,नाक
33,Nase::N,njuu´nn,नासा
34,Nase::N,нюннҍ,नाक
35,Nase::N,нюннҍ,नासा
36,Mund::N,njaelmie,मुख
37,Mund::N,njaelmie,मुँह
38,Mund::N,njálmme,मुख
39,Mund::N,njálmme,मुँह
40,Mund::N,njálbmi,मुख
41,Mund::N,njálbmi,मुँह
42,Mund::N,njälmi,मुख
43,Mund::N,njälmi,मुँह
44,Mund::N,njä´lmm,मुख
45,Mund::N,njä´lmm,मुँह
46,Mund::N,ня̄лльм,मुख
47,Mund::N,ня̄лльм,मुँह
48,Zahn::N,baenie,दंत
49,Zahn::N,baenie,दाँत
50,Zahn::N,bádne,दंत
51,Zahn::N,bádne,दाँत
52,Zahn::N,bátni,दंत
53,Zahn::N,bátni,दाँत
54,Zahn::N,pääṇi,दंत
55,Zahn::N,pääṇi,दाँत
56,Zahn::N,pää´nn,दंत
57,Zahn::N,pää´nn,दाँत
58,Zahn::N,па̄ннҍ,दंत
59,Zahn::N,па̄ннҍ,दाँत
60,Zunge::N,njoektjeme,जीभ
61,Zunge::N,njoektjeme,ज़बान
62,Zunge::N,njoektjeme,जिह्वा
63,Zunge::N,njuovtjav,जीभ
64,Zunge::N,njuovtjav,ज़बान
65,Zunge::N,njuovtjav,जिह्वा
66,Zunge::N,njuovčča,जीभ
67,Zunge::N,njuovčča,ज़बान
68,Zunge::N,njuovčča,जिह्वा
69,Zunge::N,njuovčâ,जीभ
70,Zunge::N,njuovčâ,ज़बान
71,Zunge::N,njuovčâ,जिह्वा
72,Zunge::N,njuhččâm,जीभ
73,Zunge::N,njuhččâm,ज़बान
74,Zunge::N,njuhččâm,जिह्वा
75,Zunge::N,нюхчем,जीभ
76,Zunge::N,нюхчем,ज़बान
77,Zunge::N,нюхчем,जिह्वा
78,Lippe::N,bangseme,ओंठ
79,Lippe::N,bangseme,होंठ
80,Lippe::N,njálmmerabdda,ओंठ
81,Lippe::N,njálmmerabdda,होंठ
82,Lippe::N,bavssa,ओंठ
83,Lippe::N,bavssa,होंठ
84,Lippe::N,poovsâ,ओंठ
85,Lippe::N,poovsâ,होंठ
86,Lippe::N,põõus,ओंठ
87,Lippe::N,põõus,होंठ
88,Lippe::N,пэ̄кс,ओंठ
89,Lippe::N,пэ̄кс,होंठ
90,Wange::N,skiehrie,गाल
91,Wange::N,skiehrie,कपोल
92,Wange::N,nierra,गाल
93,Wange::N,nierra,कपोल
94,Wange::N,muohtu,गाल
95,Wange::N,muohtu,कपोल
96,Wange::N,nieṛâ,गाल
97,Wange::N,nieṛâ,कपोल
98,Wange::N,njiõrr,गाल
99,Wange::N,njiõrr,कपोल
100,Wange::N,нӣрр,गाल
101,Wange::N,нӣрр,कपोल
102,Gesicht::N,ååredæjja,मुँह
103,Gesicht::N,ååredæjja,चेहरा
104,Gesicht::N,muohto,मुँह
105,Gesicht::N,muohto,चेहरा
106,Gesicht::N,muođut,मुँह
107,Gesicht::N,muođut,चेहरा
108,Gesicht::N,ámadadju,मुँह
109,Gesicht::N,ámadadju,चेहरा
110,Gesicht::N,muáđuh,मुँह
111,Gesicht::N,muáđuh,चेहरा
112,Gesicht::N,muâđ,मुँह
113,Gesicht::N,muâđ,चेहरा
114,Gesicht::N,ка̄ссв,मुँह
115,Gesicht::N,ка̄ссв,चेहरा
116,Stirn::N,gaalloe,माथा
