,Concept_ID,te,mhr
97,Sumpf::N,చిత్తడినేల,лӱ́кӧ
98,Moor::N,చిత్తడినేల,куп
99,Wiese::N,పచ్చిక బయలు,о́лык
100,Wald::N,అడవి,чодыра́
101,Hügel::N,చివ్నకొండ,арка́
102,Anhöhe::N,కొండ,тӧва́
103,Anhöhe::N,కొండ,кӱкшака́
104,Berg::N,పర్వతము,ку́рык
105,Gipfel::N,శిఖరము,чаҥга́
106,Gipfel::N,శిఖరము,курыкву́й
107,Höhle::N,గుహ,пеще́р
108,Höhle::N,గుహ,курыкпо́мыш
109,Abhang::N,ఏటవాలు,та́йыл
110,Quelle::N,మూలము,важ
111,Quelle::N,మూలము,вӱдшинча́
112,Bach::N,కాలువ,изэҥе́р
113,Fluss::N,నది,эҥе́р
114,Ufer::N,తీరము,сер
115,Küste::N,తీరము,вӱдтӱ́р
116,Festland::N,భూమి,мла́нде
117,Meer::N,సముద్రము,те́ҥыз
118,Bucht::N,మరుగు,икса́
119,Insel::N,దీవి,отро́
120,Blume::N,పుష్పము,пеле́дыш
121,Gras::N,పచ్చగడ్డి,шу́до
122,Wurzel::N,వేరు,вож
123,Baum::N,చెట్టు,пуше́ҥге
124,Stamm::N,చెట్టుబోదె,йы́тыр
125,Rinde::N,చెట్టుపట్ట,шӱм
126,Ast::N,కొమ్మ,укш
127,Zweig::N,చివుకు,торма́к
128,Blatt::N,ఆకు,лышта́ш
129,Birke::N,తరహా చెట్టు,куэ́
130,Kiefer[Baum]::N,దేవదారు చెట్టు,пӱ́нчӧ
131,Weide[Baum]::N,జాతిచెట్టు,уа́
132,Tanne::N,దేవదారుచెట్టు,кож
133,Horn::N,కొమ్ము,шур
134,Feder::N,ఈక,пы́стыл
135,Fell::N,తోలు,кова́ште
136,Flügel::N,ఱెక్క,шу́лдыр
137,Klaue::N,వంకరగోరు,кӱч
138,Kralle::N,వంకరగోరు,ла́па
139,Kralle::N,వంకరగోరు,копа́
140,Schwanz::N,తోక,поч
141,Ei::N,గ్రుడ్డు,му́но
142,Nest::N,పక్షిగూడు,пыжа́ш
143,Bau::N,గుహ,пыжа́ш
144,Tier::N,జంతువు,я́нлык
145,Tier::N,జంతువు,живо́тный
146,Herde::N,మంద,кӱ́тӱ
147,Herde::N,మంద,тӱшка́
148,Kuh::N,ఆవు,ушка́л
149,Bulle::N,గిత్త,ӱ́шкыж
150,Pferd::N,గుఱ్ఱము,и́мне
151,Schaf::N,గొఱ్ఱె,шо́рык
152,Schwein::N,పంది,сӧсна́
153,Hund::N,కుక్క,пий
154,Katze::N,పిల్లి,пы́рыс
155,Bär::N,ఎలుగుబంటి,маска́
156,Eichhörnchen::N,ఉడుత,ур
157,Elch::N,కణంజు,шо́рдо
158,Fuchs::N,గుంటనక్క,ры́выж
159,Hase::N,కుందేలు,мера́ҥ
160,Maus::N,చిట్టెలుక,коля́
161,Wolf::N,తోడేలు,пи́ре
