,Concept_ID,br,te
0,Auge::N,lagad,కన్ను
1,Ohr::N,skouarn,చెవి
2,Nase::N,fri,ముక్కు
3,Mund::N,genoù,నోరు
4,Zahn::N,dant,పల్లు
5,Zunge::N,teod,నాలుక
6,Lippe::N,muzell,పెదవి
7,Wange::N,chot,చెంప
8,Gesicht::N,dremm,ముఖము
9,Stirn::N,tal,నుదురు
10,Haar::N,blev,వెండ్రుక
11,Schnurrbart::N,mourenn,మీసము
12,Bart::N,barv,గడ్డము
13,Kinn::N,groñj,గడ్డము
14,Kiefer[Anatomie]::N,javed,దౌడ
15,Kehle::N,gouzoug,గొంతు
16,Hals::N,gouzoug,మెడ
17,Genick::N,choug,మూపు
18,Kopf::N,penn,తల
19,Rücken::N,kein,వెన్ను
20,Bauch::N,kof,కడుపు
21,Nabel::N,begel,బొడ్డు
22,Busen::N,bronn,స్తనము
23,Brust::N,bruched,ఱొమ్ము
24,Schulter::N,skoaz,భుజము
25,Arm::N,brec'h,చేయి
26,Ellenbogen::N,ilin,మోచేయి
27,Hand::N,dorn,చేయి
28,Handfläche::N,palv,అరచేయు
29,Finger::N,biz,చేతిప్రేలు
30,Fingernagel::N,ivin,గోరు
31,Nagel[Anatomie]::N,ivin,గోరు
32,Zeh::N,biz-troad,కాలిప్రేలు
33,Fuß::N,troad,అడుగు
34,Ferse::N,seul,మడమ
35,Knie::N,glin,మోకాలు
36,Oberschenkel::N,morzhed,తొడ
37,Bein::N,gar,కాలు
38,Körper::N,korf,కాయము
39,Haut::N,kroc'hen,చర్మము
40,Blut::N,gwad,రక్తము
41,Ader::N,gwazhi,సిర
42,Sehne::N,stir,స్నాయువు
43,Knochen::N,askorn,ఎముక
44,Gehirn::N,empenn,మెదడు
45,Herz::N,kalon,హృదయము
46,Magen::N,stomog,కడుపు
47,Leber::N,avu,కాలేయము
48,Atem::N,anal,ఉపిరి
49,Hunger::N,naon,ఆకలి
50,Träne::N,daer,కన్నీటిచుక్క
51,Geschmack::N,blaz,రుచి
52,Geruch::N,c'hwezh,వాసన
53,Schlaf::N,kousked,నిద్ర
54,Traum::N,hune,కల
55,Himmel::N,oabl,ఆకాశము
56,Sonne::N,heol,సూర్యుడు
57,Mond::N,loar,చంద్రుడు
58,Stern::N,steredenn,నక్షత్రము
59,Luft::N,aer,గాలి
60,Wind::N,avel,వీచుచున్నగాలి
61,Welle::N,houlenn,అల
62,Wasser::N,dour,నీరు
63,Stein::N,maen,ఱాయి
64,Boden::N,tachenn,నేల
65,Erde::N,douar,మన్ను
66,Staub::N,poultr,దుమ్ము
67,Rauch::N,moged,పొగ
68,Funke::N,ful,అగ్నికణము
69,Feuer::N,tan,అగ్ని
70,Licht::N,gouloù,కాంతి
71,Schatten::N,disheol,నీడ
72,Wetter::N,amzer,వాతావరణ స్థితి
73,Nebel::N,brumenn,పొగమంచు
74,Wolke::N,koumoulenn,మేఘము
75,Regen::N,glav,వాన
76,Schnee::N,erc'h,హిమము
77,Eis::N,skorn,మంచుగడ్డ
78,Frost::N,rev,పేరిన మంచు
79,Kälte::N,yen,చలి
80,Hitze::N,tommder,వేడిమి
81,Raureif::N,frim,మంచు
82,Regenbogen::N,gwareg-ar-glav,ఇంద్రధనుస్సు
83,Donner::N,kurun,ఉరుము
84,Strömung::N,red,ప్రవాహము
85,Tropfen::N,bannac'h,చుక్క
86,Tropfen::N,takenn,చుక్క
87,Schaum::N,spoum,నురుగు
88,Schmutz::N,fank,మైల
89,See::N,lenn,సరస్సు
90,Sumpf::N,gwern,చిత్తడినేల
91,Moor::N,taouarc'heg,చిత్తడినేల
92,Wiese::N,prad,పచ్చిక బయలు
93,Wald::N,koad,అడవి
94,Hügel::N,torgenn,చివ్నకొండ
95,Anhöhe::N,run,కొండ
96,Berg::N,menez,పర్వతము
97,Gipfel::N,barr,శిఖరము
98,Höhle::N,kav,గుహ
99,Abhang::N,naou,ఏటవాలు
100,Quelle::N,feunteun,మూలము
101,Bach::N,gwazh,కాలువ
102,Fluss::N,stêr,నది
103,Ufer::N,ribl,తీరము
104,Küste::N,aod,తీరము
105,Festland::N,douar,భూమి
106,Meer::N,mor,సముద్రము
107,Bucht::N,mor-bihan,మరుగు
108,Insel::N,enez,దీవి
109,Blume::N,bleunienn,పుష్పము
110,Gras::N,geot,పచ్చగడ్డి
111,Wurzel::N,gwrizienn,వేరు
112,Baum::N,gwezenn,చెట్టు
113,Stamm::N,kef,చెట్టుబోదె
114,Rinde::N,rusk,చెట్టుపట్ట
115,Ast::N,barr,కొమ్మ
116,Zweig::N,bod,చివుకు
117,Blatt::N,delienn,ఆకు
118,Birke::N,bezvenn,తరహా చెట్టు
