,Concept_ID,vep,et
0,Auge::N,sil'm,silm
1,Ohr::N,korv,kõrv
2,Nase::N,nena,nina
3,Mund::N,su,suu
4,Zahn::N,pi,hammas
5,Zahn::N,hambaz,hammas
6,Zunge::N,kel',keel
7,Lippe::N,hul',huul
8,Wange::N,modpolišk,põsk
9,Gesicht::N,mod,nägu
10,Stirn::N,oc,otsmik
11,Haar::N,tuk,juus
12,Haar::N,hibuz,juus
13,Schnurrbart::N,habinod,vurrud
14,Schnurrbart::N,habinod,vuntsid
15,Bart::N,bard,habe
16,Kinn::N,löug,lõug
17,Kiefer[Anatomie]::N,hambazlu,lõualuu
18,Kehle::N,kurk,kõri
19,Hals::N,kagl,kael
20,Genick::N,tagarai,kukal
21,Kopf::N,pä,pea
22,Rücken::N,sel'g,selg
23,Bauch::N,vac,kõht
24,Bauch::N,koht,kõht
25,Nabel::N,naba,naba
26,Busen::N,niža,rind
27,Brust::N,rind,rind
28,Schulter::N,oug,õlg
29,Arm::N,käzi,käsivars
30,Ellenbogen::N,künambruz,küünarnukk
31,Hand::N,käzi,käsi
32,Hand::N,käzitera,käsi
33,Handfläche::N,kämen,pihk
34,Finger::N,sor'm,sõrm
35,Fingernagel::N,künz',küüs
36,Nagel[Anatomie]::N,künz',küüs
37,Zeh::N,barbaz,varvas
38,Fuß::N,jaug,jalg
39,Ferse::N,kand,kand
40,Knie::N,komb,põlv
41,Knie::N,pol'v,põlv
42,Oberschenkel::N,riiže,reis
43,Bein::N,jaug,jalg
44,Körper::N,hibj,ihu
45,Körper::N,hibj,keha
46,Haut::N,nahk,nahk
47,Blut::N,čak,veri
48,Blut::N,veri,veri
49,Ader::N,son',veen
50,Sehne::N,jände,kõõlus
51,Knochen::N,lu,luu
52,Gehirn::N,aivod,aju
53,Herz::N,südäin,süda
54,Magen::N,südäikoht,magu
55,Leber::N,maks,maks
56,Atem::N,hengaiduz,hingeõhk
57,Atem::N,hengaiduz,hingamine
58,Hunger::N,näl'g,nälg
59,Träne::N,kündal',pisar
60,Geschmack::N,magu,maitse
61,Geruch::N,haju,lõhn
62,Schlaf::N,uni,uni
63,Traum::N,unikuva,unenägu
64,Himmel::N,taivaz,taevas
65,Sonne::N,päiväine,päike
66,Mond::N,kudmaine,kuu
67,Stern::N,tähtaz,täht
68,Luft::N,il'm,õhk
69,Wind::N,döl,tuul
70,Wind::N,tullei,tuul
71,Welle::N,ald,laine
72,Welle::N,laineh,laine
73,Wasser::N,vezi,vesi
74,Stein::N,kivi,kivi
75,Boden::N,ma,maa
76,Boden::N,ma,pinnas
77,Boden::N,pohj,maa
78,Boden::N,pohj,pinnas
79,Erde::N,ma,maa
80,Staub::N,pölü,põrm
81,Rauch::N,savu,suits
82,Funke::N,kibin,säde
83,Feuer::N,lämoi,tuli
84,Licht::N,vauktuz,valgus
85,Schatten::N,pil'vez,vari
86,Schatten::N,kuvahaine,vari
87,Wetter::N,sä,ilm
88,Nebel::N,sumeg,udu
89,Wolke::N,pil'v,pilv
90,Regen::N,vihm,sadu
91,Schnee::N,lumi,lumi
92,Eis::N,jä,jää
93,Frost::N,hala,pakane
94,Frost::N,pakaine,pakane
95,Kälte::N,vilu,külm
96,Kälte::N,vilu,külmus
97,Hitze::N,räk,kuumus
98,Hitze::N,räk,palavus
99,Raureif::N,hüde,härmatis
100,Regenbogen::N,jumalanbembel',vikerkaar
101,Donner::N,juru,kõu
102,Donner::N,juru,müristamine
103,Donner::N,jumalanjuru,kõu
104,Donner::N,jumalanjuru,müristamine
105,Strömung::N,joksmuz,voolus
106,Strömung::N,joksmuz,jõevool
107,Tropfen::N,tilkuine,tilk
108,Schaum::N,vaht,vaht
109,Schmutz::N,redu,pori
110,Schmutz::N,redu,mustus
111,Schmutz::N,pačak,pori
112,Schmutz::N,pačak,mustus
113,See::N,järv,järv
114,Sumpf::N,so,soo
115,Moor::N,so,raba
116,Wiese::N,nit,aas
117,Wiese::N,nit,nurm
118,Wald::N,mec,mets
119,Hügel::N,kukaz,küngas
120,Anhöhe::N,kukaz,küngas
121,Berg::N,mägi,mägi
122,Gipfel::N,ladv,mäetipp
123,Höhle::N,mägionduz,koobas
124,Abhang::N,paute,nõlvak
125,Quelle::N,lähte,allikas
126,Bach::N,oja,oja
127,Fluss::N,jogi,jõgi
128,Ufer::N,rand,kallas
129,Küste::N,randišt,rannik
130,Festland::N,kuivma,mander
131,Festland::N,kuivma,maismaa
132,Meer::N,meri,meri
133,Bucht::N,laht,laht
134,Insel::N,sar',saar
135,Blume::N,änik,lill
136,Gras::N,hein,rohi
137,Wurzel::N,jur',juur
138,Baum::N,pu,puu
139,Stamm::N,tüvi,tüvi
140,Rinde::N,kor',koor
141,Ast::N,oks,oks
142,Zweig::N,oks,oks
143,Zweig::N,barb,oks
144,Blatt::N,lehtez,leht
145,Birke::N,koiv,kask
146,Kiefer[Baum]::N,pedai,mänd
147,Weide[Baum]::N,raid,paju
148,Tanne::N,kuz',nulg
149,Horn::N,sar'v,sarv
150,Feder::N,höuneh,sulg
151,Fell::N,nahk,karvkate
152,Fell::N,nahk,karusnahk
153,Flügel::N,suug,tiib
154,Flügel::N,suug,tiivik
155,Klaue::N,künz',küüs
156,Kralle::N,künz',küünis
157,Schwanz::N,händ,saba
158,Ei::N,muna,muna
159,Nest::N,peza,pesa
160,Bau::N,uru,urg
161,Tier::N,živat,loom
162,Herde::N,kogo,kari
163,Kuh::N,lehm,lehm
164,Bulle::N,härg,pull
165,Pferd::N,hebo,hobune
166,Schaf::N,lambaz,lammas
167,Schwein::N,siga,siga
168,Hund::N,koir,koer
169,Katze::N,kaži,kass
170,Bär::N,kondi,karu
171,Eichhörnchen::N,orav,orav
172,Elch::N,hirb',põder
173,Fuchs::N,reboi,rebane
174,Hase::N,jäniš,jänes
175,Maus::N,hir',hiir
176,Wolf::N,händikaz,hunt
177,Vogel::N,lind,lind
178,Schwarm::N,parveh,parv
179,Huhn::N,kana,kana
180,Hahn::N,kukoi,kukk
181,Gans::N,hanh',hani
182,Adler::N,orl,kotkas
183,Ente::N,sorz,part
184,Eule::N,hir'pulo,kakk
185,Eule::N,hir'pulo,öökull
186,Kranich::N,kurg,kurg
187,Krähe::N,variš,vares
188,Kuckuck::N,kägi,kägu
189,Schwan::N,joucen,luik
190,Fisch::N,kala,kala
191,Barsch::N,ahven,ahven
192,Hecht::N,haug',haug
193,Schlange[Tier]::N,kü,uss
194,Schlange[Tier]::N,mado,uss
195,Wurm::N,mado,uss
196,Wurm::N,mado,vagel
197,Spinne::N,hämähouk,ämblik
198,Ameise::N,murahaine,sipelgas
199,Laus::N,täi,täi
200,Mücke::N,säs'k,sääsk
201,Fliege::N,kärbhaine,kärbes
202,Schmetterling::N,lipkaine,liblikas
203,Beere::N,marj,mari
204,Apfel::N,jablok,õun
205,Pilz::N,sen',seen
206,Pilz::N,babuk,seen
207,Zwiebel::N,lauk,sibul
208,Saat::N,semned,seeme
209,Korn::N,jüvä,iva
210,Korn::N,jüvä,tera
211,Korn::N,vill',iva
212,Korn::N,vill',tera
213,Heu::N,hein,hein
214,Schale::N,kor',koor
215,Grube::N,kop,kaevand
216,Falle::N,rida,lõks
217,Falle::N,rida,püünis
218,Schlinge::N,rihm,aas
219,Spur::N,jäl'g,jälg
220,Asche::N,tuhk,tuhk
221,Dreck::N,redu,saast
222,Dreck::N,redu,mustus
223,Dreck::N,pačak,saast
224,Dreck::N,pačak,mustus
225,Eisen::N,raud,raud
226,Gold::N,kuld,kuld
227,Silber::N,hobed,hõbe
228,Kohle::N,hil',süsi
229,Glas::N,stökol,klaas
230,Lehm::N,savi,savi
231,Sand::N,lete,liiv
232,Mensch::N,mez',inimene
233,Mensch::N,ristit,inimene
234,Mann::N,mez',mees
235,Frau::N,naine,naine
236,Kind::N,laps',laps
237,Junge::N,poig,poiss
238,Junge::N,prihaine,poiss
239,Mädchen::N,neičukaine,tüdruk
240,Familie::N,kanz,perekond
241,Familie::N,pereh,perekond
242,Großvater::N,ded,vanaisa
243,Großmutter::N,bab,vanaema
244,Eltern::N,vanhembad,vanemad
245,Eltern::N,kazvatajad,vanemad
246,Vater::N,tat,isa
247,Mutter::N,mam,ema
248,Sohn::N,poig,poeg
249,Tochter::N,tütär,tütar
250,Bruder::N,veik,vend
251,Bruder::N,vell',vend
252,Schwester::N,čiža,õde
253,Schwester::N,sizar,õde
254,Onkel::N,däd',onu
255,Tante::N,tädi,tädi
256,Ehemann::N,mužik,mees
257,Ehemann::N,mužik,abikaasa
258,Ehefrau::N,ak,naine
259,Ehefrau::N,ak,abikaasa
260,Freude::N,ilo,rõõm
261,Freude::N,ihastuz,rõõm
262,Gelächter::N,nagr,naer
263,Glück::N,oza,õnn
264,Kummer::N,gor'a,mure
265,Kummer::N,gor'a,kurbus
266,Wunsch::N,taht,soov
267,Lust::N,himo,himu
268,Geist::N,heng,vaim
