,Concept_ID,xal,ta
0,Auge::N,нүдн,கண்
1,Ohr::N,чикн,காது
2,Nase::N,хамр,மூக்கு
3,Mund::N,амн,வாய்
4,Zahn::N,шүдн,பல்
5,Zunge::N,келн,நாக்கு
6,Lippe::N,урл,உதடு
7,Wange::N,халх,கன்னம்
8,Gesicht::N,нүр,முகம்
9,Stirn::N,маңна,முன்னெற்றி
10,Haar::N,үсн,முடி
11,Schnurrbart::N,сахл,மீசை
12,Bart::N,сахл,தாடி
13,Bart::N,өргнә сахл,தாடி
14,Kinn::N,өргн,கீழதாடை
15,Kiefer[Anatomie]::N,өргн,தாடை
16,Kehle::N,хол,தொண்டை
17,Hals::N,күзүн,கழுத்து
18,Genick::N,гиҗг,கழுத்து
19,Kopf::N,толһа,தலை
20,Rücken::N,нурһн,முதுகு
21,Bauch::N,гесн,வயிறு
22,Nabel::N,киисн,தொப்புள்
23,Busen::N,көкн,மார்பகம்
24,Brust::N,чееҗ, மார்பு
25,Schulter::N,ээм,தோள்பட்டை
26,Arm::N,һар,கரம்
27,Ellenbogen::N,тоха,முழங்கை
28,Hand::N,баһлцг,கை
29,Handfläche::N,альхн,உள்ளங்கை
30,Finger::N,хурһн,விரல்
31,Finger::N,һарин хурһн,விரல்
32,Fingernagel::N,хумсн,விரல் நகம்
33,Nagel[Anatomie]::N,хумсн,நகம்
34,Zeh::N,хурһн,கால்விரல்
35,Zeh::N,көлин хурһн,கால்விரல்
36,Fuß::N,тавг,கால்
37,Ferse::N,өскә,குதிகால்
38,Knie::N,өвдг,முழங்கால்
39,Oberschenkel::N,һуй,தொடை
40,Bein::N,көл,கால்
41,Körper::N,махмуд,உடல்
42,Haut::N,арсн,சருமம்
43,Blut::N,цусн,இரத்தம்
44,Ader::N,судцн,நாளம்
45,Sehne::N,шүрүсн,தசைநார்
46,Knochen::N,ясн,எலுமபு
47,Gehirn::N,экн,மூனை
48,Herz::N,зүркн,இதயம
49,Magen::N,гесн,வயிறு
50,Leber::N,элкн,கல்லீரல்
51,Atem::N,әмсхл,மூச்சு
52,Hunger::N,харһнлһн,பசி
53,Träne::N,нульмсн,கண்ணீர்
54,Geschmack::N,амтн,நறுமணம்
55,Geruch::N,үнр,துர்நாற்றம்
56,Schlaf::N,нөр,தூக்கம்
57,Traum::N,зүүдн,கனவு
58,Himmel::N,теңгр,வானம்
59,Sonne::N,нарн,சூரியன்
60,Mond::N,сар,சந்திரன்
61,Stern::N,одн,நட்சத்திரம்
62,Luft::N,аһар,காறறு
63,Wind::N,салькн,காற்று
64,Welle::N,дольган,அலை
65,Wasser::N,усн,நீர்
66,Stein::N,чолун,கல்
67,Boden::N,Һазр,தரை
68,Erde::N,Һазр,மண்
69,Staub::N,тоосн,தூசி
70,Rauch::N,утан,புகை
71,Funke::N,очн,தீப்பொறி
72,Feuer::N,һал,தீ
73,Licht::N,герл,வெளிச்சம்
74,Schatten::N,сүүдр,நிழல்
75,Wetter::N,теңгр,வானிலை
76,Nebel::N,будн,பனிமூட்டம்
77,Wolke::N,үүлн,மேகம்
78,Regen::N,хур,மழை
79,Schnee::N,цасн,உறைபனி
80,Eis::N,мөсн,பனிக்கட்டி
81,Frost::N,киитн,உறைபனி
82,Kälte::N,киитн,குளிர்ந்த
83,Hitze::N,халун,சூடு
84,Raureif::N,цаң,உறைபனி வெண்திரை
85,Raureif::N,кирү,உறைபனி வெண்திரை
86,Regenbogen::N,солңһ,வானவில்
87,Donner::N,оһтрһун дун,இடி
88,Strömung::N,урсхл,நீரோட்டம்
89,Tropfen::N,дусал,துளி
90,Schaum::N,көөсн,நுரை
91,Schmutz::N,кир,அழுக்கு
92,See::N,нур,ஏரி
93,Sumpf::N,унул,சதுப்பு நிலம்
94,Moor::N,улм,முட்புதற்காடு
95,Wiese::N,хадлһн,பசும் புல்தரை
96,Wald::N,ө-модн,காடு
97,Hügel::N,толһа,குன்று
98,Anhöhe::N,хамр,பதுக்கை
99,Berg::N,уул,மலை
100,Gipfel::N,ора,உச்சி மாநாடு
101,Höhle::N,хадин көндә,குகை
102,Abhang::N,ташу,சரிவு
103,Quelle::N,булг,மூலம்
104,Bach::N,һооҗур,ஓடை
105,Fluss::N,һол,ஆறு
106,Ufer::N,көвә,நீர்க்கரை
107,Küste::N,көвә,கடற்கரை
108,Küste::N,теңгсин көвә,கடற்கரை
109,Festland::N,хүүрә һазр,நிலம்
110,Meer::N,теңгс,கடல்
111,Bucht::N,цекә,சிறுகுடா
112,Bucht::N,теңгсин цекә,சிறுகுடா
113,Insel::N,арл,தீவு
114,Blume::N,цецг,பூ
115,Gras::N,ноһан,புல்தரை
116,Wurzel::N,уңг,வேர்
117,Baum::N,модн,மரம்
118,Stamm::N,шилв,அடிமரம்
119,Stamm::N,һол модн,அடிமரம்
120,Rinde::N,көрсн,பட்டை
121,Rinde::N,көрсн,மரப்பட்டை
122,Ast::N,ац,கினை
123,Zweig::N,ац,குச்சி
124,Blatt::N,хамтхасн,இலை
125,Birke::N,хусм модн,பிர்ச் மரம்
126,Kiefer[Baum]::N,шар харһа,தேவதாரு மரம்
127,Weide[Baum]::N,удн,மர வகைகளுள் ஒன்று
128,Tanne::N,җөөлн цаһан модн,சாதிக்கய்
129,Horn::N,өвр,கொம்பு
130,Feder::N,өрвлг,இறகு
131,Fell::N,арсн,மென்முடி
132,Flügel::N,җивр,இறக்கை
