,Concept_ID,fa,pl
0,Auge::N,چشم,oko
1,Ohr::N,گوش,ucho
2,Nase::N,بینی,nos
3,Mund::N,دهان,usta
4,Zahn::N,دندان,ząb
5,Zunge::N,زبان,język
6,Lippe::N,لب,warga
7,Wange::N,لپ,policzek
8,Gesicht::N,رو,twarz
9,Gesicht::N,چهره,twarz
10,Stirn::N,پیشانی,czoło
11,Haar::N,مو,włos
12,Haar::N,مو,włosy
13,Schnurrbart::N,سبیل,wąsy
14,Bart::N,ریش,broda
15,Kinn::N,چانه,podbródek
16,Kiefer[Anatomie]::N,فک,czeluść
17,Kiefer[Anatomie]::N,آرواره,czeluść
18,Kehle::N,حلق,gardło
19,Hals::N,گردن,szyja
20,Genick::N,پشت گردن,kark
21,Kopf::N,سر,głowa
22,Kopf::N,کله,głowa
23,Rücken::N,پشت,plecy
24,Rücken::N,پشت,grzbiet
25,Bauch::N,شکم,brzuch
26,Nabel::N,ناف,pępek
27,Busen::N,پستان,biust
28,Brust::N,سینه,pierś
29,Schulter::N,دوش,bark
30,Schulter::N,دوش,ramię
31,Schulter::N,شانه,bark
32,Schulter::N,شانه,ramię
33,Arm::N,بازو,ręka
34,Arm::N,بازو,ramię
35,Ellenbogen::N,آرنج,łokieć
36,Hand::N,دست,dłoń
37,Handfläche::N,کف دست,dłoń
38,Finger::N,انگشت,palec
39,Fingernagel::N,ناخن دست,paznokieć
40,Nagel[Anatomie]::N,ناخن,paznokieć
41,Zeh::N,انگشت پا,palec
42,Fuß::N,پا,stopa
43,Ferse::N,پاشنه,pięta
44,Knie::N,زانو,kolano
45,Oberschenkel::N,ران,udo
46,Bein::N,پا,noga
47,Bein::N,لنگ,noga
48,Körper::N,تن,ciało
49,Körper::N,بدن,ciało
50,Haut::N,پوست,skóra
51,Blut::N,خون,krew
52,Ader::N,رگ,żyła
53,Sehne::N,زردپی,ścięgno
54,Knochen::N,استخوان,kość
55,Gehirn::N,مخ,mózg
56,Gehirn::N,مغز,mózg
57,Herz::N,دل,serce
58,Herz::N,قلب,serce
59,Magen::N,معده,żołądek
60,Leber::N,کبد,wątroba
61,Atem::N,نفس,dech
62,Atem::N,نفس,oddech
63,Hunger::N,گرسنگی,głód
64,Träne::N,اشک,łza
65,Geschmack::N,مزه,smak
66,Geruch::N,بو,woń
67,Geruch::N,بو,zapach
68,Schlaf::N,خواب,sen
69,Traum::N,رؤیا,sen
70,Himmel::N,فلک,niebo
71,Himmel::N,آسمان,niebo
72,Sonne::N,آفتاب,słońce
73,Sonne::N,خورشید,słońce
74,Mond::N,ماه,księżyc
75,Stern::N,ستاره,gwiazda
76,Luft::N,هوا,powietrze
77,Wind::N,باد,wiatr
78,Welle::N,موج,fala
79,Wasser::N,آب,woda
80,Stein::N,سنگ,kamień
81,Boden::N,زمین,grunt
82,Erde::N,خاک,ziemia
83,Erde::N,زمین,ziemia
84,Staub::N,گرد,pył
85,Staub::N,گرد,kurz
86,Staub::N,غبار,pył
87,Staub::N,غبار,kurz
88,Rauch::N,دود,dym
89,Funke::N,جرقه,iskra
90,Feuer::N,آتش,ogień
91,Licht::N,نور,światło
92,Licht::N,روشنی,światło
93,Schatten::N,سایه,cień
94,Wetter::N,هوا,pogoda
95,Nebel::N,مه,mgła
96,Wolke::N,ابر,obłok
97,Wolke::N,ابر,chmura
98,Regen::N,باران,deszcz
99,Schnee::N,برف,śnieg
100,Eis::N,یخ,lód
101,Frost::N,یخبندان,mróz
102,Kälte::N,سرما,chłód
103,Hitze::N,گرما,gorąco
104,Hitze::N,حرارت,gorąco
105,Raureif::N,برف ریزه,szron
106,Regenbogen::N,رنگین‌کمان,tęcza
107,Donner::N,رعد,grzmot
108,Strömung::N,جریان,nurt
109,Tropfen::N,قطره,kropla
110,Schaum::N,کف,piana
111,Schmutz::N,گل,brud
112,Schmutz::N,کثافت,brud
113,See::N,دریاچه,jezioro
114,Sumpf::N,مرداب,bagno
115,Sumpf::N,باتلاق,bagno
116,Moor::N,باتلاق,bagno
117,Wiese::N,چمن,łąka
118,Wald::N,جنگل,las
119,Hügel::N,تل,pagórek
120,Hügel::N,تپه,pagórek
121,Anhöhe::N,بلندی,wzgórze
122,Berg::N,کوه,góra
123,Gipfel::N,قله,szczyt
124,Gipfel::N,قله,wierzchołek
125,Höhle::N,غار,pieczara
126,Abhang::N,سرازیری,stok
127,Abhang::N,سرازیری,zbocze
128,Quelle::N,چشمه,zdrój
129,Quelle::N,چشمه,źródło
130,Bach::N,نهر,potok
131,Bach::N,نهر,strumień
132,Fluss::N,رود,rzeka
133,Ufer::N,ساحل,brzeg
134,Ufer::N,کرانه,brzeg
135,Küste::N,ساحل,wybrzeże
136,Festland::N,خشکی,ląd
137,Meer::N,دریا,morze
138,Bucht::N,خلیج,zatoka
139,Insel::N,جزیره,wyspa
140,Blume::N,گل,kwiat
141,Gras::N,علف,trawa
142,Wurzel::N,ریشه,korzeń
143,Baum::N,درخت,drzewo
144,Stamm::N,تنه,pień
145,Rinde::N,توژ,kora
146,Rinde::N,پوست,kora
147,Ast::N,شاخه,gałąź
148,Zweig::N,شاخه,gałąź
149,Blatt::N,برگ,liść
150,Birke::N,غان,brzoza
151,Kiefer[Baum]::N,کاج,sosna
152,Weide[Baum]::N,بید,wierzba
153,Tanne::N,صنوبر,jodła
154,Horn::N,شاخ,róg
155,Feder::N,پر,pióro
156,Fell::N,خز,futro
157,Flügel::N,پر,skrzydło
158,Flügel::N,بال,skrzydło
159,Klaue::N,چنگ,szpon
160,Klaue::N,پنجه,szpon
161,Kralle::N,پنجه,pazur
162,Schwanz::N,دم,ogon
163,Ei::N,تخم,jajko
164,Nest::N,لانه,gniazdo
165,Bau::N,بنا,nora
166,Bau::N,ساختمان,nora
167,Tier::N,هیوان,zwierzę
168,Herde::N,رمه,stado
169,Herde::N,رمه,trzoda
170,Kuh::N,گاو,krowa
171,Bulle::N,گاو نر,byk
172,Pferd::N,اسب,koń
173,Schaf::N,گوسفند,owca
174,Schwein::N,خوک,świnia
175,Hund::N,سگ,pies
176,Katze::N,گربه,kot
177,Katze::N,گربه,kotka
178,Bär::N,خرس,niedźwiedż
179,Eichhörnchen::N,سنجاب,wiewiórka
180,Elch::N,گوزن شمالی,łóś
181,Fuchs::N,روباه,lis
182,Hase::N,خرگوش,zając
183,Maus::N,موش,mysz
184,Wolf::N,گرگ,wilk
185,Vogel::N,پرنده,ptak
186,Schwarm::N,دسته,stado
187,Huhn::N,مرغ,kura
188,Hahn::N,خروس,kogut
189,Gans::N,غاز,gęś
190,Adler::N,عقاب,orzeł
191,Ente::N,اردک,kaczka
192,Ente::N,مرغابی,kaczka
193,Eule::N,جغد,sowa
194,Kranich::N,درنا,żuraw
195,Krähe::N,زاغ,wrona
196,Krähe::N,کلاغ,wrona
197,Kuckuck::N,فاخته,kukułka
198,Schwan::N,قو,łabędż
199,Fisch::N,ماهی,ryba
200,Barsch::N,ماهی خاردار,okoń
201,Hecht::N,اردک ماهی,szczupak
202,Schlange[Tier]::N,مار,wąż
203,Schlange[Tier]::N,مار,żmija
204,Wurm::N,کرم,robak
205,Spinne::N,عنکبوت,pająk
206,Ameise::N,مورچه,mrówka
207,Laus::N,شپش,wesz
208,Mücke::N,پشه,komar
209,Fliege::N,مگس,mucha
210,Schmetterling::N,پروانه,motyl
211,Beere::N,گیله,jagoda
212,Apfel::N,سیب,jabłko
213,Pilz::N,قارچ,grzyb
214,Zwiebel::N,پیاز,cebula
215,Saat::N,بذر,siew
216,Korn::N,تخم,ziarno
217,Korn::N,دانه,ziarno
218,Heu::N,علف خشک,siano
219,Schale::N,پوست,łupina
220,Grube::N,گودال,dół
221,Grube::N,گودال,jama
222,Falle::N,دام,pułapka
223,Schlinge::N,حلقه,sidła
224,Spur::N,رد,ślad
225,Asche::N,خاکستر,popiół
226,Dreck::N,کثافت,brud
227,Eisen::N,آهن,żelazo
228,Gold::N,زر,złoto
229,Gold::N,طلا,złoto
230,Silber::N,نقره,srebro
231,Kohle::N,زغال,węgiel
232,Glas::N,شیشه,szkło
233,Lehm::N,گل,glina
234,Sand::N,شن,piasek
235,Sand::N,ماسه,piasek
236,Mensch::N,آدم,człowiek
237,Mensch::N,انسان,człowiek
238,Mann::N,مرد,mężczyzna
239,Frau::N,زن,kobieta
240,Kind::N,بچه,dziecko
241,Kind::N,کودک,dziecko
242,Junge::N,پسر,chłopak
243,Junge::N,پسر,chłopiec
244,Mädchen::N,دختر,dziewczynka
245,Familie::N,فامیل,rodzina
246,Familie::N,خانواده,rodzina
247,Großvater::N,پدربزرگ,dziadek
248,Großmutter::N,مادر‌بزرگ,babka
249,Eltern::N,والدین,rodzice
250,Eltern::N,پدر‌و‌مادر,rodzice
251,Vater::N,پدر,ojciec
252,Mutter::N,مادر,matka
253,Sohn::N,پسر,syn
254,Tochter::N,دختر,córka
255,Bruder::N,برادر,brat
256,Schwester::N,خواهر,siostra
257,Onkel::N,عمو,wuj
258,Onkel::N,عمو,stryj
259,Onkel::N,دایی,wuj
260,Onkel::N,دایی,stryj
261,Tante::N,عمه,ciotka
262,Tante::N,خاله,ciotka
263,Ehemann::N,همسر,mąż
264,Ehefrau::N,همسر,żona
265,Freude::N,شادی,radość
266,Gelächter::N,خنده,śmiech
267,Gelächter::N,قاه‌قاه,śmiech
268,Glück::N,اقبال,szczęście
269,Kummer::N,غم,zmartwienie
270,Kummer::N,غصه,zmartwienie
271,Wunsch::N,آرزو,życzenie
272,Lust::N,هوس,chęć
273,Lust::N,هوس,ochota
274,Geist::N,روح,duch
275,Gedanke::N,فکر,myśl
276,Gedächtnis::N,حافظه,pamięć
277,Verstand::N,هوش,rozum
278,Sinn::N,معنا,zmysł
279,Sinn::N,مفهوم,zmysł
280,Grund::N,سبب,powód
281,Grund::N,دلیل,powód
282,Wahrheit::N,حقیقت,prawda
283,Gespräch::N,صحبت,rozmowa
284,Gespräch::N,گفتگو,rozmowa
285,Märchen::N,قصه,bajka
286,Märchen::N,افسانه,bajka
287,Erzählung::N,داستان,opowiadanie
288,Nachricht::N,خبر,wiadomość
289,Neuigkeit::N,خبر تازه,nowina
290,Name::N,اسم,imię
291,Rätsel::N,معما,zagadka
292,Rede::N,سخن,mowa
293,Sprache::N,زبان,język
294,Stimme::N,صدا,głos
295,Wort::N,کلمه,słowo
296,Zeichen::N,نشان,znak
297,Zeichen::N,علامت,znak
298,Ruf::N,صدا,wołanie
299,Lärm::N,هیاهو,hałas
300,Lärm::N,هیاهو,zgiełk
301,Laut::N,صدا,dźwięk
302,Ton::N,آهنگ,ton
303,Ton::N,آهنگ,dźwięk
304,Lied::N,آواز,pieśń
305,Lied::N,آواز,piosenka
306,Lied::N,ترانه,pieśń
307,Lied::N,ترانه,piosenka
308,Ruhe::N,آرامش,spokój
309,Leute::N,مردم,ludzie
310,Volk::N,خلق,naród
311,Arbeit::N,کار,praca
312,Arbeit::N,کار,robota
313,Gast::N,مهمان,gość
314,Geschenk::N,هدیه,prezent
315,Geschenk::N,هدیه,podarunek
316,Spiel::N,بازی,gra
317,Spiel::N,بازی,zabawa
