,Concept_ID,ca,pl
0,Auge::N,ull,oko
1,Ohr::N,orella,ucho
2,Nase::N,nas,nos
3,Mund::N,boca,usta
4,Zahn::N,dent,ząb
5,Zunge::N,llēngua,język
6,Lippe::N,llavi,warga
7,Wange::N,galta,policzek
8,Gesicht::N,cara,twarz
9,Stirn::N,front,czoło
10,Haar::N,cabēll,włos
11,Haar::N,cabēll,włosy
12,Schnurrbart::N,bigoti,wąsy
13,Bart::N,barba,broda
14,Kinn::N,mentó,podbródek
15,Kinn::N,barbeta,podbródek
16,Kiefer[Anatomie]::N,queix,czeluść
17,Kiefer[Anatomie]::N,mandíbula,czeluść
18,Kehle::N,gola,gardło
19,Kehle::N,gorja,gardło
20,Hals::N,coll,szyja
21,Genick::N,nuca,kark
22,Kopf::N,cap,głowa
23,Rücken::N,esquena,plecy
24,Rücken::N,esquena,grzbiet
25,Bauch::N,panxa,brzuch
26,Nabel::N,llombrígol,pępek
27,Busen::N,pit,biust
28,Busen::N,mama,biust
29,Brust::N,pit,pierś
30,Schulter::N,espatlla,bark
31,Schulter::N,espatlla,ramię
32,Arm::N,braç,ręka
33,Arm::N,braç,ramię
34,Ellenbogen::N,colze,łokieć
35,Hand::N,mà,dłoń
36,Handfläche::N,palma,dłoń
37,Finger::N,dit,palec
38,Fingernagel::N,ungla,paznokieć
39,Nagel[Anatomie]::N,ungla,paznokieć
40,Zeh::N,dit del peu,palec
41,Fuß::N,peu,stopa
42,Ferse::N,taló,pięta
43,Knie::N,genoll,kolano
44,Oberschenkel::N,cuixa,udo
45,Bein::N,cama,noga
46,Körper::N,cos,ciało
47,Haut::N,pell,skóra
48,Blut::N,sang,krew
49,Ader::N,vena,żyła
50,Sehne::N,tendó,ścięgno
51,Knochen::N,os,kość
52,Gehirn::N,cervell,mózg
53,Herz::N,cor,serce
54,Magen::N,estómac,żołądek
55,Leber::N,fetge,wątroba
56,Atem::N,alè,dech
57,Atem::N,alè,oddech
58,Atem::N,hàlit,dech
59,Atem::N,hàlit,oddech
60,Hunger::N,fam,głód
61,Hunger::N,gana,głód
62,Träne::N,llàgrima,łza
63,Geschmack::N,gust,smak
64,Geschmack::N,sabor,smak
65,Geruch::N,olor,woń
66,Geruch::N,olor,zapach
67,Schlaf::N,son,sen
68,Traum::N,somni,sen
69,Himmel::N,celm,niebo
70,Sonne::N,sol,słońce
71,Mond::N,lluna,księżyc
72,Stern::N,estel,gwiazda
73,Stern::N,estrella,gwiazda
74,Luft::N,aire,powietrze
75,Wind::N,vent,wiatr
76,Welle::N,ona,fala
77,Wasser::N,āigua,woda
78,Stein::N,pedra,kamień
79,Boden::N,sòl,grunt
80,Erde::N,terra,ziemia
81,Staub::N,pols,pył
82,Staub::N,pols,kurz
83,Rauch::N,fum,dym
84,Funke::N,guspira,iskra
85,Funke::N,centella,iskra
86,Feuer::N,foc,ogień
87,Licht::N,llum,światło
88,Schatten::N,ombra,cień
89,Wetter::N,temps,pogoda
90,Nebel::N,boira,mgła
91,Wolke::N,núvol,obłok
92,Wolke::N,núvol,chmura
93,Regen::N,pluja,deszcz
94,Schnee::N,neu,śnieg
95,Eis::N,gel,lód
96,Eis::N,glaç,lód
97,Frost::N,glaçada,mróz
98,Kälte::N,fred,chłód
99,Hitze::N,calor,gorąco
100,Raureif::N,gebre,szron
101,Regenbogen::N,arc iris,tęcza
102,Donner::N,tro,grzmot
103,Strömung::N,corrent,nurt
104,Tropfen::N,gota,kropla
105,Schaum::N,escuma,piana
106,Schmutz::N,brutícia,brud
107,See::N,llac,jezioro
108,Sumpf::N,pantà,bagno
109,Moor::N,pantà,bagno
110,Wiese::N,prat,łąka
111,Wiese::N,prada,łąka
112,Wald::N,bosc,las
113,Hügel::N,puig,pagórek
114,Hügel::N,pujol,pagórek
115,Anhöhe::N,turó,wzgórze
116,Berg::N,muntanya,góra
117,Gipfel::N,cim,szczyt
118,Gipfel::N,cim,wierzchołek
119,Höhle::N,cova,pieczara
120,Abhang::N,coster,stok
121,Abhang::N,coster,zbocze
122,Quelle::N,font,zdrój
123,Quelle::N,font,źródło
124,Bach::N,riera,potok
125,Bach::N,riera,strumień
126,Fluss::N,riu,rzeka
127,Ufer::N,riba,brzeg
128,Küste::N,costa,wybrzeże
129,Festland::N,terra ferma,ląd
130,Meer::N,mar,morze
131,Bucht::N,cala,zatoka
132,Bucht::N,badia,zatoka
133,Insel::N,illa,wyspa
134,Blume::N,flor,kwiat
135,Gras::N,herba,trawa
136,Wurzel::N,rel,korzeń
137,Wurzel::N,arrel,korzeń
138,Baum::N,arbre,drzewo
139,Stamm::N,tronc,pień
140,Rinde::N,escorça,kora
141,Ast::N,branca,gałąź
142,Zweig::N,ram,gałąź
143,Blatt::N,fulla,liść
144,Birke::N,bedoll,brzoza
145,Kiefer[Baum]::N,pi,sosna
146,Weide[Baum]::N,salze,wierzba
147,Tanne::N,avet,jodła
148,Horn::N,corn,róg
149,Horn::N,banya,róg
150,Feder::N,ploma,pióro
151,Fell::N,pell,futro
152,Flügel::N,ala,skrzydło
153,Klaue::N,urpa,szpon
154,Kralle::N,grapa,pazur
155,Schwanz::N,cua,ogon
156,Ei::N,ou,jajko
157,Nest::N,niu,gniazdo
158,Bau::N,cau,nora
159,Tier::N,animāl,zwierzę
160,Herde::N,ramat,stado
161,Herde::N,ramat,trzoda
162,Kuh::N,vaca,krowa
163,Bulle::N,toro,byk
164,Pferd::N,cavāll,koń
165,Schaf::N,be,owca
166,Schaf::N,ovella,owca
167,Schwein::N,bacó,świnia
168,Hund::N,ca,pies
169,Hund::N,gos,pies
170,Katze::N,gat,kot
171,Katze::N,gat,kotka
172,Bär::N,ós,niedźwiedż
173,Eichhörnchen::N,esquirol,wiewiórka
174,Elch::N,ant,łóś
175,Fuchs::N,guilla,lis
176,Hase::N,llebre,zając
177,Maus::N,ratolí,mysz
178,Wolf::N,llop,wilk
179,Vogel::N,au,ptak
180,Vogel::N,ocēll,ptak
181,Schwarm::N,bandada,stado
182,Huhn::N,gallina,kura
183,Hahn::N,gall,kogut
184,Gans::N,oca,gęś
185,Adler::N,àguila,orzeł
186,Ente::N,ànec,kaczka
187,Eule::N,òliba,sowa
188,Eule::N,mussol,sowa
189,Kranich::N,grua,żuraw
190,Krähe::N,cornella,wrona
191,Kuckuck::N,cucut,kukułka
192,Schwan::N,cigne,łabędż
193,Fisch::N,peix,ryba
