,Concept_ID,,mhr
0,Auge::N,,шинча́
1,Ohr::N,,пы́лыш
2,Nase::N,,нер
3,Mund::N,,умша́
4,Zahn::N,,пӱй
5,Zunge::N,,йы́лме
6,Lippe::N,,тӱ́рвӧ
7,Wange::N,,шӱ́ргӧ
8,Gesicht::N,,чури́й
9,Stirn::N,,саҥга́
10,Haar::N,,ӱп
11,Schnurrbart::N,,ӧ́рыш
12,Bart::N,,понда́ш
13,Kinn::N,,оҥыла́ш
14,Kiefer[Anatomie]::N,,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,,пӱйората́
16,Kehle::N,,лога́р
17,Hals::N,,шӱй
18,Genick::N,,шӱйло́дыш
19,Kopf::N,,вуй
20,Rücken::N,,туп
21,Bauch::N,,мӱ́шкыр
22,Nabel::N,,кы́лымде
23,Busen::N,,чы́зе
24,Brust::N,,оҥ
25,Schulter::N,,ва́че
26,Arm::N,,кид
27,Ellenbogen::N,,кынерву́й
28,Hand::N,,кид
29,Hand::N,,копа́
30,Handfläche::N,,со́во
31,Finger::N,,парня́
32,Fingernagel::N,,кидкӱ́ч
33,Fingernagel::N,,парнягӱ́ч
34,Nagel[Anatomie]::N,,кӱч
35,Zeh::N,,йолварня́
36,Fuß::N,,йол
37,Fuß::N,,йолкопа́
38,Ferse::N,,тага́н
39,Knie::N,,пулву́й
40,Oberschenkel::N,,э́рде
41,Bein::N,,йол
42,Körper::N,,кап
43,Haut::N,,кова́ште
44,Blut::N,,вӱр
45,Ader::N,,шӧн
46,Sehne::N,,шӧн
47,Sehne::N,,кӱсе́н
48,Knochen::N,,лу
49,Gehirn::N,,вем
50,Gehirn::N,,вуйве́м
51,Herz::N,,шӱм
52,Magen::N,,пага́р
53,Leber::N,,мокш
54,Atem::N,,шӱ́лыш
55,Hunger::N,,шужыма́ш
56,Träne::N,,шинчавӱ́д
57,Geschmack::N,,там
58,Geruch::N,,пуш
59,Schlaf::N,,о́мо
60,Traum::N,,йӱдо́мо
61,Himmel::N,,кава́
62,Sonne::N,,ке́че
63,Mond::N,,ты́лзе
64,Stern::N,,шӱ́дыр
65,Luft::N,,юж
66,Wind::N,,марде́ж
67,Welle::N,,то́лкын
68,Wasser::N,,вӱд
69,Stein::N,,кӱ
70,Boden::N,,рок
71,Erde::N,,мла́нде
72,Staub::N,,пура́к
73,Rauch::N,,шикш
74,Funke::N,,сеске́м
75,Funke::N,,тулйы́п
76,Feuer::N,,тул
77,Licht::N,,со́то
78,Schatten::N,,ӱ́мыл
79,Wetter::N,,иге́че
80,Nebel::N,,тӱтыра́
81,Wolke::N,,пыл
82,Regen::N,,йӱр
83,Schnee::N,,лум
84,Eis::N,,ий
85,Frost::N,,чатлама́
86,Kälte::N,,йӱ́штӧ
87,Hitze::N,,шо́кшо
88,Raureif::N,,пӧрш
89,Raureif::N,,по́кшым
90,Regenbogen::N,,шонанпы́л
91,Donner::N,,кӱ́дырчӧ
92,Strömung::N,,йо́гын
93,Tropfen::N,,чӱча́лтыш
94,Schaum::N,,шоҥ
95,Schmutz::N,,лавыра́
96,See::N,,ер
97,Sumpf::N,,лӱ́кӧ
98,Moor::N,,куп
99,Wiese::N,,о́лык
100,Wald::N,,чодыра́
101,Hügel::N,,арка́
102,Anhöhe::N,,тӧва́
103,Anhöhe::N,,кӱкшака́
104,Berg::N,,ку́рык
105,Gipfel::N,,чаҥга́
106,Gipfel::N,,курыкву́й
107,Höhle::N,,пеще́р
108,Höhle::N,,курыкпо́мыш
109,Abhang::N,,та́йыл
110,Quelle::N,,важ
111,Quelle::N,,вӱдшинча́
112,Bach::N,,изэҥе́р
113,Fluss::N,,эҥе́р
114,Ufer::N,,сер
115,Küste::N,,вӱдтӱ́р
116,Festland::N,,мла́нде
117,Meer::N,,те́ҥыз
118,Bucht::N,,икса́
119,Insel::N,,отро́
120,Blume::N,,пеле́дыш
121,Gras::N,,шу́до
122,Wurzel::N,,вож
123,Baum::N,,пуше́ҥге
124,Stamm::N,,йы́тыр
125,Rinde::N,,шӱм
126,Ast::N,,укш
127,Zweig::N,,торма́к
128,Blatt::N,,лышта́ш
129,Birke::N,,куэ́
130,Kiefer[Baum]::N,,пӱ́нчӧ
131,Weide[Baum]::N,,уа́
132,Tanne::N,,кож
133,Horn::N,,шур
134,Feder::N,,пы́стыл
135,Fell::N,,кова́ште
136,Flügel::N,,шу́лдыр
137,Klaue::N,,кӱч
138,Kralle::N,,ла́па
139,Kralle::N,,копа́
140,Schwanz::N,,поч
141,Ei::N,,му́но
142,Nest::N,,пыжа́ш
143,Bau::N,,пыжа́ш
144,Tier::N,,я́нлык
145,Tier::N,,живо́тный
146,Herde::N,,кӱ́тӱ
147,Herde::N,,тӱшка́
148,Kuh::N,,ушка́л
149,Bulle::N,,ӱ́шкыж
150,Pferd::N,,и́мне
151,Schaf::N,,шо́рык
152,Schwein::N,,сӧсна́
153,Hund::N,,пий
154,Katze::N,,пы́рыс
155,Bär::N,,маска́
156,Eichhörnchen::N,,ур
157,Elch::N,,шо́рдо
158,Fuchs::N,,ры́выж
159,Hase::N,,мера́ҥ
