,Concept_ID,mdf,mdf
0,Auge::N,сельме,сельме
1,Ohr::N,пиле,пиле
2,Nase::N,шалхка,шалхка
3,Mund::N,курга,курга
4,Zahn::N,пей,пей
5,Zunge::N,кяль,кяль
6,Lippe::N,търва́,търва́
7,Wange::N,щёка,щёка
8,Gesicht::N,шама,шама
9,Stirn::N,коня,коня
10,Haar::N,шя́ярь,шя́ярь
11,Schnurrbart::N,уса́,уса́
12,Bart::N,сакал,сакал
13,Kinn::N,ула,ула
14,Kiefer[Anatomie]::N,саласка,саласка
15,Kehle::N,кълдома,кълдома
16,Kehle::N,кълдома,кърга́парь
17,Kehle::N,кърга́парь,кълдома
18,Kehle::N,кърга́парь,кърга́парь
19,Hals::N,сялдаз,сялдаз
20,Genick::N,шовонь,шовонь
21,Kopf::N,пря,пря
22,Rücken::N,копорь,копорь
23,Bauch::N,пеке,пеке
24,Nabel::N,по́кон,по́кон
25,Busen::N,потя,потя
26,Brust::N,мяште,мяште
27,Schulter::N,лафту,лафту
28,Arm::N,кядь,кядь
29,Ellenbogen::N,кенерьба́карь,кенерьба́карь
30,Hand::N,кядь,кядь
31,Handfläche::N,кядьлапш,кядьлапш
32,Finger::N,сур,сур
33,Fingernagel::N,кенже,кенже
34,Nagel[Anatomie]::N,кенже,кенже
35,Zeh::N,пильгосу́р,пильгосу́р
36,Fuß::N,пильге,пильге
37,Fuß::N,пильге,пильгелапа
38,Fuß::N,пильгелапа,пильге
39,Fuß::N,пильгелапа,пильгелапа
40,Ferse::N,кочкяря,кочкяря
41,Knie::N,эль,эль
42,Knie::N,эль,пълма́нжа
43,Knie::N,пълма́нжа,эль
44,Knie::N,пълма́нжа,пълма́нжа
45,Oberschenkel::N,пильгепукша,пильгепукша
46,Bein::N,пильге,пильге
47,Körper::N,ро́нга,ро́нга
48,Körper::N,ро́нга,по́нда
49,Körper::N,по́нда,ро́нга
50,Körper::N,по́нда,по́нда
51,Haut::N,киське,киське
52,Blut::N,вер,вер
53,Ader::N,сан,сан
54,Ader::N,сан,верза́н
55,Ader::N,верза́н,сан
56,Ader::N,верза́н,верза́н
57,Sehne::N,коське сан,коське сан
58,Knochen::N,пакарь,пакарь
59,Gehirn::N,уй,уй
60,Herz::N,седи,седи
61,Magen::N,коткърдазь,коткърдазь
62,Leber::N,макса,макса
63,Atem::N,лекома,лекома
64,Atem::N,лекома,ваймонь тарксема
65,Atem::N,ваймонь тарксема,лекома
66,Atem::N,ваймонь тарксема,ваймонь тарксема
67,Hunger::N,вачеши,вачеши
68,Träne::N,сельмове́дь,сельмове́дь
69,Geschmack::N,таньф,таньф
70,Geruch::N,шине,шине
71,Schlaf::N,удома́,удома́
72,Traum::N,он,он
73,Himmel::N,менель,менель
74,Sonne::N,ши,ши
75,Mond::N,ков,ков
76,Stern::N,тяште,тяште
77,Luft::N,кожф,кожф
78,Wind::N,варма,варма
79,Welle::N,тавла,тавла
80,Wasser::N,ведь,ведь
81,Stein::N,кев,кев
82,Boden::N,мода,мода
83,Boden::N,мода,потмакс
