,Concept_ID,av,be
0,Ohr::N,гӏин,вуха
1,Nase::N,мегӏер,нос
2,Mund::N,кӏал,рот
3,Zahn::N,гӏус,зуб
4,Zunge::N,мацӏ,язык
5,Lippe::N,кӏветӏ,губа
6,Wange::N,гӏоно,шчака
7,Gesicht::N,гьумер,твар
8,Stirn::N,нодо,лоб
9,Haar::N,рас,волас
10,Haar::N,рас,валасы
11,Schnurrbart::N,михъ,вус
12,Schnurrbart::N,михъ,вусы
13,Bart::N,мегеж,барада
14,Kinn::N,нилъу,падбародак
15,Kiefer[Anatomie]::N,чанагъ,сківіца
16,Kehle::N,щекъер,горла
17,Hals::N,габур,шыя
18,Genick::N,гъванща,патыліца
19,Kopf::N,бетӏер,галава
20,Rücken::N,мугъ,спіна
21,Bauch::N,чехь,жывот
22,Nabel::N,цӏину,пупок
23,Busen::N,керен,грудзі
24,Brust::N,керен,грудзі
25,Schulter::N,гъажазубетӏер,плячо
26,Arm::N,гъеж,рука
27,Ellenbogen::N,гӏункӏрукь,локаць
28,Hand::N,квер,кісць
29,Handfläche::N,огъохъат,далонь
30,Handfläche::N,жанисахъат,далонь
31,Finger::N,килищ,палец
32,Fingernagel::N,малъ,ногаць
33,Nagel[Anatomie]::N,малъ,ногаць
34,Zeh::N,килищ,палец
35,Fuß::N,хӏетӏ,нага
36,Fuß::N,хӏетӏе,нага
37,Ferse::N,эгъе,пята
38,Ferse::N,эгъе,пятка
39,Knie::N,наку,калена
40,Oberschenkel::N,мачӏ,бядро
41,Oberschenkel::N,мачӏ,сцягно
42,Bein::N,бох,нага
43,Körper::N,къаркъала,цела
44,Haut::N,тӏом,скура
45,Blut::N,би,кроў
46,Ader::N,бидурихь,вена
47,Ader::N,бидурихь,сасуд
48,Knochen::N,ракьа,косць
49,Gehirn::N,гӏадалнах,мозг
50,Herz::N,ракӏ,сэрца
51,Magen::N,кванирукъ,страўнік
52,Leber::N,тӏул,печань
53,Atem::N,хӏухь,дыханне
54,Hunger::N,ракъи,голад
55,Träne::N,магӏу,сляза
56,Geschmack::N,тату,смак
57,Geruch::N,махӏ,пах
58,Schlaf::N,макьу,сон
59,Traum::N,макьу,сон
60,Himmel::N,зоб,неба
61,Sonne::N,бакъ,сонца
62,Mond::N,моцӏ,месяц
63,Stern::N,цӏва,зорка
64,Luft::N,гьава,паветра
65,Wind::N,гьури,вецер
66,Welle::N,карачел,хваля
67,Wasser::N,лъим,вада
68,Stein::N,гьецӏо,камень
69,Boden::N,ракь,глеба
70,Erde::N,ракь,зямля
71,Erde::N,дуниял,зямля
72,Staub::N,хӏур,пыл
73,Rauch::N,кӏкӏуй,дым
74,Feuer::N,цӏа,агонь
75,Licht::N,канлъи,святло
76,Schatten::N,рагӏад,цень
77,Wetter::N,гьава-бакъ,пагода
78,Wetter::N,гьава-бакъ,надворʼе
79,Nebel::N,гӏодобнакӏкӏ,туман
80,Wolke::N,накӏкӏ,воблака
81,Regen::N,цӏад,дождж
82,Schnee::N,гӏазу,снег
83,Eis::N,цӏер,лёд
84,Frost::N,замгьари,мароз
85,Kälte::N,квач,холад
86,Hitze::N,багӏари,спёка
87,Raureif::N,мартӏ,іней
88,Regenbogen::N,нур,вясёлка
89,Regenbogen::N,чамбара,вясёлка
90,Donner::N,гъугъай,гром
91,Donner::N,гъугъади,гром
92,Strömung::N,чвахи,цячэнне
93,Tropfen::N,резел,кропля
94,Tropfen::N,тӏинкӏ,кропля
95,Tropfen::N,къатӏра,кропля
96,Tropfen::N,тӏенкӏел,кропля
97,Schaum::N,полоп,пена
98,Schmutz::N,чороклъи,гразь
99,See::N,хӏор,возера
100,Sumpf::N,хьуцӏ,багна
101,Wiese::N,мегъ,луг
102,Wiese::N,гӏурдаллъи,луг
103,Wald::N,рохь,лес
104,Hügel::N,гохӏ,узгорак
105,Anhöhe::N,сийитма,узвышша
106,Berg::N,мегӏер,гара
107,Gipfel::N,тӏогь,вяршыня
108,Höhle::N,нохъо,пячора
109,Abhang::N,лабаллъи,схіл
110,Quelle::N,ицц,крыніца
111,Bach::N,лъар,ручай
112,Fluss::N,гӏор,рака
113,Ufer::N,рагӏал,бераг
114,Küste::N,рагӏал,узбярэжжа
115,Festland::N,ракь,суша
