,Concept_ID,kk,ja
0,Auge::N,көз,目
1,Ohr::N,құлақ,耳
2,Nase::N,мұрын,鼻
3,Mund::N,ауыз,口
4,Zahn::N,тіс,歯
5,Zunge::N,тіл,舌
6,Lippe::N,ерін,唇
7,Wange::N,ұрт,頬
8,Gesicht::N,бет-аузы,顔
9,Stirn::N,маңдай,額
10,Haar::N,қыл,髪
11,Schnurrbart::N,мұрт,口髭
12,Bart::N,сақал,髭
13,Kinn::N,иек,顎
14,Kiefer[Anatomie]::N,жақ,顎
15,Kehle::N,алқым,喉
16,Hals::N,мойын,首
17,Genick::N,желке,首
18,Kopf::N,кәллә,頭
19,Rücken::N,арқа,背中
20,Bauch::N,қарын,腹
21,Bauch::N,қарын,お腹
22,Nabel::N,кіндік,へそ
23,Busen::N,омырау,乳房
24,Brust::N,кеуде,胸
25,Schulter::N,иық,肩
26,Arm::N,қол,腕
27,Ellenbogen::N,шынтақ,肘
28,Hand::N,қол,手
29,Handfläche::N,алақан,手のひら
30,Finger::N,саусақ,指
31,Fingernagel::N,тырнақ,爪
32,Nagel[Anatomie]::N,тырнақ,爪
33,Zeh::N,тырнақ,足の指
34,Zeh::N,тұяқ,足の指
35,Fuß::N,аяқ-басы,足
36,Ferse::N,өкше,かかと
37,Ferse::N,өкшелік,かかと
38,Knie::N,тізе,膝
39,Oberschenkel::N,жамбас,上腿
40,Bein::N,аяқ,足
41,Körper::N,дене,体
42,Haut::N,тері,皮膚
43,Blut::N,қан,血
44,Ader::N,көктамыр,血管
45,Ader::N,күретамыр,血管
46,Sehne::N,сіңір,腱
47,Knochen::N,жілік,骨
48,Gehirn::N,ми,脳
49,Herz::N,жүрек,心
50,Herz::N,жүрек,心臓
51,Magen::N,асқазан,胃
52,Leber::N,бауыр,肝臓
53,Atem::N,леп,息
54,Atem::N,леп,呼吸
55,Hunger::N,ашаршылық,空腹
56,Träne::N,жас,涙
57,Geschmack::N,дәм,味
58,Geschmack::N,татым,味
59,Geschmack::N,талғам,味
