,Concept_ID,hu,de
0,Auge::N,szem,Auge
1,Ohr::N,fül,Ohr
2,Nase::N,orr,Nase
3,Mund::N,száj,Mund
4,Zahn::N,fog,Zahn
5,Zunge::N,nyelv,Zunge
6,Lippe::N,ajak,Lippe
7,Wange::N,orca,Wange
8,Gesicht::N,arc,Gesicht
9,Stirn::N,homlok,Stirn
10,Haar::N,haj,Haar
11,Schnurrbart::N,bajusz,Schnurrbart
12,Bart::N,szakáll,Bart
13,Kinn::N,áll,Kinn
14,Kiefer[Anatomie]::N,állkapocs,Kiefer
15,Kehle::N,gége,Kehle
16,Kehle::N,torok,Kehle
17,Hals::N,nyak,Hals
18,Genick::N,tarkó,Genick
19,Kopf::N,fő,Kopf
20,Kopf::N,fej,Kopf
21,Rücken::N,hát,Rücken
22,Bauch::N,has,Bauch
23,Nabel::N,köldök,Nabel
24,Busen::N,mell,Busen
25,Busen::N,kebel,Busen
26,Brust::N,mell,Brust
27,Schulter::N,váll,Schulter
28,Arm::N,kar,Arm
29,Ellenbogen::N,könyök,Ellenbogen
30,Hand::N,kéz,Hand
31,Handfläche::N,tenyér,Handfläche
32,Finger::N,ujj,Finger
33,Fingernagel::N,köröm,Fingernagel
34,Nagel[Anatomie]::N,köröm,Nagel
35,Zeh::N,lábujj,Zeh
36,Fuß::N,láb,Fuß
37,Ferse::N,sarok,Ferse
38,Knie::N,térd,Knie
39,Oberschenkel::N,comb,Oberschenkel
40,Bein::N,láb,Bein
41,Bein::N,lábszár,Bein
42,Körper::N,test,Körper
43,Haut::N,bőr,Haut
44,Blut::N,vér,Blut
45,Ader::N,ér,Ader
46,Sehne::N,ín,Sehne
47,Knochen::N,csont,Knochen
48,Gehirn::N,agy,Gehirn
49,Gehirn::N,agyvelő,Gehirn
50,Herz::N,szív,Herz
51,Magen::N,gyomor,Magen
52,Leber::N,máj,Leber
53,Atem::N,lehelet,Atem
54,Atem::N,lélegzet,Atem
55,Hunger::N,éhség,Hunger
56,Träne::N,könny,Träne
57,Geschmack::N,íz,Geschmack
58,Geruch::N,szag,Geruch
59,Schlaf::N,álom,Schlaf
60,Schlaf::N,alvás,Schlaf
61,Traum::N,álom,Traum
62,Himmel::N,ég,Himmel
63,Himmel::N,menny,Himmel
64,Sonne::N,nap,Sonne
65,Mond::N,hold,Mond
66,Stern::N,csillag,Stern
67,Luft::N,levegő,Luft
68,Wind::N,szél,Wind
69,Welle::N,hullám,Welle
70,Wasser::N,víz,Wasser
71,Stein::N,kő,Stein
72,Boden::N,föld,Boden
73,Boden::N,talaj,Boden
74,Erde::N,föld,Erde
75,Staub::N,por,Staub
76,Rauch::N,füst,Rauch
77,Funke::N,szikra,Funke
78,Feuer::N,tűz,Feuer
79,Licht::N,fény,Licht
80,Schatten::N,árnyék,Schatten
81,Wetter::N,idő,Wetter
82,Wetter::N,időjárás,Wetter
83,Nebel::N,köd,Nebel
84,Wolke::N,felhő,Wolke
85,Regen::N,eső,Regen
86,Schnee::N,hó,Schnee
87,Eis::N,jég,Eis
88,Frost::N,fagy,Frost
89,Kälte::N,hideg,Kälte
90,Hitze::N,hő,Hitze
91,Hitze::N,hőség,Hitze
92,Raureif::N,zúzmara,Raureif
93,Regenbogen::N,szivárvány,Regenbogen
94,Donner::N,dörgés,Donner
95,Donner::N,mennydörgés,Donner
96,Strömung::N,áramlat,Strömung
97,Tropfen::N,csepp,Tropfen
98,Schaum::N,hab,Schaum
99,Schaum::N,tajték,Schaum
100,Schmutz::N,piszok,Schmutz
101,See::N,tó,See
102,Sumpf::N,mocsár,Sumpf
103,Moor::N,láp,Moor
104,Wiese::N,rét,Wiese
105,Wiese::N,mező,Wiese
106,Wald::N,erdő,Wald
107,Hügel::N,domb,Hügel
108,Anhöhe::N,magaslat,Anhöhe
109,Berg::N,hegy,Berg
110,Gipfel::N,csúcs,Gipfel
111,Höhle::N,barlang,Höhle
112,Abhang::N,lejtő,Abhang
113,Quelle::N,forrás,Quelle
114,Bach::N,patak,Bach
115,Fluss::N,folyó,Fluss
116,Ufer::N,part,Ufer
117,Küste::N,tengerpart,Küste
118,Festland::N,szárazföld,Festland
119,Meer::N,tenger,Meer
120,Bucht::N,öböl,Bucht
121,Insel::N,sziget,Insel
122,Blume::N,virág,Blume
123,Gras::N,fű,Gras
124,Wurzel::N,gyökér,Wurzel
125,Baum::N,fa,Baum
126,Stamm::N,tő,Stamm
127,Stamm::N,törzs,Stamm
128,Rinde::N,kéreg,Rinde
129,Ast::N,ág,Ast
130,Zweig::N,gally,Zweig
131,Blatt::N,levél,Blatt
132,Birke::N,nyír,Birke
133,Kiefer[Baum]::N,fenyő,Kiefer
134,Weide[Baum]::N,fűz,Weide
135,Tanne::N,fenyő,Tanne
136,Horn::N,szarv,Horn
137,Feder::N,toll,Feder
138,Fell::N,szőr,Fell
139,Fell::N,bunda,Fell
140,Flügel::N,szárny,Flügel
141,Klaue::N,köröm,Klaue
142,Kralle::N,karom,Kralle
143,Schwanz::N,farok,Schwanz
144,Ei::N,tojás,Ei
145,Nest::N,fészek,Nest
146,Bau::N,odú,Bau
147,Tier::N,állat,Tier
148,Herde::N,nyáj,Herde
149,Herde::N,csorda,Herde
150,Kuh::N,tehén,Kuh
151,Bulle::N,bika,Bulle
152,Pferd::N,ló,Pferd
153,Schaf::N,juh,Schaf
154,Schaf::N,birka,Schaf
