,Concept_ID,la,ps
0,Auge::N,oculus,سترګه
1,Ohr::N,auris,غوږ
2,Nase::N,nasus,پوزه
3,Mund::N,os,خوله
4,Zahn::N,dens,غاښ
5,Zunge::N,lingua,جبه
6,Lippe::N,labrum,شونډه
7,Wange::N,gena,باړخو
8,Gesicht::N,vultus,مخ
9,Stirn::N,frons,تندی
10,Stirn::N,frons,وچولی
11,Haar::N,capillus,وېښته
12,Schnurrbart::N,barba labri superioris,برېت
13,Bart::N,barba,ږیره
14,Kinn::N,mentum,زنه
15,Kiefer[Anatomie]::N,mala,جامه
16,Kehle::N,iugulums,غاړه
17,Hals::N,collum,غاړه
18,Genick::N,cervices,ورمېږ
19,Kopf::N,caput,سر
20,Rücken::N,tergum,شا
21,Bauch::N,venter,نس
22,Bauch::N,venter,ګېډه
23,Nabel::N,umbilicus,نوم
24,Busen::N,sinus,تی
25,Brust::N,pectus,سینه
26,Schulter::N,umerus,اوږه
27,Arm::N,bracchium,لاس
28,Ellenbogen::N,cubitum,څنګل
29,Hand::N,manus,لاس
30,Handfläche::N,palma,ورغوی
31,Finger::N,digitus,ګوته
32,Fingernagel::N,unguiculus,نوک
33,Nagel[Anatomie]::N,unguis,نوک
34,Zeh::N,digitus,ګوته
35,Fuß::N,pes,پښه
36,Ferse::N,calx,پونده
37,Knie::N,genu,زنګون
38,Oberschenkel::N,femur,پتون
39,Bein::N,crus,پښه
40,Körper::N,corpus,ځان
41,Haut::N,cutis,پوټکی
42,Haut::N,pellis,پوټکی
43,Blut::N,sanguis,وینه
44,Ader::N,vena,رګ
45,Sehne::N,nervus,پله
46,Knochen::N,os,هډوکی
47,Gehirn::N,cerebrum,ماغزه
48,Herz::N,cor,زړه
49,Herz::N,animus,زړه
50,Magen::N,stomachus,معده
51,Leber::N,iecur,ينه
52,Leber::N,iecur,ځیګر
53,Atem::N,spiritus,نفس
54,Hunger::N,fames,ولږه
55,Träne::N,lacrima,اوښکه
56,Geschmack::N,sapor,مزه
57,Geschmack::N,sapor,خوند
58,Geschmack::N,gustus,مزه
59,Geschmack::N,gustus,خوند
60,Geruch::N,odor,بوی
61,Schlaf::N,somnus,خوب
62,Traum::N,somnium,خوب
63,Himmel::N,caelum,اسمان
64,Sonne::N,sol,لمر
65,Mond::N,luna,سپوږمۍ
66,Stern::N,sidus,ستوری
67,Stern::N,stella,ستوری
68,Luft::N,aer,هوا
69,Wind::N,ventus,ورښ
70,Welle::N,unda,موج
71,Wasser::N,aqua,اوبه
72,Stein::N,lapis,ډبره
73,Boden::N,solum,مځکه
74,Erde::N,terra,خاوره
75,Staub::N,pulvis,ګرد
76,Staub::N,pulvis,خاوره
77,Rauch::N,fumus,دود
78,Rauch::N,fumus,لوګی
79,Funke::N,scintilla,سپرغۍ
80,Feuer::N,ignis,اور
81,Licht::N,lux,رڼا
82,Licht::N,lumen,رڼا
83,Schatten::N,umbra,سیوری
84,Wetter::N,caelum,هوا
85,Wetter::N,tempestas,هوا
86,Nebel::N,nebula,لړه
87,Wolke::N,nubes,ورېځ
88,Regen::N,imber,وریا
89,Regen::N,imber,باران
90,Regen::N,pluvia,وریا
91,Regen::N,pluvia,باران
92,Schnee::N,nix,واوره
93,Eis::N,glacies,یخ
94,Eis::N,glacies,کنګل
95,Frost::N,gelu,یخ
96,Kälte::N,frigus,ساړه
97,Hitze::N,calor,تودوخي
98,Hitze::N,aestus,تودوخي
99,Raureif::N,pruina,سپینه پرخه
100,Regenbogen::N,arcus,بوډۍ ټال
101,Regenbogen::N,arcus,سره زرغونه
102,Donner::N,tonitrus,تالنده
103,Strömung::N,fluctus,بهېدنه
104,Tropfen::N,gutta,قطره
105,Tropfen::N,gutta,څاڅکی
106,Schaum::N,spuma,ځګ
107,Schmutz::N,sordes,ناپاکي
108,Schmutz::N,squalor,ناپاکي
109,See::N,lacus,جهیل
110,Sumpf::N,palus,جبه
111,Moor::N,palus,جبه
112,Wiese::N,pratum,چمن
113,Wiese::N,pratum,شنېلی
114,Wald::N,silva,ځنګل
115,Hügel::N,collis,تپه
116,Anhöhe::N,specula,غونډۍ
117,Berg::N,mons,غ‍‍‍‍‍ر
118,Gipfel::N,vertex,څوکه
119,Höhle::N,caverna,کاز
120,Höhle::N,spelunca,کاز
121,Abhang::N,declivum,لمن
122,Quelle::N,fons,چینه
123,Bach::N,rivus,واله
124,Fluss::N,flumen,سیند
125,Ufer::N,ripa,غاړه
126,Küste::N,litus,ساحل
127,Festland::N,continens,وچه
128,Meer::N,mare,بحر
129,Meer::N,mare,سمندر
130,Bucht::N,sinus,کارۍ
131,Insel::N,insula,ټاپو
132,Insel::N,insula,جزيره
133,Blume::N,flos,ګل
134,Gras::N,herba,واښه
135,Gras::N,gramen,واښه
136,Wurzel::N,radix,ریښه
137,Baum::N,arbor,ونه
138,Stamm::N,truncus,ډډ
139,Rinde::N,cortex,پوستکی
140,Ast::N,ramus,ښاخ
141,Zweig::N,ramus,څانګه
142,Blatt::N,folium,پاڼه
143,Birke::N,betulla,توس
144,Kiefer[Baum]::N,pinus,نښتر
145,Weide[Baum]::N,salix,وله
146,Tanne::N,abies,ناجو
147,Horn::N,cornu,ښکر
148,Feder::N,penna,بڼکه
149,Fell::N,pellis,پوستکی
150,Flügel::N,ala,وزر
151,Klaue::N,unguis,پنجه
152,Klaue::N,unguis,منګول
153,Kralle::N,unguis,پنجه
154,Kralle::N,unguis,منګول
155,Schwanz::N,cauda,لکۍ
156,Ei::N,ovum,وۍ
157,Ei::N,ovum,هګۍ
158,Nest::N,nidus,جاله
159,Bau::N,cavum,کاز
160,Bau::N,latibulum,کاز
161,Tier::N,bestia,ژوی
162,Tier::N,bestia,حیوان
163,Herde::N,grex,رمه
164,Herde::N,grex,غېله
165,Kuh::N,vacca,غوا
166,Bulle::N,taurus,غوئی
167,Pferd::N,equus,آس
168,Schaf::N,ovis,پسه
169,Schwein::N,sus,سرکوزی
170,Schwein::N,porcus,سرکوزی
171,Hund::N,canis,سپی
172,Katze::N,felis,پشه
173,Bär::N,ursus,خرس
174,Eichhörnchen::N,sciurus,خړ لمی
175,Elch::N,alces,ګوزن
176,Fuchs::N,vulpes,سپلم
177,Hase::N,lepus,سوی
178,Maus::N,mus,مږک
179,Wolf::N,lupus,لېوه
180,Vogel::N,avis,مرغه
181,Schwarm::N,examen,سېل
182,Huhn::N,gallina,چرګه
183,Hahn::N,gallus,چرګ
184,Gans::N,anser,بته
185,Adler::N,aquila,عقاب
186,Ente::N,anas,ایلۍ
187,Eule::N,ulula,ګونګی
188,Eule::N,noctua,ګونګی
189,Kranich::N,grus,کلنګ
190,Krähe::N,cornix,کارغه
191,Kuckuck::N,cuculus,فاخته
192,Schwan::N,olor,قو
193,Schwan::N,cycnus,قو
194,Fisch::N,piscis,کب
195,Fisch::N,piscis,ماهی
196,Barsch::N,perca,
197,Hecht::N,esox,
198,Schlange[Tier]::N,serpens,مار
199,Wurm::N,vermis,چینجی
200,Spinne::N,aranea,غڼه
201,Spinne::N,aranea,تارکښ
202,Ameise::N,formica,مېږی
203,Laus::N,pediculus,سپږه
204,Mücke::N,culex,ماشی
205,Fliege::N,musca,مچ
206,Schmetterling::N,papilio,پتنګ
207,Beere::N,baca,مېوۍ
208,Apfel::N,malum,مڼه
209,Pilz::N,fungus,خرېړی
210,Zwiebel::N,cepa,پیاز
211,Saat::N,seges,تخم
212,Korn::N,granum,تخم
213,Korn::N,granum,دانه
214,Heu::N,faenum,بوس
215,Heu::N,faenum,پروړه
216,Schale::N,putamen,پوستکی
217,Grube::N,fovea,کنده
218,Falle::N,pedica,دام
219,Falle::N,pedica,لومه
220,Schlinge::N,laqueus,کړۍ
221,Spur::N,vestigium,نښه
222,Asche::N,cinis,آس
223,Asche::N,cinis,ایره
224,Dreck::N,lutum,ناپاکي
225,Eisen::N,ferrum,اوسپنه
226,Gold::N,aurum,سره زر
227,Silber::N,argentum,نقره
228,Silber::N,argentum,سپین زر
229,Kohle::N,carbo,سکور
230,Kohle::N,carbo,سکاره
231,Glas::N,vitrum,ښيښه
232,Lehm::N,lutum,خټه
233,Sand::N,arena,شګه
234,Mensch::N,homo,انسان
235,Mann::N,vir,سړی
236,Mann::N,vir,نارینه
237,Frau::N,mulier,ښځه
238,Kind::N,puer,بچی
239,Kind::N,puer,ماشوم
240,Kind::N,infans,بچی
241,Kind::N,infans,ماشوم
242,Junge::N,puer,هلک
243,Mädchen::N,puella,نجلۍ
244,Familie::N,familia,کورنۍ
245,Großvater::N,avus,بابا
246,Großmutter::N,avia,انا
247,Eltern::N,parentes,مور او پلار
248,Vater::N,pater,پلار
249,Mutter::N,mater,مور
250,Sohn::N,filius,زوی
251,Tochter::N,filia,لور
252,Bruder::N,frater,ورور
253,Schwester::N,soror,خور
254,Onkel::N,patruus,تره
255,Onkel::N,patruus,ماما
256,Onkel::N,avunculus,تره
257,Onkel::N,avunculus,ماما
258,Tante::N,amita,خاله
259,Ehemann::N,maritus,مېړه
260,Ehefrau::N,uxor,مېرمن
261,Freude::N,gaudium,خوشحالي
262,Freude::N,laetitia,خوشحالي
263,Gelächter::N,risus,خندا
264,Glück::N,felicitas,بخت
265,Kummer::N,aegritudo,غم
266,Wunsch::N,voluntas,هيله
267,Wunsch::N,voluntas,غوښتنه
268,Wunsch::N,desiderium,هيله
269,Wunsch::N,desiderium,غوښتنه
270,Lust::N,libido,شوق
271,Lust::N,libido,مینه
272,Lust::N,voluptas,شوق
273,Lust::N,voluptas,مینه
274,Geist::N,mens,روح
275,Geist::N,animus,روح
276,Gedanke::N,sententia,فکر
277,Gedächtnis::N,memoria,یاد
278,Gedächtnis::N,memoria,حافظه
279,Verstand::N,ratio,عقل
280,Verstand::N,ratio,شعور
281,Verstand::N,ingenium,عقل
282,Verstand::N,ingenium,شعور
283,Sinn::N,sensus,معنی
284,Grund::N,causa,علت
285,Grund::N,causa,اساس
286,Wahrheit::N,veritas,حقیقت
287,Gespräch::N,sermo,مرکه
288,Gespräch::N,sermo,خبرې اترې
289,Märchen::N,fabula,افسانه
