,Concept_ID,lv,tr
0,Auge::N,син,göz
1,Auge::N,acs,göz
2,Ohr::N,пель,kulak
3,Ohr::N,auss,kulak
4,Nase::N,ныр,burun
5,Nase::N,deguns,burun
6,Mund::N,вом,ağız
7,Mund::N,mute,ağız
8,Zahn::N,пинь,diş
9,Zahn::N,zobs,diş
10,Zunge::N,кыв,dil
11,Zunge::N,mēle,dil
12,Lippe::N,вом дор,dudak
13,Lippe::N,lūpa,dudak
14,Wange::N,бан,yanak
15,Wange::N,vaigs,yanak
16,Gesicht::N,чужӧм,yüz
17,Gesicht::N,seja,yüz
18,Gesicht::N,ģīmis,yüz
19,Stirn::N,плеш,alın
20,Stirn::N,кымӧс,alın
21,Stirn::N,piere,alın
22,Haar::N,си,saç
23,Haar::N,юрси,saç
24,Haar::N,mats,saç
25,Schnurrbart::N,ус,bıyık
26,Schnurrbart::N,пыртсим,bıyık
27,Schnurrbart::N,ūsas,bıyık
28,Bart::N,тош,sakal
29,Bart::N,bārda,sakal
30,Kinn::N,тшӧка,çene
31,Kinn::N,zods,çene
32,Kinn::N,smakrs,çene
33,Kiefer[Anatomie]::N,черлы,çene
34,Kiefer[Anatomie]::N,алака лы,çene
35,Kiefer[Anatomie]::N,вомкӧтш лы,çene
36,Kiefer[Anatomie]::N,žoklis,çene
37,Kehle::N,голя,boğaz
38,Kehle::N,rīkle,boğaz
39,Hals::N,сьылі,boyun
40,Hals::N,сьылі,gerdan
41,Hals::N,kakls,boyun
42,Hals::N,kakls,gerdan
43,Genick::N,юрбӧр,ense
44,Genick::N,балябӧж,ense
45,Genick::N,sprands,ense
46,Kopf::N,юр,baş
47,Kopf::N,юр,kafa
48,Kopf::N,galva,baş
49,Kopf::N,galva,kafa
50,Rücken::N,мыш,arka
51,Rücken::N,mugura,arka
52,Bauch::N,рушку,karın
53,Bauch::N,vēders,karın
54,Nabel::N,гӧг,göbek
55,Nabel::N,naba,göbek
56,Busen::N,морӧс,koyun
57,Busen::N,krūts,koyun
58,Brust::N,морӧс,göğüs
59,Brust::N,krūts,göğüs
60,Schulter::N,пельпом,omuz
61,Schulter::N,plecs,omuz
62,Arm::N,ки,kol
63,Arm::N,roka,kol
64,Arm::N,delms,kol
65,Ellenbogen::N,гырддза,dirsek
66,Ellenbogen::N,elkonis,dirsek
67,Hand::N,ки,el
68,Hand::N,roka,el
69,Hand::N,plauksta,el
70,Handfläche::N,ки пыдӧс,avuç
71,Handfläche::N,ки пыдӧс,el ayası
72,Handfläche::N,delna,avuç
73,Handfläche::N,delna,el ayası
74,Handfläche::N,plauksta,avuç
75,Handfläche::N,plauksta,el ayası
76,Finger::N,чунь,parmak
77,Finger::N,pirksts,parmak
78,Fingernagel::N,гыж,el tırnağı
79,Fingernagel::N,nags,el tırnağı
80,Nagel[Anatomie]::N,гыж,tırnak
81,Nagel[Anatomie]::N,nags,tırnak
82,Zeh::N,кок чунь,ayak parmağı
83,Zeh::N,pirksts,ayak parmağı
84,Fuß::N,кок,ayak
85,Fuß::N,kāja,ayak
86,Ferse::N,кокбӧр,topuk
87,Ferse::N,papēdis,topuk
88,Knie::N,пидзӧс,diz
89,Knie::N,celis,diz
90,Oberschenkel::N,лядьвей,uyluk
91,Oberschenkel::N,бек,uyluk
92,Oberschenkel::N,ciska,uyluk
93,Oberschenkel::N,augšstilbs,uyluk
94,Bein::N,кок,bacak
95,Bein::N,kāja,bacak
96,Körper::N,туша,vücut
97,Körper::N,вывтыр,vücut
98,Körper::N,miesa,vücut
99,Körper::N,ķermenis,vücut
100,Haut::N,ку,cilt
101,Haut::N,āda,cilt
102,Blut::N,вир,kan
103,Blut::N,asins,kan
104,Ader::N,сӧн,damar
105,Ader::N,asinsvads,damar
106,Sehne::N,вез,kiriş
107,Sehne::N,dzīsla,kiriş
108,Knochen::N,лы,kemik
109,Knochen::N,kauls,kemik
110,Gehirn::N,вем,beyin
111,Gehirn::N,smadzenes,beyin
112,Herz::N,сьӧлӧм,kalp
113,Herz::N,сьӧлӧм,yürek
114,Herz::N,sirds,kalp
115,Herz::N,sirds,yürek
116,Magen::N,кынӧм,mide
117,Magen::N,kuņģis,mide
118,Leber::N,мус,karaciğer
119,Leber::N,aknas,karaciğer
120,Atem::N,лов,nefes
121,Atem::N,elpa,nefes
122,Hunger::N,тшыг,açlık
123,Hunger::N,bads,açlık
124,Hunger::N,izsalkums,açlık
125,Träne::N,синва,gözyaşı
126,Träne::N,asara,gözyaşı
127,Geschmack::N,кӧр,tat
128,Geschmack::N,кӧр,lezzet
129,Geschmack::N,чӧсмӧс,tat
130,Geschmack::N,чӧсмӧс,lezzet
131,Geschmack::N,garša,tat
132,Geschmack::N,garša,lezzet
133,Geruch::N,зын,koku
134,Geruch::N,дук,koku
135,Geruch::N,smaka,koku
136,Schlaf::N,узьӧм,uyku
137,Schlaf::N,miegs,uyku
138,Traum::N,вӧт,düş
139,Traum::N,вӧт,rüya
140,Traum::N,вӧтасьӧм,düş
141,Traum::N,вӧтасьӧм,rüya
142,Traum::N,sapnis,düş
143,Traum::N,sapnis,rüya
144,Himmel::N,енэж,gök
145,Himmel::N,debess,gök
146,Sonne::N,шонді,güneş
147,Sonne::N,saule,güneş
148,Mond::N,тӧлысь,ay
149,Mond::N,mēness,ay
150,Stern::N,кодзув,yıldız
151,Stern::N,zvaigzne,yıldız
152,Luft::N,сынӧд,hava
153,Luft::N,gaiss,hava
154,Wind::N,тӧв,yel
155,Wind::N,тӧв,rüzgâr
156,Wind::N,vējš,yel
157,Wind::N,vējš,rüzgâr
158,Welle::N,гы,dalga
159,Welle::N,vilnis,dalga
160,Wasser::N,ва,su
161,Wasser::N,ūdens,su
162,Stein::N,из,taş
163,Stein::N,akmens,taş
164,Boden::N,му,yer
165,Boden::N,му,zemin
166,Boden::N,augsne,yer
167,Boden::N,augsne,zemin
168,Erde::N,му,toprak
169,Erde::N,му-ва,toprak
170,Erde::N,zeme,toprak
171,Staub::N,бус,toz
172,Staub::N,putekļi,toz
173,Rauch::N,тшын,duman
174,Rauch::N,dūmi,duman
175,Funke::N,кинь,kıvılcım
176,Funke::N,би кинь,kıvılcım
177,Funke::N,dzirkstele,kıvılcım
178,Feuer::N,би,ateş
179,Feuer::N,uguns,ateş
180,Licht::N,югӧр,ışık
181,Licht::N,gaisma,ışık
182,Schatten::N,вуджӧр,gölge
183,Schatten::N,ēna,gölge
184,Wetter::N,поводдя,hava
185,Wetter::N,laiks,hava
186,Nebel::N,ру,pus
187,Nebel::N,онь,pus
188,Nebel::N,migla,pus
189,Wolke::N,кымӧр,bulut
190,Wolke::N,mākonis,bulut
191,Regen::N,зэр,yağmur
192,Regen::N,lietus,yağmur
193,Schnee::N,лым,kar
194,Schnee::N,sniegs,kar
195,Eis::N,йи,buz
196,Eis::N,ledus,buz
197,Frost::N,кӧдзыд,don
198,Frost::N,sals,don
199,Kälte::N,кӧдзыд,soğukluk
200,Kälte::N,saltums,soğukluk
201,Kälte::N,aukstums,soğukluk
202,Hitze::N,пӧсь,sıcaklık
203,Hitze::N,гожӧд,sıcaklık
204,Hitze::N,karstums,sıcaklık
205,Raureif::N,пуж,kırç
206,Raureif::N,гыӧр,kırç
207,Raureif::N,sarma,kırç
208,Regenbogen::N,ӧшкамӧшка,gökkuşağı
209,Regenbogen::N,varavīksne,gökkuşağı
210,Donner::N,гым,gök gürlemesi
211,Donner::N,pērkons,gök gürlemesi
212,Strömung::N,ва ныр,akıntı
213,Strömung::N,ва ныр,cereyan
214,Strömung::N,визувтӧм,akıntı
215,Strömung::N,визувтӧм,cereyan
216,Strömung::N,straume,akıntı
217,Strömung::N,straume,cereyan
218,Strömung::N,strāvojums,akıntı
219,Strömung::N,strāvojums,cereyan
220,Tropfen::N,войт,damla
221,Tropfen::N,lāse,damla
222,Schaum::N,быг,köpük
223,Schaum::N,быгзьӧм,köpük
224,Schaum::N,putas,köpük
225,Schmutz::N,няйт,çamur
226,Schmutz::N,няйт,pislik
227,Schmutz::N,dubļi,çamur
228,Schmutz::N,dubļi,pislik
229,See::N,ты,göl
230,See::N,ezers,göl
231,Sumpf::N,гыбад,batak
232,Sumpf::N,кад,batak
233,Sumpf::N,dumbrājs,batak
234,Sumpf::N,staignājs,batak
235,Moor::N,нюр,cılgıt
236,Moor::N,purvs,cılgıt
237,Moor::N,muklājs,cılgıt
238,Wiese::N,видз,çimen
239,Wiese::N,pļava,çimen
240,Wald::N,вӧр,koru
241,Wald::N,вӧр,orman
242,Wald::N,mežs,koru
243,Wald::N,mežs,orman
244,Hügel::N,дзиб,tepe
245,Hügel::N,мыльк,tepe
246,Hügel::N,нӧрыс,tepe
247,Hügel::N,paugurs,tepe
248,Anhöhe::N,мыльк,tümsek
249,Anhöhe::N,мыльк,yükseklik
250,Anhöhe::N,нӧрыс,tümsek
251,Anhöhe::N,нӧрыс,yükseklik
252,Anhöhe::N,paugurs,tümsek
253,Anhöhe::N,paugurs,yükseklik
254,Berg::N,чой,dağ
255,Berg::N,керӧс,dağ
256,Berg::N,kalns,dağ
257,Gipfel::N,чук,zirve
258,Gipfel::N,virsotne,zirve
259,Höhle::N,рудӧг,in
260,Höhle::N,рудӧг,mağara
261,Höhle::N,ala,in
262,Höhle::N,ala,mağara
263,Abhang::N,ньывк,bayır
264,Abhang::N,бокша,bayır
265,Abhang::N,nogāze,bayır
266,Quelle::N,ӧшмӧс,pınar
267,Quelle::N,ӧшмӧс,kaynak
268,Quelle::N,avots,pınar
269,Quelle::N,avots,kaynak
270,Bach::N,шор,çay
271,Bach::N,шор,dere
272,Bach::N,urga,çay
273,Bach::N,urga,dere
274,Bach::N,strauts,çay
275,Bach::N,strauts,dere
276,Fluss::N,ю,nehir
277,Fluss::N,upe,nehir
278,Ufer::N,вадор,kıyı
279,Ufer::N,вадор,sahil
280,Ufer::N,krasts,kıyı
281,Ufer::N,krasts,sahil
282,Küste::N,вадор,kıyı
283,Küste::N,вадор,sahil
284,Küste::N,piekraste,kıyı
285,Küste::N,piekraste,sahil
286,Festland::N,му,kara
287,Festland::N,sauszeme,kara
288,Meer::N,саридз,deniz
289,Meer::N,jūra,deniz
290,Bucht::N,куръя,koy
291,Bucht::N,куръя,körfez
292,Bucht::N,līcis,koy
293,Bucht::N,līcis,körfez
294,Insel::N,ді,ada
295,Insel::N,sala,ada
296,Blume::N,дзоридз,çiçek
297,Blume::N,puķe,çiçek
298,Blume::N,zieds,çiçek
299,Gras::N,турун,ot
300,Gras::N,турун,çim
301,Gras::N,zāle,ot
302,Gras::N,zāle,çim
303,Wurzel::N,вуж,kök
304,Wurzel::N,sakne,kök
305,Baum::N,пу,ağaç
306,Baum::N,koks,ağaç
307,Stamm::N,пучер,gövde
308,Stamm::N,stumbrs,gövde
309,Rinde::N,кырсь,kabuk
310,Rinde::N,miza,kabuk
311,Ast::N,ув,dal
312,Ast::N,ув,budak
313,Ast::N,zars,dal
314,Ast::N,zars,budak
315,Zweig::N,вож,dal
316,Zweig::N,nozare,dal
317,Blatt::N,кор,yaprak
318,Blatt::N,lapa,yaprak
