,Concept_ID,ml,myv
0,Auge::N,കണ്ണ്,сельме
1,Ohr::N,ചെവി,пиле
2,Nase::N,മൂക്ക്,судо
3,Mund::N,വായ,курго
4,Zahn::N,പല്ല്,пей
5,Zunge::N,നാക്ക്,кель
6,Lippe::N,ചുണ്ട്,турва
7,Wange::N,കവിൾത്തടം,чамабока
8,Wange::N,കവിൾത്തടം,чамаумарь
9,Gesicht::N,മുഖം,чама
10,Stirn::N,നെറ്റി,коня
11,Haar::N,തലമുടി,черь
12,Schnurrbart::N,മീശ,ус
13,Schnurrbart::N,മീശ,муюк
14,Bart::N,താടിരോമം,сакал
15,Kinn::N,താടി,уло
16,Kiefer[Anatomie]::N,താടിയെല്ല്,пейпакар
17,Kiefer[Anatomie]::N,താടിയെല്ല്,пейловажа
18,Kehle::N,കണ്ഠനാളം,кирьгапарь
19,Hals::N,കഴുത്ത്,кирьга
20,Genick::N,പിടലി,човонь
21,Kopf::N,തല,пря
22,Rücken::N,മുതുക്,копорь
23,Bauch::N,നയറ്,пеке
24,Nabel::N,നാഭി,почо
25,Busen::N,സ്തനം,поте
26,Brust::N,സ്തനം,меште
27,Schulter::N,തോൾ,лавтов
28,Arm::N,കൈ,кедь
29,Ellenbogen::N,കൈമുട്ട്,кенерепакарь
30,Hand::N,കൈ,кедь
31,Handfläche::N,ഉള്ളം കൈ,кедькуншка
32,Handfläche::N,ഉള്ളം കൈ,кедьлапушка
33,Finger::N,വിരൽ,сур
34,Fingernagel::N,നഖം,кенже
35,Nagel[Anatomie]::N,നഖം,кенже
36,Zeh::N,കാൽവിരൽ,пильге сур
37,Fuß::N,കാൽപ്പാദം,пильге
38,Ferse::N,ഉപ്പൂറ്റി,кочкаря
39,Knie::N,കാൽമുട്ട്,эле
40,Knie::N,കാൽമുട്ട്,эзне
41,Knie::N,കാൽമുട്ട്,кумажа
42,Oberschenkel::N,തുട,качо
43,Bein::N,കാൽ,пильге
44,Körper::N,ശരീരം,рунго
45,Haut::N,ചർമ്മം,киське
46,Blut::N,രക്തം,верь
47,Ader::N,ഞരമ്പ്,сан
48,Sehne::N,സ്നായു,коське сан
