,Concept_ID,mn,hu
0,Auge::N,нүд,szem
1,Ohr::N,чих,fül
2,Nase::N,хамар,orr
3,Mund::N,ам,száj
4,Zahn::N,шүд,fog
5,Zunge::N,хэл,nyelv
6,Lippe::N,уруул,ajak
7,Wange::N,хацар,orca
8,Gesicht::N,царай,arc
9,Gesicht::N,нүүр,arc
10,Stirn::N,дух,homlok
11,Haar::N,үс,haj
12,Schnurrbart::N,дээд сахал,bajusz
13,Schnurrbart::N,живэр сахал,bajusz
14,Bart::N,сахал,szakáll
15,Kinn::N,эрүү,áll
16,Kiefer[Anatomie]::N,эрүү,állkapocs
17,Kehle::N,хоолой,gége
18,Kehle::N,хоолой,torok
19,Hals::N,хүзүү,nyak
20,Genick::N,шил,tarkó
21,Genick::N,хүзүү,tarkó
22,Kopf::N,толгой,fő
23,Kopf::N,толгой,fej
24,Rücken::N,ар,hát
25,Rücken::N,нуруу,hát
26,Bauch::N,хэвлий,has
27,Bauch::N,гэдэс,has
28,Nabel::N,хүйс,köldök
29,Busen::N,хөх,mell
30,Busen::N,хөх,kebel
31,Brust::N,цээж,mell
32,Schulter::N,мөр,váll
33,Schulter::N,бугалга,váll
34,Arm::N,гар,kar
35,Ellenbogen::N,тохой,könyök
36,Hand::N,гар,kéz
37,Hand::N,алга,kéz
38,Handfläche::N,алга,tenyér
39,Finger::N,хуруу,ujj
40,Fingernagel::N,хурууны хумс,köröm
41,Nagel[Anatomie]::N,хумс,köröm
42,Zeh::N,хуруу,lábujj
43,Fuß::N,хөл,láb
44,Ferse::N,өсгий,sarok
45,Knie::N,өвдөг,térd
46,Oberschenkel::N,гуя,comb
47,Bein::N,хөл,láb
48,Bein::N,хөл,lábszár
49,Körper::N,бие,test
50,Haut::N,арьс,bőr
51,Blut::N,цус,vér
52,Ader::N,судас,ér
53,Sehne::N,бүлх,ín
54,Sehne::N,шандас,ín
55,Knochen::N,яс,csont
56,Gehirn::N,тархи,agy
57,Gehirn::N,тархи,agyvelő
58,Herz::N,зүрх,szív
59,Magen::N,ходоод,gyomor
60,Leber::N,элэг,máj
61,Atem::N,амьсгаа,lehelet
62,Atem::N,амьсгаа,lélegzet
63,Hunger::N,өлсгөлөн,éhség
64,Träne::N,нулимс,könny
65,Geschmack::N,амт,íz
66,Geruch::N,үнэр,szag
67,Schlaf::N,нойр,álom
68,Schlaf::N,нойр,alvás
69,Traum::N,зүүд,álom
70,Himmel::N,тэнгэр,ég
71,Himmel::N,тэнгэр,menny
72,Himmel::N,огторгуй,ég
73,Himmel::N,огторгуй,menny
74,Sonne::N,нар,nap
75,Mond::N,сар,hold
76,Stern::N,од,csillag
77,Luft::N,агаар,levegő
78,Wind::N,салхи,szél
79,Welle::N,долгио,hullám
80,Welle::N,давалгаа,hullám
81,Wasser::N,ус,víz
82,Stein::N,чулуу,kő
83,Boden::N,хөрс,föld
84,Boden::N,хөрс,talaj
85,Erde::N,газар,föld
86,Erde::N,шороо,föld
87,Staub::N,тоос,por
88,Rauch::N,утаа,füst
89,Funke::N,оч,szikra
90,Feuer::N,гал,tűz
91,Licht::N,гэрэл,fény
92,Licht::N,гэгээ,fény
93,Schatten::N,сүүдэр,árnyék
94,Wetter::N,тэнгэр,idő
95,Wetter::N,тэнгэр,időjárás
96,Wetter::N,цаг уур,idő
97,Wetter::N,цаг уур,időjárás
98,Nebel::N,будан,köd
99,Wolke::N,үүл,felhő
100,Regen::N,бороо,eső
101,Schnee::N,цас,hó
102,Eis::N,мөс,jég
103,Frost::N,хүйт,fagy
104,Kälte::N,хүйт,hideg
105,Hitze::N,халуун,hő
106,Hitze::N,халуун,hőség
107,Raureif::N,цан,zúzmara
108,Raureif::N,хяруу,zúzmara
109,Regenbogen::N,солонго,szivárvány
