,Concept_ID,ca,sl
0,Auge::N,ull,okó
1,Ohr::N,orella,uhó
2,Nase::N,nas,nós
3,Mund::N,boca,ústa
4,Zahn::N,dent,zób
5,Zunge::N,llēngua,jêzik
6,Lippe::N,llavi,ústnica
7,Wange::N,galta,líce
8,Gesicht::N,cara,oblíčje
9,Stirn::N,front,čêlo
10,Haar::N,cabēll,lás
11,Schnurrbart::N,bigoti,bŕki
12,Bart::N,barba,bráda
13,Kinn::N,mentó,bráda
14,Kinn::N,barbeta,bráda
15,Kiefer[Anatomie]::N,queix,čeljúst
16,Kiefer[Anatomie]::N,mandíbula,čeljúst
17,Kehle::N,gola,gŕlo
18,Kehle::N,gorja,gŕlo
19,Hals::N,coll,vrát
20,Genick::N,nuca,zatílnik
21,Kopf::N,cap,gláva
22,Rücken::N,esquena,hrbèt
23,Bauch::N,panxa,trébuh
24,Nabel::N,llombrígol,pópek
25,Busen::N,pit,nédrja
26,Busen::N,mama,nédrja
27,Brust::N,pit,pŕsi
28,Schulter::N,espatlla,ráma
29,Schulter::N,espatlla,plêče
30,Arm::N,braç,rôka
31,Ellenbogen::N,colze,komólec
32,Hand::N,mà,rôka
33,Handfläche::N,palma,dlán
34,Finger::N,dit,pŕst
35,Fingernagel::N,ungla,nóht na rôki
36,Nagel[Anatomie]::N,ungla,nóht
37,Zeh::N,dit del peu,pŕst na nôgi
38,Fuß::N,peu,nôga
39,Ferse::N,taló,pêta
40,Knie::N,genoll,koléno
41,Oberschenkel::N,cuixa,stêgno
42,Bein::N,cama,nôga
43,Körper::N,cos,teló
44,Haut::N,pell,kóža
45,Blut::N,sang,krí
46,Ader::N,vena,žíla
47,Sehne::N,tendó,kíta
48,Knochen::N,os,kóst
49,Gehirn::N,cervell,možgáni
50,Herz::N,cor,srcé
51,Magen::N,estómac,želódec
52,Leber::N,fetge,jétra
53,Atem::N,alè,díh
54,Atem::N,hàlit,díh
55,Hunger::N,fam,glád
56,Hunger::N,gana,glád
57,Träne::N,llàgrima,sólza
58,Geschmack::N,gust,okús
59,Geschmack::N,sabor,okús
60,Geruch::N,olor,vónj
61,Schlaf::N,son,sèn
62,Schlaf::N,son,spánec
63,Traum::N,somni,sánje
64,Himmel::N,celm,nebó
65,Sonne::N,sol,sónce
66,Mond::N,lluna,lúna
67,Mond::N,lluna,mésec
68,Stern::N,estel,zvézda
69,Stern::N,estrella,zvézda
70,Luft::N,aire,zràk
71,Wind::N,vent,véter
72,Welle::N,ona,vál
73,Wasser::N,āigua,vôda
74,Stein::N,pedra,kámen
75,Boden::N,sòl,tlà
76,Erde::N,terra,pŕst
77,Erde::N,terra,zêmlja
78,Staub::N,pols,práh
79,Rauch::N,fum,dìm
80,Funke::N,guspira,ískra
81,Funke::N,centella,ískra
82,Feuer::N,foc,ôgenj
83,Licht::N,llum,lúč
84,Schatten::N,ombra,sénca
85,Wetter::N,temps,vrême
86,Nebel::N,boira,meglà
87,Wolke::N,núvol,oblák
88,Regen::N,pluja,dèž
89,Schnee::N,neu,snég
90,Eis::N,gel,léd
91,Eis::N,glaç,léd
92,Frost::N,glaçada,zmrzál
93,Kälte::N,fred,mràz
94,Hitze::N,calor,pripéka
95,Raureif::N,gebre,ívje
96,Raureif::N,gebre,slána
97,Regenbogen::N,arc iris,mávrica
98,Donner::N,tro,gròm
99,Strömung::N,corrent,strúja
100,Tropfen::N,gota,káplja
101,Schaum::N,escuma,péna
102,Schmutz::N,brutícia,nesnága
103,See::N,llac,jézero
104,Sumpf::N,pantà,močvírje
105,Moor::N,pantà,bárje
106,Wiese::N,prat,trávnik
107,Wiese::N,prada,trávnik
108,Wald::N,bosc,lés
109,Wald::N,bosc,gòzd
110,Hügel::N,puig,brég
111,Hügel::N,puig,goríca
112,Hügel::N,pujol,brég
113,Hügel::N,pujol,goríca
114,Anhöhe::N,turó,gríč
115,Anhöhe::N,turó,višína
116,Berg::N,muntanya,gôra
117,Berg::N,muntanya,planína
118,Gipfel::N,cim,vŕh
119,Höhle::N,cova,jáma
120,Höhle::N,cova,votlína
121,Abhang::N,coster,pobóčje
122,Quelle::N,font,izvír
123,Bach::N,riera,pôtok
124,Fluss::N,riu,réka
125,Ufer::N,riba,brég
126,Küste::N,costa,obála
127,Küste::N,costa,obréžje
128,Festland::N,terra ferma,celína
129,Festland::N,terra ferma,kopnína
130,Meer::N,mar,mórje
131,Bucht::N,cala,zalív
132,Bucht::N,badia,zalív
133,Insel::N,illa,ôtok
134,Blume::N,flor,cvetlíca
135,Gras::N,herba,tráva
136,Wurzel::N,rel,korenína
137,Wurzel::N,arrel,korenína
138,Baum::N,arbre,drevó
139,Stamm::N,tronc,dêblo
140,Rinde::N,escorça,lúbje
141,Rinde::N,escorça,skórja
142,Ast::N,branca,véja
143,Zweig::N,ram,véja
144,Blatt::N,fulla,líst
145,Birke::N,bedoll,bréza
146,Kiefer[Baum]::N,pi,bòr
147,Weide[Baum]::N,salze,vŕba
148,Tanne::N,avet,hója
149,Horn::N,corn,róg
150,Horn::N,banya,róg
151,Feder::N,ploma,peró
152,Fell::N,pell,kŕzno
153,Flügel::N,ala,krílo
154,Klaue::N,urpa,párkelj
155,Kralle::N,grapa,krémpelj
156,Schwanz::N,cua,rèp
157,Ei::N,ou,jájce
158,Nest::N,niu,gnézdo
159,Bau::N,cau,brlòg
160,Tier::N,animāl,živál
161,Herde::N,ramat,čréda
162,Kuh::N,vaca,kráva
163,Bulle::N,toro,bìk
164,Pferd::N,cavāll,kònj
165,Schaf::N,be,ôvca
166,Schaf::N,ovella,ôvca
167,Schwein::N,bacó,svínja
168,Hund::N,ca,pès
169,Hund::N,gos,pès
170,Katze::N,gat,máčka
171,Bär::N,ós,mêdved
172,Eichhörnchen::N,esquirol,véverica
173,Elch::N,ant,lós
174,Fuchs::N,guilla,lisíca
175,Hase::N,llebre,zájec
176,Maus::N,ratolí,mìš
177,Wolf::N,llop,vólk
178,Vogel::N,au,ptìč
179,Vogel::N,au,ptíca
180,Vogel::N,ocēll,ptìč
181,Vogel::N,ocēll,ptíca
182,Schwarm::N,bandada,játa
183,Huhn::N,gallina,kokóš
184,Hahn::N,gall,petêlin
185,Gans::N,oca,gós
186,Adler::N,àguila,ôrel
187,Ente::N,ànec,ráca
188,Eule::N,òliba,sôva
189,Eule::N,mussol,sôva
190,Kranich::N,grua,žerjàv
191,Krähe::N,cornella,vrána
192,Kuckuck::N,cucut,kúkavica
193,Schwan::N,cigne,labód
194,Fisch::N,peix,ríba
195,Barsch::N,perca,ostríž
196,Hecht::N,lluç,ščúka
197,Schlange[Tier]::N,serp,káča
198,Wurm::N,cuc,čr̀v
199,Wurm::N,cuc,glísta
200,Spinne::N,aranya,pájek
201,Ameise::N,formiga,mrávlja
202,Laus::N,poll,úš
203,Mücke::N,mosquit,komár
204,Fliege::N,mosca,múha
205,Schmetterling::N,papallona,metúlj
206,Beere::N,baia,jágoda
207,Apfel::N,poma,jábolko
208,Pilz::N,bolet,góba
209,Zwiebel::N,ceba,čebúla
210,Saat::N,sembra,séme
211,Korn::N,gra,zŕno
212,Heu::N,fenc,senó
213,Schale::N,closca,lupína
214,Grube::N,sot,jáma
215,Grube::N,clot,jáma
216,Falle::N,trampa,pást
217,Schlinge::N,baga,zánka
218,Schlinge::N,baga,pêtlja
219,Spur::N,traça,sléd
220,Asche::N,cendra,pepél
221,Dreck::N,llot,bláto
222,Eisen::N,ferro,želézo
223,Gold::N,or,zlató
224,Silber::N,plata,srebró
225,Kohle::N,carbó,ógel
226,Glas::N,vidre,stêklo
227,Lehm::N,fang,ílo
228,Lehm::N,argila,ílo
229,Sand::N,arena,pések
230,Mensch::N,humà,člôvek
231,Mensch::N,persona,člôvek
232,Mann::N,home,móž
233,Mann::N,home,môški
234,Frau::N,dona,gospá
235,Frau::N,dona,žénska
236,Kind::N,nen,déte
237,Kind::N,nen,otròk
238,Junge::N,noi,fànt
239,Junge::N,noi,déček
240,Mädchen::N,noia,deklè
241,Mädchen::N,noia,déklica
242,Familie::N,família,družína
243,Großvater::N,avi,dèd
244,Großvater::N,avi,dédek
245,Großmutter::N,àvia,bábica
246,Eltern::N,pares,stárši
247,Vater::N,pare,ôče
248,Mutter::N,mare,máma
249,Sohn::N,fill,sín
250,Tochter::N,filla,hčí
251,Tochter::N,filla,hčérka
252,Bruder::N,germà,bràt
253,Schwester::N,germana,sêstra
254,Onkel::N,oncle,újec
255,Onkel::N,oncle,stríc
256,Tante::N,tia,têta
257,Tante::N,tia,strína
258,Ehemann::N,espòs,móž
259,Ehemann::N,espòs,sopróg
260,Ehefrau::N,muller,žêna
261,Ehefrau::N,muller,sopróga
262,Freude::N,goig,rádost
263,Freude::N,goig,vesêlje
264,Freude::N,alegria,rádost
265,Freude::N,alegria,vesêlje
266,Gelächter::N,riallada,sméh
267,Gelächter::N,riallada,grohòt
268,Glück::N,felicitat,sréča
269,Kummer::N,pena,gorjé
270,Wunsch::N,desig,žêlja
271,Lust::N,ganes,poželênje
272,Geist::N,ment,dúša
273,Geist::N,esperit,dúša
274,Gedanke::N,pensament,mísel
275,Gedächtnis::N,memòria,pámet
276,Verstand::N,raó,
277,Verstand::N,seny,
278,Sinn::N,solta,pomèn
279,Sinn::N,solta,smísel
280,Sinn::N,sentit,pomèn
281,Sinn::N,sentit,smísel
282,Grund::N,raó,vzròk
283,Grund::N,causa,vzròk
284,Wahrheit::N,veritāt,resníca
285,Gespräch::N,conversa,pogóvor
286,Märchen::N,conte,právljica
287,Erzählung::N,narració,povést
288,Nachricht::N,missatge,sporočílo
289,Neuigkeit::N,novetat,novóst
290,Name::N,nom,imé
291,Rätsel::N,endevinalla,ugánka
292,Rede::N,discurs,góvor
293,Sprache::N,llēngua,jêzik
294,Stimme::N,veu,glás
295,Wort::N,mot,beséda
296,Wort::N,paraula,beséda
297,Zeichen::N,signe,znák
298,Zeichen::N,senyal,znák
299,Ruf::N,crida,klíc
300,Lärm::N,sorōll,hrúp
301,Lärm::N,sorōll,trúšč
302,Laut::N,so,glás
303,Ton::N,to,tón
304,Lied::N,cançó,pésem
305,Ruhe::N,calma,pokòj
306,Ruhe::N,silenci,pokòj
307,Leute::N,gent,ljudjé
308,Volk::N,poble,národ
309,Arbeit::N,labor,délo
310,Arbeit::N,treball,délo
311,Gast::N,hoste,gòst
312,Geschenk::N,regal,darílo
313,Geschenk::N,obsequi,darílo
314,Spiel::N,joc,ígra
315,Gesellschaft::N,companyia,drúžba
316,Hilfe::N,ajut,pomóč
317,Freund::N,amīc,prijátelj
318,Kamerad::N,company,továriš
319,Kamerad::N,camarada,továriš
320,Angelegenheit::N,afer,zadéva
321,Angelegenheit::N,assumpte,zadéva
322,Anzahl::N,nombre,števílo
323,Anzahl::N,quantitat,števílo
324,Art::N,tipus,vŕsta
325,Art::N,classe,vŕsta
326,Stück::N,peça,kós
327,Teil::N,part,dél
328,Hälfte::N,meitat,polovíca
329,Kreis::N,cercle,króg
330,Kreis::N,cercle,kolobár
331,Kreuz::N,creu,kríž
332,Linie::N,línia,próga
333,Strich::N,traç,čŕta
334,Strich::N,ratlla,čŕta
335,Abstand::N,distància,preslédek
336,Entfernung::N,distància,oddáljenost
337,Gegend::N,regió,kràj
338,Gegend::N,regió,dežêla
339,Gegend::N,contrada,kràj
340,Gegend::N,contrada,dežêla
341,Platz::N,cabuda,prôstor
342,Ort::N,lloc,mésto
343,Seite::N,banda,bòk
344,Seite::N,banda,strán
345,Seite::N,costāt,bòk
346,Seite::N,costāt,strán
347,Mitte::N,mig,sredína
348,Mitte::N,centre,sredína
349,Gegenstand::N,objecte,prédmet
350,Sache::N,cosa,réč
351,Sache::N,cosa,stvár
352,Rand::N,vora,kràj
353,Rand::N,marge,kràj
354,Kante::N,caire,rób
355,Kante::N,cantell,rób
356,Ecke::N,cantonada,vogál
357,Spitze::N,punta,óst
358,Ende::N,cap,kônec
359,Loch::N,forāt,lúknja
360,Winkel::N,racó,kót
361,Muster::N,dibuix,vzórec
362,Muster::N,disseny,vzórec
363,Größe::N,grandària,veličína
364,Länge::N,longitud,dolžína
365,Höhe::N,altura,vršína
366,Höhe::N,altitud,vršína
367,Gewicht::N,pes,téža
