,Concept_ID,uz,vep
0,Auge::N,ko'z,sil'm
1,Ohr::N,quloq,korv
2,Nase::N,burun,nena
3,Mund::N,og'iz,su
4,Zahn::N,tish,pi
5,Zahn::N,tish,hambaz
6,Zunge::N,til,kel'
7,Lippe::N,dudoq,hul'
8,Wange::N,bet,modpolišk
9,Gesicht::N,yuz,mod
10,Stirn::N,manglay,oc
11,Haar::N,soch,tuk
12,Haar::N,soch,hibuz
13,Schnurrbart::N,mo'ylov,habinod
14,Bart::N,soqol,bard
15,Kinn::N,ängak,löug
16,Kiefer[Anatomie]::N,iyak,hambazlu
17,Kehle::N,bo'g'iz,kurk
18,Hals::N,bo'yin,kagl
19,Genick::N,gardan,tagarai
20,Kopf::N,bosh,pä
21,Rücken::N,orqa,sel'g
22,Bauch::N,qorin,vac
23,Bauch::N,qorin,koht
24,Nabel::N,kindik,naba
25,Busen::N,ämchak,niža
26,Brust::N,ko'krak,rind
27,Schulter::N,elka,oug
28,Arm::N,bilak,käzi
29,Ellenbogen::N,tirsak,künambruz
30,Hand::N,qo'l,käzi
31,Hand::N,qo'l,käzitera
32,Handfläche::N,kaft,kämen
33,Finger::N,barmoq,sor'm
34,Fingernagel::N,tirnoq,künz'
35,Nagel[Anatomie]::N,tirnoq,künz'
36,Zeh::N,oyoq barmog'i,barbaz
37,Fuß::N,oyoq,jaug
38,Ferse::N,tovon,kand
39,Knie::N,tiz,komb
40,Knie::N,tiz,pol'v
41,Oberschenkel::N,son,riiže
42,Bein::N,oyoq,jaug
43,Körper::N,badna,hibj
44,Haut::N,teri,nahk
45,Blut::N,qon,čak
46,Blut::N,qon,veri
47,Ader::N,qon tomir,son'
48,Sehne::N,tomir,jände
49,Knochen::N,suyak,lu
50,Gehirn::N,miya,aivod
51,Herz::N,qalb,südäin
52,Magen::N,oshqozon,südäikoht
53,Leber::N,bag'ir,maks
54,Atem::N,dam,hengaiduz
55,Hunger::N,ochlik,näl'g
56,Träne::N,yosh,kündal'
57,Geschmack::N,tam,magu
58,Geruch::N,jid,haju
59,Schlaf::N,uyqu,uni
60,Traum::N,tush,unikuva
61,Himmel::N,osmon,taivaz
62,Sonne::N,quyosh,päiväine
63,Mond::N,oy,kudmaine
64,Stern::N,yulduz,tähtaz
65,Luft::N,havo,il'm
66,Wind::N,el,döl
67,Wind::N,el,tullei
68,Welle::N,to'lqin,ald
69,Welle::N,to'lqin,laineh
70,Wasser::N,suv,vezi
71,Stein::N,tosh,kivi
72,Boden::N,tuproq,ma
73,Boden::N,tuproq,pohj
74,Erde::N,er,ma
75,Staub::N,chang,pölü
76,Rauch::N,tutun,savu
77,Funke::N,yalt,kibin
78,Feuer::N,o't,lämoi
79,Licht::N,yorug',vauktuz
80,Schatten::N,soya,pil'vez
81,Schatten::N,soya,kuvahaine
82,Wetter::N,havo,sä
83,Nebel::N,tuman,sumeg
84,Wolke::N,bulut,pil'v
85,Regen::N,yomg'ir,vihm
86,Schnee::N,qor,lumi
87,Eis::N,muz,jä
88,Frost::N,ajoz,hala
89,Frost::N,ajoz,pakaine
90,Kälte::N,ajoz,vilu
91,Hitze::N,issiq,räk
92,Raureif::N,qirov,hüde
93,Regenbogen::N,kamalak,jumalanbembel'
94,Donner::N,guldur,juru
95,Donner::N,guldur,jumalanjuru
96,Strömung::N,oqim,joksmuz
97,Tropfen::N,tomchi,tilkuine
98,Schaum::N,ko'pik,vaht
99,Schmutz::N,gard,redu
100,Schmutz::N,gard,pačak
101,See::N,ko'l,järv
102,Sumpf::N,botqoq,so
103,Moor::N,qir-adir,so
