,Concept_ID,mrj,sl
0,Auge::N,сӹнзӓ,okó
1,Ohr::N,пӹлӹш,uhó
2,Nase::N,нер,nós
3,Mund::N,ышма,ústa
4,Zahn::N,пӱ,zób
5,Zunge::N,йӹлмӹ,jêzik
6,Lippe::N,тӹрвӹ,ústnica
7,Wange::N,шӹргӹ,líce
8,Gesicht::N,лицӓ,oblíčje
9,Stirn::N,лепкӓ,čêlo
10,Haar::N,ӱп,lás
11,Schnurrbart::N,öрш,bŕki
12,Bart::N,пандаш,bráda
13,Kinn::N,онгылаш,bráda
14,Kiefer[Anatomie]::N,пӱ арата,čeljúst
15,Kehle::N,логер,gŕlo
16,Hals::N,шӱ,vrát
17,Genick::N,ланга,zatílnik
18,Kopf::N,вуй,gláva
19,Rücken::N,туп,hrbèt
20,Bauch::N,мӹшкӹр,trébuh
21,Nabel::N,кӹлӹмдӹ,pópek
22,Busen::N,цӹзӹ,nédrja
23,Brust::N,мел,pŕsi
24,Schulter::N,ӹнгӹжӓ,ráma
25,Schulter::N,ӹнгӹжӓ,plêče
26,Arm::N,кид,rôka
27,Ellenbogen::N,кӹнервуй,komólec
28,Hand::N,лапа,rôka
29,Handfläche::N,кид лапа,dlán
30,Finger::N,парня,pŕst
31,Fingernagel::N,кӹч,nóht na rôki
32,Nagel[Anatomie]::N,кӹч,nóht
33,Zeh::N,парня,pŕst na nôgi
34,Fuß::N,ял лапа,nôga
35,Ferse::N,ялгавал,pêta
36,Ferse::N,ял кавал,pêta
37,Knie::N,пылвуй,koléno
38,Oberschenkel::N,ӓрдӹ,stêgno
39,Bein::N,ял,nôga
40,Körper::N,монгыр,teló
41,Haut::N,кавашты,kóža
42,Blut::N,вӹр,krí
43,Ader::N,вӹршӓр,žíla
44,Sehne::N,кукшышӱн,kíta
45,Knochen::N,лу,kóst
46,Gehirn::N,вим,možgáni
47,Herz::N,шӱм,srcé
48,Magen::N,шӱм,želódec
49,Leber::N,мокш,jétra
50,Atem::N,шӱлӹш,díh
51,Hunger::N,шужымаш,glád
52,Träne::N,сӹнзӓвӹд,sólza
53,Geschmack::N,тот,okús
54,Geruch::N,пыш,vónj
55,Schlaf::N,ом,sèn
56,Schlaf::N,ом,spánec
57,Traum::N,ом,sánje
58,Himmel::N,пӹлгом,nebó
59,Sonne::N,кечӹ,sónce
60,Mond::N,тӹлзӹ,lúna
61,Mond::N,тӹлзӹ,mésec
62,Stern::N,шӹдӹр,zvézda
63,Luft::N,юж,zràk
64,Luft::N,воздух,zràk
65,Wind::N,мардеж,véter
66,Welle::N,ко,vál
67,Welle::N,коэ,vál
68,Wasser::N,вӹд,vôda
69,Stein::N,кӱ,kámen
70,Boden::N,рок,tlà
71,Erde::N,свет,pŕst
72,Erde::N,свет,zêmlja
73,Staub::N,пырак,práh
74,Rauch::N,шӹкш,dìm
75,Funke::N,ип,ískra
76,Funke::N,тылип,ískra
77,Feuer::N,тыл,ôgenj
78,Licht::N,соты,lúč
79,Licht::N,валгыды,lúč
80,Schatten::N,ӹмӹл,sénca
81,Wetter::N,игечӹ,vrême
82,Nebel::N,тӹтӹрӓ,meglà
83,Wolke::N,пӹл,oblák
84,Regen::N,юр,dèž
85,Schnee::N,лым,snég
86,Eis::N,и,léd
87,Frost::N,ӱштӹ,zmrzál
88,Kälte::N,ӱштӹ,mràz
89,Hitze::N,шокшы,pripéka
90,Raureif::N,пöрш,ívje
91,Raureif::N,пöрш,slána
92,Regenbogen::N,шанавӹл,mávrica
93,Donner::N,хӹдӹртӹш,gròm
94,Strömung::N,йогы,strúja
95,Tropfen::N,капльы,káplja
96,Tropfen::N,капльык,káplja
97,Schaum::N,шонг,péna
98,Schmutz::N,лявӹрӓ,nesnága
99,See::N,йӓр,jézero
100,Sumpf::N,лӱкӹ,močvírje
101,Moor::N,куп,bárje
102,Wiese::N,алык,trávnik
103,Wald::N,шӹргӹ,lés
104,Wald::N,шӹргӹ,gòzd
105,Hügel::N,пӱгӹрикӓ,brég
106,Hügel::N,пӱгӹрикӓ,goríca
107,Anhöhe::N,кӱкшикӓ,gríč
108,Anhöhe::N,кӱкшикӓ,višína
109,Berg::N,кырык,gôra
110,Berg::N,кырык,planína
111,Gipfel::N,неркӓ,vŕh
112,Höhle::N,ы́раж,jáma
113,Höhle::N,ы́раж,votlína
114,Abhang::N,полом,pobóčje
115,Quelle::N,вӹдсӹнзӓ,izvír
116,Bach::N,ӓнгӹр,pôtok
117,Fluss::N,вӹд,réka
118,Ufer::N,сир,brég
119,Küste::N,сир,obála
120,Küste::N,сир,obréžje
121,Festland::N,мӱлӓндӹ,celína
122,Festland::N,мӱлӓндӹ,kopnína
123,Meer::N,тангыж,mórje
124,Bucht::N,вӹдъял,zalív
125,Insel::N,острок,ôtok
126,Blume::N,пеледӹш,cvetlíca
127,Gras::N,шуды,tráva
128,Wurzel::N,важ,korenína
129,Baum::N,пушӓнгӹ,drevó
130,Stamm::N,пушӓнгӹ тӹнг,dêblo
131,Rinde::N,каргыж,lúbje
132,Rinde::N,каргыж,skórja
133,Ast::N,укш,véja
134,Zweig::N,укш,véja
135,Blatt::N,листӹ,líst
136,Birke::N,куги,bréza
137,Kiefer[Baum]::N,йӓктӹ,bòr
138,Weide[Baum]::N,уа,vŕba
139,Tanne::N,кож,hója
140,Horn::N,шур,róg
141,Feder::N,пын,peró
142,Fell::N,кавашты,kŕzno
143,Flügel::N,шылдыр,krílo
144,Klaue::N,кӹч,párkelj
145,Kralle::N,лапа,krémpelj
146,Schwanz::N,пач,rèp
147,Ei::N,мыны,jájce
148,Nest::N,пӹжӓш,gnézdo
149,Bau::N,ыраж,brlòg
150,Tier::N,во́льык,živál
151,Herde::N,кӹтö,čréda
152,Kuh::N,ышкал,kráva
153,Bulle::N,ӱшкӱж,bìk
154,Pferd::N,имни,kònj
155,Schaf::N,шарык,ôvca
156,Schwein::N,сасна,svínja
157,Hund::N,пи,pès
158,Katze::N,коти,máčka
159,Bär::N,мöскӓ,mêdved
160,Eichhörnchen::N,ур,véverica
161,Elch::N,шарды,lós
162,Fuchs::N,рӹвӹж,lisíca
163,Hase::N,морен,zájec
164,Maus::N,каля,mìš
165,Wolf::N,пирӹ,vólk
166,Vogel::N,кек,ptìč
167,Vogel::N,кек,ptíca
168,Schwarm::N,цуца,játa
169,Huhn::N,цӹвӹ,kokóš
170,Hahn::N,ӓптӓн,petêlin
171,Gans::N,комбы,gós
172,Adler::N,кучкыж,ôrel
173,Ente::N,лыды,ráca
174,Eule::N,тымана,sôva
175,Kranich::N,тырня,žerjàv
176,Kranich::N,тыртня,žerjàv
177,Krähe::N,лудыгарак,vrána
178,Kuckuck::N,куку,kúkavica
179,Schwan::N,йӱксӹ,labód
180,Fisch::N,кол,ríba
181,Barsch::N,алангы,ostríž
182,Hecht::N,нуж,ščúka
183,Hecht::N,нужгол,ščúka
184,Schlange[Tier]::N,кӹшкы,káča
185,Wurm::N,шукш,čr̀v
186,Wurm::N,шукш,glísta
187,Spinne::N,ӓнгӹремшӹ,pájek
188,Ameise::N,кыткы,mrávlja
189,Laus::N,ти,úš
190,Mücke::N,кужнер,komár
191,Mücke::N,кужынер,komár
192,Fliege::N,шӹнгӓ,múha
193,Schmetterling::N,лӹпӹ,metúlj
194,Beere::N,мöр,jágoda
195,Apfel::N,олма,jábolko
196,Pilz::N,понгы,góba
197,Zwiebel::N,охыра,čebúla
198,Saat::N,нӱшмӹ,séme
199,Saat::N,нӱшмӱ,séme
200,Korn::N,пӹрцӹ,zŕno
201,Heu::N,шуды,senó
202,Schale::N,аваха,lupína
203,Schale::N,карлангы,lupína
204,Grube::N,йӓм,jáma
205,Falle::N,лӱдӹ,pást
206,Falle::N,лӱдӹш,pást
207,Schlinge::N,онгы,zánka
208,Schlinge::N,онгы,pêtlja
209,Spur::N,кишӓ,sléd
210,Asche::N,ломых,pepél
211,Asche::N,ломпыж,pepél
212,Dreck::N,лявӹрӓ,bláto
213,Eisen::N,кӹртни,želézo
214,Gold::N,шöртни,zlató
215,Gold::N,шöртньӹ,zlató
216,Silber::N,ши,srebró
217,Kohle::N,шӱ,ógel
218,Glas::N,охоница,stêklo
219,Lehm::N,шун,ílo
220,Sand::N,ошма,pések
221,Mensch::N,эдем,člôvek
222,Mann::N,пӱэргӹ,móž
223,Mann::N,пӱэргӹ,môški
224,Frau::N,ӹдӹрӓмӓш,gospá
225,Frau::N,ӹдӹрӓмӓш,žénska
226,Kind::N,ӓзӓ,déte
227,Kind::N,ӓзӓ,otròk
228,Kind::N,шачшы,déte
229,Kind::N,шачшы,otròk
230,Junge::N,рвезӹ,fànt
231,Junge::N,рвезӹ,déček
232,Junge::N,ӹрвезӹ,fànt
233,Junge::N,ӹрвезӹ,déček
234,Mädchen::N,ӹдӹрӓш,deklè
235,Mädchen::N,ӹдӹрӓш,déklica
236,Familie::N,йиш,družína
237,Familie::N,семня,družína
238,Großvater::N,тьоти,dèd
239,Großvater::N,тьоти,dédek
240,Großmutter::N,папа,bábica
241,Eltern::N,ӓтя-ӓвӓ,stárši
242,Vater::N,ӓтя,ôče
243,Mutter::N,ӓвӓ,máma
244,Sohn::N,эргӹ,sín
245,Tochter::N,ӹдӹр,hčí
246,Tochter::N,ӹдӹр,hčérka
247,Bruder::N,ӹза,bràt
248,Schwester::N,ӓкӓ,sêstra
249,Onkel::N,кугуза,újec
250,Onkel::N,кугуза,stríc
251,Tante::N,куака,têta
252,Tante::N,куака,strína
253,Ehemann::N,мары,móž
254,Ehemann::N,мары,sopróg
255,Ehefrau::N,вӓтӹ,žêna
256,Ehefrau::N,вӓтӹ,sopróga
257,Freude::N,ӹвӹртӹмӓш,rádost
258,Freude::N,ӹвӹртӹмӓш,vesêlje
259,Gelächter::N,ваштылмаш,sméh
260,Gelächter::N,ваштылмаш,grohòt
261,Glück::N,пиӓл,sréča
262,Kummer::N,ясы,gorjé
263,Wunsch::N,охата,žêlja
264,Wunsch::N,шанымаш,žêlja
265,Lust::N,шӓр,poželênje
266,Lust::N,охата,poželênje
267,Lust::N,шанымаш,poželênje
268,Geist::N,тух,dúša
269,Gedanke::N,шанымаш,mísel
270,Gedächtnis::N,ӓш,pámet
271,Verstand::N,ыш,
272,Sinn::N,кын,pomèn
273,Sinn::N,кын,smísel
274,Grund::N,вир,vzròk
275,Wahrheit::N,тöр,resníca
276,Gespräch::N,хытырымаш,pogóvor
277,Märchen::N,ямак,právljica
278,Erzählung::N,шайыштмаш,povést
279,Nachricht::N,увертӓрӹмӓш,sporočílo
280,Neuigkeit::N,увер,novóst
281,Name::N,лӹм,imé
282,Rätsel::N,тышты,ugánka
283,Rede::N,шая,góvor
284,Rede::N,шамак,góvor
285,Sprache::N,йӹлмӹ,jêzik
286,Stimme::N,юк,glás
287,Wort::N,шамак,beséda
288,Zeichen::N,палӹ,znák
289,Ruf::N,сӹгӹрӹмӓш,klíc
290,Lärm::N,юкланымащ,hrúp
291,Lärm::N,юкланымащ,trúšč
292,Laut::N,юк,glás
293,Ton::N,юк,tón
294,Lied::N,мыры,pésem
295,Ruhe::N,тыр,pokòj
296,Leute::N,эдемвлӓ,ljudjé
297,Volk::N,халык,národ
298,Arbeit::N,пӓшӓ,délo
299,Gast::N,хына,gòst
300,Geschenk::N,подарка,darílo
301,Spiel::N,мадыш,ígra
302,Gesellschaft::N,йӓл,drúžba
303,Gesellschaft::N,йӓлвлӓ,drúžba
304,Hilfe::N,палшык,pomóč
305,Freund::N,тӓнг,prijátelj
306,Kamerad::N,тос,továriš
307,Angelegenheit::N,дела,zadéva
308,Angelegenheit::N,йела,zadéva
309,Angelegenheit::N,йыла,zadéva
310,Angelegenheit::N,пӓшӓ,zadéva
311,Anzahl::N,шот,števílo
312,Art::N,цӹре,vŕsta
313,Stück::N,лаштык,kós
314,Teil::N,пай,dél
315,Teil::N,часть,dél
316,Hälfte::N,пел,polovíca
317,Kreis::N,тӹртӹш,króg
318,Kreis::N,тӹртӹш,kolobár
319,Kreuz::N,крестӹ,kríž
320,Abstand::N,ло,preslédek
321,Entfernung::N,ло,oddáljenost
322,Gegend::N,вӓр,kràj
323,Gegend::N,вӓр,dežêla
324,Platz::N,вӓр,prôstor
325,Ort::N,вӓр,mésto
326,Seite::N,öрдӹж,bòk
327,Seite::N,öрдӹж,strán
328,Mitte::N,ло,sredína
329,Gegenstand::N,хӓдӹр,prédmet
330,Sache::N,хӓдӹр,réč
331,Sache::N,хӓдӹр,stvár
332,Rand::N,шöр,kràj
333,Kante::N,шöр,rób
334,Ecke::N,лык,vogál
335,Spitze::N,вуй,óst
336,Ende::N,вуй,kônec
337,Ende::N,мычаш,kônec
338,Loch::N,ыраж,lúknja
339,Winkel::N,лык,kót
340,Muster::N,тӹрлец,vzórec
341,Größe::N,кӱкшӹц,veličína
342,Länge::N,кыт,dolžína
343,Höhe::N,кӱкшӹц,vršína
344,Gewicht::N,нелӹц,téža
345,Menge::N,шот,količína
346,Haufen::N,ара,kùp
347,Haufen::N,ара,kopíca
348,Reihe::N,ряд,níz
349,Reihe::N,ряд,vŕsta
350,Boot::N,пыш,čóln
351,Ruder::N,вешлӓ,vêslo
352,Schlitten::N,тир,saní
353,Ski::N,ечӹ,smučí
354,Lagerfeuer::N,тыл,táborni ôgenj
355,Last::N,нелӹц,tôvor
356,Gang::N,ход,hòd
357,Schritt::N,ашкыл,korák
358,Norden::N,йыдпелвел,séver
