,Concept_ID,xal,tt
0,Auge::N,нүдн,күз
1,Ohr::N,чикн,колак
2,Nase::N,хамр,борын
3,Mund::N,амн,авыз
4,Mund::N,амн,тамак
5,Zahn::N,шүдн,теш
6,Zunge::N,келн,тел
7,Lippe::N,урл,ирен
8,Wange::N,халх,яңак
9,Gesicht::N,нүр,йөз
10,Stirn::N,маңна,маңгай
11,Haar::N,үсн,чәч
12,Schnurrbart::N,сахл,мыек
13,Bart::N,сахл,сакал
14,Bart::N,өргнә сахл,сакал
15,Kinn::N,өргн,ияк
16,Kiefer[Anatomie]::N,өргн,казналык
17,Kehle::N,хол,тамак
18,Hals::N,күзүн,бугаз
19,Genick::N,гиҗг,җилкә
20,Kopf::N,толһа,баш
21,Rücken::N,нурһн,сырт
22,Bauch::N,гесн,корсак
23,Nabel::N,киисн,кендек
24,Busen::N,көкн,түш
25,Brust::N,чееҗ,имчәк
26,Brust::N,чееҗ,күкрәк
27,Schulter::N,ээм,иңбаш
28,Schulter::N,ээм,кулбаш
29,Arm::N,һар,кул
30,Ellenbogen::N,тоха,терсәк
31,Hand::N,баһлцг,кул
32,Handfläche::N,альхн,уч
33,Finger::N,хурһн,бармак
34,Finger::N,һарин хурһн,бармак
35,Fingernagel::N,хумсн,тырнак
36,Nagel[Anatomie]::N,хумсн,тырнак
37,Zeh::N,хурһн,бармак
38,Zeh::N,көлин хурһн,бармак
39,Fuß::N,тавг,табан
40,Ferse::N,өскә,үкчә
41,Knie::N,өвдг,тез
42,Oberschenkel::N,һуй,бот
43,Bein::N,көл,аяк
44,Körper::N,махмуд,тән
45,Körper::N,махмуд,җисем
46,Haut::N,арсн,тире
47,Blut::N,цусн,кан
48,Ader::N,судцн,тамыр
49,Sehne::N,шүрүсн,сеңер
50,Knochen::N,ясн,сөяк
51,Gehirn::N,экн,ми
52,Herz::N,зүркн,йөрәк
53,Magen::N,гесн,ашказаны
54,Leber::N,элкн,бавыр
55,Atem::N,әмсхл,сулыш
