,Concept_ID,he,bg
0,Auge::N,עין,око
1,Ohr::N,אזן,ухо
2,Nase::N,אף,нос
3,Nase::N,חטם,нос
4,Mund::N,פה,уста
5,Zahn::N,שן,зъб
6,Zunge::N,לשון,език
7,Lippe::N,שפה,устна
8,Wange::N,לחי,буза
9,Gesicht::N,פנים,лице
10,Gesicht::N,פנים,образ
11,Stirn::N,מצח,чело
12,Haar::N,שערה,коса
13,Haar::N,שערה,косъм
14,Schnurrbart::N,שפם,мустаци
15,Bart::N,זקן,брада
16,Kinn::N,סנטר,брада
17,Kinn::N,סנטר,брадичка
18,Kiefer[Anatomie]::N,לסת,челюст
19,Kehle::N,גרון,гърло
20,Hals::N,צואר,врат
21,Genick::N,ערף,тил
22,Kopf::N,ראש,глава
23,Rücken::N,גב,гръб
24,Bauch::N,בטן,корем
25,Nabel::N,טבור,пъп
26,Busen::N,שד,бозка
27,Brust::N,חזה,гръд
28,Schulter::N,כתף,рамо
29,Schulter::N,כתף,плещи
30,Arm::N,זרוע,ръка
31,Ellenbogen::N,מרפק,лакът
32,Hand::N,יד,ръка
33,Hand::N,יד,китка
34,Handfläche::N,כף יד,длан
35,Finger::N,אצבע,пръст
36,Fingernagel::N,צפרן,нокът
37,Nagel[Anatomie]::N,צפרן,нокът
38,Zeh::N,אצבע,пръст на крак
39,Fuß::N,רגל,крак
40,Fuß::N,רגל,нога
41,Ferse::N,עקב,пета
42,Knie::N,ברך,коляно
43,Oberschenkel::N,ירך,бедро
44,Bein::N,רגל,крак
45,Bein::N,רגל,нога
46,Körper::N,גוף,тяло
47,Haut::N,עור,кожа
48,Blut::N,דם,кръв
49,Ader::N,וריד,вена
50,Ader::N,וריד,артерия
51,Sehne::N,גיד,жила
52,Sehne::N,גיד,сухожилие
53,Knochen::N,עצם,кост
54,Gehirn::N,מוח,мозък
55,Herz::N,לב,сърце
56,Magen::N,קבה,стомах
57,Leber::N,כבד,черен дроб
58,Atem::N,נשימה,дишане
59,Hunger::N,רעב,глад
60,Träne::N,דמעה,сълза
61,Geschmack::N,טעם,вкус
62,Geruch::N,ריח,миризма
63,Schlaf::N,שנה,сън
64,Traum::N,חלום,сън
65,Himmel::N,שמים,небе
66,Sonne::N,שמש,слънце
67,Mond::N,ירח,луна
68,Mond::N,ירח,месец
69,Stern::N,כוכב,звезда
70,Luft::N,אויר,въздух
71,Wind::N,רוח,вятър
72,Welle::N,גל,вълна
73,Wasser::N,מים,вода
74,Stein::N,אבן,камък
75,Boden::N,קרקע,земя
76,Boden::N,קרקע,почва
77,Erde::N,אדמה,земя
78,Erde::N,אדמה,почва
79,Staub::N,אבק,прах
80,Rauch::N,עשן,дим
81,Rauch::N,עשן,пушек
82,Funke::N,ניצוץ,искра
83,Feuer::N,אש,огън
84,Licht::N,אור,светлина
85,Schatten::N,צל,сянка
86,Wetter::N,מזג אויר,време
87,Nebel::N,ערפל,мъгла
88,Wolke::N,ענן,облак
89,Regen::N,גשם,дъжд
90,Schnee::N,שלג,сняг
91,Eis::N,קרח,лед
92,Frost::N,צנה,мраз
93,Kälte::N,קר,студ
94,Hitze::N,חם,жега
95,Hitze::N,חם,горещина
96,Raureif::N,כפור,скреж
97,Raureif::N,כפור,слана
98,Regenbogen::N,קשת,дъга
99,Donner::N,רעם,гръм
100,Strömung::N,זרימה,течение
101,Tropfen::N,טפה,капка
102,Schaum::N,קצף,пяна
103,Schmutz::N,לכלוך,кал
104,Schmutz::N,לכלוך,мръсотия
105,See::N,אגם,езеро
106,Sumpf::N,בצה,блато
107,Moor::N,בצה,мочурище
108,Wiese::N,מרעה,ливада
109,Wald::N,יער,гора
110,Hügel::N,תל,рид
111,Hügel::N,תל,хълм
112,Anhöhe::N,מעלה,могила
113,Anhöhe::N,מעלה,възвишение
114,Berg::N,הר,планина
115,Gipfel::N,פסגה,връх
116,Höhle::N,מערה,пещера
117,Abhang::N,מדרון,склон
118,Abhang::N,מדרון,стръмнина
119,Abhang::N,שפוע,склон
120,Abhang::N,שפוע,стръмнина
121,Quelle::N,מעין,извор
122,Bach::N,נחל,поток
123,Fluss::N,נהר,река
124,Ufer::N,גדה,бряг
125,Küste::N,חוף,бряг
126,Küste::N,חוף,крайбрежие
127,Festland::N,יבשה,суша
128,Meer::N,ים,море
129,Bucht::N,מפרץ,залив
130,Insel::N,אי,остров
131,Blume::N,פרח,цвете
132,Gras::N,דשא,трева
133,Wurzel::N,שרש,корен
134,Baum::N,עץ,дърво
135,Stamm::N,גזע,стъбло
136,Rinde::N,קלפת עץ,кора
137,Ast::N,ענף,клон
138,Zweig::N,ענף,клон
139,Blatt::N,עלה,лист
140,Birke::N,שדר,бреза
141,Kiefer[Baum]::N,ארן,бор
142,Weide[Baum]::N,ערבה,върба
143,Tanne::N,אשוח,ела
144,Horn::N,קרן,рог
145,Feder::N,נוצה,перо
146,Fell::N,פרוה,кожа
147,Flügel::N,כנף,крило
148,Klaue::N,טלף,нокът
149,Kralle::N,טפר,нокът
150,Schwanz::N,זנב,опашка
151,Ei::N,ביצה,яйце
152,Nest::N,קן,гнездо
153,Bau::N,מחלה,дупка
154,Tier::N,חיה,животно
155,Herde::N,עדר,стадо
156,Kuh::N,פרה,крава
157,Bulle::N,פר,бик
158,Pferd::N,סוס,кон
159,Schaf::N,כבשה,овца
160,Schwein::N,חזיר,свиня
161,Hund::N,כלב,куче
162,Katze::N,חתול,котка
163,Bär::N,דב,мечка
164,Eichhörnchen::N,סנאי,катерица
165,Elch::N,דישון,лос
166,Fuchs::N,שועל,лисица
167,Hase::N,ארנב,заек
168,Maus::N,עכבר,мишка
169,Wolf::N,זאב,вълк
170,Vogel::N,צפור,птица
171,Schwarm::N,נחיל,рой
172,Schwarm::N,נחיל,рояк
173,Schwarm::N,להקה,рой
174,Schwarm::N,להקה,рояк
175,Huhn::N,תרנגלת,кокошка
176,Hahn::N,תרנגול,петел
177,Gans::N,אוז,гъска
178,Adler::N,עיט,орел
179,Ente::N,ברוז,патица
180,Eule::N,ינשוף,сова
181,Kranich::N,עגור,жерав
182,Kranich::N,כרוכיה,жерав
183,Krähe::N,עורב,врана
184,Kuckuck::N,קוקיה,кукувица
185,Schwan::N,ברבור,лебед
186,Fisch::N,דג,риба
187,Barsch::N,אוקונוס,костур
188,Hecht::N,זאב הים,щука
189,Schlange[Tier]::N,נחש,змия
190,Wurm::N,תולעת,червей
191,Spinne::N,עכביש,паяк
192,Ameise::N,נמלה,мравка
193,Laus::N,כנה,въшка
194,Mücke::N,יתוש,комар
195,Fliege::N,זבוב,муха
196,Schmetterling::N,פרפר,пеперуда
197,Beere::N,ענבה,плод
198,Apfel::N,תפוח,ябълка
199,Pilz::N,פטריה,гъба
200,Zwiebel::N,בצל,лук
201,Zwiebel::N,בצל,кромид
202,Saat::N,זרעים,семе
203,Korn::N,גרעין,зърно
204,Heu::N,חציר,сено
205,Schale::N,קלפה,кора
206,Grube::N,בור,яма
207,Grube::N,בור,дупка
208,Grube::N,שוחה,яма
209,Grube::N,שוחה,дупка
210,Falle::N,מלכדת,примка
211,Schlinge::N,לולאה,клуп
212,Spur::N,עקבה,диря
213,Spur::N,עקבה,следа
214,Asche::N,אפר,пепел
215,Dreck::N,זהמה,кал
216,Eisen::N,ברזל,желязо
217,Gold::N,זהב,злато
218,Silber::N,כסף,сребро
219,Kohle::N,פחם,въглища
220,Glas::N,זכוכית,стъкло
221,Lehm::N,חרסית,глина
222,Sand::N,חול,пясък
223,Mensch::N,אדם,човек
224,Mann::N,איש,мъж
225,Mann::N,גבר,мъж
226,Frau::N,אשה,жена
