,Concept_ID,bn,ar
0,Auge::N,চক্ষু,عين
1,Ohr::N,কর্ণ,أذن
2,Nase::N,নাক,أنف
3,Mund::N,মুখ,فم
4,Zahn::N,দাঁত,سن
5,Zunge::N,জিহবা,لسان
6,Lippe::N,অধর,شفة
7,Wange::N,গণ্ড,خد
8,Wange::N,গণ্ড,وجنة
9,Gesicht::N,মুখমণ্ডল,وجه
10,Stirn::N,কপাল,جبين
11,Haar::N,চুল,شعر
12,Schnurrbart::N,গোঁফ,شارب
13,Bart::N,শ্মশ্রু,لحية
14,Kinn::N,চিবুক,ذقن
15,Kiefer[Anatomie]::N,চোয়াল,فك
16,Kehle::N,কণ্ঠ,حلق
17,Hals::N,গল,عنق
18,Hals::N,গল,رقبة
19,Genick::N,ঘাড়,قفا
20,Kopf::N,মাথা,رأس
21,Rücken::N,পৃষ্ঠ,ظهر
22,Bauch::N,উদর,بطن
23,Nabel::N,নাভি,سرة
24,Busen::N,স্তন,ثدي
25,Brust::N,বুক,صدر
26,Schulter::N,স্কন্ধ,كتف
27,Arm::N,বাহু,ذراع
28,Ellenbogen::N,কনুই,كوع
29,Hand::N,হাত,يد
30,Handfläche::N,করতল,كف
31,Finger::N,আঙ্গুল,إصبع
32,Fingernagel::N,হাতের নখ,ظفر
33,Nagel[Anatomie]::N,নখ,ظفر
34,Zeh::N,আঙ্গুল,إصبع القدم
35,Fuß::N,পা,قدم
36,Ferse::N,গোড়ালি,كعب
37,Knie::N,হাঁটু,ركبة
38,Oberschenkel::N,ঊরু,فخذ
39,Bein::N,পা,ساق
40,Körper::N,দেহ,جسم
41,Haut::N,ত্বক,بشرة
42,Blut::N,রক্ত,دم
43,Ader::N,শিরা,عرق
44,Sehne::N,কণ্ডরা,طنب
45,Knochen::N,অস্থি,عظم
46,Gehirn::N,মস্তিষ্ক,دماغ
47,Herz::N,হৃৎপিণ্ড,قلب
48,Magen::N,পাকস্থলী,معدة
49,Leber::N,যকৃৎ,كبد
50,Atem::N,শ্বাস,نفس
51,Hunger::N,ক্ষুধা,جوع
52,Träne::N,অশ্রু,دمعة
53,Geschmack::N,স্বাদ,طعم
54,Geschmack::N,স্বাদ,مذاق
55,Geruch::N,গন্ধ,رائحة
56,Schlaf::N,ঘুম,نوم
57,Schlaf::N,ঘুম,منام
58,Traum::N,স্বপ্ন,حلم
59,Himmel::N,আকাশ,سماء
60,Sonne::N,সূর্য,شمس
61,Mond::N,চন্দ্র,قمر
62,Stern::N,নক্ষত্র,نجم
63,Stern::N,নক্ষত্র,كوكب
64,Luft::N,বায়ু,هواء
65,Wind::N,বাতাস,ريح
66,Welle::N,ঢেউ,موجة
67,Welle::N,তরঙ্গ,موجة
68,Wasser::N,জল,ماء
69,Stein::N,ঢিল,حجر
70,Stein::N,প্রস্তর,حجر
71,Boden::N,ভূতল,تراب
72,Erde::N,ভূমি,أرض
73,Staub::N,ধুলা,غبار
74,Rauch::N,ধোঁয়া,دخان
75,Funke::N,স্ফুলিঙ্গ,شرارة
76,Feuer::N,অগ্নি,نار
77,Licht::N,আলো,نور
78,Licht::N,আলো,ضوء
79,Schatten::N,ছায়া,ظل
80,Schatten::N,ছায়া,فيء
81,Wetter::N,আবহাওয়া,جو
82,Wetter::N,আবহাওয়া,طقس
83,Nebel::N,কুহেলিকা,ضباب
84,Wolke::N,মেঘ,غيمة
85,Wolke::N,মেঘ,سحابة
86,Regen::N,বৃষ্টি,مطر
87,Schnee::N,তুষার,ثلج
88,Eis::N,বরফ,جليد
89,Frost::N,তুষার,صقيع
90,Kälte::N,শৈত্য,برد
91,Hitze::N,তাপ,حر
92,Hitze::N,তাপ,حرارة
93,Raureif::N,তুহিন,صقيع
94,Regenbogen::N,রামধনু,قوس قزح
95,Donner::N,বজ্রধ্বনি,رعد
96,Strömung::N,স্রোত,تيار
97,Tropfen::N,ফোঁটা,قطرة
98,Schaum::N,ফেনা,زبد
99,Schaum::N,ফেনা,رغوة
100,Schmutz::N,ধুলা,وسخ
101,See::N,হ্রদ,بحيرة
102,Sumpf::N,জলা,مستنقع
