,Concept_ID,ps,be
0,Auge::N,سترګه,вока
1,Ohr::N,غوږ,вуха
2,Nase::N,پوزه,нос
3,Mund::N,خوله,рот
4,Zahn::N,غاښ,зуб
5,Zunge::N,جبه,язык
6,Lippe::N,شونډه,губа
7,Wange::N,باړخو,шчака
8,Gesicht::N,مخ,твар
9,Stirn::N,تندی,лоб
10,Stirn::N,وچولی,лоб
11,Haar::N,وېښته,волас
12,Haar::N,وېښته,валасы
13,Schnurrbart::N,برېت,вус
14,Schnurrbart::N,برېت,вусы
15,Bart::N,ږیره,барада
16,Kinn::N,زنه,падбародак
17,Kiefer[Anatomie]::N,جامه,сківіца
18,Kehle::N,غاړه,горла
19,Hals::N,غاړه,шыя
20,Genick::N,ورمېږ,патыліца
21,Kopf::N,سر,галава
22,Rücken::N,شا,спіна
23,Bauch::N,نس,жывот
24,Bauch::N,ګېډه,жывот
25,Nabel::N,نوم,пупок
26,Busen::N,تی,грудзі
27,Brust::N,سینه,грудзі
28,Schulter::N,اوږه,плячо
29,Arm::N,لاس,рука
30,Ellenbogen::N,څنګل,локаць
31,Hand::N,لاس,кісць
32,Handfläche::N,ورغوی,далонь
33,Finger::N,ګوته,палец
34,Fingernagel::N,نوک,ногаць
35,Nagel[Anatomie]::N,نوک,ногаць
36,Zeh::N,ګوته,палец
37,Fuß::N,پښه,нага
38,Ferse::N,پونده,пята
39,Ferse::N,پونده,пятка
40,Knie::N,زنګون,калена
41,Oberschenkel::N,پتون,бядро
42,Oberschenkel::N,پتون,сцягно
43,Bein::N,پښه,нага
44,Körper::N,ځان,цела
45,Haut::N,پوټکی,скура
46,Blut::N,وینه,кроў
47,Ader::N,رګ,вена
48,Ader::N,رګ,сасуд
49,Sehne::N,پله,жыла
50,Sehne::N,پله,цеціва
51,Sehne::N,پله,сухажылле
52,Knochen::N,هډوکی,косць
53,Gehirn::N,ماغزه,мозг
54,Herz::N,زړه,сэрца
55,Magen::N,معده,страўнік
56,Leber::N,ينه,печань
57,Leber::N,ځیګر,печань
58,Atem::N,نفس,дыханне
59,Hunger::N,ولږه,голад
60,Träne::N,اوښکه,сляза
61,Geschmack::N,مزه,смак
62,Geschmack::N,خوند,смак
63,Geruch::N,بوی,пах
64,Schlaf::N,خوب,сон
65,Traum::N,خوب,сон
66,Himmel::N,اسمان,неба
67,Sonne::N,لمر,сонца
68,Mond::N,سپوږمۍ,месяц
69,Stern::N,ستوری,зорка
70,Luft::N,هوا,паветра
71,Wind::N,ورښ,вецер
72,Welle::N,موج,хваля
73,Wasser::N,اوبه,вада
74,Stein::N,ډبره,камень
75,Boden::N,مځکه,глеба
76,Erde::N,خاوره,зямля
77,Staub::N,ګرد,пыл
78,Staub::N,خاوره,пыл
79,Rauch::N,دود,дым
80,Rauch::N,لوګی,дым
81,Funke::N,سپرغۍ,іскра
82,Feuer::N,اور,агонь
83,Licht::N,رڼا,святло
84,Schatten::N,سیوری,цень
85,Wetter::N,هوا,пагода
86,Wetter::N,هوا,надворʼе
87,Nebel::N,لړه,туман
88,Wolke::N,ورېځ,воблака
89,Regen::N,وریا,дождж
90,Regen::N,باران,дождж
91,Schnee::N,واوره,снег
92,Eis::N,یخ,лёд
93,Eis::N,کنګل,лёд
94,Frost::N,یخ,мароз
95,Kälte::N,ساړه,холад
96,Hitze::N,تودوخي,спёка
97,Raureif::N,سپینه پرخه,іней
98,Regenbogen::N,بوډۍ ټال,вясёлка
99,Regenbogen::N,سره زرغونه,вясёлка
100,Donner::N,تالنده,гром
101,Strömung::N,بهېدنه,цячэнне
