,Concept_ID,be,bn
0,Auge::N,вока,চক্ষু
1,Ohr::N,вуха,কর্ণ
2,Nase::N,нос,নাক
3,Mund::N,рот,মুখ
4,Zahn::N,зуб,দাঁত
5,Zunge::N,язык,জিহবা
6,Lippe::N,губа,অধর
7,Wange::N,шчака,গণ্ড
8,Gesicht::N,твар,মুখমণ্ডল
9,Stirn::N,лоб,কপাল
10,Haar::N,волас,চুল
11,Haar::N,валасы,চুল
12,Schnurrbart::N,вус,গোঁফ
13,Schnurrbart::N,вусы,গোঁফ
14,Bart::N,барада,শ্মশ্রু
15,Kinn::N,падбародак,চিবুক
16,Kiefer[Anatomie]::N,сківіца,চোয়াল
17,Kehle::N,горла,কণ্ঠ
18,Hals::N,шыя,গল
19,Genick::N,патыліца,ঘাড়
20,Kopf::N,галава,মাথা
21,Rücken::N,спіна,পৃষ্ঠ
22,Bauch::N,жывот,উদর
23,Nabel::N,пупок,নাভি
24,Busen::N,грудзі,স্তন
25,Brust::N,грудзі,বুক
26,Schulter::N,плячо,স্কন্ধ
27,Arm::N,рука,বাহু
28,Ellenbogen::N,локаць,কনুই
29,Hand::N,кісць,হাত
30,Handfläche::N,далонь,করতল
31,Finger::N,палец,আঙ্গুল
32,Fingernagel::N,ногаць,হাতের নখ
33,Nagel[Anatomie]::N,ногаць,নখ
34,Zeh::N,палец,আঙ্গুল
35,Fuß::N,нага,পা
36,Ferse::N,пята,গোড়ালি
37,Ferse::N,пятка,গোড়ালি
38,Knie::N,калена,হাঁটু
39,Oberschenkel::N,бядро,ঊরু
40,Oberschenkel::N,сцягно,ঊরু
41,Bein::N,нага,পা
42,Körper::N,цела,দেহ
43,Haut::N,скура,ত্বক
44,Blut::N,кроў,রক্ত
45,Ader::N,вена,শিরা
46,Ader::N,сасуд,শিরা
47,Sehne::N,жыла,কণ্ডরা
48,Sehne::N,цеціва,কণ্ডরা
49,Sehne::N,сухажылле,কণ্ডরা
50,Knochen::N,косць,অস্থি
51,Gehirn::N,мозг,মস্তিষ্ক
52,Herz::N,сэрца,হৃৎপিণ্ড
53,Magen::N,страўнік,পাকস্থলী
54,Leber::N,печань,যকৃৎ
55,Atem::N,дыханне,শ্বাস
56,Hunger::N,голад,ক্ষুধা
57,Träne::N,сляза,অশ্রু
58,Geschmack::N,смак,স্বাদ
59,Geruch::N,пах,গন্ধ
60,Schlaf::N,сон,ঘুম
61,Traum::N,сон,স্বপ্ন
62,Himmel::N,неба,আকাশ
63,Sonne::N,сонца,সূর্য
64,Mond::N,месяц,চন্দ্র
65,Stern::N,зорка,নক্ষত্র
66,Luft::N,паветра,বায়ু
67,Wind::N,вецер,বাতাস
68,Welle::N,хваля,ঢেউ
69,Welle::N,хваля,তরঙ্গ
70,Wasser::N,вада,জল
71,Stein::N,камень,ঢিল
72,Stein::N,камень,প্রস্তর
73,Boden::N,глеба,ভূতল
74,Erde::N,зямля,ভূমি
75,Staub::N,пыл,ধুলা
76,Rauch::N,дым,ধোঁয়া
77,Funke::N,іскра,স্ফুলিঙ্গ
78,Feuer::N,агонь,অগ্নি
79,Licht::N,святло,আলো
80,Schatten::N,цень,ছায়া
81,Wetter::N,пагода,আবহাওয়া
82,Wetter::N,надворʼе,আবহাওয়া
83,Nebel::N,туман,কুহেলিকা
84,Wolke::N,воблака,মেঘ
85,Regen::N,дождж,বৃষ্টি
86,Schnee::N,снег,তুষার
87,Eis::N,лёд,বরফ
88,Frost::N,мароз,তুষার
89,Kälte::N,холад,শৈত্য
90,Hitze::N,спёка,তাপ
91,Raureif::N,іней,তুহিন
92,Regenbogen::N,вясёлка,রামধনু
93,Donner::N,гром,বজ্রধ্বনি
94,Strömung::N,цячэнне,স্রোত
95,Tropfen::N,кропля,ফোঁটা
96,Schaum::N,пена,ফেনা
97,Schmutz::N,гразь,ধুলা
98,See::N,возера,হ্রদ
99,Sumpf::N,багна,জলা
100,Moor::N,балота,মাঠ
101,Wiese::N,луг,তৃণভূমি
102,Wald::N,лес,বন
103,Hügel::N,узгорак,পাহাড়
104,Anhöhe::N,узвышша,টিলা
105,Berg::N,гара,পর্বত
106,Gipfel::N,вяршыня,শীর্ষ
107,Höhle::N,пячора,গুহা
108,Abhang::N,схіл,ঢাল
109,Quelle::N,крыніца,উৎস
110,Bach::N,ручай,ক্ষুদ্র নদী
111,Fluss::N,рака,নদী
112,Ufer::N,бераг,উপকূল
113,Küste::N,узбярэжжа,তীর
114,Festland::N,суша,ভূমি
115,Meer::N,мора,সমুদ্র
116,Bucht::N,бухта,উপসাগর
117,Insel::N,востраў,দ্বীপ
118,Blume::N,кветка,ফুল
119,Gras::N,трава,ঘাস
120,Wurzel::N,корань,শিকড়
121,Baum::N,дрэва,গাছ
122,Stamm::N,ствол,স্কন্ধ
123,Rinde::N,кара,বল্কল
124,Ast::N,сук,শাখা
125,Zweig::N,галіна,ডাল
126,Blatt::N,ліст,পর্ণ
127,Birke::N,бяроза,ভুর্জ
128,Kiefer[Baum]::N,хвоя,পাইন গাছ
129,Kiefer[Baum]::N,сасна,পাইন গাছ
130,Weide[Baum]::N,вярба,উইলো
131,Tanne::N,яліна,দেবদারূ গাছ
132,Horn::N,рог,শিং
133,Feder::N,пяро,পালক
134,Fell::N,шкура,রোম
135,Flügel::N,крыло,ডানা
136,Klaue::N,кіпцюр,নখর
137,Kralle::N,лапа,নখর
138,Schwanz::N,хвост,লেজ
139,Ei::N,яйка,ডিম
140,Nest::N,гняздо,কুলায়
141,Bau::N,нара,ডেরা
142,Tier::N,жывёла,জন্তু
143,Herde::N,статак,ঝাঁক
144,Kuh::N,карова,গোরু
145,Bulle::N,бык,বৃষ
146,Pferd::N,конь,ঘোড়া
147,Schaf::N,авечка,ভেড়া
148,Schwein::N,свіння,শূকর
149,Hund::N,сабака,কুকুর
150,Katze::N,кошка,বেড়াল
151,Bär::N,мядзведзь,ভল্লুক
152,Eichhörnchen::N,вавёрка,কাঠবিড়াল
153,Elch::N,лось,হরিণবিশেষ
154,Fuchs::N,ліса,পাঁতিশিয়াল
155,Hase::N,заяц,শশক
156,Maus::N,мыш,নেংটি ইঁদুর
157,Wolf::N,воўк,নেকড়ে
158,Vogel::N,птах,পক্ষী
159,Vogel::N,птушка,পক্ষী
160,Schwarm::N,чарада,ঝাঁক
161,Huhn::N,курыца,মোরগ
162,Hahn::N,певень,কুক্কুট
163,Gans::N,гусь,হংসী
164,Adler::N,арол,ইগল
165,Ente::N,качка,হংসী
166,Eule::N,сава,পেচক
167,Kranich::N,жораў,সারস
168,Kranich::N,журавель,সারস
169,Krähe::N,варона,কাক
170,Kuckuck::N,зязюля,কোকিল
171,Schwan::N,лебедзь,মরাল
172,Fisch::N,рыба,মাছ
173,Barsch::N,акунь,মৎন্যবিশেষ
174,Hecht::N,шчупак,বানমাছ
175,Schlange[Tier]::N,змяя,সর্প
176,Wurm::N,чарвяк,কীট
177,Spinne::N,павук,মাকড়সা
178,Ameise::N,мурашка,পিপীলিকা
179,Laus::N,вош,উকুন
180,Mücke::N,камар,মশা
181,Fliege::N,муха,মাছি
182,Schmetterling::N,матыль,প্রজাপতি
183,Beere::N,ягада,বেরি
184,Apfel::N,яблык,আপেল
185,Pilz::N,грыб,ছত্রক
186,Zwiebel::N,цыбуля,পিয়াজ
187,Saat::N,семя,বীজ
188,Korn::N,зерне,শস্য
189,Heu::N,сена,খড়
190,Schale::N,шалупінне,খোসা
191,Grube::N,яма,গর্ত
