,Concept_ID,en,el
0,Auge::N,eye,μάτι
1,Auge::N,eye,οφθαλμός
2,Ohr::N,ear,αυτί
3,Nase::N,nose,μύτη
4,Mund::N,mouth,στόμα
5,Zahn::N,tooth,δόντι
6,Zunge::N,tongue,γλώσσα
7,Lippe::N,lip,χείλος
8,Wange::N,cheek,παρειά
9,Wange::N,cheek,μάγουλο
10,Gesicht::N,face,πρόσωπο
11,Stirn::N,forehead,μέτωπο
12,Haar::N,hair,μαλλιά
13,Schnurrbart::N,moustache,μουστάκι
14,Bart::N,beard,γένια
15,Kinn::N,chin,πιγούνι
16,Kiefer[Anatomie]::N,jaw,σαγόνι
17,Kehle::N,throat,λαρύγγι
18,Hals::N,neck,λαιμός
19,Genick::N,nape,σβέρκος
20,Kopf::N,head,κεφάλι
21,Rücken::N,back,ράχη
22,Rücken::N,spine,ράχη
23,Bauch::N,belly,κοιλιά
24,Nabel::N,navel,αφαλός
25,Busen::N,bosom,στήθος
26,Brust::N,chest,στήθος
27,Brust::N,breast,στήθος
28,Schulter::N,shoulder,ώμος
29,Arm::N,arm,χέρι
30,Arm::N,arm,μπράτςο
31,Ellenbogen::N,elbow,αγκώνας
32,Hand::N,hand,χέρι
33,Handfläche::N,palm,παλάμη
34,Finger::N,finger,δάχτυλο
35,Fingernagel::N,fingernail,νύχι
36,Nagel[Anatomie]::N,nail,νύχι
37,Zeh::N,toe,δάχτυλο του ποδιού
38,Fuß::N,foot,πόδι
39,Ferse::N,heel,φτέρνα
40,Knie::N,knee,γόνατο
41,Oberschenkel::N,thigh,μηρός
42,Bein::N,leg,πόδι
43,Körper::N,body,σώμα
44,Körper::N,body,κορμί
45,Haut::N,skin,πετσί
46,Blut::N,blood,αίμα
47,Ader::N,vein,φλέβα
48,Sehne::N,sinew,νεύρο
49,Sehne::N,sinew,τένοντας
50,Knochen::N,bone,οστό
51,Knochen::N,bone,κόκκαλο
52,Gehirn::N,brain,μυαλό
53,Gehirn::N,brain,εγκέφαλος
54,Herz::N,heart,καρδιά
55,Magen::N,stomach,στομάχι
56,Leber::N,liver,ήπαρ
57,Leber::N,liver,συκωτί
58,Atem::N,breath,αναπνοή
59,Hunger::N,hunger,πείνα
60,Träne::N,tear,δάκρυ
61,Geschmack::N,flavour,γεύση
62,Geschmack::N,flavor,γεύση
63,Geruch::N,odour,οσμή
64,Geruch::N,odour,μυρωδία
65,Geruch::N,odor,οσμή
66,Geruch::N,odor,μυρωδία
67,Schlaf::N,sleep,ύπνος
68,Traum::N,dream,όνειρο
69,Himmel::N,sky,ουρανός
70,Sonne::N,sun,ήλιος
71,Mond::N,moon,σελήνη
72,Mond::N,moon,φεγγάρι
73,Stern::N,star,άστρο
74,Stern::N,star,αστέρι
75,Luft::N,air,αέρας
76,Wind::N,wind,αέρας
77,Wind::N,wind,άνεμος
78,Welle::N,wave,κύμα
79,Wasser::N,water,νερό
80,Stein::N,stone,πέτρα
81,Boden::N,soil,χώμα
82,Boden::N,ground,χώμα
83,Erde::N,earth,γη
84,Staub::N,dust,σκόνη
85,Rauch::N,smoke,καπνός
86,Funke::N,spark,σπίθα
87,Funke::N,spark,σπινθήρας
88,Feuer::N,fire,φωτιά
89,Licht::N,light,φως
90,Schatten::N,shadow,σκιά
91,Schatten::N,shadow,ίσκιος
92,Wetter::N,weather,καιρός
93,Nebel::N,fog,ομίχλη
94,Wolke::N,cloud,σύννεφο
95,Regen::N,rain,βροχή
96,Schnee::N,snow,χιόνι
97,Eis::N,ice,πάγος
98,Frost::N,frost,παγωνία
99,Kälte::N,chill,κρύο
100,Kälte::N,chill,ψύχος
101,Hitze::N,heat,ζέστη
102,Raureif::N,hoarfrost,πάχνη
103,Regenbogen::N,rainbow,ουράνιο τόξο
104,Donner::N,thunder,βροντή
105,Strömung::N,current,ρεύμα
106,Tropfen::N,drop,στάλα
107,Schaum::N,foam,αφρός
108,Schmutz::N,dirt,βρωμιά
109,See::N,lake,λίμνη
110,Sumpf::N,swamp,βάλτος
111,Moor::N,moor,έλος
112,Wiese::N,meadow,λιβάδι
113,Wald::N,forest,δάσος
114,Hügel::N,hill,λόφος
115,Anhöhe::N,elevation,ύψωμα
116,Berg::N,mountain,όρος
117,Berg::N,mountain,βουνό
118,Gipfel::N,summit,κορυφή
119,Höhle::N,cave,σπηλιά
120,Abhang::N,slope,πλαγιά
121,Quelle::N,source,πηγή
122,Quelle::N,source,βρύση
123,Bach::N,brook,ρυάκι
124,Fluss::N,river,ποτάμι
125,Fluss::N,river,ποταμός
126,Ufer::N,shore,όχθη
127,Küste::N,coast,ακτή
128,Küste::N,coast,ακρογιαλιά
129,Festland::N,land,στεριά
130,Meer::N,sea,θάλασσα
131,Bucht::N,cove,κόλπος
132,Insel::N,island,νησί
133,Insel::N,island,νήσος
134,Blume::N,flower,άνθος
135,Blume::N,flower,λουλούδι
136,Gras::N,grass,χόρτο
137,Gras::N,grass,χορτάρι
