,Concept_ID,he,sv
0,Auge::N,עין,öga
1,Ohr::N,אזן,öra
2,Nase::N,אף,näsa
3,Nase::N,חטם,näsa
4,Mund::N,פה,mun
5,Zahn::N,שן,tand
6,Zunge::N,לשון,tunga
7,Lippe::N,שפה,läpp
8,Wange::N,לחי,kind
9,Gesicht::N,פנים,syn
10,Gesicht::N,פנים,ansikte
11,Stirn::N,מצח,panna
12,Haar::N,שערה,hår
13,Schnurrbart::N,שפם,mustasch
14,Bart::N,זקן,skägg
15,Kinn::N,סנטר,haka
16,Kiefer[Anatomie]::N,לסת,käke
17,Kehle::N,גרון,strupe
18,Hals::N,צואר,hals
19,Genick::N,ערף,nacke
20,Kopf::N,ראש,huvud
21,Rücken::N,גב,rygg
22,Bauch::N,בטן,buk
23,Bauch::N,בטן,mage
24,Nabel::N,טבור,navel
25,Busen::N,שד,barm
26,Brust::N,חזה,bröst
27,Schulter::N,כתף,skuldra
28,Arm::N,זרוע,arm
29,Ellenbogen::N,מרפק,armbåge
30,Hand::N,יד,hand
31,Handfläche::N,כף יד,handflata
32,Finger::N,אצבע,finger
33,Fingernagel::N,צפרן,fingernagel
34,Nagel[Anatomie]::N,צפרן,nagel
35,Zeh::N,אצבע,tå
36,Fuß::N,רגל,fot
37,Ferse::N,עקב,häl
38,Knie::N,ברך,knä
39,Oberschenkel::N,ירך,lår
40,Bein::N,רגל,ben
41,Körper::N,גוף,kropp
42,Haut::N,עור,hud
43,Haut::N,עור,skinn
44,Blut::N,דם,blod
45,Ader::N,וריד,åder
46,Sehne::N,גיד,sena
47,Knochen::N,עצם,ben
48,Gehirn::N,מוח,hjärna
49,Herz::N,לב,hjärta
50,Magen::N,קבה,mage
51,Leber::N,כבד,lever
52,Atem::N,נשימה,anda
53,Atem::N,נשימה,andedräkt
54,Hunger::N,רעב,svält
55,Hunger::N,רעב,hunger
56,Träne::N,דמעה,tår
57,Geschmack::N,טעם,smak
58,Geruch::N,ריח,lukt
59,Schlaf::N,שנה,sömn
60,Traum::N,חלום,dröm
61,Himmel::N,שמים,himmel
62,Sonne::N,שמש,sol
63,Mond::N,ירח,måne
64,Stern::N,כוכב,stjärna
65,Luft::N,אויר,luft
66,Wind::N,רוח,vind
67,Welle::N,גל,våg
68,Welle::N,גל,bölja
69,Wasser::N,מים,vatten
70,Stein::N,אבן,sten
71,Boden::N,קרקע,mark
72,Erde::N,אדמה,jord
73,Staub::N,אבק,damm
74,Rauch::N,עשן,rök
75,Funke::N,ניצוץ,gnista
76,Feuer::N,אש,eld
77,Licht::N,אור,ljus
78,Schatten::N,צל,skugga
79,Wetter::N,מזג אויר,väder
80,Nebel::N,ערפל,dimma
81,Nebel::N,ערפל,töcken
82,Wolke::N,ענן,sky
83,Wolke::N,ענן,moln
84,Regen::N,גשם,regn
85,Schnee::N,שלג,snö
86,Eis::N,קרח,is
87,Frost::N,צנה,frost
88,Kälte::N,קר,köld
89,Hitze::N,חם,hetta
90,Raureif::N,כפור,rimfrost
91,Regenbogen::N,קשת,regnbåge
92,Donner::N,רעם,åska
93,Donner::N,רעם,dunder
94,Strömung::N,זרימה,strömning
95,Tropfen::N,טפה,dropper
96,Schaum::N,קצף,skum
97,Schmutz::N,לכלוך,lort
98,Schmutz::N,לכלוך,smuts
99,See::N,אגם,sjö
100,Sumpf::N,בצה,träsk
101,Moor::N,בצה,myr
102,Moor::N,בצה,mosse
103,Wiese::N,מרעה,äng
104,Wald::N,יער,skog
105,Hügel::N,תל,höjd
106,Hügel::N,תל,kulle
107,Anhöhe::N,מעלה,höjd
108,Anhöhe::N,מעלה,backe
109,Berg::N,הר,berg
110,Berg::N,הר,fjäll
111,Gipfel::N,פסגה,topp
112,Höhle::N,מערה,håla
113,Höhle::N,מערה,grotta
114,Abhang::N,מדרון,slänt
115,Abhang::N,מדרון,sluttning
116,Abhang::N,שפוע,slänt
117,Abhang::N,שפוע,sluttning
118,Quelle::N,מעין,källa
119,Bach::N,נחל,bäck
120,Fluss::N,נהר,älv
121,Fluss::N,נהר,flod
122,Ufer::N,גדה,strand
123,Küste::N,חוף,kust
124,Festland::N,יבשה,fastland
125,Meer::N,ים,hav
126,Bucht::N,מפרץ,vik
127,Bucht::N,מפרץ,bukt
128,Insel::N,אי,ö
