,Concept_ID,et,es
0,Auge::N,silm,ojo
1,Ohr::N,kõrv,oreja
2,Nase::N,nina,nariz
3,Mund::N,suu,boca
4,Zahn::N,hammas,diente
5,Zunge::N,keel,lengua
6,Lippe::N,huul,labio
7,Wange::N,põsk,mejilla
8,Gesicht::N,nägu,cara
9,Stirn::N,otsmik,frente
10,Haar::N,juus,cabello
11,Schnurrbart::N,vurrud,bigote
12,Schnurrbart::N,vuntsid,bigote
13,Bart::N,habe,barba
14,Kinn::N,lõug,barbilla
15,Kiefer[Anatomie]::N,lõualuu,mandíbula
16,Kehle::N,kõri,garganta
17,Hals::N,kael,cuello
18,Genick::N,kukal,nuca
19,Genick::N,kukal,cerviz
20,Kopf::N,pea,cabeza
21,Rücken::N,selg,espalda
22,Bauch::N,kõht,vientre
23,Nabel::N,naba,ombligo
24,Busen::N,rind,pecho
25,Brust::N,rind,pecho
26,Schulter::N,õlg,hombro
27,Arm::N,käsivars,brazo
28,Ellenbogen::N,küünarnukk,codo
29,Hand::N,käsi,mano
30,Handfläche::N,pihk,palma
31,Finger::N,sõrm,dedo
32,Fingernagel::N,küüs,uña
33,Nagel[Anatomie]::N,küüs,uña
34,Zeh::N,varvas,dedo del pie
35,Fuß::N,jalg,pie
36,Ferse::N,kand,talón
37,Knie::N,põlv,rodilla
38,Oberschenkel::N,reis,muslo
39,Bein::N,jalg,pierna
40,Körper::N,ihu,cuerpo
41,Körper::N,keha,cuerpo
42,Haut::N,nahk,piel
43,Blut::N,veri,sangre
44,Ader::N,veen,vena
45,Sehne::N,kõõlus,tendón
46,Knochen::N,luu,hueso
47,Gehirn::N,aju,cerebro
48,Gehirn::N,aju,encéfalo
49,Herz::N,süda,corazón
50,Magen::N,magu,estómago
51,Leber::N,maks,hígado
52,Atem::N,hingeõhk,aliento
53,Atem::N,hingamine,aliento
54,Hunger::N,nälg,hambre
55,Träne::N,pisar,lágrima
56,Geschmack::N,maitse,gusto
57,Geruch::N,lõhn,olor
58,Schlaf::N,uni,sueño
59,Traum::N,unenägu,sueño
60,Traum::N,unenägu,ensueño
61,Himmel::N,taevas,cielo
62,Sonne::N,päike,sol
63,Mond::N,kuu,luna
64,Stern::N,täht,estrella
65,Luft::N,õhk,aire
66,Wind::N,tuul,viento
67,Welle::N,laine,ola
68,Welle::N,laine,onda
69,Wasser::N,vesi,agua
70,Stein::N,kivi,piedra
71,Boden::N,maa,suelo
72,Boden::N,pinnas,suelo
73,Erde::N,maa,tierra
74,Staub::N,põrm,polvo
75,Rauch::N,suits,humo
76,Funke::N,säde,chispa
77,Feuer::N,tuli,fuego
78,Licht::N,valgus,luz
79,Schatten::N,vari,sombra
80,Wetter::N,ilm,tiempo
81,Nebel::N,udu,niebla
82,Wolke::N,pilv,nube
83,Regen::N,sadu,lluvia
84,Schnee::N,lumi,nieve
85,Eis::N,jää,hielo
86,Frost::N,pakane,helada
87,Kälte::N,külm,frío
88,Kälte::N,külmus,frío
89,Hitze::N,kuumus,calor
90,Hitze::N,palavus,calor
91,Raureif::N,härmatis,escarcha
92,Regenbogen::N,vikerkaar,arco iris
93,Donner::N,kõu,trueno
94,Donner::N,müristamine,trueno
95,Strömung::N,voolus,corriente
96,Strömung::N,jõevool,corriente
97,Tropfen::N,tilk,gota
98,Schaum::N,vaht,espuma
99,Schmutz::N,pori,suciedad
100,Schmutz::N,mustus,suciedad
101,See::N,järv,lago
102,Sumpf::N,soo,pantano
103,Moor::N,raba,turbera
104,Wiese::N,aas,prado
105,Wiese::N,aas,pradera
106,Wiese::N,nurm,prado
107,Wiese::N,nurm,pradera
108,Wald::N,mets,bosque
109,Hügel::N,küngas,colina
110,Anhöhe::N,küngas,cerro
111,Berg::N,mägi,monte
112,Berg::N,mägi,montaña
113,Gipfel::N,mäetipp,cima
114,Gipfel::N,mäetipp,cumbre
115,Höhle::N,koobas,cueva
116,Höhle::N,koobas,caverna
117,Abhang::N,nõlvak,cuesta
118,Abhang::N,nõlvak,declive
119,Quelle::N,allikas,fuente
120,Quelle::N,allikas,manantial
121,Bach::N,oja,arroyo
122,Fluss::N,jõgi,río
123,Ufer::N,kallas,orilla
124,Küste::N,rannik,costa
125,Festland::N,mander,tierra firme
126,Festland::N,maismaa,tierra firme
127,Meer::N,meri,mar
128,Bucht::N,laht,cala
129,Bucht::N,laht,bahía
130,Insel::N,saar,isla
131,Blume::N,lill,flor
132,Gras::N,rohi,hierba
133,Wurzel::N,juur,raíz
134,Baum::N,puu,árbol
135,Stamm::N,tüvi,tronco
136,Rinde::N,koor,corteza
137,Ast::N,oks,rama
138,Zweig::N,oks,ramo
139,Blatt::N,leht,hoja
140,Birke::N,kask,abedul
141,Kiefer[Baum]::N,mänd,pino
142,Weide[Baum]::N,paju,sauce
143,Tanne::N,nulg,abeto
144,Horn::N,sarv,asta
145,Horn::N,sarv,cuerno
146,Feder::N,sulg,pluma
147,Fell::N,karvkate,piel
148,Fell::N,karusnahk,piel
149,Flügel::N,tiib,ala
150,Flügel::N,tiivik,ala
151,Klaue::N,küüs,garra
152,Kralle::N,küünis,uña
153,Kralle::N,küünis,garra
154,Schwanz::N,saba,cola
155,Ei::N,muna,huevo
156,Nest::N,pesa,nido
157,Bau::N,urg,madriguera
158,Tier::N,loom,animal
159,Herde::N,kari,rebaño
160,Kuh::N,lehm,vaca
161,Bulle::N,pull,toro
162,Pferd::N,hobune,caballo
163,Schaf::N,lammas,oveja
164,Schwein::N,siga,cerdo
165,Hund::N,koer,perro
166,Katze::N,kass,gato
167,Bär::N,karu,oso
168,Eichhörnchen::N,orav,ardilla
169,Elch::N,põder,alce
170,Fuchs::N,rebane,zorro
171,Hase::N,jänes,liebre
172,Maus::N,hiir,ratón
173,Wolf::N,hunt,lobo
174,Vogel::N,lind,ave
175,Vogel::N,lind,pájaro
176,Schwarm::N,parv,bandada
177,Huhn::N,kana,gallina
178,Hahn::N,kukk,gallo
179,Gans::N,hani,oca
180,Gans::N,hani,ganso
181,Adler::N,kotkas,águila
182,Ente::N,part,pato
183,Eule::N,kakk,lechuza
184,Eule::N,öökull,lechuza
185,Kranich::N,kurg,grulla
186,Krähe::N,vares,corneja
187,Kuckuck::N,kägu,cuco
188,Schwan::N,luik,cisne
189,Fisch::N,kala,pez
190,Barsch::N,ahven,perca
191,Hecht::N,haug,lucio
192,Schlange[Tier]::N,uss,serpiente
193,Wurm::N,uss,gusano
194,Wurm::N,vagel,gusano
195,Spinne::N,ämblik,araña
196,Ameise::N,sipelgas,hormiga
197,Laus::N,täi,piojo
198,Mücke::N,sääsk,mosquito
199,Fliege::N,kärbes,mosca
200,Schmetterling::N,liblikas,mariposa
201,Beere::N,mari,baya
202,Apfel::N,õun,manzana
203,Pilz::N,seen,seta
204,Pilz::N,seen,hongo
205,Zwiebel::N,sibul,cebolla
206,Saat::N,seeme,siembra
207,Korn::N,iva,grano
208,Korn::N,tera,grano
209,Heu::N,hein,heno
210,Schale::N,koor,cáscara
211,Grube::N,kaevand,foso
212,Falle::N,lõks,trampa
213,Falle::N,püünis,trampa
214,Schlinge::N,aas,lazo
215,Spur::N,jälg,huella
216,Asche::N,tuhk,ceniza
217,Dreck::N,saast,suciedad
218,Dreck::N,mustus,suciedad
219,Eisen::N,raud,hierro
220,Gold::N,kuld,oro
221,Silber::N,hõbe,plata
222,Kohle::N,süsi,carbón
223,Glas::N,klaas,vidrio
224,Glas::N,klaas,cristal
225,Lehm::N,savi,barro
226,Sand::N,liiv,arena
227,Mensch::N,inimene,hombre
228,Mensch::N,inimene,ser humano
229,Mann::N,mees,hombre
230,Frau::N,naine,mujer
231,Kind::N,laps,niño
232,Junge::N,poiss,chico
233,Junge::N,poiss,muchacho
234,Mädchen::N,tüdruk,chica
235,Mädchen::N,tüdruk,muchacha
236,Familie::N,perekond,familia
237,Großvater::N,vanaisa,abuelo
238,Großmutter::N,vanaema,abuela
239,Eltern::N,vanemad,padres
240,Vater::N,isa,padre
241,Mutter::N,ema,madre
242,Sohn::N,poeg,hijo
243,Tochter::N,tütar,hija
244,Bruder::N,vend,hermano
245,Schwester::N,õde,hermana
246,Onkel::N,onu,tío
247,Tante::N,tädi,tía
248,Ehemann::N,mees,esposo
249,Ehemann::N,abikaasa,esposo
250,Ehefrau::N,naine,esposa
251,Ehefrau::N,abikaasa,esposa
252,Freude::N,rõõm,placer
253,Freude::N,rõõm,alegría
254,Gelächter::N,naer,risa
255,Gelächter::N,naer,carcajada
256,Glück::N,õnn,felicidad
257,Kummer::N,mure,pena
258,Kummer::N,kurbus,pena
259,Wunsch::N,soov,deseo
260,Lust::N,himu,ganas
261,Geist::N,vaim,mente
262,Geist::N,vaim,espíritu
263,Gedanke::N,mõte,idea
264,Gedanke::N,mõte,pensamiento
265,Gedächtnis::N,mälu,memoria
266,Verstand::N,aru,razón
267,Verstand::N,aru,entendimiento
268,Verstand::N,mõistus,razón
269,Verstand::N,mõistus,entendimiento
270,Sinn::N,tähendus,sentido
271,Sinn::N,tähendus,significado
272,Grund::N,põhjus,causa
273,Wahrheit::N,tõde,verdad
274,Gespräch::N,kõne,conversación
275,Gespräch::N,vestlus,conversación
276,Märchen::N,muinasjutt,cuento
277,Erzählung::N,jutustus,cuento
278,Erzählung::N,jutustus,narración
279,Nachricht::N,teade,mensaje
280,Neuigkeit::N,uudis,noticia
281,Name::N,nimi,nombre
282,Rätsel::N,mõistatus,acertijo
283,Rätsel::N,mõistatus,adivinanza
284,Rede::N,kõne,discurso
285,Sprache::N,keel,lengua
286,Stimme::N,hääl,voz
287,Wort::N,sõna,palabra
288,Zeichen::N,märk,señal
289,Ruf::N,hüüe,llamada
290,Lärm::N,müra,ruido
291,Lärm::N,müra,barullo
292,Laut::N,hääl,sonido
293,Ton::N,toon,tono
294,Lied::N,laul,canción
295,Ruhe::N,rahu,calma
296,Ruhe::N,rahu,silencio
297,Ruhe::N,vaikus,calma
298,Ruhe::N,vaikus,silencio
299,Leute::N,inimesed,gente
300,Volk::N,rahvas,pueblo
301,Arbeit::N,töö,trabajo
302,Gast::N,külaline,huésped
303,Gast::N,külaline,invitado
304,Geschenk::N,kingitus,regalo
305,Spiel::N,mäng,juego
