,Concept_ID,sv,ku
0,Auge::N,öga,çav
1,Ohr::N,öra,guh
2,Nase::N,näsa,bêvil
3,Mund::N,mun,dev
4,Zahn::N,tand,didan
5,Zunge::N,tunga,ziman
6,Lippe::N,läpp,lêv
7,Wange::N,kind,dêm
8,Wange::N,kind,hinarik
9,Gesicht::N,syn,rû
10,Gesicht::N,ansikte,rû
11,Stirn::N,panna,enî
12,Haar::N,hår,por
13,Schnurrbart::N,mustasch,simbêl
14,Bart::N,skägg,rih
15,Kinn::N,haka,zenî
16,Kiefer[Anatomie]::N,käke,arguşk
17,Kehle::N,strupe,qirik
18,Hals::N,hals,stû
19,Hals::N,hals,qirik
20,Genick::N,nacke,stû
21,Kopf::N,huvud,serî
22,Rücken::N,rygg,pişt
23,Bauch::N,buk,ûr
24,Bauch::N,buk,zik
25,Bauch::N,mage,ûr
26,Bauch::N,mage,zik
27,Nabel::N,navel,navik
28,Busen::N,barm,sîng
29,Brust::N,bröst,sîng
30,Schulter::N,skuldra,mil
31,Arm::N,arm,çepil
32,Ellenbogen::N,armbåge,enîşk
33,Hand::N,hand,dest
34,Handfläche::N,handflata,kefadest
35,Finger::N,finger,tilî
36,Fingernagel::N,fingernagel,neynuk
37,Nagel[Anatomie]::N,nagel,bizmar
38,Zeh::N,tå,tilî linga
39,Fuß::N,fot,ling
40,Ferse::N,häl,pahnî
41,Knie::N,knä,kabok
42,Oberschenkel::N,lår,rahn
43,Bein::N,ben,çip
44,Körper::N,kropp,laş
45,Körper::N,kropp,gowde
46,Haut::N,hud,çerm
47,Haut::N,skinn,çerm
48,Blut::N,blod,xwîn
49,Ader::N,åder,reh
50,Sehne::N,sena,reh
51,Knochen::N,ben,hestî
52,Gehirn::N,hjärna,mêjî
53,Herz::N,hjärta,dil
54,Magen::N,mage,navêş
55,Leber::N,lever,kezeb
56,Atem::N,anda,hilm
57,Atem::N,andedräkt,hilm
58,Hunger::N,svält,birçîtî
59,Hunger::N,hunger,birçîtî
60,Träne::N,tår,hêstir
61,Geschmack::N,smak,tam
62,Geruch::N,lukt,bêhn
63,Schlaf::N,sömn,xew
64,Traum::N,dröm,xewn
65,Himmel::N,himmel,ezman
66,Sonne::N,sol,roj
67,Mond::N,måne,heyv
68,Stern::N,stjärna,stêrk
69,Luft::N,luft,ba
70,Wind::N,vind,ba
71,Welle::N,våg,şewl
72,Welle::N,bölja,şewl
73,Wasser::N,vatten,av
74,Stein::N,sten,kevir
75,Boden::N,mark,herd
76,Erde::N,jord,ax
77,Staub::N,damm,toz
78,Rauch::N,rök,dû
79,Funke::N,gnista,çirûşk
80,Feuer::N,eld,agir
81,Licht::N,ljus,ronahî
82,Schatten::N,skugga,sî
83,Wetter::N,väder,hewa
84,Nebel::N,dimma,mij
85,Nebel::N,töcken,mij
86,Wolke::N,sky,ewr
87,Wolke::N,moln,ewr
88,Regen::N,regn,baran
89,Schnee::N,snö,berf
90,Eis::N,is,qeşa
91,Frost::N,frost,xûsik
92,Kälte::N,köld,serma
93,Hitze::N,hetta,germayî
94,Raureif::N,rimfrost,şext
95,Regenbogen::N,regnbåge,heftreng
96,Donner::N,åska,gire-gir
97,Donner::N,dunder,gire-gir
98,Strömung::N,strömning,şewl
99,Tropfen::N,dropper,dilop
100,Schaum::N,skum,kef
101,Schmutz::N,lort,gemar
102,Schmutz::N,smuts,gemar
103,See::N,sjö,gol
104,Sumpf::N,träsk,hezek
105,Moor::N,myr,mafêl
106,Moor::N,mosse,mafêl
107,Wiese::N,äng,sûrik
108,Wald::N,skog,çiya
109,Wald::N,skog,daristan
110,Hügel::N,höjd,gir
111,Hügel::N,kulle,gir
112,Anhöhe::N,höjd,sere gir
113,Anhöhe::N,backe,sere gir
114,Berg::N,berg,kaş
115,Berg::N,fjäll,kaş
116,Gipfel::N,topp,sere gir
117,Höhle::N,håla,şikeft
118,Höhle::N,grotta,şikeft
119,Abhang::N,slänt,kaş
120,Abhang::N,sluttning,kaş
121,Quelle::N,källa,kanî
122,Bach::N,bäck,çem
123,Fluss::N,älv,çem
124,Fluss::N,älv,rûbar
125,Fluss::N,flod,çem
126,Fluss::N,flod,rûbar
127,Ufer::N,strand,kevî
128,Küste::N,kust,berav
129,Festland::N,fastland,bejahî
130,Meer::N,hav,behr
131,Bucht::N,vik,derav
132,Bucht::N,bukt,derav
133,Insel::N,ö,girav
134,Blume::N,blomma,kulînk
135,Blume::N,blomster,kulînk
136,Gras::N,gräs,giha
137,Wurzel::N,rot,reh
138,Baum::N,träd,dar
139,Stamm::N,stam,bavik
140,Rinde::N,bark,qaqil
141,Ast::N,gren,gulî
142,Zweig::N,kvist,şax
143,Blatt::N,löv,pel
144,Blatt::N,blad,pel
145,Birke::N,björk,dara sipî
146,Kiefer[Baum]::N,tall,dara bî
147,Weide[Baum]::N,pil,dara belalûk
148,Weide[Baum]::N,vide,dara belalûk
149,Tanne::N,gran,merx
150,Horn::N,horn,strô
151,Feder::N,fjäder,pîrtîk
152,Fell::N,fäll,heyar
153,Fell::N,skinn,heyar
154,Flügel::N,vinge,per
155,Klaue::N,klöv,napîk
156,Kralle::N,klo,dinik
157,Kralle::N,klo,dirnax
158,Schwanz::N,svans,dûv
159,Schwanz::N,stjärt,dûv
160,Ei::N,ägg,hêk
161,Nest::N,rede,hêlîn
162,Nest::N,näste,hêlîn
163,Bau::N,bo,avahî
164,Tier::N,djur,heywan
165,Herde::N,flock,hoz
166,Kuh::N,ko,çêlek
167,Bulle::N,tjur,ga
168,Pferd::N,häst,hesp
169,Schaf::N,får,mîh
170,Schwein::N,svin,beraz
171,Hund::N,hund,seh
172,Katze::N,katt,pişîk
173,Bär::N,björn,hirç
174,Eichhörnchen::N,ekorre,pilûr
175,Elch::N,älg,pazkovî
176,Fuchs::N,räv,rovî
177,Hase::N,hare,kîroşk
178,Maus::N,mus,mişk
179,Wolf::N,varg,gur
180,Vogel::N,fågel,çûk
181,Schwarm::N,svärm,lufik
182,Huhn::N,höns,mirîşk
183,Hahn::N,tupp,dîk
184,Gans::N,gås,qaz
185,Adler::N,örn,eylo
186,Ente::N,anka,werdek
187,Eule::N,uggla,bûm
188,Eule::N,uggla,kund
189,Kranich::N,trana,quling
190,Krähe::N,kråka,qijik
191,Kuckuck::N,gök,pepûk
192,Schwan::N,svan,qû
193,Fisch::N,fisk,masî
194,Barsch::N,abborre,okûn
195,Hecht::N,gädda,mesîyê lûf
196,Schlange[Tier]::N,orm,mar
197,Wurm::N,mask,kurm
198,Spinne::N,spindel,pîrê
199,Ameise::N,myra,mîro
200,Ameise::N,myra,gêrîk
201,Laus::N,lus,spi
202,Mücke::N,mygga,mêş
203,Fliege::N,fluga,mêş
204,Schmetterling::N,fjäril,perperîk
205,Beere::N,bär,hirç
206,Apfel::N,äpple,sêv
207,Pilz::N,svamp,bîrov
208,Zwiebel::N,lök,pîvaz
209,Saat::N,sådd,tov
210,Korn::N,korn,dexl
211,Heu::N,hö,sap
212,Schale::N,skal,qaşik
213,Grube::N,grop,çahl
214,Falle::N,fälla,dafik
215,Schlinge::N,snara,dahf
216,Spur::N,spår,rêç
217,Asche::N,aska,xweli
218,Dreck::N,lort,gemarî
219,Eisen::N,järn,hesing
220,Gold::N,guld,zêr
221,Silber::N,silver,zîv
222,Kohle::N,kol,komir
223,Glas::N,glas,qedeh
224,Lehm::N,lera,kelpîç
225,Sand::N,sand,qûm
226,Mensch::N,människa,mirov
227,Mann::N,man,mêr
228,Frau::N,kvinna,jin
229,Kind::N,barn,zarok
230,Junge::N,pojke,kur
231,Mädchen::N,flicka,keç
232,Mädchen::N,flicka,keçik
233,Familie::N,familj,malbat
234,Großvater::N,morfar,bapîr
235,Großmutter::N,farmor,pîrik
236,Eltern::N,föräldrar,bavudê
237,Vater::N,far,bav
238,Mutter::N,mor,dê
239,Mutter::N,mor,dayik
240,Sohn::N,son,kur
241,Tochter::N,dotter,keç
242,Bruder::N,bror,bira
243,Schwester::N,syster,xweh
244,Onkel::N,morbror,am
245,Onkel::N,morbror,xal
246,Tante::N,tant,metik
247,Tante::N,tant,xaltîk
248,Ehemann::N,äkta man,mêr
249,Ehefrau::N,hustru,kulfet
250,Freude::N,fröjd,kêfxweşî
251,Freude::N,glädje,kêfxweşî
252,Gelächter::N,åtlöje,pîrqînî
253,Glück::N,lycka,bext
254,Kummer::N,sorg,derd
255,Wunsch::N,önskan,daxwaz
256,Wunsch::N,önskan,xwestek
257,Lust::N,lust,şewq
258,Geist::N,ande,aqil
259,Gedanke::N,tanke,fikir
260,Gedächtnis::N,minne,aqil
261,Verstand::N,förstånd,fêm
262,Sinn::N,mening,aqil
263,Sinn::N,betydelse,aqil
264,Grund::N,skäl,asas
265,Grund::N,grund,asas
266,Wahrheit::N,sanning,rastî
267,Gespräch::N,samtal,guftûgo
268,Märchen::N,saga,çirok
269,Erzählung::N,berättelse,çirok
270,Erzählung::N,berättelse,vegotin
271,Nachricht::N,meddelande,nûçe
272,Neuigkeit::N,nyhet,hewal
273,Name::N,namn,nav
274,Name::N,namn,paşnav
275,Rätsel::N,gåta,tiştonek
276,Rede::N,tal,gotar
277,Rede::N,tal,axavtin
278,Sprache::N,språk,ziman
279,Stimme::N,stämma,pejn
280,Wort::N,ord,gotin
281,Zeichen::N,tecken,şanek
282,Ruf::N,rop,hawar
283,Lärm::N,bråk,xarbalix
284,Lärm::N,oväsen,xarbalix
285,Laut::N,ljud,deng
286,Laut::N,ljud,hês
287,Ton::N,ton,awaz
