,Concept_ID,pt,os
0,Auge::N,olho,цӕст
1,Ohr::N,orelha,хъус
2,Nase::N,nariz,фындз
3,Mund::N,boca,дзых
4,Zahn::N,dente,дӕндаг
5,Zunge::N,língua,ӕвзаг
6,Lippe::N,lábio,был
7,Wange::N,face,рус
8,Wange::N,face,уадул
9,Wange::N,face,ӕхсӕрфарс
10,Gesicht::N,cara,цӕсгом
11,Gesicht::N,rosto,цӕсгом
12,Stirn::N,testa,ных
13,Haar::N,cabelo,хил
14,Schnurrbart::N,bigode,рихи
15,Bart::N,barba,зачъе
16,Kinn::N,queixo,роцъо
17,Kiefer[Anatomie]::N,maxila,ӕфсӕр
18,Kiefer[Anatomie]::N,mandíbula,ӕфсӕр
19,Kehle::N,garganta,хъуыр
20,Hals::N,colo,къубал
21,Hals::N,pescoço,къубал
22,Genick::N,nuca,къӕбут
23,Kopf::N,cabeça,сӕр
24,Rücken::N,dorso,фӕсонтӕ
25,Rücken::N,costas,фӕсонтӕ
26,Bauch::N,ventre,гуыбын
27,Bauch::N,barriga,гуыбын
28,Nabel::N,umbigo,бикъ
29,Busen::N,seio,дзидзи
30,Brust::N,peito,риу
31,Schulter::N,ombro,уӕхск
32,Arm::N,braço,цонг
33,Ellenbogen::N,cotovelo,рæмбын
34,Hand::N,mão,къух
35,Handfläche::N,palma,армытъӕпӕн
36,Handfläche::N,palma da mão,армытъӕпӕн
37,Finger::N,dedo,ӕнруылдз
38,Fingernagel::N,unha,ных
39,Nagel[Anatomie]::N,unha,ных
40,Zeh::N,dedo do pé,къух
41,Fuß::N,pé,фад
42,Ferse::N,calcanhar,зӕвӕт
43,Knie::N,joelho,уӕраг
44,Oberschenkel::N,coxa,агъд
45,Bein::N,perna,зӕнг
46,Körper::N,corpo,буар
47,Haut::N,pele,царм
48,Blut::N,sangue,туг
49,Ader::N,veia,дадзин
50,Ader::N,veia,тугдадзин
51,Sehne::N,tendão,хъиутæ
52,Sehne::N,tendão,нуар
53,Knochen::N,osso,стӕг
54,Gehirn::N,cérebro,магъз
55,Herz::N,coração,зӕрдӕ
56,Magen::N,estômago,ахсӕн
57,Leber::N,fígado,игæр
58,Atem::N,fôlego,улӕфт
59,Hunger::N,fome,стонг
60,Träne::N,lágrima,цæссыг
61,Geschmack::N,gosto,ад
62,Geruch::N,odor,смаг
63,Geruch::N,cheiro,смаг
64,Schlaf::N,sono,хуыссӕг
65,Traum::N,sonho,фын
66,Himmel::N,céu,арв
67,Himmel::N,céu,уӕларв
68,Sonne::N,sol,хур
69,Mond::N,lua,мӕй
70,Stern::N,estrela,стъалы
71,Luft::N,ar,уӕлдӕф
72,Wind::N,vento,дымгӕ
73,Welle::N,onda,уылӕн
74,Wasser::N,água,дон
75,Stein::N,pedra,дур
76,Boden::N,solo,зӕхх
77,Erde::N,terra,сыджыт
78,Staub::N,pó,рыг
79,Rauch::N,fumo,фӕздӕг
80,Funke::N,faísca,цӕхӕр
81,Funke::N,centelha,цӕхӕр
82,Feuer::N,fogo,зынг
83,Licht::N,luz,рухс
84,Schatten::N,sombra,аууон
85,Wetter::N,tempo,боныхъӕд
86,Nebel::N,nevoeiro,мигъ
87,Wolke::N,nuvem,ӕврагъ
88,Regen::N,chuva,уарын
89,Schnee::N,neve,мит
90,Eis::N,gelo,их
91,Frost::N,gelo,ихæн
92,Frost::N,geada,ихæн
93,Kälte::N,frio,уазал
94,Hitze::N,ardor,ӕнтӕф
