,Concept_ID,sk,fi
0,Auge::N,oko,silmä
1,Ohr::N,ucho,korva
2,Nase::N,nos,nenä
3,Mund::N,ústa,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jazyk,kieli
6,Lippe::N,pera,huuli
7,Wange::N,líce,poski
8,Gesicht::N,tvár,naama
9,Gesicht::N,tvár,kasvot
10,Gesicht::N,obličaj,naama
11,Gesicht::N,obličaj,kasvot
12,Stirn::N,čelo,otsa
13,Haar::N,vlas,hius
14,Haar::N,vlas,tukka
15,Schnurrbart::N,fúzy,viikset
16,Bart::N,brada,parta
17,Kinn::N,brada,leuka
18,Kiefer[Anatomie]::N,čeľusť,leukaluu
19,Kehle::N,hrdlo,kurkku
20,Hals::N,krk,kaula
21,Genick::N,väzy,niska
22,Kopf::N,hlava,pää
23,Rücken::N,chrbát,selkä
24,Bauch::N,brucho,maha
25,Bauch::N,brucho,vatsa
26,Nabel::N,pupok,napa
27,Busen::N,prsia,rinta
28,Brust::N,hruď,rinta
29,Schulter::N,plece,olka
30,Schulter::N,plece,hartia
31,Schulter::N,plece,olkapää
32,Arm::N,rameno,käsivarsi
33,Ellenbogen::N,lakeť,kyynärpää
34,Hand::N,ruka,käsi
35,Handfläche::N,dlaň,kämmen
36,Finger::N,prst,sormi
37,Fingernagel::N,necht,kynsi
38,Nagel[Anatomie]::N,necht,kynsi
39,Zeh::N,prst na nohe,varvas
40,Fuß::N,noha,jalka
41,Ferse::N,päta,kantapää
42,Knie::N,koleno,polvi
43,Oberschenkel::N,stehno,reisi
44,Bein::N,noha,jalka
45,Körper::N,telo,keho
46,Körper::N,telo,ruumis
47,Haut::N,koža,iho
48,Blut::N,krv,veri
49,Ader::N,žila,suoni
50,Sehne::N,šľacha,jänne
51,Knochen::N,kosť,luu
52,Gehirn::N,mozog,aivot
53,Herz::N,srdce,sydän
54,Magen::N,žalúdok,maha
55,Magen::N,žalúdok,vatsa
56,Leber::N,pečeň,maksa
57,Atem::N,dych,henki
58,Atem::N,dych,hengitys
59,Hunger::N,hlad,nälkä
60,Träne::N,slza,kyynel
61,Geschmack::N,chuť,maku
62,Geruch::N,pach,haju
63,Schlaf::N,spánok,uni
64,Traum::N,sen,uni
65,Himmel::N,nebo,taivas
66,Sonne::N,slnko,aurinko
67,Mond::N,mesiac,kuu
68,Stern::N,hviezda,tähti
69,Luft::N,vzduch,ilma
70,Wind::N,vietor,tuuli
71,Welle::N,vlna,aalto
72,Wasser::N,voda,vesi
73,Stein::N,kameň,kivi
74,Boden::N,zem,maa
75,Boden::N,zem,maaperä
76,Boden::N,pôda,maa
77,Boden::N,pôda,maaperä
78,Erde::N,zem,maa
79,Staub::N,prach,pöly
80,Rauch::N,dym,savu
81,Funke::N,iskra,kipinä
82,Feuer::N,oheň,tuli
83,Licht::N,svetlo,valo
84,Schatten::N,tieň,varjo
85,Wetter::N,počasie,sää
86,Nebel::N,hmla,sumu
87,Wolke::N,oblak,pilvi
88,Wolke::N,mračno,pilvi
89,Regen::N,dážď,sade
90,Schnee::N,sneh,lumi
91,Eis::N,ľad,jää
92,Frost::N,mráz,halla
93,Frost::N,mráz,pakkanen
94,Kälte::N,zima,vilu
95,Kälte::N,zima,kylmyys
96,Kälte::N,chlad,vilu
97,Kälte::N,chlad,kylmyys
98,Hitze::N,horúčava,helle
99,Hitze::N,horúčava,kuumuus
100,Raureif::N,srieň,huurre
101,Raureif::N,inovať,huurre
102,Regenbogen::N,dúha,sateenkaari
103,Donner::N,hrom,jyrinä
104,Strömung::N,prúdenie,virtaus
105,Tropfen::N,kvapka,tippa
106,Tropfen::N,kvapka,pisara
107,Schaum::N,pena,vaahto
108,Schmutz::N,špina,loka
109,Schmutz::N,nečistota,loka
110,See::N,jazero,järvi
111,Sumpf::N,bahno,suo
112,Moor::N,močiar,räme
113,Wiese::N,lúka,niitty
114,Wald::N,les,metsä
115,Wald::N,hora,metsä
116,Hügel::N,vŕšok,mäki
117,Hügel::N,vŕšok,kumpu
118,Hügel::N,vŕšok,kukkula
119,Anhöhe::N,výšina,mäki
120,Anhöhe::N,výšina,kumpare
121,Anhöhe::N,vyvýšenina,mäki
122,Anhöhe::N,vyvýšenina,kumpare
123,Berg::N,hora,mäki
124,Berg::N,hora,vuori
125,Gipfel::N,vrchol,laki
126,Gipfel::N,vrchol,huippu
127,Höhle::N,jaskyňa,luola
128,Abhang::N,úbočie,rinne
129,Quelle::N,prameň,lähde
130,Bach::N,potok,puro
131,Fluss::N,rieka,joki
132,Ufer::N,breh,ranta
133,Küste::N,pobrežie,rannikko
134,Festland::N,pevnina,manner
135,Meer::N,more,meri
136,Bucht::N,záliv,lahti
137,Bucht::N,zátoka,lahti
138,Insel::N,ostrov,saari
139,Blume::N,kvet,kukka
140,Blume::N,kvetina,kukka
141,Gras::N,tráva,ruoho
142,Wurzel::N,koreň,juuri
143,Baum::N,strom,puu
144,Stamm::N,kmeň,runko
145,Rinde::N,kôra,kuori
146,Rinde::N,kôra,parkki
147,Ast::N,konár,oksa
148,Zweig::N,vetva,haara
149,Blatt::N,list,lehti
150,Birke::N,breza,koivu
151,Kiefer[Baum]::N,sosna,mänty
152,Kiefer[Baum]::N,sosna,petäjä
153,Kiefer[Baum]::N,borovica,mänty
154,Kiefer[Baum]::N,borovica,petäjä
155,Weide[Baum]::N,vŕba,paju
156,Tanne::N,jedľa,kuusi
157,Horn::N,roh,sarvi
158,Feder::N,pero,sulka
159,Feder::N,pero,höyhen
