,Concept_ID,be,ps
0,Auge::N,вока,سترګه
1,Ohr::N,вуха,غوږ
2,Nase::N,нос,پوزه
3,Mund::N,рот,خوله
4,Zahn::N,зуб,غاښ
5,Zunge::N,язык,جبه
6,Lippe::N,губа,شونډه
7,Wange::N,шчака,باړخو
8,Gesicht::N,твар,مخ
9,Stirn::N,лоб,تندی
10,Stirn::N,лоб,وچولی
11,Haar::N,волас,وېښته
12,Haar::N,валасы,وېښته
13,Schnurrbart::N,вус,برېت
14,Schnurrbart::N,вусы,برېت
15,Bart::N,барада,ږیره
16,Kinn::N,падбародак,زنه
17,Kiefer[Anatomie]::N,сківіца,جامه
18,Kehle::N,горла,غاړه
19,Hals::N,шыя,غاړه
20,Genick::N,патыліца,ورمېږ
21,Kopf::N,галава,سر
22,Rücken::N,спіна,شا
23,Bauch::N,жывот,نس
24,Bauch::N,жывот,ګېډه
25,Nabel::N,пупок,نوم
26,Busen::N,грудзі,تی
27,Brust::N,грудзі,سینه
28,Schulter::N,плячо,اوږه
29,Arm::N,рука,لاس
30,Ellenbogen::N,локаць,څنګل
31,Hand::N,кісць,لاس
32,Handfläche::N,далонь,ورغوی
33,Finger::N,палец,ګوته
34,Fingernagel::N,ногаць,نوک
35,Nagel[Anatomie]::N,ногаць,نوک
36,Zeh::N,палец,ګوته
37,Fuß::N,нага,پښه
38,Ferse::N,пята,پونده
39,Ferse::N,пятка,پونده
40,Knie::N,калена,زنګون
41,Oberschenkel::N,бядро,پتون
42,Oberschenkel::N,сцягно,پتون
43,Bein::N,нага,پښه
44,Körper::N,цела,ځان
45,Haut::N,скура,پوټکی
46,Blut::N,кроў,وینه
47,Ader::N,вена,رګ
48,Ader::N,сасуд,رګ
49,Sehne::N,жыла,پله
50,Sehne::N,цеціва,پله
51,Sehne::N,сухажылле,پله
52,Knochen::N,косць,هډوکی
53,Gehirn::N,мозг,ماغزه
54,Herz::N,сэрца,زړه
55,Magen::N,страўнік,معده
56,Leber::N,печань,ينه
57,Leber::N,печань,ځیګر
58,Atem::N,дыханне,نفس
59,Hunger::N,голад,ولږه
60,Träne::N,сляза,اوښکه
61,Geschmack::N,смак,مزه
62,Geschmack::N,смак,خوند
