,Concept_ID,fa,os
0,Auge::N,چشم,цӕст
1,Ohr::N,گوش,хъус
2,Nase::N,بینی,фындз
3,Mund::N,دهان,дзых
4,Zahn::N,دندان,дӕндаг
5,Zunge::N,زبان,ӕвзаг
6,Lippe::N,لب,был
7,Wange::N,لپ,рус
8,Wange::N,لپ,уадул
9,Wange::N,لپ,ӕхсӕрфарс
10,Gesicht::N,رو,цӕсгом
11,Gesicht::N,چهره,цӕсгом
12,Stirn::N,پیشانی,ных
13,Haar::N,مو,хил
14,Schnurrbart::N,سبیل,рихи
15,Bart::N,ریش,зачъе
16,Kinn::N,چانه,роцъо
17,Kiefer[Anatomie]::N,فک,ӕфсӕр
18,Kiefer[Anatomie]::N,آرواره,ӕфсӕр
19,Kehle::N,حلق,хъуыр
20,Hals::N,گردن,къубал
21,Genick::N,پشت گردن,къӕбут
22,Kopf::N,سر,сӕр
23,Kopf::N,کله,сӕр
24,Rücken::N,پشت,фӕсонтӕ
25,Bauch::N,شکم,гуыбын
26,Nabel::N,ناف,бикъ
27,Busen::N,پستان,дзидзи
28,Brust::N,سینه,риу
29,Schulter::N,دوش,уӕхск
30,Schulter::N,شانه,уӕхск
31,Arm::N,بازو,цонг
32,Ellenbogen::N,آرنج,рæмбын
33,Hand::N,دست,къух
34,Handfläche::N,کف دست,армытъӕпӕн
35,Finger::N,انگشت,ӕнруылдз
36,Fingernagel::N,ناخن دست,ных
37,Nagel[Anatomie]::N,ناخن,ных
38,Zeh::N,انگشت پا,къух
39,Fuß::N,پا,фад
40,Ferse::N,پاشنه,зӕвӕт
41,Knie::N,زانو,уӕраг
42,Oberschenkel::N,ران,агъд
43,Bein::N,پا,зӕнг
44,Bein::N,لنگ,зӕнг
45,Körper::N,تن,буар
46,Körper::N,بدن,буар
47,Haut::N,پوست,царм
48,Blut::N,خون,туг
49,Ader::N,رگ,дадзин
50,Ader::N,رگ,тугдадзин
51,Sehne::N,زردپی,хъиутæ
52,Sehne::N,زردپی,нуар
53,Knochen::N,استخوان,стӕг
54,Gehirn::N,مخ,магъз
55,Gehirn::N,مغز,магъз
56,Herz::N,دل,зӕрдӕ
57,Herz::N,قلب,зӕрдӕ
58,Magen::N,معده,ахсӕн
59,Leber::N,کبد,игæр
60,Atem::N,نفس,улӕфт
61,Hunger::N,گرسنگی,стонг
62,Träne::N,اشک,цæссыг
63,Geschmack::N,مزه,ад
64,Geruch::N,بو,смаг
65,Schlaf::N,خواب,хуыссӕг
66,Traum::N,رؤیا,фын
67,Himmel::N,فلک,арв
68,Himmel::N,فلک,уӕларв
69,Himmel::N,آسمان,арв
70,Himmel::N,آسمان,уӕларв
71,Sonne::N,آفتاب,хур
