,Concept_ID,ba,sl
0,Auge::N,күҙ,okó
1,Ohr::N,ҡолаҡ,uhó
2,Nase::N,танау,nós
3,Mund::N,ауыҙ,ústa
4,Zahn::N,теш,zób
5,Zunge::N,тел,jêzik
6,Lippe::N,ирен,ústnica
7,Wange::N,яцаҡтар,líce
8,Gesicht::N,бит,oblíčje
9,Stirn::N,маңлай,čêlo
10,Haar::N,сәс,lás
11,Schnurrbart::N,мылтыҡ,bŕki
12,Bart::N,һаҡал,bráda
13,Kinn::N,эйэк,bráda
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,čeljúst
15,Kehle::N,тамаҡ,gŕlo
16,Hals::N,муйын,vrát
17,Genick::N,соңҡа,zatílnik
18,Kopf::N,баш,gláva
19,Rücken::N,арҡа,hrbèt
20,Bauch::N,ҡорһаҡ,trébuh
21,Nabel::N,кендек,pópek
22,Busen::N,күкрәк,nédrja
23,Brust::N,түш,pŕsi
24,Schulter::N,яурын,ráma
25,Schulter::N,яурын,plêče
26,Arm::N,ҡул,rôka
27,Ellenbogen::N,терһәк,komólec
28,Hand::N,ҡул,rôka
29,Hand::N,ҡул суғы,rôka
30,Handfläche::N,ус төбө,dlán
31,Finger::N,бармаҡ,pŕst
32,Fingernagel::N,тырнаҡ,nóht na rôki
33,Nagel[Anatomie]::N,тырнаҡ,nóht
34,Zeh::N,бармаҡ,pŕst na nôgi
35,Fuß::N,табан,nôga
36,Ferse::N,үксә,pêta
37,Knie::N,тубыҡ,koléno
38,Oberschenkel::N,сандыр,stêgno
39,Bein::N,аяҡ,nôga
40,Körper::N,тән,teló
41,Haut::N,тире,kóža
42,Blut::N,ҡан,krí
43,Ader::N,тамыр,žíla
44,Sehne::N,һеңер,kíta
45,Sehne::N,тарамыш,kíta
46,Knochen::N,һойәк,kóst
47,Gehirn::N,мейе,možgáni
48,Herz::N,йорәк,srcé
49,Magen::N,ашҡаҙан,želódec
50,Leber::N,бауыр,jétra
51,Atem::N,һулыш,díh
52,Hunger::N,аслыҡ,glád
53,Träne::N,күҙ иәше,sólza
54,Geschmack::N,тәм,okús
55,Geruch::N,еҫ,vónj
56,Schlaf::N,йоҡлау,sèn
57,Schlaf::N,йоҡлау,spánec
58,Traum::N,төш,sánje
59,Himmel::N,күк,nebó
60,Sonne::N,ҡояш,sónce
61,Mond::N,ай,lúna
62,Mond::N,ай,mésec
63,Stern::N,йондоҙ,zvézda
64,Luft::N,һауа,zràk
65,Wind::N,ел,véter
66,Welle::N,тулҡын,vál
67,Wasser::N,һыу,vôda
68,Stein::N,таш,kámen
69,Boden::N,тупраҡ,tlà
70,Erde::N,балсҡ,pŕst
71,Erde::N,балсҡ,zêmlja
72,Staub::N,туҙан,práh
73,Rauch::N,төтөн,dìm
74,Funke::N,осҡон,ískra
75,Feuer::N,ут,ôgenj
76,Licht::N,яҡтылыҡ,lúč
77,Schatten::N,күләгә,sénca
78,Wetter::N,һауа торошо,vrême
79,Nebel::N,төман,meglà
80,Wolke::N,болот,oblák
81,Regen::N,ямғыр,dèž
82,Schnee::N,ҡар,snég
83,Eis::N,боҙ,léd
84,Frost::N,һалҡын,zmrzál
85,Kälte::N,һыуыҡ,mràz
86,Hitze::N,томра,pripéka
87,Hitze::N,эҫелек,pripéka
88,Raureif::N,ҡырау,ívje
89,Raureif::N,ҡырау,slána
90,Regenbogen::N,йәйғор,mávrica
91,Donner::N,күк күкрәү,gròm
92,Strömung::N,ағым,strúja
93,Tropfen::N,тамсы,káplja
94,Schaum::N,күбек,péna
95,Schmutz::N,батҡаҡ,nesnága
96,See::N,күл,jézero
97,Sumpf::N,һаҙлык,močvírje
98,Moor::N,һаҙ,bárje
99,Wiese::N,болон,trávnik
100,Wald::N,урман,lés
101,Wald::N,урман,gòzd
102,Hügel::N,түбә,brég
103,Hügel::N,түбә,goríca
104,Anhöhe::N,түбә,gríč
105,Anhöhe::N,түбә,višína
106,Anhöhe::N,ҡалҡыулыҡ,gríč
107,Anhöhe::N,ҡалҡыулыҡ,višína
108,Berg::N,тау,gôra
109,Berg::N,тау,planína
110,Gipfel::N,түбә,vŕh
111,Höhle::N,мәмерйә,jáma
112,Höhle::N,мәмерйә,votlína
113,Abhang::N,ипкен,pobóčje
114,Quelle::N,шишмә,izvír
115,Bach::N,шишмә,pôtok
116,Fluss::N,йылға,réka
117,Ufer::N,яр,brég
118,Küste::N,яр буйы,obála
119,Küste::N,яр буйы,obréžje
120,Festland::N,ҡоро ер,celína
121,Festland::N,ҡоро ер,kopnína
122,Meer::N,диңгез,mórje
123,Bucht::N,бухта,zalív
124,Insel::N,үтрау,ôtok
125,Blume::N,сәскә,cvetlíca
126,Gras::N,үлән,tráva
127,Wurzel::N,тамыр,korenína
128,Baum::N,ағас,drevó
129,Stamm::N,олон,dêblo
130,Stamm::N,көбәк,dêblo
131,Rinde::N,ҡабыҡ,lúbje
132,Rinde::N,ҡабыҡ,skórja
133,Ast::N,ботаҡ,véja
134,Zweig::N,ботаҡ,véja
135,Zweig::N,тармаҡ,véja
136,Blatt::N,япраҡ,líst
137,Birke::N,ҡайын,bréza
138,Kiefer[Baum]::N,ҡарғай,bòr
139,Weide[Baum]::N,тал,vŕba
140,Tanne::N,шыршы,hója
141,Horn::N,мөғөҙ,róg
142,Feder::N,ҡауырһын,peró
143,Fell::N,тире,kŕzno
144,Flügel::N,ҡанат,krílo
145,Klaue::N,тырнаҡ,párkelj
