,Concept_ID,el,da
0,Auge::N,μάτι,øje
1,Auge::N,οφθαλμός,øje
2,Ohr::N,αυτί,øre
3,Nase::N,μύτη,næse
4,Mund::N,στόμα,mund
5,Zahn::N,δόντι,tand
6,Zunge::N,γλώσσα,tunge
7,Lippe::N,χείλος,læbe
8,Wange::N,παρειά,kind
9,Wange::N,μάγουλο,kind
10,Gesicht::N,πρόσωπο,ansigt
11,Stirn::N,μέτωπο,pande
12,Haar::N,μαλλιά,hår
13,Schnurrbart::N,μουστάκι,overskæg
14,Bart::N,γένια,skæg
15,Kinn::N,πιγούνι,hage
16,Kiefer[Anatomie]::N,σαγόνι,kæbe
17,Kehle::N,λαρύγγι,strube
18,Hals::N,λαιμός,hals
19,Genick::N,σβέρκος,nakke
20,Kopf::N,κεφάλι,hoved
21,Rücken::N,ράχη,ryg
22,Bauch::N,κοιλιά,mave
23,Nabel::N,αφαλός,navle
24,Busen::N,στήθος,barm
25,Brust::N,στήθος,bryst
26,Schulter::N,ώμος,skulder
27,Arm::N,χέρι,arm
28,Arm::N,μπράτςο,arm
29,Ellenbogen::N,αγκώνας,albue
30,Hand::N,χέρι,hånd
31,Handfläche::N,παλάμη,håndflade
32,Finger::N,δάχτυλο,finger
33,Fingernagel::N,νύχι,fingernegl
34,Nagel[Anatomie]::N,νύχι,negl
35,Zeh::N,δάχτυλο του ποδιού,tå
36,Fuß::N,πόδι,fod
37,Ferse::N,φτέρνα,hæl
38,Knie::N,γόνατο,knæ
39,Oberschenkel::N,μηρός,lår
40,Bein::N,πόδι,ben
41,Körper::N,σώμα,krop
42,Körper::N,σώμα,legeme
43,Körper::N,κορμί,krop
44,Körper::N,κορμί,legeme
45,Haut::N,πετσί,hud
46,Blut::N,αίμα,blod
47,Ader::N,φλέβα,åre
48,Sehne::N,νεύρο,sene
49,Sehne::N,τένοντας,sene
50,Knochen::N,οστό,ben
51,Knochen::N,κόκκαλο,ben
52,Gehirn::N,μυαλό,hjerne
53,Gehirn::N,εγκέφαλος,hjerne
54,Herz::N,καρδιά,hjerte
55,Magen::N,στομάχι,mave
56,Leber::N,ήπαρ,lever
57,Leber::N,συκωτί,lever
58,Atem::N,αναπνοή,ånde
59,Hunger::N,πείνα,sult
60,Träne::N,δάκρυ,tåre
61,Geschmack::N,γεύση,smag
62,Geruch::N,οσμή,lugt
63,Geruch::N,μυρωδία,lugt
64,Schlaf::N,ύπνος,søvn
65,Traum::N,όνειρο,drøm
66,Himmel::N,ουρανός,himmel
67,Sonne::N,ήλιος,sol
68,Mond::N,σελήνη,måne
69,Mond::N,φεγγάρι,måne
70,Stern::N,άστρο,stjerne
71,Stern::N,αστέρι,stjerne
72,Luft::N,αέρας,luft
73,Wind::N,αέρας,vind
74,Wind::N,άνεμος,vind
75,Welle::N,κύμα,bølge
76,Wasser::N,νερό,vand
77,Stein::N,πέτρα,sten
78,Boden::N,χώμα,jord
79,Erde::N,γη,jord
80,Staub::N,σκόνη,støv
81,Rauch::N,καπνός,røg
82,Funke::N,σπίθα,gnist
83,Funke::N,σπινθήρας,gnist
84,Feuer::N,φωτιά,ild
85,Licht::N,φως,lys
86,Schatten::N,σκιά,skygge
87,Schatten::N,ίσκιος,skygge
88,Wetter::N,καιρός,vejr
89,Nebel::N,ομίχλη,tåge
90,Wolke::N,σύννεφο,sky
91,Regen::N,βροχή,regn
92,Schnee::N,χιόνι,sne
93,Eis::N,πάγος,is
94,Frost::N,παγωνία,frost
95,Kälte::N,κρύο,kulde
96,Kälte::N,ψύχος,kulde
97,Hitze::N,ζέστη,hede
98,Raureif::N,πάχνη,rimfrost
99,Regenbogen::N,ουράνιο τόξο,regnbue
100,Donner::N,βροντή,torden
101,Strömung::N,ρεύμα,strømning
102,Tropfen::N,στάλα,dråbe
103,Schaum::N,αφρός,skum
104,Schmutz::N,βρωμιά,snavs
105,See::N,λίμνη,sø
106,Sumpf::N,βάλτος,sump
107,Moor::N,έλος,mose
108,Wiese::N,λιβάδι,eng
109,Wald::N,δάσος,skov
110,Hügel::N,λόφος,høj
111,Hügel::N,λόφος,bakke
112,Anhöhe::N,ύψωμα,høj
113,Anhöhe::N,ύψωμα,bakke
114,Berg::N,όρος,bjerg
115,Berg::N,βουνό,bjerg
116,Gipfel::N,κορυφή,top
117,Höhle::N,σπηλιά,hule
118,Abhang::N,πλαγιά,skrænt
119,Abhang::N,πλαγιά,skråning
120,Quelle::N,πηγή,kilde
121,Quelle::N,βρύση,kilde
122,Bach::N,ρυάκι,bæk
123,Fluss::N,ποτάμι,flod
124,Fluss::N,ποταμός,flod
125,Ufer::N,όχθη,bred
126,Küste::N,ακτή,kyst
127,Küste::N,ακρογιαλιά,kyst
128,Festland::N,στεριά,fastland
129,Meer::N,θάλασσα,hav
130,Bucht::N,κόλπος,bugt
131,Insel::N,νησί,ø
132,Insel::N,νήσος,ø
133,Blume::N,άνθος,blomst
134,Blume::N,λουλούδι,blomst
135,Gras::N,χόρτο,græs
136,Gras::N,χορτάρι,græs
137,Wurzel::N,ρίζα,rod
138,Baum::N,δέντρο,træ
139,Stamm::N,κορμός,stamme
140,Rinde::N,φλούδα,bark
141,Ast::N,κλαδί,gren
142,Zweig::N,κλαδί,kvist
143,Zweig::N,κλάδος,kvist
144,Blatt::N,φύλλο,blad
145,Birke::N,σημύδα,birk
146,Kiefer[Baum]::N,πεύκο,fyrretræ
147,Weide[Baum]::N,ιτιά,piletræ
148,Tanne::N,έλατο,gran
149,Horn::N,κέρας,horn
150,Horn::N,κέρατο,horn
151,Feder::N,φτερό,fjer
152,Fell::N,δέρμα,skind
153,Fell::N,τομάρι,skind
154,Flügel::N,πτερύγιο,vinge
155,Klaue::N,κουλό,klov
156,Kralle::N,νύχι,klo
157,Schwanz::N,ουρά,hale
158,Ei::N,αβγό,æg
159,Nest::N,φωλιά,rede
160,Bau::N,φωλιά,bo
161,Tier::N,ζώο,dyr
162,Herde::N,κοπάδι,flok
163,Kuh::N,αγελάδα,ko
164,Bulle::N,ταύρος,tyr
165,Pferd::N,άλογο,hest
166,Schaf::N,πρόβατο,får
167,Schwein::N,γουρούνι,gris
168,Hund::N,σκυλί,hund
169,Hund::N,σκύλος,hund
170,Katze::N,γάτα,kat
171,Bär::N,άρκτος,bjørn
172,Bär::N,αρκούδα,bjørn
173,Eichhörnchen::N,βερβερίτσα,egern
174,Elch::N,άλκη,elg
175,Fuchs::N,αλεπού,ræv
176,Hase::N,λαγός,hare
177,Maus::N,ποντικός,mus
178,Wolf::N,λύκος,ulv
179,Vogel::N,πουλί,fugl
180,Schwarm::N,σμήνος,sværm
181,Huhn::N,κότα,høne
182,Huhn::N,όρνιθα,høne
183,Hahn::N,πετεινός,hane
184,Gans::N,χήνα,gås
185,Adler::N,αετός,ørn
186,Ente::N,πάπια,and
187,Eule::N,κουκουβάγια,ugle
188,Kranich::N,γερανός,trane
189,Krähe::N,καρακάξα,krage
190,Kuckuck::N,κούκος,gøg
191,Schwan::N,κύκνος,svane
192,Fisch::N,ψάρι,fisk
193,Barsch::N,πέρκα,aborre
194,Hecht::N,λούτσος,gedde
195,Schlange[Tier]::N,φίδι,slange
196,Wurm::N,σκουλήκι,orm
197,Spinne::N,αράχνη,edderkop
198,Ameise::N,μυρμήγκι,myre
199,Laus::N,ψείρα,lus
200,Mücke::N,κουνούπι,myg
201,Fliege::N,μύγα,flue
202,Schmetterling::N,πεταλούδα,sommerfugl
203,Beere::N,ρόγα,bær
204,Apfel::N,μήλο,æble
205,Pilz::N,μανιτάρι,svamp
206,Zwiebel::N,κρεμμύδι,løg
207,Saat::N,σπόρος,sæd
208,Korn::N,σπυρί,korn
209,Heu::N,σανός,hø
210,Schale::N,τσόφλι,skræl
211,Grube::N,λάκκος,grav
212,Falle::N,παγίδα,fælde
213,Schlinge::N,θηλειά,snare
214,Spur::N,ίχνος,spor
215,Asche::N,στάχτη,aske
216,Dreck::N,βρωμιά,snavs
217,Eisen::N,σίδερο,jern
218,Gold::N,μάλαμα,guld
219,Gold::N,χρυσάφι,guld
220,Silber::N,ασήμι,sølv
221,Silber::N,άργυρος,sølv
222,Kohle::N,κάρβουνο,kul
223,Glas::N,γυαλί,glas
224,Lehm::N,πηλός,ler
225,Sand::N,άμμος,sand
226,Mensch::N,άνθρωπος,mennesge
227,Mann::N,άνδρας,mand
228,Frau::N,γυναίκα,kvinde
229,Kind::N,παιδί,barn
230,Junge::N,αγόρι,dreng
231,Mädchen::N,κοπέλα,pige
232,Mädchen::N,κορίτσι,pige
233,Familie::N,οικογένεια,familie
234,Großvater::N,παππούς,bedstefar
235,Großmutter::N,γιαγιά,bedstemor
236,Eltern::N,γονείς,forældre
237,Vater::N,πατέρας,far
238,Mutter::N,μητέρα,mor
239,Sohn::N,γιος,søn
240,Tochter::N,κόρη,datter
241,Bruder::N,αδελφός,bror
242,Schwester::N,αδελφή,søster
243,Onkel::N,θείος,onkel
244,Tante::N,θεία,tante
245,Ehemann::N,σύζυγος,ægtemand
246,Ehefrau::N,σύζυγος,hustru
247,Freude::N,χαρά,glæde
248,Gelächter::N,γέλια,latter
249,Glück::N,ευτυχία,lykke
250,Kummer::N,έγνοια,sorg
251,Wunsch::N,επιθυμία,ønske
252,Lust::N,όρεξη,lyst
253,Geist::N,πνέυμα,ånd
254,Gedanke::N,σκέψη,tanke
255,Gedächtnis::N,μνήμη,hukommelse
256,Verstand::N,νους,forstand
257,Sinn::N,νόημα,mening
258,Sinn::N,νόημα,betydning
259,Grund::N,λόγος,grund
260,Wahrheit::N,αλήθεια,sandhed
261,Gespräch::N,συνομιλία,samtale
262,Märchen::N,παραμύθι,eventyr
263,Erzählung::N,διήγημα,fortælling
264,Nachricht::N,είδηση,efterretning
265,Neuigkeit::N,νέο,nyhed
266,Name::N,όνομα,navn
267,Rätsel::N,αίνιγμα,gåde
268,Rede::N,λόγος,tale
269,Rede::N,ομιλία,tale
270,Sprache::N,γλώσσα,sprog
271,Stimme::N,φωνή,stemme
272,Wort::N,λέξη,ord
273,Zeichen::N,σημείο,tegn
274,Ruf::N,κραυγή,råb
275,Lärm::N,θόρυβος,larm
276,Laut::N,ήχος,lyd
277,Ton::N,ήχος,tone
278,Ton::N,τόνος,tone
279,Lied::N,τραγούδι,sang
280,Ruhe::N,ησυχία,ro
281,Ruhe::N,ησυχία,hvile
282,Leute::N,κόσμος,folk
283,Leute::N,κόσμος,mennesker
284,Leute::N,άνθρωποι,folk
285,Leute::N,άνθρωποι,mennesker
286,Volk::N,λαός,folk
287,Arbeit::N,εργασία,arbejde
288,Gast::N,επισκέπτης,gæst
289,Geschenk::N,δώρο,gave
290,Spiel::N,παιχνίδι,leg
291,Gesellschaft::N,κοινωνία,selskab
292,Hilfe::N,βοήθεια,hjælp
293,Freund::N,φίλος,ven
294,Kamerad::N,σύντροφος,kammerat
295,Angelegenheit::N,υπόθεση,sag
296,Angelegenheit::N,υπόθεση,anliggende
297,Anzahl::N,αριθμός,antal
298,Art::N,είδος,art
299,Stück::N,κομμάτι,stykke
300,Teil::N,μέρος,del
301,Hälfte::N,μισό,halvdel
302,Kreis::N,κύκλος,cirkel
303,Kreuz::N,σταυρός,kors
304,Kreuz::N,σταυρός,kryds
305,Linie::N,γραμμή,linie
306,Strich::N,γραμμή,streg
307,Abstand::N,απόσταση,afstand
308,Entfernung::N,απόσταση,afstand
309,Gegend::N,περιοχή,egn
310,Gegend::N,τοποθεσία,egn
311,Platz::N,χώρος,plads
312,Ort::N,τόπος,sted
313,Seite::N,πλευρά,side
314,Mitte::N,μέση,midte
315,Gegenstand::N,αντικείμενο,genstand
316,Sache::N,πράγμα,sag
317,Rand::N,άκρη,rand
318,Rand::N,χείλος,rand
319,Kante::N,άκρη,kant
320,Ecke::N,γωνιά,hjørne
321,Spitze::N,μύτη,spids
322,Ende::N,άκρη,ende
323,Loch::N,τρύπα,hul
324,Winkel::N,γωνία,vinkel
325,Muster::N,σχέδιο,mønster
326,Größe::N,μέγεθος,størrelse
327,Länge::N,μήκος,længde
328,Höhe::N,ύψος,højde
329,Gewicht::N,βάρος,vægt
330,Menge::N,ποσότητα,mængde
331,Haufen::N,σωρός,bunke
332,Reihe::N,αράδα,række
333,Boot::N,βάρκα,båd
334,Ruder::N,κουπί,åre
335,Schlitten::N,έλκηθρο,kælk
336,Schlitten::N,έλκηθρο,slæde
337,Ski::N,σκι,ski
338,Lagerfeuer::N,φωτιά,lejrbål
339,Last::N,φορτίο,last
340,Last::N,φορτίο,byrde
341,Gang::N,δρόμος,gang
342,Schritt::N,βήμα,skridt
343,Norden::N,βορράς,nord
344,Süden::N,νότος,syd
345,Westen::N,δύση,vest
346,Osten::N,ανατολή,øst
347,Holz::N,ξύλο,træ
348,Brett::N,σανίδι,bræt
349,Platte::N,πλάκα,plade
350,Stütze::N,στήριγμα,støtte
351,Stange::N,ραβδί,stang
352,Stange::N,κοντός,stang
353,Stock::N,ξύλο,stok
354,Stock::N,μπαστούνι,stok
355,Stab::N,ραβδί,stav
356,Rohr::N,σωλήνας,rør
357,Haus::N,σπίτι,hus
358,Heim::N,σπίτι,hjem
359,Ofen::N,σόμπα,ovn
360,Ofen::N,θερμάστρα,ovn
361,Fußboden::N,πάτωμα,gulv
362,Tisch::N,τραπέζι,bord
363,Stuhl::N,καρέκλα,stol
364,Wiege::N,κούνια,vugge
365,Bett::N,κρεβάτι,seng
366,Regal::N,ράφι,reol
367,Kiste::N,κιβώτιο,kasse
368,Fenster::N,παράθυρο,vindue
369,Tür::N,πόρτα,dør
370,Tor::N,πύλη,port
371,Zaun::N,φράχτης,stakit
372,Dach::N,στέγη,tag
373,Leiter::N,σκάλα,stige
374,Leiter::N,κλίμακα,stige
375,Besen::N,σκούπα,kost
376,Spaten::N,φτυάρι,spade
377,Schaufel::N,φτυάρι,skovl
378,Gabel::N,πιρούνι,gaffel
379,Löffel::N,κουτάλι,ske
380,Messer::N,μαχαίρι,kniv
381,Nagel::N,καρφί,søm
382,Netz::N,δίχτυ,net
383,Haken::N,γάντζος,krog
384,Haken::N,αγκίστρι,krog
385,Griff::N,λαβή,tag
386,Griff::N,λαβή,håndtag
387,Schloss::N,κλειδαριά,lås
388,Bild::N,εικόνα,billede
389,Figur::N,ανάστημα,figur
390,Puppe::N,κούκλα,dukke
391,Beutel::N,πουγγί,pose
392,Bündel::N,δεμάτι,bylt
393,Bündel::N,δεμάτι,bundt
394,Tasche::N,τσάντα,taske
395,Eimer::N,κουβάς,spand
396,Deckel::N,καπάκι,låg
397,Geschirr::N,σκεύη,husgeråd
398,Sack::N,σάκος,sæk
399,Tasse::N,φλιτζάνι,kop
400,Topf::N,χύτρα,gryde
401,Kessel::N,καζάνι,kedel
402,Essen::N,φαγητό,måltid
403,Nahrung::N,τροφή,mad
404,Nahrung::N,τροφή,næring
405,Speise::N,φαγητό,ret
406,Fleisch::N,κρέας,kød
407,Getreide::N,σιτάρι,korn
408,Brei::N,χυλός,grød
409,Brot::N,ψωμί,brød
410,Brot::N,άρτος,brød
411,Scheibe::N,φέτα,skive
412,Fett::N,πάχος,fedt
413,Butter::N,βούτυρο,smør
414,Öl::N,λάδι,olie
415,Salz::N,αλάτι,salt
416,Suppe::N,σούπα,suppe
417,Honig::N,μέλι,honning
418,Milch::N,γάλα,mælk
419,Tee::N,τσάι,te
420,Leder::N,πετσί,skind
421,Wolle::N,μαλλί,uld
422,Stoff::N,ύφασμα,stof
423,Nadel::N,βελόνα,nål
424,Faden::N,κλωστή,tråd
425,Knopf::N,κουμπί,knap
426,Knoten::N,κόμπος,knude
427,Farbe::N,μπογιά,farve
428,Kleidung::N,ρούχα,påklædning
429,Kleidung::N,ενδυμασία,påklædning
430,Hemd::N,πουκάμισο,skjorte
431,Kragen::N,κολάρο,krave
432,Ärmel::N,μανίκι,ærme
433,Hose::N,πανταλόνι,bukser
434,Gürtel::N,ζώνη,bælte
435,Mütze::N,σκούφος,hue
436,Schuh::N,παπούτσι,sko
437,Stiefel::N,μπότα,støvle
438,Ring::N,δαχτυλίδι,ring
439,Band::N,κορδέλα,bånd
440,Kamm::N,χτένα,kam
441,Spiegel::N,καθρέφτης,spejl
442,Riemen::N,λουρί,rem
443,Schnur::N,κορδόνι,snor
444,Leine::N,σχοινί,snor
445,Decke::N,κουβέρτα,tæppe
446,Kissen::N,μαξιλάρι,pude
447,Tuch::N,πανί,sjaltørklæde
448,Tuch::N,μαντήλι,sjaltørklæde
449,Handtuch::N,πετσέτα,håndklæde
450,Kraft::N,δύναμη,kraft
451,Stärke::N,ισχύς,styrke
452,Stärke::N,δύναμη,styrke
453,Gesundheit::N,υγεία,sundhed
454,Krankheit::N,αρρώστια,sygdom
455,Schmerz::N,πόνος,smerte
456,Wunde::N,πληγή,sår
457,Fieber::N,πυρετός,feber
458,Arznei::N,φάρμακο,medicin
459,Arznei::N,φάρμακο,lægemiddel
460,Brücke::N,γέφυρα,bro
461,Brunnen::N,πηγάδι,brønd
462,Weide::N,βοσκή,græsgang
463,Pfad::N,μονοπάτι,sti
464,Weg::N,δρόμος,vej
465,Straße::N,οδός,gade
466,Straße::N,δρόμος,gade
467,Dorf::N,χωριό,landsby
468,Stadt::N,πόλη,by
469,Brief::N,γράμμα,brev
470,Brief::N,επιστολή,brev
471,Buch::N,βιβλίο,bog
472,Buchstabe::N,γράμμα,bogstav
473,Zeitung::N,εφημερίδα,avis
474,Leben::N,ζωή,liv
475,Leben::N,βίος,liv
476,Tod::N,θάνατος,død
477,Grab::N,τάφος,grav
478,Kirche::N,εκκλησία,kirke
479,Sünde::N,αμαρτία,synd
480,Gott::N,θεός,gud
481,Arbeiter::N,εργάτης,arbejder
482,Chef::N,προϊστάμενος,chef
483,Meister::N,μάστορας,mester
484,Meister::N,αρχιτεχνίτης,mester
