,Concept_ID,lv,sl
0,Auge::N,син,okó
1,Auge::N,acs,okó
2,Ohr::N,пель,uhó
3,Ohr::N,auss,uhó
4,Nase::N,ныр,nós
5,Nase::N,deguns,nós
6,Mund::N,вом,ústa
7,Mund::N,mute,ústa
8,Zahn::N,пинь,zób
9,Zahn::N,zobs,zób
10,Zunge::N,кыв,jêzik
11,Zunge::N,mēle,jêzik
12,Lippe::N,вом дор,ústnica
13,Lippe::N,lūpa,ústnica
14,Wange::N,бан,líce
15,Wange::N,vaigs,líce
16,Gesicht::N,чужӧм,oblíčje
17,Gesicht::N,seja,oblíčje
18,Gesicht::N,ģīmis,oblíčje
19,Stirn::N,плеш,čêlo
20,Stirn::N,кымӧс,čêlo
21,Stirn::N,piere,čêlo
22,Haar::N,си,lás
23,Haar::N,юрси,lás
24,Haar::N,mats,lás
25,Schnurrbart::N,ус,bŕki
26,Schnurrbart::N,пыртсим,bŕki
27,Schnurrbart::N,ūsas,bŕki
28,Bart::N,тош,bráda
29,Bart::N,bārda,bráda
30,Kinn::N,тшӧка,bráda
31,Kinn::N,zods,bráda
32,Kinn::N,smakrs,bráda
33,Kiefer[Anatomie]::N,черлы,čeljúst
34,Kiefer[Anatomie]::N,алака лы,čeljúst
35,Kiefer[Anatomie]::N,вомкӧтш лы,čeljúst
36,Kiefer[Anatomie]::N,žoklis,čeljúst
37,Kehle::N,голя,gŕlo
38,Kehle::N,rīkle,gŕlo
39,Hals::N,сьылі,vrát
40,Hals::N,kakls,vrát
41,Genick::N,юрбӧр,zatílnik
42,Genick::N,балябӧж,zatílnik
43,Genick::N,sprands,zatílnik
44,Kopf::N,юр,gláva
45,Kopf::N,galva,gláva
46,Rücken::N,мыш,hrbèt
47,Rücken::N,mugura,hrbèt
48,Bauch::N,рушку,trébuh
49,Bauch::N,vēders,trébuh
50,Nabel::N,гӧг,pópek
51,Nabel::N,naba,pópek
52,Busen::N,морӧс,nédrja
53,Busen::N,krūts,nédrja
54,Brust::N,морӧс,pŕsi
55,Brust::N,krūts,pŕsi
56,Schulter::N,пельпом,ráma
57,Schulter::N,пельпом,plêče
58,Schulter::N,plecs,ráma
59,Schulter::N,plecs,plêče
60,Arm::N,ки,rôka
