,Concept_ID,ku,it
0,Auge::N,çav,occhio
1,Ohr::N,guh,orecchio
2,Nase::N,bêvil,naso
3,Mund::N,dev,bocca
4,Zahn::N,didan,dente
5,Zunge::N,ziman,lingua
6,Lippe::N,lêv,labbro
7,Wange::N,dêm,guancia
8,Wange::N,hinarik,guancia
9,Gesicht::N,rû,viso
10,Gesicht::N,rû,faccia
11,Stirn::N,enî,fronte
12,Haar::N,por,capello
13,Schnurrbart::N,simbêl,baffi
14,Schnurrbart::N,simbêl,mustacchi
15,Bart::N,rih,barba
16,Kinn::N,zenî,mento
17,Kiefer[Anatomie]::N,arguşk,mascella
18,Kehle::N,qirik,gola
19,Hals::N,stû,collo
20,Hals::N,qirik,collo
21,Genick::N,stû,nuca
22,Kopf::N,serî,capo
23,Kopf::N,serî,testa
24,Rücken::N,pişt,dorso
25,Rücken::N,pişt,schiena
26,Bauch::N,ûr,ventre
27,Bauch::N,zik,ventre
28,Nabel::N,navik,ombelico
29,Busen::N,sîng,seno
30,Brust::N,sîng,petto
31,Schulter::N,mil,spalla
32,Arm::N,çepil,braccio
33,Ellenbogen::N,enîşk,gomito
34,Hand::N,dest,mano
35,Handfläche::N,kefadest,palma
36,Finger::N,tilî,dito
37,Fingernagel::N,neynuk,unghia
38,Nagel[Anatomie]::N,bizmar,unghia
39,Zeh::N,tilî linga,dito del piede
40,Fuß::N,ling,piede
41,Ferse::N,pahnî,tallone
42,Ferse::N,pahnî,calcagno
43,Knie::N,kabok,ginocchio
44,Oberschenkel::N,rahn,fèmore
45,Bein::N,çip,gamba
46,Körper::N,laş,corpo
47,Körper::N,gowde,corpo
48,Haut::N,çerm,pelle
49,Blut::N,xwîn,sangue
50,Ader::N,reh,vena
51,Sehne::N,reh,tèndine
52,Knochen::N,hestî,osso
53,Gehirn::N,mêjî,cervello
54,Herz::N,dil,cuore
55,Magen::N,navêş,stòmaco
56,Leber::N,kezeb,fegato
57,Atem::N,hilm,fiato
58,Atem::N,hilm,respiro
59,Hunger::N,birçîtî,fame
60,Träne::N,hêstir,làcrima
61,Geschmack::N,tam,gusto
62,Geschmack::N,tam,sapore
63,Geruch::N,bêhn,odore
64,Schlaf::N,xew,sonno
65,Traum::N,xewn,sogno
66,Himmel::N,ezman,cielo
67,Sonne::N,roj,sole
68,Mond::N,heyv,luna
69,Stern::N,stêrk,stella
70,Luft::N,ba,aria
71,Wind::N,ba,vento
72,Welle::N,şewl,onda
73,Wasser::N,av,acqua
74,Stein::N,kevir,sasso
75,Stein::N,kevir,pietra
76,Boden::N,herd,suolo
77,Boden::N,herd,terreno
78,Erde::N,ax,terra
79,Staub::N,toz,polvere
80,Rauch::N,dû,fumo
81,Funke::N,çirûşk,scintilla
82,Feuer::N,agir,fuoco
83,Licht::N,ronahî,luce
84,Schatten::N,sî,ombra
85,Wetter::N,hewa,tempo
86,Nebel::N,mij,nebbia
87,Wolke::N,ewr,nube
88,Wolke::N,ewr,nùvola
89,Regen::N,baran,pioggia
90,Schnee::N,berf,neve
91,Eis::N,qeşa,ghiaccio
92,Frost::N,xûsik,gelo
93,Kälte::N,serma,freddo
94,Hitze::N,germayî,caldo
95,Hitze::N,germayî,calura
96,Raureif::N,şext,brina
