,Concept_ID,ja,ab
0,Auge::N,目,ала
1,Ohr::N,耳,алымҳа
2,Nase::N,鼻,аҧынҵа
3,Mund::N,口,аҧышə
4,Zahn::N,歯,ахаҧыц
5,Zunge::N,舌,абз
6,Lippe::N,唇,ақьышə
7,Wange::N,頬,аӡамҩа
8,Gesicht::N,顔,аҿы
9,Stirn::N,額,алахь
10,Haar::N,髪,ахəыц
11,Schnurrbart::N,口髭,аҧаҵа
12,Bart::N,髭,ажакьа
13,Kinn::N,顎,ацламкəыгə
14,Kiefer[Anatomie]::N,顎,ацламҳəа
15,Kehle::N,喉,ахəда
16,Hals::N,首,ахəда
17,Genick::N,首,ахəдаџьал
18,Kopf::N,頭,ахы
19,Rücken::N,背中,азқəа
20,Bauch::N,腹,амгəа
21,Bauch::N,お腹,амгəа
22,Nabel::N,へそ,аҷапан
23,Busen::N,乳房,агəыҧҳəы
24,Brust::N,胸,агəышҧы
25,Schulter::N,肩,ажəҩахыр
26,Arm::N,腕,амахəар
27,Ellenbogen::N,肘,амашьхəылҵ
28,Hand::N,手,анапы
29,Handfläche::N,手のひら,анапсаргəыҵа
30,Finger::N,指,анацəа
31,Fingernagel::N,爪,анапхыц
32,Nagel[Anatomie]::N,爪,ашьапхыц
33,Zeh::N,足の指,ашьацəа
34,Fuß::N,足,ашьапсыргəыҵа
35,Ferse::N,かかと,ашьхəа
36,Knie::N,膝,ашьамхы
37,Oberschenkel::N,上腿,ауаҭəа
38,Bein::N,足,ашьапы
39,Körper::N,体,ацəеижь
40,Haut::N,皮膚,ацəа
41,Blut::N,血,ашьа
42,Ader::N,血管,ада
43,Sehne::N,腱,адаш
44,Knochen::N,骨,абаҩ
45,Gehirn::N,脳,ахшлыбаҩ
46,Gehirn::N,脳,ахшыбаҩ
47,Herz::N,心,агəы
48,Herz::N,心臓,агəы
49,Magen::N,胃,аца
50,Magen::N,胃,ацар
51,Leber::N,肝臓,агəаҵəа
52,Atem::N,息,аҧсыҧлагаҩгара
53,Atem::N,呼吸,аҧсыҧлагаҩгара
54,Hunger::N,空腹,амла
55,Träne::N,涙,алабжыш
56,Geschmack::N,味,агьама
57,Geruch::N,匂い,афҩы
58,Schlaf::N,睡眠,ацəа
59,Traum::N,夢,аҧхыӡ
60,Himmel::N,空,ажəҩан
61,Sonne::N,太陽,амра
62,Mond::N,月,амза
63,Stern::N,星,аеҵəа
64,Luft::N,空気,аҳаир
65,Wind::N,風,аҧша
66,Welle::N,波,ацəқəырҧа
67,Wasser::N,水,аӡы
68,Stein::N,石,ахаҳə
69,Boden::N,土地,адгьыл
70,Erde::N,土,адгьыл
71,Staub::N,埃,асаба
72,Rauch::N,煙,алҩа
73,Funke::N,火花,акəиц
74,Funke::N,火花,ацҧхь
75,Feuer::N,火,амца
76,Licht::N,光,алашара
77,Schatten::N,陰,ашəшьыра
78,Wetter::N,天気,амш
79,Nebel::N,霧,анаҟəа
80,Wolke::N,雲,аҧсҭҳəа
81,Regen::N,雨,ақəа
82,Schnee::N,雪,асы
83,Eis::N,氷,аҵаа
84,Frost::N,霜,аҵаа
85,Kälte::N,寒さ,ахьҭа
86,Hitze::N,暑さ,ашоура
87,Raureif::N,霧氷,аҵааҧшқа
88,Regenbogen::N,虹,ацəаҟəа
89,Donner::N,雷,адыд
90,Strömung::N,流れ,аиасра
91,Strömung::N,流れ,амҩасра
92,Tropfen::N,滴,ацəыкəбар
93,Schaum::N,泡,ашəах
94,Schmutz::N,汚れ,алымт
95,See::N,湖,аӡиа
96,Sumpf::N,沼,аӡмах
97,Moor::N,湿原,
98,Wiese::N,草原,адəы
99,Wald::N,森,абна
100,Hügel::N,丘,ахəы
101,Anhöhe::N,高み,аҳаракыра
102,Berg::N,山,ашьха
103,Gipfel::N,頂上,ацəқəа
104,Höhle::N,洞窟,аҳаҧы
105,Abhang::N,斜面,анаара
106,Quelle::N,泉,аҵҵырҭа
107,Bach::N,小川,акəараҷҷа
108,Fluss::N,川,аӡиас
109,Ufer::N,岸,ахықə
110,Küste::N,海岸,ахықə
111,Festland::N,陸,абарра
112,Meer::N,海,амшын
113,Bucht::N,湾,аӡбжьахала
114,Insel::N,島,адгьылбжьаха
115,Blume::N,花,ашəҭ
116,Gras::N,草,аҳасакьын
117,Wurzel::N,根,адац
118,Baum::N,木,аҵла
119,Stamm::N,幹,ашьапы
120,Rinde::N,皮層,ацəа
121,Ast::N,枝,амахə
122,Ast::N,枝,амахəҭа
123,Zweig::N,小枝,амахə
124,Zweig::N,小枝,амахəҭа
125,Blatt::N,葉,абҕьы
126,Birke::N,樺,аҵааҵла
127,Kiefer[Baum]::N,松,амза
128,Weide[Baum]::N,柳,аҧслыш
129,Tanne::N,樅,аҧсаӡ
130,Horn::N,角,атəыҩа
131,Feder::N,羽根,ахӡы
132,Fell::N,毛皮,ацəа
133,Flügel::N,羽,амҵəыжəа
134,Klaue::N,鉤爪,ашьапхыц
135,Kralle::N,爪,
136,Schwanz::N,尻尾,аҵыхəа
137,Ei::N,卵,акəтаӷь
138,Nest::N,巣,аҭра
139,Nest::N,巣,аҵысҭра
140,Bau::N,穴,аҭыҩра
141,Tier::N,動物,аҧстəы
142,Tier::N,動物,агыгшəыг
143,Herde::N,群れ,агəарҭа
144,Kuh::N,牛,ажə
145,Bulle::N,雄牛,ацə
146,Pferd::N,馬,аҽы
147,Schaf::N,羊,ауаса
148,Schwein::N,豚,аҳəа
149,Hund::N,犬,ала
150,Katze::N,猫,ацгəы
151,Bär::N,熊,амшə
152,Eichhörnchen::N,栗鼠,аеш
153,Elch::N,ヘラジカ,аҽаҩа
154,Fuchs::N,狐,абгахəыҷы
155,Hase::N,兎,ажьа
156,Maus::N,鼠,аҳəынаҧ
157,Wolf::N,狼,абгаду
158,Vogel::N,鳥,аҧсаатə
