,Concept_ID,ta,bn
0,Auge::N,கண்,চক্ষু
1,Ohr::N,காது,কর্ণ
2,Nase::N,மூக்கு,নাক
3,Mund::N,வாய்,মুখ
4,Zahn::N,பல்,দাঁত
5,Zunge::N,நாக்கு,জিহবা
6,Lippe::N,உதடு,অধর
7,Wange::N,கன்னம்,গণ্ড
8,Gesicht::N,முகம்,মুখমণ্ডল
9,Stirn::N,முன்னெற்றி,কপাল
10,Haar::N,முடி,চুল
11,Schnurrbart::N,மீசை,গোঁফ
12,Bart::N,தாடி,শ্মশ্রু
13,Kinn::N,கீழதாடை,চিবুক
14,Kiefer[Anatomie]::N,தாடை,চোয়াল
15,Kehle::N,தொண்டை,কণ্ঠ
16,Hals::N,கழுத்து,গল
17,Genick::N,கழுத்து,ঘাড়
18,Kopf::N,தலை,মাথা
19,Rücken::N,முதுகு,পৃষ্ঠ
20,Bauch::N,வயிறு,উদর
21,Nabel::N,தொப்புள்,নাভি
22,Busen::N,மார்பகம்,স্তন
23,Brust::N, மார்பு,বুক
24,Schulter::N,தோள்பட்டை,স্কন্ধ
25,Arm::N,கரம்,বাহু
26,Ellenbogen::N,முழங்கை,কনুই
27,Hand::N,கை,হাত
28,Handfläche::N,உள்ளங்கை,করতল
29,Finger::N,விரல்,আঙ্গুল
30,Fingernagel::N,விரல் நகம்,হাতের নখ
31,Nagel[Anatomie]::N,நகம்,নখ
32,Zeh::N,கால்விரல்,আঙ্গুল
33,Fuß::N,கால்,পা
34,Ferse::N,குதிகால்,গোড়ালি
35,Knie::N,முழங்கால்,হাঁটু
36,Oberschenkel::N,தொடை,ঊরু
37,Bein::N,கால்,পা
38,Körper::N,உடல்,দেহ
39,Haut::N,சருமம்,ত্বক
40,Blut::N,இரத்தம்,রক্ত
41,Ader::N,நாளம்,শিরা
42,Sehne::N,தசைநார்,কণ্ডরা
43,Knochen::N,எலுமபு,অস্থি
44,Gehirn::N,மூனை,মস্তিষ্ক
45,Herz::N,இதயம,হৃৎপিণ্ড
46,Magen::N,வயிறு,পাকস্থলী
47,Leber::N,கல்லீரல்,যকৃৎ
48,Atem::N,மூச்சு,শ্বাস
49,Hunger::N,பசி,ক্ষুধা
50,Träne::N,கண்ணீர்,অশ্রু
51,Geschmack::N,நறுமணம்,স্বাদ
52,Geruch::N,துர்நாற்றம்,গন্ধ
53,Schlaf::N,தூக்கம்,ঘুম
54,Traum::N,கனவு,স্বপ্ন
55,Himmel::N,வானம்,আকাশ
56,Sonne::N,சூரியன்,সূর্য
57,Mond::N,சந்திரன்,চন্দ্র
58,Stern::N,நட்சத்திரம்,নক্ষত্র
59,Luft::N,காறறு,বায়ু
60,Wind::N,காற்று,বাতাস
61,Welle::N,அலை,ঢেউ
62,Welle::N,அலை,তরঙ্গ
63,Wasser::N,நீர்,জল
64,Stein::N,கல்,ঢিল
65,Stein::N,கல்,প্রস্তর
66,Boden::N,தரை,ভূতল
67,Erde::N,மண்,ভূমি
68,Staub::N,தூசி,ধুলা
69,Rauch::N,புகை,ধোঁয়া
70,Funke::N,தீப்பொறி,স্ফুলিঙ্গ
71,Feuer::N,தீ,অগ্নি
72,Licht::N,வெளிச்சம்,আলো
73,Schatten::N,நிழல்,ছায়া
74,Wetter::N,வானிலை,আবহাওয়া
75,Nebel::N,பனிமூட்டம்,কুহেলিকা
76,Wolke::N,மேகம்,মেঘ
77,Regen::N,மழை,বৃষ্টি
78,Schnee::N,உறைபனி,তুষার
79,Eis::N,பனிக்கட்டி,বরফ
80,Frost::N,உறைபனி,তুষার
81,Kälte::N,குளிர்ந்த,শৈত্য
82,Hitze::N,சூடு,তাপ
83,Raureif::N,உறைபனி வெண்திரை,তুহিন
84,Regenbogen::N,வானவில்,রামধনু
85,Donner::N,இடி,বজ্রধ্বনি
86,Strömung::N,நீரோட்டம்,স্রোত
87,Tropfen::N,துளி,ফোঁটা
88,Schaum::N,நுரை,ফেনা
89,Schmutz::N,அழுக்கு,ধুলা
90,See::N,ஏரி,হ্রদ
91,Sumpf::N,சதுப்பு நிலம்,জলা
92,Moor::N,முட்புதற்காடு,মাঠ
93,Wiese::N,பசும் புல்தரை,তৃণভূমি
94,Wald::N,காடு,বন
95,Hügel::N,குன்று,পাহাড়
96,Anhöhe::N,பதுக்கை,টিলা
97,Berg::N,மலை,পর্বত
98,Gipfel::N,உச்சி மாநாடு,শীর্ষ
99,Höhle::N,குகை,গুহা
100,Abhang::N,சரிவு,ঢাল
101,Quelle::N,மூலம்,উৎস
102,Bach::N,ஓடை,ক্ষুদ্র নদী
103,Fluss::N,ஆறு,নদী
104,Ufer::N,நீர்க்கரை,উপকূল
105,Küste::N,கடற்கரை,তীর
106,Festland::N,நிலம்,ভূমি
107,Meer::N,கடல்,সমুদ্র
108,Bucht::N,சிறுகுடா,উপসাগর
109,Insel::N,தீவு,দ্বীপ
110,Blume::N,பூ,ফুল
111,Gras::N,புல்தரை,ঘাস
112,Wurzel::N,வேர்,শিকড়
113,Baum::N,மரம்,গাছ
114,Stamm::N,அடிமரம்,স্কন্ধ
115,Rinde::N,பட்டை,বল্কল
116,Rinde::N,மரப்பட்டை,বল্কল
117,Ast::N,கினை,শাখা
118,Zweig::N,குச்சி,ডাল
119,Blatt::N,இலை,পর্ণ
120,Birke::N,பிர்ச் மரம்,ভুর্জ
121,Kiefer[Baum]::N,தேவதாரு மரம்,পাইন গাছ
122,Weide[Baum]::N,மர வகைகளுள் ஒன்று,উইলো
123,Tanne::N,சாதிக்கய்,দেবদারূ গাছ
124,Horn::N,கொம்பு,শিং
125,Feder::N,இறகு,পালক
126,Fell::N,மென்முடி,রোম
127,Flügel::N,இறக்கை,ডানা
128,Klaue::N,நகம்,নখর
129,Kralle::N,நகம்,নখর
130,Schwanz::N,வால்,লেজ
131,Ei::N,முட்டை,ডিম
132,Nest::N,கூடு,কুলায়
133,Bau::N,குகை,ডেরা
134,Tier::N,விலங்கு,জন্তু
135,Herde::N,கூட்டம்,ঝাঁক
136,Kuh::N,பசு,গোরু
137,Bulle::N,காளை,বৃষ
138,Pferd::N,குதிரை,ঘোড়া
139,Schaf::N,செம்மறிஆடு,ভেড়া
140,Schwein::N,பன்றி,শূকর
141,Hund::N,நாய்,কুকুর
142,Katze::N,பூனை,বেড়াল
143,Bär::N,கரடி,ভল্লুক
144,Eichhörnchen::N,அணில்,কাঠবিড়াল
145,Elch::N,கடம்பை,হরিণবিশেষ
146,Fuchs::N,நரி,পাঁতিশিয়াল
147,Hase::N,முயல்,শশক
148,Maus::N,எலி,নেংটি ইঁদুর
149,Wolf::N,ஓநாய்,নেকড়ে
150,Vogel::N,பறவை,পক্ষী
151,Schwarm::N,தொகுதி,ঝাঁক
152,Huhn::N,கோழிக்குஞசு,মোরগ
153,Hahn::N,சேவல்,কুক্কুট
154,Gans::N,பெண் வாத்து,হংসী
155,Adler::N,பருநது,ইগল
156,Ente::N,வாத்து,হংসী
157,Eule::N,ஆந்தை,পেচক
158,Kranich::N,நாரை,সারস
159,Krähe::N,காகம்,কাক
160,Kuckuck::N,குயில்,কোকিল
161,Schwan::N,அன்னம்,মরাল
162,Fisch::N,மீன்,মাছ
163,Barsch::N,பேர்ச்,মৎন্যবিশেষ
164,Hecht::N,கோலாச்சி மீன்,বানমাছ
165,Schlange[Tier]::N,பாம்பு,সর্প
166,Wurm::N,புழு,কীট
167,Spinne::N,சிலந்தி,মাকড়সা
168,Ameise::N,எறும்பு,পিপীলিকা
169,Laus::N,பேன்,উকুন
170,Mücke::N,கொசுவினப்பூச்சி,মশা
171,Fliege::N,ஈ,মাছি
172,Schmetterling::N,வண்ணத்துப்பூச்சி,প্রজাপতি
173,Beere::N,சதைப்பழம்,বেরি
174,Apfel::N,ஆப்பிள பழம்,আপেল
175,Pilz::N,காளான்,ছত্রক
176,Zwiebel::N,வெங்காயம்,পিয়াজ
177,Saat::N,விதை,বীজ
178,Korn::N,தானியம்,শস্য
179,Heu::N,வைக்கோல்,খড়
180,Schale::N,தோல்,খোসা
181,Grube::N,குழி,গর্ত
182,Falle::N,பொறி,ফাঁদ
183,Schlinge::N,கண்ணி,পাশ
184,Spur::N,சுவடு,চিহ্ন
185,Asche::N,சாம்பல்,ভস্ম
