,Concept_ID,fr,ru
0,Auge::N,œil,глаз
1,Ohr::N,oreille,ухо
2,Nase::N,nez,нос
3,Mund::N,bouche,рот
4,Zahn::N,dent,зуб
5,Zunge::N,langue,язык
6,Lippe::N,lèvre,губа
7,Wange::N,joue,щека
8,Gesicht::N,face,лицо
9,Gesicht::N,visage,лицо
10,Stirn::N,front,лоб
11,Haar::N,cheveu,волос
12,Haar::N,cheveu,волосы
13,Schnurrbart::N,moustache,ус
14,Schnurrbart::N,moustache,усы
15,Bart::N,barbe,борода
16,Kinn::N,menton,подбородок
17,Kiefer[Anatomie]::N,mâchoire,челюсть
18,Kehle::N,gorge,горло
19,Hals::N,cou,шея
20,Genick::N,nuque,затылок
21,Kopf::N,tête,голова
22,Rücken::N,dos,спина
23,Bauch::N,ventre,живот
24,Nabel::N,nombril,пупок
25,Busen::N,sein,женская грудь
26,Brust::N,poitrine,грудь
27,Schulter::N,épaule,плечо
28,Arm::N,bras,рука
29,Ellenbogen::N,coude,локоть
30,Hand::N,main,кисть
31,Handfläche::N,paume,ладонь
32,Finger::N,doigt,палец
33,Fingernagel::N,ongle,ноготь
34,Nagel[Anatomie]::N,ongle,ноготь
35,Zeh::N,orteil,палец
36,Zeh::N,doigt de pied,палец
37,Fuß::N,pied,ступня
38,Ferse::N,talon,пята
39,Ferse::N,talon,пятка
40,Knie::N,genou,колено
41,Oberschenkel::N,cuisse,бедро
42,Bein::N,jambe,нога
43,Körper::N,corps,тело
44,Haut::N,peau,кожа
45,Blut::N,sang,кровь
46,Ader::N,veine,вена
47,Ader::N,veine,сосуд
48,Sehne::N,tendon,жила
49,Sehne::N,tendon,тетива
50,Sehne::N,tendon,сухожилие
51,Knochen::N,os,кость
52,Gehirn::N,cerveau,мозг
53,Herz::N,cœur,сердце
54,Magen::N,estomac,желудок
55,Leber::N,foie,печень
56,Atem::N,haleine,дух
57,Atem::N,haleine,дыхание
58,Hunger::N,faim,голод
59,Träne::N,larme,слеза
60,Geschmack::N,goût,вкус
61,Geschmack::N,saveur,вкус
62,Geruch::N,odeur,запах
63,Schlaf::N,sommeil,сон
64,Traum::N,songe,сновидение
65,Himmel::N,ciel,небо
66,Sonne::N,soleil,солнце
67,Mond::N,lune,луна
68,Stern::N,étoile,звезда
69,Luft::N,air,воздух
70,Wind::N,vent,ветер
71,Welle::N,vague,волна
72,Wasser::N,eau,вода
73,Stein::N,pierre,камень
74,Boden::N,sol,почва
75,Boden::N,terrain,почва
76,Erde::N,terre,земля
77,Staub::N,poussière,пыль
78,Rauch::N,fumée,дым
79,Funke::N,étincelle,искра
80,Feuer::N,feu,огонь
81,Licht::N,lumière,свет
82,Schatten::N,ombre,тень
83,Wetter::N,temps,погода
84,Nebel::N,brume,туман
85,Nebel::N,brouillard,туман
86,Wolke::N,nuage,облако
87,Regen::N,pluie,дождь
88,Schnee::N,neige,снег
89,Eis::N,glace,лед
90,Frost::N,gel,мороз
91,Frost::N,gelée,мороз
92,Kälte::N,froid,холод
93,Hitze::N,chaleur,жара
94,Raureif::N,givre,иней
95,Regenbogen::N,arc-en-ciel,радуга
96,Donner::N,tonnerre,гром
97,Strömung::N,courant,течение
98,Tropfen::N,goutte,капля
99,Schaum::N,écume,пена
100,Schaum::N,mousse,пена
101,Schmutz::N,boue,грязь
102,Schmutz::N,saleté,грязь
103,See::N,lac,озеро
104,Sumpf::N,marais,топь
105,Sumpf::N,marécage,топь
106,Moor::N,tourbière,болото
107,Wiese::N,pré,луг
108,Wald::N,bois,лес
109,Wald::N,forêt,лес
110,Hügel::N,coteau,холм
111,Hügel::N,colline,холм
112,Anhöhe::N,éminence,возвышенность
113,Anhöhe::N,élévation,возвышенность
114,Berg::N,mont,гора
115,Berg::N,montagne,гора
116,Gipfel::N,cime,вершина
117,Gipfel::N,sommet,вершина
118,Höhle::N,caverne,пещера
119,Abhang::N,pente,склон
120,Abhang::N,versant,склон
121,Quelle::N,source,источник
122,Quelle::N,fontaine,источник
123,Bach::N,ruisseau,ручей
124,Fluss::N,fleuve,река
125,Fluss::N,rivière,река
126,Ufer::N,bord,берег
127,Ufer::N,rivage,берег
128,Küste::N,côte,побережье
129,Festland::N,terre ferme,суша
130,Meer::N,mer,море
131,Bucht::N,baie,бухта
132,Insel::N,île,остров
133,Blume::N,fleur,цветок
134,Gras::N,herbe,трава
135,Wurzel::N,racine,корень
136,Baum::N,arbre,дерево
137,Stamm::N,tronc,ствол
138,Rinde::N,écorce,кора
139,Ast::N,branche,сук
140,Zweig::N,rameau,ветвь
141,Blatt::N,feuille,лист
142,Birke::N,bouleau,береза
143,Kiefer[Baum]::N,pin,сосна
144,Weide[Baum]::N,saule,ива
145,Tanne::N,sapin,ель
146,Horn::N,corne,рог
147,Feder::N,plume,перо
148,Fell::N,peau,шкура
149,Flügel::N,aile,крыло
150,Klaue::N,serre,коготь
151,Kralle::N,ongle,лапа
152,Kralle::N,griffe,лапа
153,Schwanz::N,queue,хвост
154,Ei::N,œuf,яйцо
155,Nest::N,nid,гнездо
156,Bau::N,terrier,нора
157,Tier::N,animal,животное
158,Herde::N,troupeau,стадо
159,Kuh::N,vache,корова
160,Bulle::N,taureau,бык
161,Pferd::N,cheval,лошадь
162,Schaf::N,mouton,овца
163,Schwein::N,porc,свинья
164,Schwein::N,cochon,свинья
165,Hund::N,chien,собака
166,Katze::N,chat,кошка
167,Bär::N,ours,медведь
168,Eichhörnchen::N,écureuil,белка
169,Elch::N,élan,лось
170,Fuchs::N,renard,лиса
171,Hase::N,lièvre,заяц
172,Maus::N,souris,мышь
173,Wolf::N,loup,волк
174,Vogel::N,oiseau,птица
175,Schwarm::N,nuée,стая
176,Schwarm::N,volée,стая
177,Huhn::N,poule,курица
178,Hahn::N,coq,петух
179,Gans::N,oie,гусь
180,Adler::N,aigle,орел
181,Ente::N,canard,утка
182,Eule::N,hibou,сова
183,Kranich::N,grue,журавль
184,Krähe::N,corneille,ворона
185,Kuckuck::N,coucou,кукушка
186,Schwan::N,cygne,лебедь
187,Fisch::N,poisson,рыба
188,Barsch::N,perche,окунь
189,Hecht::N,brochet,щука
190,Schlange[Tier]::N,serpent,змея
191,Wurm::N,ver,червяк
192,Spinne::N,araignée,паук
193,Ameise::N,fourmi,муравей
194,Laus::N,pou,вошь
195,Mücke::N,moucheron,комар
196,Fliege::N,mouche,муха
197,Schmetterling::N,papillon,бабочка
198,Beere::N,baie,ягода
199,Apfel::N,pomme,яблоко
200,Pilz::N,champignon,гриб
201,Zwiebel::N,oignon,луковица
202,Saat::N,semence,семя
203,Korn::N,grain,зерно
204,Heu::N,foin,сено
205,Schale::N,pelure,шелуха
206,Grube::N,fosse,яма
207,Falle::N,piège,ловушка
208,Schlinge::N,lacs,силок
209,Spur::N,trace,след
210,Asche::N,cendre,зола
211,Asche::N,cendre,пепел
212,Dreck::N,crotte,грязь
213,Eisen::N,fer,железо
214,Gold::N,or,золото
215,Silber::N,argent,серебро
216,Kohle::N,charbon,уголь
217,Glas::N,verre,стекло
218,Lehm::N,glaise,глина
219,Sand::N,sable,песок
220,Mensch::N,homme,человек
221,Mann::N,homme,мужчина
222,Frau::N,femme,женщина
223,Kind::N,enfant,ребенок
224,Junge::N,garçon,мальчик
225,Mädchen::N,fille,девочка
226,Mädchen::N,jeune fille,девочка
227,Familie::N,famille,семья
228,Großvater::N,grand-père,дедушка
229,Großmutter::N,grand-mère,бабушка
230,Eltern::N,parents,родители
231,Vater::N,père,отец
232,Mutter::N,mère,мать
233,Sohn::N,fils,сын
234,Tochter::N,fille,дочь
235,Bruder::N,frère,брат
236,Schwester::N,sœur,сестра
237,Onkel::N,oncle,дядя
238,Tante::N,tante,тетя
239,Ehemann::N,mari,муж
240,Ehemann::N,époux,муж
241,Ehefrau::N,femme,жена
242,Ehefrau::N,épouse,жена
243,Freude::N,joie,радость
244,Freude::N,plaisir,радость
245,Gelächter::N,rires,смех
246,Glück::N,bonheur,счастье
247,Kummer::N,peine,горе
248,Kummer::N,chagrin,горе
249,Wunsch::N,désir,желание
250,Lust::N,envie,влечение
251,Geist::N,esprit,дух
252,Gedanke::N,idée,мысль
253,Gedanke::N,pensée,мысль
254,Gedächtnis::N,mémoire,память
255,Verstand::N,raison,ум
256,Sinn::N,sens,смысл
257,Grund::N,cause,повод
258,Grund::N,raison,повод
259,Wahrheit::N,vérité,правда
260,Gespräch::N,conversation,беседа
261,Märchen::N,conte,сказка
262,Märchen::N,conte de fées,сказка
263,Erzählung::N,conte,рассказ
264,Erzählung::N,narration,рассказ
265,Nachricht::N,message,сообщение
266,Neuigkeit::N,nouvelle,новость
267,Name::N,nom,имя
268,Rätsel::N,énigme,загадка
