,Concept_ID,udm,ko
0,Auge::N,син,눈
1,Ohr::N,пель,귀
2,Nase::N,ныр,코
3,Mund::N,ым,입
4,Zahn::N,пинь,이
5,Zunge::N,кыл,혀
6,Lippe::N,ымдур,입술
7,Wange::N,бам,뺨
8,Gesicht::N,ымныр,얼굴
9,Stirn::N,кымес,이마
10,Haar::N,йырси,털
11,Schnurrbart::N,мыйык,윗수몀
12,Schnurrbart::N,мыйык,코밑수염
13,Bart::N,туш,수엄
14,Kinn::N,ангес,아래턱
15,Kiefer[Anatomie]::N,ан,턱
16,Kiefer[Anatomie]::N,анлы,턱
17,Kehle::N,гульым,인후
18,Hals::N,чырты,목
19,Genick::N,йырбер,먹덜이
20,Kopf::N,йыр,머리
21,Rücken::N,мыш,든
22,Bauch::N,кӧт,배
23,Nabel::N,гогы,배꼽
24,Busen::N,ноны,가슴속
25,Brust::N,мӧля,가슴
26,Schulter::N,пельпум,어깨
27,Arm::N,суй,팔
28,Ellenbogen::N,гырпум,팔쿰치
29,Hand::N,ки,손
30,Handfläche::N,ки пыдэс,손바닥
31,Handfläche::N,кырым пыдэс,손바닥
32,Finger::N,чиньы,속가락
33,Fingernagel::N,гижы,손톱
34,Fingernagel::N,гиждӥнь,손톱
35,Nagel[Anatomie]::N,гижы,손톱
36,Zeh::N,пыдчиньы,발가락
37,Fuß::N,пыд,발
38,Ferse::N,пыдбер,발꿈치
39,Knie::N,пыдес,무릎
40,Oberschenkel::N,макес,허벅다리
41,Bein::N,пыд,다리
42,Körper::N,мугор,구간
43,Körper::N,вылтыр,구간
44,Haut::N,ку,살갗
45,Blut::N,вир,피
46,Ader::N,вирсэр,정맥
47,Sehne::N,вуж,현
48,Knochen::N,лы,뼈
49,Gehirn::N,вим,뇌
50,Gehirn::N,вим,뇌수
51,Herz::N,сюлэм,염통
52,Magen::N,ӝуш,위
53,Leber::N,мус,간
54,Atem::N,лул,기식
55,Atem::N,шокан,기식
56,Hunger::N,кӧтсюман,공복
57,Träne::N,синкыли,눈물
58,Geschmack::N,шӧм,기호
59,Geruch::N,зын,냄새
60,Schlaf::N,вӧт,수면
61,Traum::N,уйвӧт,쿰
62,Himmel::N,ин,하늘
63,Sonne::N,шунды,해
64,Mond::N,толэзь,달
65,Stern::N,кизили,별
66,Luft::N,омыр,동준
67,Luft::N,омыр,가스채
68,Wind::N,тӧл,바람
69,Welle::N,тулкым,물결
70,Wasser::N,ву,물
71,Stein::N,из,돌
72,Boden::N,музъем,바닥
73,Erde::N,му,흙
74,Staub::N,пыль,먼지
75,Rauch::N,ӵын,연기
76,Funke::N,гизьы,불티
77,Feuer::N,тыл,불
78,Licht::N,тыл,불
79,Schatten::N,вужер,어스레함
80,Wetter::N,куазь,기상
81,Nebel::N,бус,안개
82,Wolke::N,пилем,구름
83,Regen::N,зор,비
84,Schnee::N,лымы,눈
85,Eis::N,йӧ,얼음
86,Frost::N,кезьыт,혹한
87,Kälte::N,кезьыт,추위
88,Kälte::N,кезьыт,차가움
89,Hitze::N,пӧсь,고온
90,Hitze::N,пӧсь,더위
91,Raureif::N,гӧр,
92,Regenbogen::N,вуюись,무지개
93,Donner::N,гудыри,뇌명
94,Strömung::N,бызён,유동
95,Tropfen::N,шапык,물방울
96,Schaum::N,шукы,포말
97,Schmutz::N,нӧд,때
98,Schmutz::N,дэри,때
99,See::N,ты,호수
100,Sumpf::N,нюр,습지
101,Moor::N,нюр,저습지
102,Wiese::N,возь,목초지
103,Wiese::N,возьвыл,목초지
104,Wald::N,сик,숲
105,Wald::N,нюлэс,숲
106,Hügel::N,выр,언덕
107,Hügel::N,вырйыл,언덕
108,Anhöhe::N,выр,언덕
109,Anhöhe::N,вырйыл,언덕
110,Berg::N,гурезь,산
111,Gipfel::N,йыл,졀졍
112,Höhle::N,гу,공동
113,Abhang::N,бам,몰매
114,Quelle::N,ошмес,근원
115,Bach::N,пичи шур,내
116,Fluss::N,шур,강
117,Ufer::N,ярдур,강변
118,Ufer::N,ярдур,바닷가
119,Küste::N,вудур,해변
120,Küste::N,вудур,해변가
121,Festland::N,мувыр,본토
122,Meer::N,зарезь,바다
123,Bucht::N,вукож,협만
124,Insel::N,вумуӵ,섬
125,Insel::N,шормуӵ,섬
126,Blume::N,сяська,꽃
127,Gras::N,турын,풀
128,Wurzel::N,выжы,뿌리
129,Baum::N,пу,나무
130,Stamm::N,модос,대
131,Rinde::N,сул,나무껍질
132,Ast::N,ул,가지
133,Zweig::N,вай,가지
134,Blatt::N,куар,잎
135,Birke::N,кызьпу,자작나무
136,Kiefer[Baum]::N,пужым,소나무
137,Weide[Baum]::N,бадьпу,쉬양버들
138,Tanne::N,кыз,전나무
139,Horn::N,сюр,뿔
140,Feder::N,тылы,깃털
141,Fell::N,ку,피혁모피
142,Flügel::N,бурд,날개
143,Klaue::N,гижы,갈고리 발톺
144,Kralle::N,пыд,발툭
145,Schwanz::N,быж,꼬리
146,Ei::N,пуз,알
147,Ei::N,кукей,알
148,Nest::N,кар,보금자리
149,Nest::N,пузкар,보금자리
150,Bau::N,кар,굴
151,Bau::N,гу,굴
152,Tier::N,пӧйшур,짐승
153,Herde::N,уллё,가축의떼
154,Kuh::N,скал,암소
155,Bulle::N,ош,황소
156,Bulle::N,пороз,황소
157,Pferd::N,вал,말
158,Schaf::N,ыж,양
159,Schwein::N,парсь,돼지
160,Hund::N,пуны,개
161,Katze::N,коӵыш,고양이
