,Concept_ID,ku,pt
0,Auge::N,çav,olho
1,Ohr::N,guh,orelha
2,Nase::N,bêvil,nariz
3,Mund::N,dev,boca
4,Zahn::N,didan,dente
5,Zunge::N,ziman,língua
6,Lippe::N,lêv,lábio
7,Wange::N,dêm,face
8,Wange::N,hinarik,face
9,Gesicht::N,rû,cara
10,Gesicht::N,rû,rosto
11,Stirn::N,enî,testa
12,Haar::N,por,cabelo
13,Schnurrbart::N,simbêl,bigode
14,Bart::N,rih,barba
15,Kinn::N,zenî,queixo
16,Kiefer[Anatomie]::N,arguşk,maxila
17,Kiefer[Anatomie]::N,arguşk,mandíbula
18,Kehle::N,qirik,garganta
19,Hals::N,stû,colo
20,Hals::N,stû,pescoço
21,Hals::N,qirik,colo
22,Hals::N,qirik,pescoço
23,Genick::N,stû,nuca
24,Kopf::N,serî,cabeça
25,Rücken::N,pişt,dorso
26,Rücken::N,pişt,costas
27,Bauch::N,ûr,ventre
28,Bauch::N,ûr,barriga
29,Bauch::N,zik,ventre
30,Bauch::N,zik,barriga
31,Nabel::N,navik,umbigo
32,Busen::N,sîng,seio
33,Brust::N,sîng,peito
34,Schulter::N,mil,ombro
35,Arm::N,çepil,braço
36,Ellenbogen::N,enîşk,cotovelo
37,Hand::N,dest,mão
38,Handfläche::N,kefadest,palma
39,Handfläche::N,kefadest,palma da mão
40,Finger::N,tilî,dedo
41,Fingernagel::N,neynuk,unha
42,Nagel[Anatomie]::N,bizmar,unha
43,Zeh::N,tilî linga,dedo do pé
44,Fuß::N,ling,pé
45,Ferse::N,pahnî,calcanhar
46,Knie::N,kabok,joelho
47,Oberschenkel::N,rahn,coxa
48,Bein::N,çip,perna
49,Körper::N,laş,corpo
50,Körper::N,gowde,corpo
51,Haut::N,çerm,pele
52,Blut::N,xwîn,sangue
53,Ader::N,reh,veia
54,Sehne::N,reh,tendão
55,Knochen::N,hestî,osso
56,Gehirn::N,mêjî,cérebro
57,Herz::N,dil,coração
58,Magen::N,navêş,estômago
59,Leber::N,kezeb,fígado
60,Atem::N,hilm,fôlego
61,Hunger::N,birçîtî,fome
62,Träne::N,hêstir,lágrima
63,Geschmack::N,tam,gosto
64,Geruch::N,bêhn,odor
65,Geruch::N,bêhn,cheiro
66,Schlaf::N,xew,sono
67,Traum::N,xewn,sonho
68,Himmel::N,ezman,céu
69,Sonne::N,roj,sol
70,Mond::N,heyv,lua
71,Stern::N,stêrk,estrela
72,Luft::N,ba,ar
73,Wind::N,ba,vento
74,Welle::N,şewl,onda
75,Wasser::N,av,água
76,Stein::N,kevir,pedra
77,Boden::N,herd,solo
78,Erde::N,ax,terra
79,Staub::N,toz,pó
80,Rauch::N,dû,fumo
81,Funke::N,çirûşk,faísca
82,Funke::N,çirûşk,centelha
83,Feuer::N,agir,fogo
84,Licht::N,ronahî,luz
85,Schatten::N,sî,sombra
86,Wetter::N,hewa,tempo
87,Nebel::N,mij,nevoeiro
88,Wolke::N,ewr,nuvem
89,Regen::N,baran,chuva
90,Schnee::N,berf,neve
91,Eis::N,qeşa,gelo
92,Frost::N,xûsik,gelo
93,Frost::N,xûsik,geada
94,Kälte::N,serma,frio
95,Hitze::N,germayî,ardor
96,Raureif::N,şext,geada
97,Regenbogen::N,heftreng,arco-iris
98,Donner::N,gire-gir,trovão
99,Strömung::N,şewl,corrente
100,Tropfen::N,dilop,gota
101,Schaum::N,kef,espuma
102,Schmutz::N,gemar,sujidade
103,Schmutz::N,gemar,imundície
104,See::N,gol,lago
105,Sumpf::N,hezek,charco
106,Sumpf::N,hezek,pântano
107,Moor::N,mafêl,pântano
108,Wiese::N,sûrik,prado
109,Wald::N,çiya,bosque
110,Wald::N,çiya,floresta
111,Wald::N,daristan,bosque
112,Wald::N,daristan,floresta
113,Hügel::N,gir,colina
114,Anhöhe::N,sere gir,alto
115,Anhöhe::N,sere gir,outeiro
116,Berg::N,kaş,monte
117,Berg::N,kaş,montanha
