,Concept_ID,sv,mhr
0,Auge::N,öga,шинча́
1,Ohr::N,öra,пы́лыш
2,Nase::N,näsa,нер
3,Mund::N,mun,умша́
4,Zahn::N,tand,пӱй
5,Zunge::N,tunga,йы́лме
6,Lippe::N,läpp,тӱ́рвӧ
7,Wange::N,kind,шӱ́ргӧ
8,Gesicht::N,syn,чури́й
9,Gesicht::N,ansikte,чури́й
10,Stirn::N,panna,саҥга́
11,Haar::N,hår,ӱп
12,Schnurrbart::N,mustasch,ӧ́рыш
13,Bart::N,skägg,понда́ш
14,Kinn::N,haka,оҥыла́ш
15,Kiefer[Anatomie]::N,käke,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,käke,пӱйората́
17,Kehle::N,strupe,лога́р
18,Hals::N,hals,шӱй
19,Genick::N,nacke,шӱйло́дыш
20,Kopf::N,huvud,вуй
21,Rücken::N,rygg,туп
22,Bauch::N,buk,мӱ́шкыр
23,Bauch::N,mage,мӱ́шкыр
24,Nabel::N,navel,кы́лымде
25,Busen::N,barm,чы́зе
26,Brust::N,bröst,оҥ
27,Schulter::N,skuldra,ва́че
28,Arm::N,arm,кид
29,Ellenbogen::N,armbåge,кынерву́й
30,Hand::N,hand,кид
31,Hand::N,hand,копа́
32,Handfläche::N,handflata,со́во
33,Finger::N,finger,парня́
34,Fingernagel::N,fingernagel,кидкӱ́ч
35,Fingernagel::N,fingernagel,парнягӱ́ч
36,Nagel[Anatomie]::N,nagel,кӱч
37,Zeh::N,tå,йолварня́
38,Fuß::N,fot,йол
39,Fuß::N,fot,йолкопа́
40,Ferse::N,häl,тага́н
41,Knie::N,knä,пулву́й
42,Oberschenkel::N,lår,э́рде
43,Bein::N,ben,йол
44,Körper::N,kropp,кап
45,Haut::N,hud,кова́ште
46,Haut::N,skinn,кова́ште
47,Blut::N,blod,вӱр
48,Ader::N,åder,шӧн
49,Sehne::N,sena,шӧн
50,Sehne::N,sena,кӱсе́н
51,Knochen::N,ben,лу
52,Gehirn::N,hjärna,вем
53,Gehirn::N,hjärna,вуйве́м
54,Herz::N,hjärta,шӱм
55,Magen::N,mage,пага́р
56,Leber::N,lever,мокш
57,Atem::N,anda,шӱ́лыш
58,Atem::N,andedräkt,шӱ́лыш
59,Hunger::N,svält,шужыма́ш
60,Hunger::N,hunger,шужыма́ш
61,Träne::N,tår,шинчавӱ́д
62,Geschmack::N,smak,там
63,Geruch::N,lukt,пуш
64,Schlaf::N,sömn,о́мо
65,Traum::N,dröm,йӱдо́мо
66,Himmel::N,himmel,кава́
67,Sonne::N,sol,ке́че
68,Mond::N,måne,ты́лзе
69,Stern::N,stjärna,шӱ́дыр
70,Luft::N,luft,юж
71,Wind::N,vind,марде́ж
72,Welle::N,våg,то́лкын
73,Welle::N,bölja,то́лкын
74,Wasser::N,vatten,вӱд
75,Stein::N,sten,кӱ
76,Boden::N,mark,рок
77,Erde::N,jord,мла́нде
78,Staub::N,damm,пура́к
79,Rauch::N,rök,шикш
80,Funke::N,gnista,сеске́м
81,Funke::N,gnista,тулйы́п
82,Feuer::N,eld,тул
83,Licht::N,ljus,со́то
84,Schatten::N,skugga,ӱ́мыл
85,Wetter::N,väder,иге́че
86,Nebel::N,dimma,тӱтыра́
87,Nebel::N,töcken,тӱтыра́
88,Wolke::N,sky,пыл
89,Wolke::N,moln,пыл
90,Regen::N,regn,йӱр
91,Schnee::N,snö,лум
92,Eis::N,is,ий
93,Frost::N,frost,чатлама́
94,Kälte::N,köld,йӱ́штӧ
95,Hitze::N,hetta,шо́кшо
96,Raureif::N,rimfrost,пӧрш
97,Raureif::N,rimfrost,по́кшым
98,Regenbogen::N,regnbåge,шонанпы́л
99,Donner::N,åska,кӱ́дырчӧ
100,Donner::N,dunder,кӱ́дырчӧ
101,Strömung::N,strömning,йо́гын
102,Tropfen::N,dropper,чӱча́лтыш
103,Schaum::N,skum,шоҥ
104,Schmutz::N,lort,лавыра́
105,Schmutz::N,smuts,лавыра́
106,See::N,sjö,ер
107,Sumpf::N,träsk,лӱ́кӧ
108,Moor::N,myr,куп
109,Moor::N,mosse,куп
110,Wiese::N,äng,о́лык
111,Wald::N,skog,чодыра́
112,Hügel::N,höjd,арка́
113,Hügel::N,kulle,арка́
114,Anhöhe::N,höjd,тӧва́
115,Anhöhe::N,höjd,кӱкшака́
116,Anhöhe::N,backe,тӧва́
117,Anhöhe::N,backe,кӱкшака́
118,Berg::N,berg,ку́рык
119,Berg::N,fjäll,ку́рык
120,Gipfel::N,topp,чаҥга́
121,Gipfel::N,topp,курыкву́й
122,Höhle::N,håla,пеще́р
123,Höhle::N,håla,курыкпо́мыш
124,Höhle::N,grotta,пеще́р
125,Höhle::N,grotta,курыкпо́мыш
126,Abhang::N,slänt,та́йыл
127,Abhang::N,sluttning,та́йыл
128,Quelle::N,källa,важ
129,Quelle::N,källa,вӱдшинча́
130,Bach::N,bäck,изэҥе́р
131,Fluss::N,älv,эҥе́р
132,Fluss::N,flod,эҥе́р
133,Ufer::N,strand,сер
134,Küste::N,kust,вӱдтӱ́р
135,Festland::N,fastland,мла́нде
136,Meer::N,hav,те́ҥыз
137,Bucht::N,vik,икса́
138,Bucht::N,bukt,икса́
139,Insel::N,ö,отро́
140,Blume::N,blomma,пеле́дыш
141,Blume::N,blomster,пеле́дыш
142,Gras::N,gräs,шу́до
143,Wurzel::N,rot,вож
144,Baum::N,träd,пуше́ҥге
145,Stamm::N,stam,йы́тыр
146,Rinde::N,bark,шӱм
147,Ast::N,gren,укш
148,Zweig::N,kvist,торма́к
149,Blatt::N,löv,лышта́ш
150,Blatt::N,blad,лышта́ш
151,Birke::N,björk,куэ́
152,Kiefer[Baum]::N,tall,пӱ́нчӧ
153,Weide[Baum]::N,pil,уа́
154,Weide[Baum]::N,vide,уа́
155,Tanne::N,gran,кож
156,Horn::N,horn,шур
157,Feder::N,fjäder,пы́стыл
158,Fell::N,fäll,кова́ште
159,Fell::N,skinn,кова́ште
160,Flügel::N,vinge,шу́лдыр
161,Klaue::N,klöv,кӱч
162,Kralle::N,klo,ла́па
163,Kralle::N,klo,копа́
164,Schwanz::N,svans,поч
165,Schwanz::N,stjärt,поч
166,Ei::N,ägg,му́но
167,Nest::N,rede,пыжа́ш
168,Nest::N,näste,пыжа́ш
169,Bau::N,bo,пыжа́ш
170,Tier::N,djur,я́нлык
171,Tier::N,djur,живо́тный
172,Herde::N,flock,кӱ́тӱ
173,Herde::N,flock,тӱшка́
174,Kuh::N,ko,ушка́л
175,Bulle::N,tjur,ӱ́шкыж
176,Pferd::N,häst,и́мне
177,Schaf::N,får,шо́рык
178,Schwein::N,svin,сӧсна́
179,Hund::N,hund,пий
180,Katze::N,katt,пы́рыс
181,Bär::N,björn,маска́
182,Eichhörnchen::N,ekorre,ур
183,Elch::N,älg,шо́рдо
184,Fuchs::N,räv,ры́выж
185,Hase::N,hare,мера́ҥ
186,Maus::N,mus,коля́
187,Wolf::N,varg,пи́ре
188,Vogel::N,fågel,ка́йык
189,Schwarm::N,svärm,каша́к
190,Huhn::N,höns,чы́ве
191,Hahn::N,tupp,агыта́н
192,Gans::N,gås,ко́мбо
193,Adler::N,örn,карагу́ш
194,Ente::N,anka,лу́до
195,Eule::N,uggla,тумна́
196,Kranich::N,trana,турня́
197,Krähe::N,kråka,кора́к
198,Kuckuck::N,gök,куку́
199,Schwan::N,svan,йӱ́ксӧ
200,Fisch::N,fisk,кол
201,Barsch::N,abborre,ола́ҥге
202,Hecht::N,gädda,нуж
203,Hecht::N,gädda,чорта́н
204,Schlange[Tier]::N,orm,ки́шке
205,Wurm::N,mask,шукш
206,Spinne::N,spindel,эҥыре́мыш
207,Ameise::N,myra,ку́тко
208,Laus::N,lus,тий
209,Mücke::N,mygga,шыҥа́
