,Concept_ID,ro,sah
0,Auge::N,ochi,харах
1,Ohr::N,ureche,кулгаах
2,Nase::N,nas,мурун
3,Mund::N,gură,айах
4,Zahn::N,dinte,тиис
5,Zunge::N,limbă,тыл
6,Lippe::N,buză,уос
7,Wange::N,bucă,иэдэс
8,Wange::N,obraz,иэдэс
9,Gesicht::N,față,сирэй
10,Gesicht::N,figură,сирэй
11,Stirn::N,frunte,сүүс
12,Haar::N,păr,баттах
13,Schnurrbart::N,mustață,уос бытыга
14,Bart::N,barbă,сэҥийэ бытыга
15,Kinn::N,bărbie,сэҥийэ
16,Kiefer[Anatomie]::N,falcă,сыҥаах
17,Kehle::N,beregată,тамах
18,Kehle::N,beregată,күөмэй
19,Hals::N,gât,моой
20,Genick::N,ceafă,кэтэх
21,Kopf::N,cap,бас
22,Rücken::N,dos,көҕүс
23,Rücken::N,spate,көҕүс
24,Rücken::N,spinare,көҕүс
25,Bauch::N,burtă,ис
26,Bauch::N,pântece,ис
27,Nabel::N,buric,киин
28,Busen::N,sân,эмиий
29,Brust::N,piept,түөс
30,Schulter::N,umăr,сарын
31,Schulter::N,spate,сарын
32,Arm::N,braț,илии
33,Ellenbogen::N,cot,тоҕонох
34,Hand::N,mână,илии
35,Handfläche::N,palmă,ытыс
36,Finger::N,deget,тарбах
37,Fingernagel::N,unghie,тыҥырах
38,Nagel[Anatomie]::N,unghie,тыҥырах
39,Zeh::N,deget de la picior,тарбах
40,Fuß::N,picior,уллуҥах
41,Ferse::N,călcâi,тилэх
42,Knie::N,genunchi,тобук
43,Knie::N,genunchi,дьилбэк
44,Oberschenkel::N,coapsă,уллук
45,Oberschenkel::N,coapsă,өттүк
46,Bein::N,picior,атах
47,Körper::N,corp,бэйэ
48,Haut::N,piele,тирии
49,Blut::N,sânge,хаан
50,Ader::N,vână,вена
51,Ader::N,vână,күөх_тымыр
52,Ader::N,arteră,вена
53,Ader::N,arteră,күөх_тымыр
54,Sehne::N,tendon,иҥиир
55,Knochen::N,os,уҥуох
56,Knochen::N,os,уҥгуох
57,Gehirn::N,creier,мэйии
58,Herz::N,inimă,сүрэх
59,Magen::N,stomac,куртах
60,Leber::N,ficat,быар
61,Atem::N,răsuflare,тыын
62,Atem::N,respirație,тыын
63,Hunger::N,foame,аас
64,Träne::N,lacrimă,харах уута
65,Geschmack::N,gust,амтан
66,Geruch::N,miros,сыт
67,Schlaf::N,somn,утуйуу
68,Traum::N,vis,түүл
69,Himmel::N,cer,халлаан
70,Sonne::N,soare,күн
71,Mond::N,lună,ый
72,Stern::N,stea,сулус
73,Luft::N,aer,салгын
74,Wind::N,vânt,тыал
75,Welle::N,val,долгун
76,Welle::N,val,балхаан
77,Welle::N,undă,долгун
78,Welle::N,undă,балхаан
79,Wasser::N,apă,уу
80,Stein::N,piatră,таас
81,Boden::N,sol,сир
82,Boden::N,pământ,сир
83,Erde::N,pământ,буор
84,Staub::N,praf,быыл
85,Rauch::N,fum,буруо
86,Funke::N,scânteie,кыым
87,Feuer::N,foc,уот
88,Licht::N,lumină,уот
89,Schatten::N,umbră,күлүк
90,Wetter::N,timp,күн-дьыл
91,Wetter::N,vreme,күн-дьыл
92,Nebel::N,ceață,туман
93,Nebel::N,negură,туман
94,Wolke::N,nor,былыт
95,Regen::N,ploaie,самыыр
96,Schnee::N,zăpadă,хаар
97,Eis::N,gheață,муус
98,Frost::N,ger,тымныы
99,Kälte::N,frig,тымныы
100,Hitze::N,arșiță,куйаас
101,Hitze::N,căldură,куйаас
102,Raureif::N,chiciură,кырыа
103,Regenbogen::N,curcubeu,кустук
104,Donner::N,tunet,этиҥ
105,Strömung::N,curent,сүүрүк
106,Tropfen::N,picătură,таммах
107,Tropfen::N,picătură,хааппыла
108,Schaum::N,spumă,күүгэн
109,Schmutz::N,murdărie,кир
110,See::N,lac,күөл
111,Sumpf::N,mlaștină,бадараан
112,Moor::N,bărăgan,дьэбэрэ
113,Wiese::N,fânaț,ходуһа
