,Concept_ID,ce,fi
182,Gans::N,гӏаз,hanhi
183,Adler::N,aьрзу,kotka
184,Ente::N,бад,ankka
185,Eule::N,бухӏа,pöllö
186,Kranich::N,гӏаргӏули,kurki
187,Krähe::N,къиг,varis
188,Kuckuck::N,aттйокх,käki
189,Schwan::N,гӏургӏаз,joutsen
190,Fisch::N,чӏара,kala
191,Barsch::N,окунь,ahven
192,Hecht::N,гӏазкхийн чӏара,hauki
193,Schlange[Tier]::N,лаьхьа,käärme
194,Wurm::N,нӏаьна,mato
195,Spinne::N,гезг,hämähäkki
196,Ameise::N,зингат,muurahainen
197,Laus::N,меза,täi
198,Laus::N,гӏениг,täi
199,Mücke::N,чуьрк,sääski
200,Mücke::N,чуьрк,hyttynen
201,Fliege::N,моза,kärpänen
202,Schmetterling::N,полла,perhonen
203,Beere::N,цӏазам,marja
204,Apfel::N,ӏаж,omena
205,Pilz::N,жӏаьлин нускал,sieni
206,Zwiebel::N,xох,sipuli
207,Saat::N,чlу,siemenet
208,Korn::N,буьртиг,jyvä
209,Korn::N,буьртиг,vilja
210,Heu::N,йол,heinä
211,Schale::N,пардо,kuori
212,Grube::N,ор,kuoppa
213,Falle::N,кӏело,loukku
214,Spur::N,лар,jälki
215,Asche::N,чим,tuhka
216,Dreck::N,мода,lika
217,Eisen::N,эчиг,rauta
218,Gold::N,деши,kulta
219,Silber::N,дети,hopea
220,Kohle::N,кӏора,hiili
221,Glas::N,aнгали,lasi
222,Lehm::N,поппар,savi
223,Sand::N,гӏум,hiekka
224,Mensch::N,адам,ihminen
225,Mann::N,майра,mies
226,Frau::N,зуда,nainen
227,Kind::N,бер,lapsi
228,Junge::N,жимха,poika
229,Mädchen::N,жима йоӏ,tyttö
230,Familie::N,доьзал,perhe
231,Großvater::N,ненада,isoisä
232,Großmutter::N,денана,isoäiti
233,Eltern::N,да-нана,vanhemmat
234,Vater::N,да,isä
235,Mutter::N,нана,äiti
236,Sohn::N,кӏант,poika
237,Tochter::N,йоӏ,tytär
238,Bruder::N,ваша,veli
239,Schwester::N,йиша,sisko
240,Onkel::N,деваша,eno
241,Onkel::N,деваша,setä
242,Tante::N,дейиша,täti
243,Ehemann::N,майра,mies
244,Ehemann::N,майра,aviomies
245,Ehefrau::N,зуда,vaimo
246,Ehefrau::N,зуда,aviovaimo
247,Freude::N,самукъа,ilo
248,Freude::N,самукъа,riemu
249,Freude::N,хазахетар,ilo
250,Freude::N,хазахетар,riemu
251,Gelächter::N,белам,nauru
252,Glück::N,ирс,onni
253,Kummer::N,бала,suru
254,Kummer::N,бала,murhe
255,Wunsch::N,лаам,toive
256,Wunsch::N,лаам,toivomus
257,Lust::N,лаам,himo
258,Geist::N,са,henki
259,Gedanke::N,ойла,aate
260,Gedanke::N,ойла,ajatus
261,Gedächtnis::N,диццадалар,muisti
262,Verstand::N,хьекъал,äly
263,Verstand::N,хьекъал,järki
264,Verstand::N,хьекъал,ymmärrys
265,Sinn::N,маьӏна,merkitys
266,Grund::N,бахьана,syy
267,Grund::N,бахьана,peruste
268,Wahrheit::N,бакъдерг,tosi
269,Wahrheit::N,бакъдерг,totuus
270,Gespräch::N,къамел,puhelu
271,Gespräch::N,къамел,keskustelu
272,Märchen::N,туьйра,satu
273,Erzählung::N,дийцар,tarina
274,Erzählung::N,дийцар,kertomus
275,Nachricht::N,хаам,tieto
276,Nachricht::N,хаам,ilmoitus
277,Neuigkeit::N,керланиг,uutinen
278,Name::N,цӏе,nimi
279,Rätsel::N,хӏетал-метал,arvoitus
280,Rede::N,къамел,puhe
281,Sprache::N,мотт,kieli
282,Stimme::N,aз,ääni
283,Wort::N,дош,sana
284,Zeichen::N,билгало,merkki
285,Ruf::N,кхайкхар,kutsu
286,Lärm::N,гӏовгӏа,melu
287,Lärm::N,гӏовгӏа,hälinä
288,Laut::N,аз,ääni
289,Ton::N,aз,sävel
290,Lied::N,илли,laulu
291,Ruhe::N,тийналла,lepo
292,Ruhe::N,тийналла,rauha
293,Leute::N,нах,väki
294,Leute::N,нах,ihmiset
295,Volk::N,халкъ,kansa
296,Arbeit::N,болх,työ
297,Gast::N,хьаша,vieras
298,Geschenk::N,совгӏат,lahja
299,Spiel::N,ловзар,peli
300,Spiel::N,ловзар,leikki
301,Gesellschaft::N,юкъаралла,seura
302,Hilfe::N,гӏо,apu
303,Freund::N,доттагl,ystävä
304,Kamerad::N,накъост,toveri
305,Angelegenheit::N,гӏуллакх,asia
306,Anzahl::N,терахь,lukumäärä
307,Stück::N,юьхк,pala
308,Stück::N,юьхк,kappale
309,Teil::N,дакъа,osa
310,Hälfte::N,ах,puoli
311,Kreis::N,го,ympyrä
312,Kreuz::N,жӏара,risti
313,Linie::N,сиз,viiva
314,Strich::N,сиз,piirto
315,Abstand::N,юкъ,väli
316,Abstand::N,юкъ,väljyys
317,Gegend::N,мeттиг,seutu
318,Platz::N,майда,tila
319,Ort::N,меттиг,kohta
320,Ort::N,меттиг,paikka
321,Seite::N,aгӏo,sivu
322,Seite::N,aгӏo,kylki
323,Mitte::N,юкъ,keskus
324,Mitte::N,юкъ,puoliväli
325,Gegenstand::N,хӏума,kalu
326,Gegenstand::N,хӏума,esine
327,Sache::N,хӏума,asia
328,Rand::N,йист,ääri
329,Rand::N,йист,syrjä
330,Kante::N,йист,särmä
331,Ecke::N,са,nurkka
332,Spitze::N,ралла,terä
333,Spitze::N,ралла,kärki
