,Concept_ID,ce,cy
0,Auge::N,бӏаьрг,llygad
1,Ohr::N,лерг,clust
2,Nase::N,мара,trwyn
3,Mund::N,бага,ceg
4,Zahn::N,церг,dant
5,Zunge::N,мотт,tafod
6,Lippe::N,балда,gwefus
7,Wange::N,бесни,boch
8,Gesicht::N,юьхь,wyneb
9,Stirn::N,хьаж,talcen
10,Haar::N,мас,blew
11,Schnurrbart::N,мекх,mwstas
12,Bart::N,маж,barf
13,Kinn::N,чӏениг,gên
14,Kiefer[Anatomie]::N,мочхал,gên
15,Kehle::N,къамкъарг,gwddf
16,Hals::N,ворта,gwddf
17,Genick::N,кӏесаркӏаг,gwar
18,Genick::N,кӏесаркӏаг,gwegil
19,Kopf::N,корта,pen
20,Rücken::N,букъ,cefn
21,Bauch::N,кийра,bol
22,Nabel::N,цӏонга,bogail
23,Busen::N,зударийн накха,bron
24,Brust::N,накха,brest
25,Schulter::N,белш,ysgwydd
26,Arm::N,пхьарс,braich
27,Ellenbogen::N,пхьаьрсан гола,penelin
28,Hand::N,куьг,llaw
29,Handfläche::N,кераюкъ,palf
30,Finger::N,пӏелг,bys
31,Fingernagel::N,мӏара,ewin
32,Nagel[Anatomie]::N,мӏара,ewin
33,Zeh::N,кога пӏелг,bys troed
34,Fuß::N,ког,troed
35,Ferse::N,кӏажа,sawdl
36,Knie::N,гола,glin
37,Oberschenkel::N,варе,clun
38,Bein::N,ког,coes
39,Körper::N,хӏума,corff
40,Haut::N,чкъор,croen
41,Blut::N,цӏий,gwaed
42,Ader::N,пха,gwythïen
43,Sehne::N,хьорзам,gewyn
44,Knochen::N,даьӏахк,asgwrn
45,Gehirn::N,хье,ymennydd
46,Herz::N,дог,calon
47,Magen::N,зорх,cylla
48,Magen::N,зорх,stumog
49,Leber::N,доӏах,iau
50,Atem::N,садеӏар,anadl
51,Hunger::N,мацалла,newyn
52,Träne::N,бӏаьрхи,deigryn
53,Geschmack::N,чам,cyflas
54,Geruch::N,хьожа,aroglau
55,Schlaf::N,наб,cwsg
56,Traum::N,гӏан,breuddwyd
