,Concept_ID,cs,os
0,Auge::N,oko,цӕст
1,Ohr::N,ucho,хъус
2,Nase::N,nos,фындз
3,Mund::N,pusa,дзых
4,Zahn::N,zub,дӕндаг
5,Zunge::N,jazyk,ӕвзаг
6,Lippe::N,ret,был
7,Wange::N,tvář,рус
8,Wange::N,tvář,уадул
9,Wange::N,tvář,ӕхсӕрфарс
10,Gesicht::N,obličej,цӕсгом
11,Stirn::N,čelo,ных
12,Haar::N,vlas,хил
13,Haar::N,vlasy,хил
14,Schnurrbart::N,kníry,рихи
15,Bart::N,vousy,зачъе
16,Kinn::N,brada,роцъо
17,Kiefer[Anatomie]::N,čelist,ӕфсӕр
18,Kehle::N,hrdlo,хъуыр
19,Hals::N,krk,къубал
20,Genick::N,týl,къӕбут
21,Kopf::N,hlava,сӕр
22,Rücken::N,záda,фӕсонтӕ
23,Rücken::N,hřbet,фӕсонтӕ
24,Bauch::N,břicho,гуыбын
25,Nabel::N,pupek,бикъ
26,Busen::N,ňadra,дзидзи
27,Brust::N,prsa,риу
28,Schulter::N,plece,уӕхск
29,Schulter::N,rameno,уӕхск
30,Arm::N,ruka,цонг
31,Ellenbogen::N,loket,рæмбын
32,Hand::N,ruka,къух
33,Handfläche::N,dlaň,армытъӕпӕн
34,Finger::N,prst,ӕнруылдз
35,Fingernagel::N,nehet,ных
36,Nagel[Anatomie]::N,nehet,ных
37,Zeh::N,prst u nohy,къух
38,Fuß::N,noha,фад
39,Ferse::N,pata,зӕвӕт
40,Knie::N,koleno,уӕраг
41,Oberschenkel::N,stehno,агъд
42,Bein::N,noha,зӕнг
43,Körper::N,tělo,буар
44,Haut::N,kůže,царм
45,Blut::N,krev,туг
46,Ader::N,céva,дадзин
47,Ader::N,céva,тугдадзин
48,Sehne::N,šlacha,хъиутæ
49,Sehne::N,šlacha,нуар
50,Knochen::N,kost,стӕг
51,Gehirn::N,mozek,магъз
52,Herz::N,srdce,зӕрдӕ
53,Magen::N,žaludek,ахсӕн
54,Leber::N,játra,игæр
55,Atem::N,dech,улӕфт
56,Hunger::N,hlad,стонг
57,Träne::N,slza,цæссыг
58,Geschmack::N,vkus,ад
59,Geruch::N,vůně,смаг
60,Geruch::N,zápach,смаг
61,Schlaf::N,spánek,хуыссӕг
62,Traum::N,sen,фын
63,Himmel::N,nebe,арв
64,Himmel::N,nebe,уӕларв
65,Sonne::N,slunce,хур
66,Mond::N,měsíc,мӕй
67,Stern::N,hvězda,стъалы
68,Luft::N,vzduch,уӕлдӕф
69,Wind::N,vítr,дымгӕ
70,Welle::N,vlna,уылӕн
71,Wasser::N,voda,дон
72,Stein::N,kámen,дур
73,Boden::N,půda,зӕхх
74,Erde::N,země,сыджыт
75,Staub::N,prach,рыг
76,Rauch::N,dým,фӕздӕг
77,Rauch::N,kouř,фӕздӕг
78,Funke::N,jiskra,цӕхӕр
79,Feuer::N,oheň,зынг
80,Licht::N,světlo,рухс
81,Schatten::N,stín,аууон
82,Wetter::N,počasí,боныхъӕд
83,Nebel::N,mlha,мигъ
84,Wolke::N,mrak,ӕврагъ
85,Wolke::N,oblak,ӕврагъ
86,Regen::N,déšť,уарын
87,Schnee::N,sníh,мит
88,Eis::N,led,их
89,Frost::N,mráz,ихæн
90,Kälte::N,chlad,уазал
91,Hitze::N,horko,ӕнтӕф
92,Raureif::N,jinovatka,халас
93,Regenbogen::N,duha,арвырон
94,Regenbogen::N,duha,арвырдын
95,Donner::N,hrom,æрвнæрын
96,Strömung::N,proudění,цыд
97,Tropfen::N,kapka,æртах
98,Schaum::N,pěna,фынк
99,Schmutz::N,špína,цъыф
100,See::N,jezero,цад
101,Sumpf::N,močál,цъыфдзаст
102,Sumpf::N,bažina,цъыфдзаст
103,Moor::N,bažina,цъыфдзаст
104,Moor::N,slatina,цъыфдзаст
105,Wiese::N,louka,уыгӕрдӕн
106,Wald::N,les,хъӕд
107,Hügel::N,kopec,обау
108,Hügel::N,kopec,къуыбыр
109,Anhöhe::N,pahorek,уæлвæз
110,Anhöhe::N,pahorek,уæлхох
111,Berg::N,hora,хох
112,Gipfel::N,vrchol,цъупп
113,Höhle::N,jeskyně,лӕгӕт
114,Abhang::N,svah,къул
115,Abhang::N,stráň,къул
116,Quelle::N,pramen,суадон
117,Bach::N,potok,мӕсчъыдон
118,Fluss::N,řeka,дон
119,Fluss::N,řeka,цӕугӕдон
120,Ufer::N,břeh,был
121,Küste::N,pobřeží,донбыл
122,Festland::N,souš,сурзæхх
123,Festland::N,pevnina,сурзæхх
124,Meer::N,moře,денджыз
125,Bucht::N,záliv,донбакæлæн
126,Bucht::N,zátoka,донбакæлæн
127,Insel::N,ostrov,сакъадах
128,Blume::N,květina,дидинӕг
129,Gras::N,tráva,кӕрдӕг
130,Wurzel::N,kořen,уидаг
131,Baum::N,strom,бӕлас
132,Stamm::N,kmen,хӕтӕл
133,Rinde::N,kůra,цъар
134,Ast::N,větev,арх
135,Zweig::N,větev,къалиу
136,Blatt::N,lupen,сыф
137,Birke::N,bříza,бæрз
138,Kiefer[Baum]::N,sosna,нӕзы
139,Kiefer[Baum]::N,borovice,нӕзы
140,Weide[Baum]::N,vrba,хӕрис
141,Tanne::N,jedle,наз
142,Horn::N,roh,сыкъа
143,Feder::N,pero,сис
144,Fell::N,srst,царм
145,Flügel::N,křídlo,базыр
146,Klaue::N,dráp,ных
147,Klaue::N,pazneht,ных
148,Kralle::N,dráp,дзӕмбы
149,Schwanz::N,ocas,къӕдзил
150,Ei::N,vejce,айк
151,Nest::N,hnízdo,ахстон
152,Bau::N,nora,хуынкъ
153,Tier::N,zvíře,сырд
154,Tier::N,zvíře,цӕрӕгой
155,Herde::N,stádo,дзуг
156,Herde::N,stádo,рӕгъау
157,Kuh::N,kráva,хъуг
158,Bulle::N,býk,гал
159,Pferd::N,kůň,бӕх
160,Schaf::N,ovce,фыс
161,Schwein::N,vepř,хуы
162,Schwein::N,prase,хуы
163,Hund::N,pes,куыдз
164,Katze::N,kočka,гӕды
