,Concept_ID,ko,hr
0,Auge::N,눈,oko
1,Ohr::N,귀,uho
2,Nase::N,코,nos
3,Mund::N,입,usta
4,Zahn::N,이,zub
5,Zunge::N,혀,jezik
6,Lippe::N,입술,usna
7,Wange::N,뺨,obraz
8,Gesicht::N,얼굴,lice
9,Stirn::N,이마,čelo
10,Haar::N,털,kosa
11,Schnurrbart::N,윗수몀,brkovi
12,Schnurrbart::N,코밑수염,brkovi
13,Bart::N,수엄,brada
14,Kinn::N,아래턱,brada
15,Kinn::N,아래턱,podbradak
16,Kiefer[Anatomie]::N,턱,čeljust
17,Kehle::N,인후,grlo
18,Hals::N,목,vrat
19,Genick::N,먹덜이,zatiljak
20,Kopf::N,머리,glava
21,Rücken::N,든,leđa
22,Rücken::N,든,hrbat
23,Bauch::N,배,trbuh
24,Nabel::N,배꼽,pupak
25,Busen::N,가슴속,sisa
26,Busen::N,가슴속,njedra
27,Brust::N,가슴,prsa
28,Schulter::N,어깨,rame
29,Schulter::N,어깨,pleći
30,Arm::N,팔,ruka
31,Ellenbogen::N,팔쿰치,lakat
32,Hand::N,손,ruka
33,Handfläche::N,손바닥,dlan
34,Finger::N,속가락,prst
35,Fingernagel::N,손톱,nokat
36,Nagel[Anatomie]::N,손톱,nokat
37,Zeh::N,발가락,nozni prst
38,Fuß::N,발,noga
39,Fuß::N,발,stopalo
40,Ferse::N,발꿈치,peta
41,Knie::N,무릎,koljeno
42,Oberschenkel::N,허벅다리,bedro
43,Bein::N,다리,noga
44,Körper::N,구간,tijelo
45,Haut::N,살갗,put
46,Haut::N,살갗,koža
47,Blut::N,피,krv
48,Ader::N,정맥,žila
49,Sehne::N,현,tetiva
50,Knochen::N,뼈,kost
51,Gehirn::N,뇌,
52,Gehirn::N,뇌수,
53,Herz::N,염통,srce
54,Magen::N,위,stomak
55,Magen::N,위,želudac
56,Leber::N,간,jetra
57,Atem::N,기식,dah
58,Hunger::N,공복,glad
59,Träne::N,눈물,suza
60,Geschmack::N,기호,ukus
61,Geruch::N,냄새,njuh
62,Geruch::N,냄새,miris
63,Schlaf::N,수면,san
64,Traum::N,쿰,san
65,Himmel::N,하늘,nebo
66,Sonne::N,해,sunce
67,Mond::N,달,mjesec
68,Stern::N,별,zvijezda
69,Luft::N,동준,zrak
70,Luft::N,가스채,zrak
71,Wind::N,바람,vjetar
72,Welle::N,물결,val
73,Welle::N,물결,talas
74,Wasser::N,물,voda
75,Stein::N,돌,kamen
76,Boden::N,바닥,tlo
77,Boden::N,바닥,zemlja
78,Erde::N,흙,zemlja
79,Staub::N,먼지,prah
80,Staub::N,먼지,prašina
81,Rauch::N,연기,dim
82,Funke::N,불티,iskra
83,Funke::N,불티,varnica
84,Feuer::N,불,vatra
85,Licht::N,불,svjetlo
86,Schatten::N,어스레함,hlad
87,Schatten::N,어스레함,sjena
88,Wetter::N,기상,vrijeme
89,Nebel::N,안개,magla
90,Wolke::N,구름,oblak
91,Regen::N,비,kiša
92,Schnee::N,눈,snijeg
93,Eis::N,얼음,led
94,Frost::N,혹한,mraz
95,Kälte::N,추위,studen
96,Kälte::N,추위,hladnoća
97,Kälte::N,차가움,studen
98,Kälte::N,차가움,hladnoća
99,Hitze::N,고온,vrućina
100,Hitze::N,더위,vrućina
101,Regenbogen::N,무지개,duga
102,Donner::N,뇌명,grom
