,Concept_ID,az,lt
132,Rinde::N,qabıq,žievė
133,Ast::N,şax,šaka
134,Zweig::N,budaq,šakelė
135,Blatt::N,yarpaq,lapas
136,Birke::N,tozağacı,beržas
137,Kiefer[Baum]::N,şam,pušis
138,Weide[Baum]::N,söyüd,karklas
139,Tanne::N,küknar,eglė
140,Tanne::N,küknar,kėnis
141,Horn::N,buynuz,ragas
142,Feder::N,tük,plunksna
143,Feder::N,lələk,plunksna
144,Fell::N,xəz,kailis
145,Flügel::N,qanad,sparnas
146,Klaue::N,pəncə,kanopa
147,Kralle::N,dırnaq,nagas
148,Schwanz::N,quyruq,uodega
149,Ei::N,yumurta,kiaušinis
150,Nest::N,yuva,gūžta
151,Nest::N,yuva,lizdas
152,Bau::N,yuva,ola
153,Tier::N,heyvan,gyvūnas
154,Herde::N,sürü,banda
155,Herde::N,sürü,kaimenė
156,Kuh::N,inək,karvė
157,Bulle::N,öküz,bulius
158,Pferd::N,at,arklys
159,Schaf::N,qoyun,avis
160,Schwein::N,donuz,kiaulė
161,Hund::N,it,šuo
162,Hund::N,köpək,šuo
163,Katze::N,pişik,katė
164,Bär::N,ayı,lokys
165,Eichhörnchen::N,dələ,voveraitė
166,Elch::N,sığın,briedis
167,Fuchs::N,tülkü,lapė
168,Hase::N,dovşan,kiškas
169,Maus::N,siçan,pelė
170,Wolf::N,qurd,vilkas
171,Vogel::N,quş,paukštis
172,Schwarm::N,sürü,spiečius
173,Huhn::N,toyuq,višta
174,Hahn::N,xoruz,gaidys
175,Gans::N,qaz,žąsis
176,Adler::N,qartal,erelis
177,Adler::N,qaraquş,erelis
178,Ente::N,ördək,antis
179,Eule::N,bayquş,pelėda
180,Kranich::N,durna,gervė
181,Krähe::N,qarğa,varna
182,Kuckuck::N,ququ,gegužė
183,Schwan::N,qu quşu,gulbė
184,Fisch::N,balıq,žuvis
185,Barsch::N,tar,ešerys
186,Hecht::N,durnabalığı,lydeka
187,Schlange[Tier]::N,ilan,gyvatė
188,Wurm::N,qurd,kirmėlė
189,Spinne::N,hörümçək,voras
190,Ameise::N,qarışqa,skruzdė
191,Laus::N,bit,utėlė
192,Mücke::N,ağcaqanad,uodas
193,Fliege::N,milçək,musė
194,Schmetterling::N,kəpənək,drugys
195,Schmetterling::N,kəpənək,peteliškė
196,Beere::N,gilə,uoga
197,Apfel::N,alma,obuolys
198,Pilz::N,göbələk,grybas
199,Zwiebel::N,soğan,svogūnas
200,Saat::N,əkin,sėkla
201,Korn::N,taxıl,grūdai
202,Heu::N,quru ot,šienas
203,Schale::N,qabıq,žievelė
204,Grube::N,çuxur,duobė
205,Falle::N,tələ,pinklės
206,Falle::N,tələ,žabangai
207,Falle::N,duzaq,pinklės
208,Falle::N,duzaq,žabangai
209,Schlinge::N,ilmək,kilpa
210,Spur::N,iz,vėžė
211,Spur::N,iz,pėdos
212,Spur::N,iz,pėdsakas
213,Asche::N,kül,pelenai
214,Dreck::N,kir,purvas
215,Eisen::N,dəmir,geležis
216,Gold::N,altun,auksas
217,Silber::N,gümüş,sidabras
218,Kohle::N,kömür,anglis
219,Glas::N,şüşə,stiklas
220,Lehm::N,gil,molis
221,Lehm::N,palçıq,molis
222,Sand::N,qum,smėlis
223,Mensch::N,adam,žmogus
224,Mensch::N,insan,žmogus
225,Mann::N,kişi,vyras
226,Mann::N,kişi,vyriškis
227,Frau::N,qadın,moteris
228,Kind::N,uşaq,vaikas
229,Junge::N,oğlan,vaikinas
230,Junge::N,oğlan,berniukas
231,Mädchen::N,qız,mergytė
232,Mädchen::N,qız,mergaitė
233,Familie::N,ailə,šeima
234,Großvater::N,baba,senelis
235,Großmutter::N,nənə,senelė
236,Eltern::N,valideyn,tėvai
237,Vater::N,ata,tėvas
238,Mutter::N,ana,motina
239,Sohn::N,oğul,sūnus
240,Tochter::N,qız,duktė
241,Bruder::N,qardaş,brolis
242,Schwester::N,bacı,sesuo
243,Onkel::N,əmi,dėdė
244,Onkel::N,dayı,dėdė
245,Tante::N,bibi,teta
246,Ehemann::N,ər,vyras
247,Ehefrau::N,arvad,žmona
248,Freude::N,nəşə,džiaugsmas
249,Freude::N,sevinc,džiaugsmas
250,Gelächter::N,gülüş,juokas
251,Gelächter::N,qəhqəhə,juokas
252,Glück::N,səadət,laimė
253,Glück::N,xoşbəxtlik,laimė
254,Kummer::N,qəm,vargas
255,Kummer::N,qəm,rūpestis
256,Kummer::N,kədər,vargas
257,Kummer::N,kədər,rūpestis
258,Wunsch::N,arzu,troškimas
259,Wunsch::N,arzu,pageidavimas
260,Lust::N,həvəs,noras
261,Lust::N,həvəs,geidulys
262,Geist::N,ruh,dvasia
263,Gedanke::N,fikir,mintis
264,Gedanke::N,düşüncə,mintis
265,Gedächtnis::N,xatir,atmintis
266,Gedächtnis::N,hafizə,atmintis
267,Verstand::N,ağıl,protas
268,Sinn::N,məna,prasmė
269,Grund::N,səbəb,priežastis
270,Wahrheit::N,haqq,tiesa
271,Wahrheit::N,haqq,teisybė
272,Wahrheit::N,doğruluq,tiesa
273,Wahrheit::N,doğruluq,teisybė
274,Gespräch::N,söhbət,pokalbis
275,Gespräch::N,qonuşma,pokalbis
276,Märchen::N,nağıl,pasaka
277,Erzählung::N,hekayə,apsakymas
278,Erzählung::N,hekayə,pasakojimas
279,Nachricht::N,xəbər,žinia
280,Neuigkeit::N,xəbər,naujiena
281,Neuigkeit::N,yenilik,naujiena
282,Name::N,ad,vardas
283,Rätsel::N,tapmaca,mįslė
284,Rede::N,nitq,kalba
285,Sprache::N,dil,kalba
286,Stimme::N,səs,balsas
287,Wort::N,söz,žodis
288,Wort::N,kəlmə,žodis
289,Zeichen::N,nişan,žymė
290,Zeichen::N,nişan,ženklas
291,Ruf::N,çığırtı,šauksmas
292,Lärm::N,gurultu,triukšmas
293,Laut::N,səs,garsas
294,Ton::N,ton,tonas
295,Ton::N,ton,garsas
296,Lied::N,mahnı,daina
