,Concept_ID,bn,ml
0,Auge::N,চক্ষু,കണ്ണ്
1,Ohr::N,কর্ণ,ചെവി
2,Nase::N,নাক,മൂക്ക്
3,Mund::N,মুখ,വായ
4,Zahn::N,দাঁত,പല്ല്
5,Zunge::N,জিহবা,നാക്ക്
6,Lippe::N,অধর,ചുണ്ട്
7,Wange::N,গণ্ড,കവിൾത്തടം
8,Gesicht::N,মুখমণ্ডল,മുഖം
9,Stirn::N,কপাল,നെറ്റി
10,Haar::N,চুল,തലമുടി
11,Schnurrbart::N,গোঁফ,മീശ
12,Bart::N,শ্মশ্রু,താടിരോമം
13,Kinn::N,চিবুক,താടി
14,Kiefer[Anatomie]::N,চোয়াল,താടിയെല്ല്
15,Kehle::N,কণ্ঠ,കണ്ഠനാളം
16,Hals::N,গল,കഴുത്ത്
17,Genick::N,ঘাড়,പിടലി
18,Kopf::N,মাথা,തല
19,Rücken::N,পৃষ্ঠ,മുതുക്
20,Bauch::N,উদর,നയറ്
21,Nabel::N,নাভি,നാഭി
22,Busen::N,স্তন,സ്തനം
23,Brust::N,বুক,സ്തനം
24,Schulter::N,স্কন্ধ,തോൾ
25,Arm::N,বাহু,കൈ
26,Ellenbogen::N,কনুই,കൈമുട്ട്
27,Hand::N,হাত,കൈ
28,Handfläche::N,করতল,ഉള്ളം കൈ
29,Finger::N,আঙ্গুল,വിരൽ
30,Fingernagel::N,হাতের নখ,നഖം
31,Nagel[Anatomie]::N,নখ,നഖം
32,Zeh::N,আঙ্গুল,കാൽവിരൽ
33,Fuß::N,পা,കാൽപ്പാദം
34,Ferse::N,গোড়ালি,ഉപ്പൂറ്റി
35,Knie::N,হাঁটু,കാൽമുട്ട്
36,Oberschenkel::N,ঊরু,തുട
37,Bein::N,পা,കാൽ
38,Körper::N,দেহ,ശരീരം
39,Haut::N,ত্বক,ചർമ്മം
40,Blut::N,রক্ত,രക്തം
41,Ader::N,শিরা,ഞരമ്പ്
42,Sehne::N,কণ্ডরা,സ്നായു
43,Knochen::N,অস্থি,അസ്ഥി
44,Gehirn::N,মস্তিষ্ক,തലച്ചോറ്
45,Herz::N,হৃৎপিণ্ড,ഹൃദയം
46,Magen::N,পাকস্থলী,വയർ
47,Leber::N,যকৃৎ,കരൾ
48,Atem::N,শ্বাস,ശ്വാസം
49,Hunger::N,ক্ষুধা,വിശപ്പ്
50,Träne::N,অশ্রু,കണ്ണീർ
51,Geschmack::N,স্বাদ,രുചി
52,Geruch::N,গন্ধ,ഗന്ധം
53,Schlaf::N,ঘুম,ഉറകും
54,Traum::N,স্বপ্ন,സ്വപ്നം
55,Himmel::N,আকাশ,ആകാശം
