,Concept_ID,fa,ce
0,Auge::N,چشم,бӏаьрг
1,Ohr::N,گوش,лерг
2,Nase::N,بینی,мара
3,Mund::N,دهان,бага
4,Zahn::N,دندان,церг
5,Zunge::N,زبان,мотт
6,Lippe::N,لب,балда
7,Wange::N,لپ,бесни
8,Gesicht::N,رو,юьхь
9,Gesicht::N,چهره,юьхь
10,Stirn::N,پیشانی,хьаж
11,Haar::N,مو,мас
12,Schnurrbart::N,سبیل,мекх
13,Bart::N,ریش,маж
14,Kinn::N,چانه,чӏениг
15,Kiefer[Anatomie]::N,فک,мочхал
16,Kiefer[Anatomie]::N,آرواره,мочхал
17,Kehle::N,حلق,къамкъарг
18,Hals::N,گردن,ворта
19,Genick::N,پشت گردن,кӏесаркӏаг
20,Kopf::N,سر,корта
21,Kopf::N,کله,корта
22,Rücken::N,پشت,букъ
23,Bauch::N,شکم,кийра
24,Nabel::N,ناف,цӏонга
25,Busen::N,پستان,зударийн накха
26,Brust::N,سینه,накха
27,Schulter::N,دوش,белш
28,Schulter::N,شانه,белш
29,Arm::N,بازو,пхьарс
30,Ellenbogen::N,آرنج,пхьаьрсан гола
31,Hand::N,دست,куьг
32,Handfläche::N,کف دست,кераюкъ
33,Finger::N,انگشت,пӏелг
34,Fingernagel::N,ناخن دست,мӏара
35,Nagel[Anatomie]::N,ناخن,мӏара
36,Zeh::N,انگشت پا,кога пӏелг
37,Fuß::N,پا,ког
38,Ferse::N,پاشنه,кӏажа
39,Knie::N,زانو,гола
40,Oberschenkel::N,ران,варе
41,Bein::N,پا,ког
42,Bein::N,لنگ,ког
43,Körper::N,تن,хӏума
44,Körper::N,بدن,хӏума
45,Haut::N,پوست,чкъор
46,Blut::N,خون,цӏий
47,Ader::N,رگ,пха
48,Sehne::N,زردپی,хьорзам
49,Knochen::N,استخوان,даьӏахк
50,Gehirn::N,مخ,хье
51,Gehirn::N,مغز,хье
52,Herz::N,دل,дог
53,Herz::N,قلب,дог
54,Magen::N,معده,зорх
55,Leber::N,کبد,доӏах
56,Atem::N,نفس,садеӏар
57,Hunger::N,گرسنگی,мацалла
58,Träne::N,اشک,бӏаьрхи
59,Geschmack::N,مزه,чам
60,Geruch::N,بو,хьожа
61,Schlaf::N,خواب,наб
62,Traum::N,رؤیا,гӏан
63,Himmel::N,فلک,стигал
64,Himmel::N,آسمان,стигал
65,Sonne::N,آفتاب,малх
66,Sonne::N,خورشید,малх
67,Mond::N,ماه,бутт
68,Stern::N,ستاره,седа
69,Luft::N,هوا,xӏаваъ
70,Wind::N,باد,мох
71,Welle::N,موج,тулгӏе
72,Wasser::N,آب,хи
73,Stein::N,سنگ,тӏулг
74,Boden::N,زمین,цӏенкъа
75,Erde::N,خاک,латта
76,Erde::N,زمین,латта
77,Staub::N,گرد,чан
78,Staub::N,غبار,чан
79,Rauch::N,دود,кӏур
80,Funke::N,جرقه,суй
81,Feuer::N,آتش,цӏе
82,Licht::N,نور,серло
83,Licht::N,روشنی,серло
84,Schatten::N,سایه,ӏиндагӏ
85,Wetter::N,هوا,хенан хӏоттам
86,Nebel::N,مه,дохк
87,Wolke::N,ابر,марха
88,Regen::N,باران,догӏа
89,Schnee::N,برف,ло
90,Eis::N,یخ,ша
91,Frost::N,یخبندان,шело
92,Kälte::N,سرما,шело
93,Hitze::N,گرما,йовхо
94,Hitze::N,حرارت,йовхо
95,Raureif::N,برف ریزه,йис
96,Regenbogen::N,رنگین‌کمان,стелаӏад
97,Donner::N,رعد,ткъес
98,Strömung::N,جریان,дӏаэхар
99,Strömung::N,جریان,дӏасалелар
100,Tropfen::N,قطره,тӏадам
101,Schaum::N,کف,чопа
102,Schmutz::N,گل,хатт
103,Schmutz::N,کثافت,хатт
104,See::N,دریاچه,ӏам
105,Sumpf::N,مرداب,уьшал
106,Sumpf::N,باتلاق,уьшал
107,Moor::N,باتلاق,уьшал
108,Wiese::N,چمن,бай
109,Wald::N,جنگل,хьун
110,Hügel::N,تل,гу
111,Hügel::N,تل,шу
112,Hügel::N,تل,барз
113,Hügel::N,تپه,гу
114,Hügel::N,تپه,шу
115,Hügel::N,تپه,барз
116,Anhöhe::N,بلندی,акъари
117,Berg::N,کوه,лам
118,Gipfel::N,قله,бохь
119,Höhle::N,غار,хьех
120,Abhang::N,سرازیری,басе
121,Quelle::N,چشمه,шовда
122,Bach::N,نهر,татол
123,Fluss::N,رود,хи
124,Ufer::N,ساحل,хийист
125,Ufer::N,کرانه,хийист
126,Küste::N,ساحل,йист
127,Festland::N,خشکی,латта
128,Meer::N,دریا,xӏорд
129,Bucht::N,خلیج,чож
130,Insel::N,جزیره,гӏайре
131,Blume::N,گل,зезаг
132,Gras::N,علف,буц
133,Wurzel::N,ریشه,орам
134,Baum::N,درخت,дитт
135,Stamm::N,تنه,гӏад
136,Stamm::N,تنه,тайпа
137,Rinde::N,توژ,кевстиг
138,Rinde::N,پوست,кевстиг
139,Ast::N,شاخه,га
140,Zweig::N,شاخه,га
141,Blatt::N,برگ,гӏа
142,Birke::N,غان,дакх
143,Kiefer[Baum]::N,کاج,бага
144,Weide[Baum]::N,بید,дак
145,Tanne::N,صنوبر,база
146,Horn::N,شاخ,маӏа
147,Feder::N,پر,пелаг
148,Fell::N,خز,цӏока
149,Flügel::N,پر,тӏам
150,Flügel::N,بال,тӏам
151,Klaue::N,چنگ,мӏара
152,Klaue::N,پنجه,мӏара
153,Kralle::N,پنجه,тlод
154,Schwanz::N,دم,цӏога
155,Ei::N,تخم,xӏoa
156,Nest::N,لانه,бен
157,Bau::N,بنا,lуьрг
158,Bau::N,ساختمان,lуьрг
159,Tier::N,هیوان,дийнат
160,Herde::N,رمه,жа
161,Kuh::N,گاو,етт
162,Bulle::N,گاو نر,сту
163,Pferd::N,اسب,говр
164,Schaf::N,گوسفند,жий
165,Schaf::N,گوسفند,уьстагӏ
166,Schwein::N,خوک,хьакха
167,Hund::N,سگ,жӏаьла
168,Katze::N,گربه,цициг
169,Bär::N,خرس,ча
170,Eichhörnchen::N,سنجاب,тарсал
171,Elch::N,گوزن شمالی,сай
172,Fuchs::N,روباه,цхьогал
173,Hase::N,خرگوش,пхьагал
174,Maus::N,موش,дахка
175,Wolf::N,گرگ,борз
176,Vogel::N,پرنده,олхазар
177,Schwarm::N,دسته,
178,Huhn::N,مرغ,котам
179,Hahn::N,خروس,нӏаьна
180,Hahn::N,خروس,боргӏал
181,Gans::N,غاز,гӏаз
182,Adler::N,عقاب,aьрзу
183,Ente::N,اردک,бад
184,Ente::N,مرغابی,бад
185,Eule::N,جغد,бухӏа
186,Kranich::N,درنا,гӏаргӏули
187,Krähe::N,زاغ,къиг
188,Krähe::N,کلاغ,къиг
189,Kuckuck::N,فاخته,aттйокх
190,Schwan::N,قو,гӏургӏаз
191,Fisch::N,ماهی,чӏара
192,Barsch::N,ماهی خاردار,окунь
193,Hecht::N,اردک ماهی,гӏазкхийн чӏара
194,Schlange[Tier]::N,مار,лаьхьа
195,Wurm::N,کرم,нӏаьна
196,Spinne::N,عنکبوت,гезг
197,Ameise::N,مورچه,зингат
