,Concept_ID,uk,ce
0,Auge::N,око,бӏаьрг
1,Ohr::N,вухо,лерг
2,Nase::N,ніс,мара
3,Mund::N,рот,бага
4,Zahn::N,зуб,церг
5,Zunge::N,язик,мотт
6,Lippe::N,губа,балда
7,Wange::N,щока,бесни
8,Gesicht::N,обличчя,юьхь
9,Stirn::N,лоб,хьаж
10,Haar::N,волосся,мас
11,Schnurrbart::N,вуса,мекх
12,Bart::N,борода,маж
13,Kinn::N,підборіддя,чӏениг
14,Kiefer[Anatomie]::N,щелепа,мочхал
15,Kehle::N,горло,къамкъарг
16,Hals::N,шия,ворта
17,Genick::N,потилиця,кӏесаркӏаг
18,Kopf::N,голова,корта
19,Rücken::N,спина,букъ
20,Bauch::N,живіт,кийра
21,Nabel::N,пупок,цӏонга
22,Busen::N,груди,зударийн накха
23,Brust::N,груди,накха
24,Schulter::N,плече,белш
25,Arm::N,рука,пхьарс
26,Ellenbogen::N,лікоть,пхьаьрсан гола
27,Hand::N,рука,куьг
28,Handfläche::N,долоня,кераюкъ
29,Finger::N,палець,пӏелг
30,Fingernagel::N,ніготь,мӏара
31,Nagel[Anatomie]::N,ніготь,мӏара
32,Zeh::N,палець на нозі,кога пӏелг
33,Fuß::N,нога,ког
34,Ferse::N,п’ятка,кӏажа
35,Knie::N,коліно,гола
36,Oberschenkel::N,стегно,варе
37,Bein::N,нога,ког
38,Körper::N,тіло,хӏума
39,Haut::N,шкіра,чкъор
40,Blut::N,кров,цӏий
41,Ader::N,вена,пха
42,Sehne::N,сухожилля,хьорзам
43,Knochen::N,кістка,даьӏахк
44,Gehirn::N,мозок,хье
45,Herz::N,серце,дог
46,Magen::N,шлунок,зорх
47,Leber::N,печінка,доӏах
48,Atem::N,дихання,садеӏар
49,Hunger::N,голод,мацалла
50,Träne::N,сльоза,бӏаьрхи
51,Geschmack::N,смак,чам
52,Geruch::N,запах,хьожа
53,Schlaf::N,сон,наб
54,Schlaf::N,сплячка,наб
55,Traum::N,сон,гӏан
56,Himmel::N,небо,стигал
57,Sonne::N,сонце,малх
58,Mond::N,місяць,бутт
59,Stern::N,зірка,седа
60,Luft::N,повітря,xӏаваъ
61,Wind::N,вітер,мох
62,Welle::N,хвиля,тулгӏе
63,Wasser::N,вода,хи
64,Stein::N,камінь,тӏулг
65,Boden::N,ґрунт,цӏенкъа
66,Erde::N,земля,латта
67,Staub::N,пил,чан
68,Rauch::N,дим,кӏур
69,Funke::N,іскра,суй
70,Feuer::N,вогонь,цӏе
71,Licht::N,світло,серло
72,Schatten::N,тінь,ӏиндагӏ
73,Wetter::N,погода,хенан хӏоттам
74,Nebel::N,туман,дохк
75,Wolke::N,хмара,марха
76,Regen::N,дощ,догӏа
77,Schnee::N,сніг,ло
78,Eis::N,лід,ша
79,Frost::N,мороз,шело
80,Kälte::N,холод,шело
81,Hitze::N,жар,йовхо
