,Concept_ID,no,ku
0,Auge::N,øye,çav
1,Ohr::N,øre,guh
2,Nase::N,nese,bêvil
3,Mund::N,munn,dev
4,Zahn::N,tann,didan
5,Zunge::N,tunge,ziman
6,Lippe::N,leppe,lêv
7,Wange::N,kinn,dêm
8,Wange::N,kinn,hinarik
9,Gesicht::N,fjes,rû
10,Gesicht::N,ansikt,rû
11,Stirn::N,panne,enî
12,Haar::N,hår,por
13,Schnurrbart::N,bart,simbêl
14,Bart::N,skjegg,rih
15,Kinn::N,hake,zenî
16,Kiefer[Anatomie]::N,kjeve,arguşk
17,Kehle::N,strupe,qirik
18,Hals::N,hals,stû
19,Hals::N,hals,qirik
20,Genick::N,nakke,stû
21,Kopf::N,hode,serî
22,Rücken::N,rygg,pişt
23,Bauch::N,buk,ûr
24,Bauch::N,buk,zik
25,Bauch::N,mage,ûr
26,Bauch::N,mage,zik
27,Nabel::N,navle,navik
28,Busen::N,barm,sîng
29,Brust::N,bryst,sîng
30,Schulter::N,skulder,mil
31,Arm::N,arm,çepil
32,Ellenbogen::N,albue,enîşk
33,Hand::N,hånd,dest
34,Handfläche::N,håndflate,kefadest
35,Finger::N,finger,tilî
36,Fingernagel::N,fingernegl,neynuk
37,Nagel[Anatomie]::N,negl,bizmar
38,Zeh::N,tå,tilî linga
39,Fuß::N,fot,ling
40,Ferse::N,hæl,pahnî
41,Knie::N,kne,kabok
42,Oberschenkel::N,lår,rahn
43,Bein::N,bein,çip
44,Körper::N,kropp,laş
45,Körper::N,kropp,gowde
46,Körper::N,legeme,laş
47,Körper::N,legeme,gowde
48,Haut::N,hud,çerm
49,Haut::N,skinn,çerm
50,Blut::N,blod,xwîn
51,Ader::N,åre,reh
52,Sehne::N,sene,reh
53,Knochen::N,bein,hestî
54,Knochen::N,knokkel,hestî
55,Gehirn::N,hjerne,mêjî
56,Herz::N,hjerte,dil
57,Magen::N,mage,navêş
58,Leber::N,lever,kezeb
59,Atem::N,pust,hilm
60,Hunger::N,sult,birçîtî
61,Träne::N,tåre,hêstir
62,Geschmack::N,smak,tam
63,Geruch::N,lukt,bêhn
64,Schlaf::N,søvn,xew
65,Traum::N,drøm,xewn
66,Himmel::N,himmel,ezman
67,Sonne::N,sol,roj
68,Mond::N,måne,heyv
69,Stern::N,stjerne,stêrk
70,Luft::N,luft,ba
71,Wind::N,vind,ba
72,Welle::N,bølge,şewl
73,Wasser::N,vann,av
74,Stein::N,stein,kevir
75,Boden::N,bakke,herd
76,Erde::N,jord,ax
77,Staub::N,støv,toz
78,Rauch::N,røyk,dû
79,Funke::N,gnist,çirûşk
80,Feuer::N,ild,agir
81,Licht::N,lys,ronahî
82,Schatten::N,skygge,sî
83,Wetter::N,vær,hewa
84,Nebel::N,tåke,mij
85,Wolke::N,sky,ewr
86,Regen::N,regn,baran
87,Schnee::N,snø,berf
