,Concept_ID,lt,is
0,Auge::N,akis,auga
1,Ohr::N,ausis,eyra
2,Nase::N,nosis,nef
3,Mund::N,burna,munnur
4,Zahn::N,dantis,tönn
5,Zunge::N,liežuvis,tunga
6,Lippe::N,lūpa,vör
7,Wange::N,žandas,kinn
8,Wange::N,žandas,vangi
9,Wange::N,skruostas,kinn
10,Wange::N,skruostas,vangi
11,Gesicht::N,veidas,andlit
12,Stirn::N,kakta,enni
13,Haar::N,plaukai,hár
14,Schnurrbart::N,ūsai,yfirskegg
15,Bart::N,barzda,skegg
16,Kinn::N,smakras,haka
17,Kiefer[Anatomie]::N,žandikaulis,kjálki
18,Kiefer[Anatomie]::N,žandikaulis,skoltur
19,Kehle::N,gerklė,kverk
20,Hals::N,kaklas,háls
21,Genick::N,sprandas,hnakki
22,Kopf::N,galva,höfuð
23,Rücken::N,nugara,hryggur
24,Bauch::N,pilvas,kviður
25,Nabel::N,bamba,nafli
26,Busen::N,krūtinė,barmur
27,Brust::N,krūtis,brjóst
28,Schulter::N,petys,öxl
29,Arm::N,ranka,armur
30,Ellenbogen::N,alkūnė,olnbogi
31,Hand::N,ranka,hönd
32,Hand::N,plaštaka,hönd
33,Handfläche::N,delnas,lófi
34,Handfläche::N,plaštaka,lófi
35,Finger::N,pirštas,fingur
36,Fingernagel::N,nagas,fingurnögl
37,Nagel[Anatomie]::N,nagas,nögl
38,Zeh::N,pirštas,tá
39,Fuß::N,pėda,fótur
40,Ferse::N,kulnas,hæll
41,Knie::N,kelis,kné
42,Oberschenkel::N,kulšis,læri
43,Oberschenkel::N,šlaunis,læri
44,Bein::N,koja,fótleggur
45,Körper::N,kūnas,búkur
46,Körper::N,kūnas,líkami
47,Haut::N,oda,húð
48,Haut::N,oda,skinn
49,Blut::N,kraujas,blóð
50,Ader::N,kraujagyslė,æð
51,Sehne::N,sausgyslė,sin
52,Knochen::N,kaulas,bein
53,Gehirn::N,smegenys,heili
54,Herz::N,širdis,hjarta
55,Magen::N,skrandis,magi
56,Leber::N,kepenys,lifur
57,Atem::N,kvapas,andi
58,Atem::N,kvapas,andardráttur
59,Hunger::N,badas,hungur
60,Hunger::N,alkis,hungur
61,Träne::N,ašara,tár
62,Geschmack::N,skonis,smekkur
63,Geruch::N,kvapas,lykt
64,Schlaf::N,miegas,svefn
65,Traum::N,sapnas,draumur
66,Himmel::N,dangus,himinn
67,Sonne::N,saulė,sól
68,Mond::N,mėnulis,tungl
69,Stern::N,žvaigždė,stjarna
70,Luft::N,oras,loft
71,Wind::N,vėjas,vindur
72,Welle::N,banga,alda
73,Welle::N,banga,bylgja
74,Welle::N,vilnis,alda
75,Welle::N,vilnis,bylgja
76,Wasser::N,vanduo,vatn
77,Stein::N,akmuo,steinn
78,Boden::N,žemė,botn
79,Boden::N,dugnas,botn
80,Erde::N,žemė,jörð
81,Staub::N,dulkės,ryk
82,Staub::N,dulkės,duft
83,Rauch::N,dūmai,reykur
84,Funke::N,kibirkštis,neisti
85,Feuer::N,ugnis,eldur
86,Licht::N,šviesa,ljós
87,Schatten::N,paūksmė,skuggi
88,Wetter::N,oras,veður
89,Nebel::N,migla,þoka
90,Nebel::N,rūkas,þoka
91,Wolke::N,debesis,ský
92,Regen::N,lietus,regn
93,Schnee::N,sniegas,snjór
94,Eis::N,ledas,ís
95,Frost::N,šalna,frost
96,Kälte::N,šaltis,kuldi
97,Hitze::N,karštis,hiti
98,Raureif::N,šerkšnas,hrím
99,Regenbogen::N,vaivorykštė,regnbogi
100,Donner::N,perkūnas,þruma
101,Donner::N,griaustinis,þruma
102,Strömung::N,tėkmė,straumur
103,Tropfen::N,lašas,dropi
104,Schaum::N,putos,froða
105,Schmutz::N,purvas,óhreinindi
106,See::N,ežeras,stöðuvatn
107,Sumpf::N,klampynė,fen
108,Sumpf::N,liūnas,fen
109,Moor::N,pelkė,mýri
110,Wiese::N,pieva,engi
111,Wald::N,miškas,skógur
112,Hügel::N,kalva,hæð
113,Hügel::N,kalva,hóll
114,Anhöhe::N,kauburys,hæð
115,Anhöhe::N,kauburys,hóll
116,Berg::N,kalnas,fell
117,Berg::N,kalnas,fjall
118,Gipfel::N,viršūnė,tindur
119,Höhle::N,ola,hellir
120,Abhang::N,šlaitas,hlíð
121,Abhang::N,šlaitas,brekka
122,Abhang::N,nuokalnė,hlíð
123,Abhang::N,nuokalnė,brekka
124,Quelle::N,versmė,lind
125,Quelle::N,versmė,uppspretta
126,Quelle::N,šaltinis,lind
127,Quelle::N,šaltinis,uppspretta
128,Bach::N,upelis,lækur
129,Fluss::N,upė,á
130,Fluss::N,upė,fljót
131,Ufer::N,krantas,árbakki
132,Ufer::N,krantas,sjávarbakki
133,Küste::N,pajūris,strönd
134,Festland::N,sausuma,meginland
135,Meer::N,jūra,haf
136,Meer::N,jūra,sjór
137,Bucht::N,įlanka,vík
138,Bucht::N,užutekis,vík
139,Insel::N,sala,eyja
140,Blume::N,gėlė,blóm
141,Gras::N,žolė,gras
142,Wurzel::N,šaknis,rót
143,Baum::N,medis,tré
144,Stamm::N,kamienas,stofn
145,Rinde::N,žievė,börkur
146,Ast::N,šaka,grein
147,Zweig::N,šakelė,angi
148,Zweig::N,šakelė,kvistur
149,Blatt::N,lapas,blað
150,Birke::N,beržas,birki
151,Kiefer[Baum]::N,pušis,fura
152,Weide[Baum]::N,karklas,víðir
153,Tanne::N,eglė,greni
154,Tanne::N,kėnis,greni
155,Horn::N,ragas,horn
156,Feder::N,plunksna,fjöður
157,Fell::N,kailis,skinn
158,Flügel::N,sparnas,vængur
159,Klaue::N,kanopa,kló
160,Kralle::N,nagas,kló
161,Schwanz::N,uodega,rófa
162,Schwanz::N,uodega,skott
163,Ei::N,kiaušinis,egg
164,Nest::N,gūžta,hreiður
165,Nest::N,lizdas,hreiður
166,Bau::N,ola,greni
167,Bau::N,ola,bæli
168,Tier::N,gyvūnas,dýr
169,Herde::N,banda,hjörð
170,Herde::N,kaimenė,hjörð
171,Kuh::N,karvė,kýr
172,Bulle::N,bulius,boli
173,Pferd::N,arklys,hestur
174,Schaf::N,avis,kind
175,Schwein::N,kiaulė,svín
176,Hund::N,šuo,hundur
177,Katze::N,katė,köttur
178,Bär::N,lokys,björn
179,Eichhörnchen::N,voveraitė,íkorni
180,Elch::N,briedis,elgur
181,Fuchs::N,lapė,refur
182,Hase::N,kiškas,héri
183,Maus::N,pelė,mús
184,Wolf::N,vilkas,úlfur
185,Vogel::N,paukštis,fugl
186,Schwarm::N,spiečius,sægur
187,Huhn::N,višta,hæna
188,Hahn::N,gaidys,hani
189,Gans::N,žąsis,gæs
190,Adler::N,erelis,örn
191,Ente::N,antis,önd
192,Eule::N,pelėda,uggla
193,Kranich::N,gervė,trana
194,Krähe::N,varna,kráka
195,Kuckuck::N,gegužė,gaukur
196,Schwan::N,gulbė,svanur
197,Fisch::N,žuvis,fiskur
198,Barsch::N,ešerys,aborri
199,Hecht::N,lydeka,gedda
200,Schlange[Tier]::N,gyvatė,naðra
201,Wurm::N,kirmėlė,ormur
202,Spinne::N,voras,kónguló
203,Ameise::N,skruzdė,maur
204,Laus::N,utėlė,lús
205,Mücke::N,uodas,mý
206,Mücke::N,uodas,mýfluga
207,Fliege::N,musė,fluga
208,Schmetterling::N,drugys,fiðrildi
209,Schmetterling::N,peteliškė,fiðrildi
210,Beere::N,uoga,ber
211,Apfel::N,obuolys,epli
212,Pilz::N,grybas,sveppur
213,Zwiebel::N,svogūnas,laukur
214,Saat::N,sėkla,fræ
215,Saat::N,sėkla,útsæði
216,Korn::N,grūdai,korn
217,Heu::N,šienas,hey
218,Schale::N,žievelė,hýði
219,Grube::N,duobė,gryfja
220,Falle::N,pinklės,gildra
221,Falle::N,žabangai,gildra
222,Schlinge::N,kilpa,snara
223,Spur::N,vėžė,spor
224,Spur::N,pėdos,spor
225,Spur::N,pėdsakas,spor
226,Asche::N,pelenai,aska
227,Dreck::N,purvas,óþverri
228,Eisen::N,geležis,járn
229,Gold::N,auksas,gull
230,Silber::N,sidabras,silfur
231,Kohle::N,anglis,kol
232,Glas::N,stiklas,gler
233,Lehm::N,molis,leir
234,Sand::N,smėlis,sandur
235,Mensch::N,žmogus,maður
236,Mensch::N,žmogus,manneskja
237,Mann::N,vyras,maður
238,Mann::N,vyras,karlmaður
239,Mann::N,vyriškis,maður
240,Mann::N,vyriškis,karlmaður
241,Frau::N,moteris,kona
242,Kind::N,vaikas,barn
243,Kind::N,vaikas,krakki
244,Junge::N,vaikinas,drengur
245,Junge::N,berniukas,drengur
246,Mädchen::N,mergytė,stelpa
247,Mädchen::N,mergaitė,stelpa
248,Familie::N,šeima,fjölskylda
249,Großvater::N,senelis,afi
250,Großmutter::N,senelė,amma
251,Eltern::N,tėvai,foreldrar
252,Vater::N,tėvas,faðir
253,Mutter::N,motina,móðir
254,Sohn::N,sūnus,sonur
255,Tochter::N,duktė,dóttir
256,Bruder::N,brolis,bróðir
257,Schwester::N,sesuo,systir
258,Onkel::N,dėdė,föðurbróðir
259,Tante::N,teta,frænka
260,Tante::N,teta,móðursystir
261,Ehemann::N,vyras,eiginmaður
262,Ehefrau::N,žmona,eiginkona
263,Freude::N,džiaugsmas,gleði
264,Gelächter::N,juokas,hlátur
265,Glück::N,laimė,gæfa
266,Kummer::N,vargas,sorg
267,Kummer::N,rūpestis,sorg
268,Wunsch::N,troškimas,ósk
269,Wunsch::N,pageidavimas,ósk
270,Lust::N,noras,fýsn
271,Lust::N,noras,löngun
272,Lust::N,geidulys,fýsn
273,Lust::N,geidulys,löngun
