,Concept_ID,vep,tr
0,Auge::N,sil'm,göz
1,Ohr::N,korv,kulak
2,Nase::N,nena,burun
3,Mund::N,su,ağız
4,Zahn::N,pi,diş
5,Zahn::N,hambaz,diş
6,Zunge::N,kel',dil
7,Lippe::N,hul',dudak
8,Wange::N,modpolišk,yanak
9,Gesicht::N,mod,yüz
10,Stirn::N,oc,alın
11,Haar::N,tuk,saç
12,Haar::N,hibuz,saç
13,Schnurrbart::N,habinod,bıyık
14,Bart::N,bard,sakal
15,Kinn::N,löug,çene
16,Kiefer[Anatomie]::N,hambazlu,çene
17,Kehle::N,kurk,boğaz
18,Hals::N,kagl,boyun
19,Hals::N,kagl,gerdan
20,Genick::N,tagarai,ense
21,Kopf::N,pä,baş
22,Kopf::N,pä,kafa
23,Rücken::N,sel'g,arka
24,Bauch::N,vac,karın
25,Bauch::N,koht,karın
26,Nabel::N,naba,göbek
27,Busen::N,niža,koyun
28,Brust::N,rind,göğüs
29,Schulter::N,oug,omuz
30,Arm::N,käzi,kol
31,Ellenbogen::N,künambruz,dirsek
32,Hand::N,käzi,el
33,Hand::N,käzitera,el
34,Handfläche::N,kämen,avuç
35,Handfläche::N,kämen,el ayası
36,Finger::N,sor'm,parmak
37,Fingernagel::N,künz',el tırnağı
38,Nagel[Anatomie]::N,künz',tırnak
39,Zeh::N,barbaz,ayak parmağı
40,Fuß::N,jaug,ayak
41,Ferse::N,kand,topuk
42,Knie::N,komb,diz
43,Knie::N,pol'v,diz
44,Oberschenkel::N,riiže,uyluk
45,Bein::N,jaug,bacak
46,Körper::N,hibj,vücut
47,Haut::N,nahk,cilt
48,Blut::N,čak,kan
49,Blut::N,veri,kan
50,Ader::N,son',damar
51,Sehne::N,jände,kiriş
52,Knochen::N,lu,kemik
53,Gehirn::N,aivod,beyin
54,Herz::N,südäin,kalp
55,Herz::N,südäin,yürek
56,Magen::N,südäikoht,mide
57,Leber::N,maks,karaciğer
58,Atem::N,hengaiduz,nefes
59,Hunger::N,näl'g,açlık
60,Träne::N,kündal',gözyaşı
61,Geschmack::N,magu,tat
62,Geschmack::N,magu,lezzet
63,Geruch::N,haju,koku
64,Schlaf::N,uni,uyku
65,Traum::N,unikuva,düş
66,Traum::N,unikuva,rüya
67,Himmel::N,taivaz,gök
68,Sonne::N,päiväine,güneş
69,Mond::N,kudmaine,ay
70,Stern::N,tähtaz,yıldız
71,Luft::N,il'm,hava
72,Wind::N,döl,yel
73,Wind::N,döl,rüzgâr
74,Wind::N,tullei,yel
75,Wind::N,tullei,rüzgâr
76,Welle::N,ald,dalga
77,Welle::N,laineh,dalga
78,Wasser::N,vezi,su
79,Stein::N,kivi,taş
80,Boden::N,ma,yer
81,Boden::N,ma,zemin
82,Boden::N,pohj,yer
83,Boden::N,pohj,zemin
84,Erde::N,ma,toprak
85,Staub::N,pölü,toz
86,Rauch::N,savu,duman
87,Funke::N,kibin,kıvılcım
88,Feuer::N,lämoi,ateş
89,Licht::N,vauktuz,ışık
90,Schatten::N,pil'vez,gölge
91,Schatten::N,kuvahaine,gölge
92,Wetter::N,sä,hava
93,Nebel::N,sumeg,pus
94,Wolke::N,pil'v,bulut
95,Regen::N,vihm,yağmur
96,Schnee::N,lumi,kar
97,Eis::N,jä,buz
98,Frost::N,hala,don
99,Frost::N,pakaine,don
100,Kälte::N,vilu,soğukluk
101,Hitze::N,räk,sıcaklık
102,Raureif::N,hüde,kırç
103,Regenbogen::N,jumalanbembel',gökkuşağı
104,Donner::N,juru,gök gürlemesi
105,Donner::N,jumalanjuru,gök gürlemesi
106,Strömung::N,joksmuz,akıntı
107,Strömung::N,joksmuz,cereyan
108,Tropfen::N,tilkuine,damla
109,Schaum::N,vaht,köpük
110,Schmutz::N,redu,çamur
111,Schmutz::N,redu,pislik
112,Schmutz::N,pačak,çamur
113,Schmutz::N,pačak,pislik
114,See::N,järv,göl
115,Sumpf::N,so,batak
116,Moor::N,so,cılgıt
117,Wiese::N,nit,çimen
118,Wald::N,mec,koru
119,Wald::N,mec,orman
120,Hügel::N,kukaz,tepe
121,Anhöhe::N,kukaz,tümsek
122,Anhöhe::N,kukaz,yükseklik
123,Berg::N,mägi,dağ
124,Gipfel::N,ladv,zirve
125,Höhle::N,mägionduz,in
126,Höhle::N,mägionduz,mağara
127,Abhang::N,paute,bayır
128,Quelle::N,lähte,pınar
129,Quelle::N,lähte,kaynak
130,Bach::N,oja,çay
131,Bach::N,oja,dere
132,Fluss::N,jogi,nehir
133,Ufer::N,rand,kıyı
134,Ufer::N,rand,sahil
135,Küste::N,randišt,kıyı
136,Küste::N,randišt,sahil
137,Festland::N,kuivma,kara
138,Meer::N,meri,deniz
139,Bucht::N,laht,koy
140,Bucht::N,laht,körfez
141,Insel::N,sar',ada
142,Blume::N,änik,çiçek
143,Gras::N,hein,ot
144,Gras::N,hein,çim
145,Wurzel::N,jur',kök
146,Baum::N,pu,ağaç
147,Stamm::N,tüvi,gövde
148,Rinde::N,kor',kabuk
149,Ast::N,oks,dal
150,Ast::N,oks,budak
151,Zweig::N,oks,dal
152,Zweig::N,barb,dal
153,Blatt::N,lehtez,yaprak
154,Birke::N,koiv,huş
155,Kiefer[Baum]::N,pedai,çam
156,Weide[Baum]::N,raid,söğüt
157,Tanne::N,kuz',çam
158,Tanne::N,kuz',köknar
159,Horn::N,sar'v,boynuz
160,Feder::N,höuneh,tüy
161,Fell::N,nahk,post
162,Flügel::N,suug,kanat
163,Klaue::N,künz',pençe
164,Kralle::N,künz',tırnak
165,Schwanz::N,händ,kuyruk
166,Ei::N,muna,yumurta
167,Nest::N,peza,yuva
168,Bau::N,uru,in
169,Tier::N,živat,hayvan
170,Herde::N,kogo,sürü
171,Kuh::N,lehm,inek
172,Bulle::N,härg,boğa
173,Pferd::N,hebo,at
174,Pferd::N,hebo,beygir
175,Schaf::N,lambaz,koyun
176,Schwein::N,siga,domuz
177,Hund::N,koir,it
178,Hund::N,koir,köpek
179,Katze::N,kaži,kedi
180,Bär::N,kondi,ayı
181,Eichhörnchen::N,orav,sincap
182,Elch::N,hirb',büyük kuzey geyiği
183,Fuchs::N,reboi,tilki
184,Hase::N,jäniš,tavşan
185,Maus::N,hir',fare
186,Maus::N,hir',sıçan
187,Wolf::N,händikaz,kurt
188,Vogel::N,lind,kuş
189,Schwarm::N,parveh,sürü
190,Huhn::N,kana,tavuk
191,Hahn::N,kukoi,horoz
192,Gans::N,hanh',kaz
193,Adler::N,orl,kartal
194,Adler::N,orl,karakuş
195,Ente::N,sorz,ördek
196,Eule::N,hir'pulo,baykuş
197,Kranich::N,kurg,turna
198,Krähe::N,variš,karga
199,Kuckuck::N,kägi,guguk
200,Schwan::N,joucen,kuğu
201,Fisch::N,kala,balık
202,Barsch::N,ahven,hani
203,Barsch::N,ahven,levrek
204,Hecht::N,haug',turnabalığı
205,Schlange[Tier]::N,kü,yılan
206,Schlange[Tier]::N,mado,yılan
207,Wurm::N,mado,kurt
208,Wurm::N,mado,solucan
209,Spinne::N,hämähouk,örümcek
210,Ameise::N,murahaine,karınca
211,Laus::N,täi,bit
212,Mücke::N,säs'k,sivrisinek
213,Fliege::N,kärbhaine,sinek
214,Schmetterling::N,lipkaine,kelebek
215,Beere::N,marj,tane
216,Apfel::N,jablok,elma
217,Pilz::N,sen',mantar
218,Pilz::N,babuk,mantar
219,Zwiebel::N,lauk,soğan
220,Saat::N,semned,ekin
221,Korn::N,jüvä,tane
222,Korn::N,vill',tane
223,Heu::N,hein,kuru ot
224,Schale::N,kor',kabuk
225,Grube::N,kop,çukur
226,Falle::N,rida,tuzak
227,Schlinge::N,rihm,ilmik
228,Spur::N,jäl'g,iz
229,Asche::N,tuhk,kül
230,Dreck::N,redu,pislik
231,Dreck::N,pačak,pislik
232,Eisen::N,raud,demir
233,Gold::N,kuld,altın
234,Silber::N,hobed,gümüş
235,Kohle::N,hil',kömür
236,Glas::N,stökol,cam
237,Lehm::N,savi,balçık
238,Sand::N,lete,kum
239,Mensch::N,mez',insan
240,Mensch::N,ristit,insan
241,Mann::N,mez',adam
242,Mann::N,mez',erkek
243,Frau::N,naine,bayan
244,Kind::N,laps',çocuk
245,Junge::N,poig,erkek çocuk
246,Junge::N,prihaine,erkek çocuk
247,Mädchen::N,neičukaine,kız
248,Familie::N,kanz,aile
249,Familie::N,pereh,aile
250,Großvater::N,ded,dede
251,Großvater::N,ded,büyükbaba
252,Großmutter::N,bab,nine
253,Großmutter::N,bab,büyükanne
254,Eltern::N,vanhembad,ebeveyn
255,Eltern::N,vanhembad,ana baba
256,Eltern::N,kazvatajad,ebeveyn
257,Eltern::N,kazvatajad,ana baba
258,Vater::N,tat,ata
259,Vater::N,tat,baba
260,Mutter::N,mam,ana
261,Mutter::N,mam,anne
262,Sohn::N,poig,oğul
263,Tochter::N,tütär,kız
264,Tochter::N,tütär,kız evlât
265,Bruder::N,veik,abi
266,Bruder::N,veik,erkek kardeş
267,Bruder::N,vell',abi
268,Bruder::N,vell',erkek kardeş
269,Schwester::N,čiža,abla
270,Schwester::N,čiža,kız kardeş
271,Schwester::N,sizar,abla
272,Schwester::N,sizar,kız kardeş
273,Onkel::N,däd',dayı
274,Tante::N,tädi,hala
275,Tante::N,tädi,teyze
276,Ehemann::N,mužik,koca
277,Ehefrau::N,ak,karı
278,Freude::N,ilo,neşe
279,Freude::N,ilo,sevinç
280,Freude::N,ihastuz,neşe
281,Freude::N,ihastuz,sevinç
282,Gelächter::N,nagr,gülme
283,Gelächter::N,nagr,kahkaha
284,Glück::N,oza,mutluluk
285,Kummer::N,gor'a,dert
286,Kummer::N,gor'a,keder
287,Wunsch::N,taht,arzu
288,Wunsch::N,taht,istek
289,Lust::N,himo,arzu
290,Lust::N,himo,heves
291,Geist::N,heng,tin
292,Gedanke::N,meletuz,fikir
293,Gedanke::N,meletuz,düşünce
294,Gedächtnis::N,mušt,bellek
