,Concept_ID,cy,te
0,Auge::N,llygad,కన్ను
1,Ohr::N,clust,చెవి
2,Nase::N,trwyn,ముక్కు
3,Mund::N,ceg,నోరు
4,Zahn::N,dant,పల్లు
5,Zunge::N,tafod,నాలుక
6,Lippe::N,gwefus,పెదవి
7,Wange::N,boch,చెంప
8,Gesicht::N,wyneb,ముఖము
9,Stirn::N,talcen,నుదురు
10,Haar::N,blew,వెండ్రుక
11,Schnurrbart::N,mwstas,మీసము
12,Bart::N,barf,గడ్డము
13,Kinn::N,gên,గడ్డము
14,Kiefer[Anatomie]::N,gên,దౌడ
15,Kehle::N,gwddf,గొంతు
16,Hals::N,gwddf,మెడ
17,Genick::N,gwar,మూపు
18,Genick::N,gwegil,మూపు
19,Kopf::N,pen,తల
20,Rücken::N,cefn,వెన్ను
21,Bauch::N,bol,కడుపు
22,Nabel::N,bogail,బొడ్డు
23,Busen::N,bron,స్తనము
24,Brust::N,brest,ఱొమ్ము
25,Schulter::N,ysgwydd,భుజము
26,Arm::N,braich,చేయి
27,Ellenbogen::N,penelin,మోచేయి
28,Hand::N,llaw,చేయి
29,Handfläche::N,palf,అరచేయు
30,Finger::N,bys,చేతిప్రేలు
31,Fingernagel::N,ewin,గోరు
32,Nagel[Anatomie]::N,ewin,గోరు
33,Zeh::N,bys troed,కాలిప్రేలు
34,Fuß::N,troed,అడుగు
35,Ferse::N,sawdl,మడమ
36,Knie::N,glin,మోకాలు
37,Oberschenkel::N,clun,తొడ
38,Bein::N,coes,కాలు
39,Körper::N,corff,కాయము
40,Haut::N,croen,చర్మము
41,Blut::N,gwaed,రక్తము
42,Ader::N,gwythïen,సిర
43,Sehne::N,gewyn,స్నాయువు
44,Knochen::N,asgwrn,ఎముక
45,Gehirn::N,ymennydd,మెదడు
46,Herz::N,calon,హృదయము
47,Magen::N,cylla,కడుపు
48,Magen::N,stumog,కడుపు
49,Leber::N,iau,కాలేయము
50,Atem::N,anadl,ఉపిరి
51,Hunger::N,newyn,ఆకలి
52,Träne::N,deigryn,కన్నీటిచుక్క
53,Geschmack::N,cyflas,రుచి
54,Geruch::N,aroglau,వాసన
55,Schlaf::N,cwsg,నిద్ర
56,Traum::N,breuddwyd,కల
57,Himmel::N,awyr,ఆకాశము
58,Sonne::N,haul,సూర్యుడు
59,Mond::N,lleuad,చంద్రుడు
60,Stern::N,seren,నక్షత్రము
61,Luft::N,awyr,గాలి
62,Wind::N,gwynt,వీచుచున్నగాలి
63,Welle::N,ton,అల
64,Wasser::N,dŵr,నీరు
65,Stein::N,carreg,ఱాయి
66,Boden::N,llawr,నేల
67,Erde::N,pridd,మన్ను
68,Staub::N,llwch,దుమ్ము
69,Rauch::N,mwg,పొగ
70,Funke::N,gwreichioni,అగ్నికణము
71,Feuer::N,tân,అగ్ని
72,Licht::N,golau,కాంతి
73,Schatten::N,cysgod,నీడ
74,Wetter::N,tywydd,వాతావరణ స్థితి
75,Nebel::N,niwl,పొగమంచు
76,Wolke::N,cwmwl,మేఘము
77,Regen::N,glaw,వాన
78,Schnee::N,ôd,హిమము
79,Schnee::N,eira,హిమము
80,Eis::N,iâ,మంచుగడ్డ
81,Frost::N,rhew,పేరిన మంచు
82,Kälte::N,oerni,చలి
83,Kälte::N,annwyd,చలి
84,Hitze::N,gwres,వేడిమి
85,Raureif::N,barrug,మంచు
86,Regenbogen::N,enfys,ఇంద్రధనుస్సు
87,Donner::N,tyrfau,ఉరుము
88,Strömung::N,cerrynt,ప్రవాహము
89,Tropfen::N,dafn,చుక్క
90,Tropfen::N,diferyn,చుక్క
91,Schaum::N,ewyn,నురుగు
92,Schmutz::N,baw,మైల
93,Schmutz::N,budreddi,మైల
94,See::N,llyn,సరస్సు
95,Sumpf::N,cors,చిత్తడినేల
96,Moor::N,rhos,చిత్తడినేల
97,Wiese::N,dôl,పచ్చిక బయలు
98,Wald::N,coedwig,అడవి
99,Hügel::N,bryn,చివ్నకొండ
100,Anhöhe::N,bryn,కొండ
101,Berg::N,mynydd,పర్వతము
102,Gipfel::N,copa,శిఖరము
103,Höhle::N,ogof,గుహ
104,Abhang::N,llethr,ఏటవాలు
105,Quelle::N,tarddiad,మూలము
106,Quelle::N,ffynhonnell,మూలము
107,Bach::N,nant,కాలువ
108,Bach::N,afonig,కాలువ
109,Bach::N,cornant,కాలువ
110,Fluss::N,afon,నది
111,Ufer::N,glan,తీరము
112,Küste::N,traeth,తీరము
113,Küste::N,arfordir,తీరము
114,Festland::N,tir,భూమి
115,Meer::N,môr,సముద్రము
