,Concept_ID,ru,lt
0,Auge::N,глаз,akis
1,Ohr::N,ухо,ausis
2,Nase::N,нос,nosis
3,Mund::N,рот,burna
4,Zahn::N,зуб,dantis
5,Zunge::N,язык,liežuvis
6,Lippe::N,губа,lūpa
7,Wange::N,щека,žandas
8,Wange::N,щека,skruostas
9,Gesicht::N,лицо,veidas
10,Stirn::N,лоб,kakta
11,Haar::N,волос,plaukai
12,Haar::N,волосы,plaukai
13,Schnurrbart::N,ус,ūsai
14,Schnurrbart::N,усы,ūsai
15,Bart::N,борода,barzda
16,Kinn::N,подбородок,smakras
17,Kiefer[Anatomie]::N,челюсть,žandikaulis
18,Kehle::N,горло,gerklė
19,Hals::N,шея,kaklas
20,Genick::N,затылок,sprandas
21,Kopf::N,голова,galva
22,Rücken::N,спина,nugara
23,Bauch::N,живот,pilvas
24,Nabel::N,пупок,bamba
25,Busen::N,женская грудь,krūtinė
26,Brust::N,грудь,krūtis
27,Schulter::N,плечо,petys
28,Arm::N,рука,ranka
29,Ellenbogen::N,локоть,alkūnė
30,Hand::N,кисть,ranka
31,Hand::N,кисть,plaštaka
32,Handfläche::N,ладонь,delnas
33,Handfläche::N,ладонь,plaštaka
34,Finger::N,палец,pirštas
35,Fingernagel::N,ноготь,nagas
36,Nagel[Anatomie]::N,ноготь,nagas
37,Zeh::N,палец,pirštas
38,Fuß::N,ступня,pėda
39,Ferse::N,пята,kulnas
40,Ferse::N,пятка,kulnas
41,Knie::N,колено,kelis
42,Oberschenkel::N,бедро,kulšis
43,Oberschenkel::N,бедро,šlaunis
44,Bein::N,нога,koja
45,Körper::N,тело,kūnas
46,Haut::N,кожа,oda
47,Blut::N,кровь,kraujas
48,Ader::N,вена,kraujagyslė
49,Ader::N,сосуд,kraujagyslė
50,Sehne::N,жила,sausgyslė
51,Sehne::N,тетива,sausgyslė
52,Sehne::N,сухожилие,sausgyslė
53,Knochen::N,кость,kaulas
54,Gehirn::N,мозг,smegenys
55,Herz::N,сердце,širdis
56,Magen::N,желудок,skrandis
57,Leber::N,печень,kepenys
58,Atem::N,дух,kvapas
59,Atem::N,дыхание,kvapas
60,Hunger::N,голод,badas
61,Hunger::N,голод,alkis
62,Träne::N,слеза,ašara
63,Geschmack::N,вкус,skonis
64,Geruch::N,запах,kvapas
65,Schlaf::N,сон,miegas
66,Traum::N,сновидение,sapnas
67,Himmel::N,небо,dangus
68,Sonne::N,солнце,saulė
69,Mond::N,луна,mėnulis
70,Stern::N,звезда,žvaigždė
71,Luft::N,воздух,oras
72,Wind::N,ветер,vėjas
73,Welle::N,волна,banga
74,Welle::N,волна,vilnis
75,Wasser::N,вода,vanduo
76,Stein::N,камень,akmuo
77,Boden::N,почва,žemė
78,Boden::N,почва,dugnas
79,Erde::N,земля,žemė
80,Staub::N,пыль,dulkės
81,Rauch::N,дым,dūmai
82,Funke::N,искра,kibirkštis
83,Feuer::N,огонь,ugnis
84,Licht::N,свет,šviesa
85,Schatten::N,тень,paūksmė
86,Wetter::N,погода,oras
87,Nebel::N,туман,migla
88,Nebel::N,туман,rūkas
89,Wolke::N,облако,debesis
90,Regen::N,дождь,lietus
91,Schnee::N,снег,sniegas
